address,floor,plan,price,square
р-н Дзержинский, 10/10 эт.,1-к квартира,3 000 050  ₽, 38.5 м²
р-н Кировский, 9/10 эт.,1-к квартира,1 870 000  ₽, 35 м²
р-н Орджоникидзевский, 1/3 эт.,2-к квартира,1 050 000  ₽, 43.5 м²
р-н Индустриальный, 2/5 эт.,1-к квартира,1 870 000  ₽, 34.2 м²
р-н Мотовилихинский, 2/10 эт.,2-к квартира,2 750 000  ₽, 36 м²
р-н Свердловский, 16/24 эт.,4-к квартира,25 000 000  ₽, 163 м²
р-н Дзержинский, 13/16 эт.,3-к квартира,4 940 000  ₽, 79 м²
р-н Свердловский, 12/16 эт.,Апартаменты-студия,1 550 000  ₽, 28 м²
р-н Индустриальный, 4/9 эт.,3-к квартира,3 300 000  ₽, 59.6 м²
р-н Индустриальный, 5/10 эт.,2-к квартира,3 850 000  ₽, 53 м²
р-н Свердловский, 13/17 эт.,4-к квартира,8 600 000  ₽, 118.8 м²
р-н Кировский, 9/16 эт.,1-к квартира,1 950 000  ₽, 42.9 м²
р-н Дзержинский, 4/18 эт.,3-к квартира,4 330 000  ₽, 75.6 м²
р-н Свердловский, 5/5 эт.,1-к квартира,2 400 000  ₽, 44 м²
р-н Ленинский, 19/24 эт.,2-к квартира,6 499 999  ₽, 70.2 м²
р-н Свердловский, 10/16 эт.,1-к апартаменты,2 200 000  ₽, 39.8 м²
р-н Мотовилихинский, 8/14 эт.,3-к квартира,7 800 000  ₽, 106 м²
р-н Свердловский, 5/5 эт.,3-к квартира,3 140 000  ₽, 74 м²
р-н Дзержинский, 1/5 эт.,2-к квартира,2 700 000  ₽, 44 м²
р-н Кировский, 3/5 эт.,1-к квартира,1 920 000  ₽, 30.9 м²
р-н Дзержинский, 5/5 эт.,1-к квартира,2 100 000  ₽, 37 м²
р-н Орджоникидзевский, 7/10 эт.,3-к квартира,4 000 000  ₽, 92 м²
р-н Свердловский, 2/5 эт.,4-к квартира,3 150 000  ₽, 60 м²
р-н Свердловский, 17/25 эт.,3-к квартира,6 200 000  ₽, 77.4 м²
р-н Ленинский, 13/16 эт.,2-к квартира,6 900 000  ₽, 71 м²
р-н Ленинский, 5/11 эт.,3-к квартира,4 400 000  ₽, 63 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,800 000  ₽, 18 м²
р-н Орджоникидзевский, 4/9 эт.,2-к квартира,2 450 000  ₽, 51.5 м²
р-н Дзержинский, 6/9 эт.,2-к квартира,4 600 000  ₽, 60 м²
р-н Мотовилихинский, 9/10 эт.,4-к квартира,4 200 000  ₽, 85 м²
р-н Дзержинский, 3/7 эт.,3-к квартира,7 930 040  ₽, 94 м²
р-н Дзержинский, 3/5 эт.,1-к квартира,1 750 000  ₽, 31 м²
р-н Индустриальный, 2/14 эт.,2-к квартира,3 290 000  ₽, 56 м²
р-н Мотовилихинский, 4/5 эт.,1-к квартира,2 000 000  ₽, 31.5 м²
р-н Индустриальный, 9/18 эт.,1-к квартира,3 000 000  ₽, 40.1 м²
р-н Индустриальный, 3/5 эт.,3-к квартира,2 799 000  ₽, 56 м²
р-н Индустриальный, 3/5 эт.,3-к квартира,3 100 000  ₽, 57 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,1 500 000  ₽, 32 м²
р-н Свердловский, 2/13 эт.,1-к квартира,2 850 000  ₽, 35.4 м²
р-н Кировский, 2/10 эт.,2-к квартира,3 000 000  ₽, 52.4 м²
р-н Орджоникидзевский, 3/3 эт.,2-к квартира,1 780 000  ₽, 39 м²
р-н Мотовилихинский, 1/5 эт.,3-к квартира,3 150 000  ₽, 57 м²
р-н Орджоникидзевский, 4/10 эт.,1-к квартира,2 250 000  ₽, 37.8 м²
р-н Кировский, 7/9 эт.,2-к квартира,1 750 000  ₽, 51 м²
р-н Кировский, 3/3 эт.,1-к квартира,1 400 000  ₽, 33 м²
р-н Свердловский, 5/9 эт.,Квартира-студия,1 700 000  ₽, 23 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,1 550 000  ₽, 33.2 м²
р-н Мотовилихинский, 5/10 эт.,4-к квартира,6 900 000  ₽, 125 м²
р-н Свердловский, 15/17 эт.,1-к квартира,4 250 000  ₽, 42.1 м²
р-н Мотовилихинский, 13/25 эт.,4-к квартира,8 200 000  ₽, 129 м²
р-н Кировский, 2/5 эт.,2-к квартира,2 110 000  ₽, 42.5 м²
р-н Дзержинский, 13/25 эт.,1-к квартира,2 768 920  ₽, 41 м²
р-н Свердловский, 9/10 эт.,4-к квартира,6 700 000  ₽, 87.6 м²
р-н Мотовилихинский, 1/9 эт.,1-к квартира,2 300 000  ₽, 34.4 м²
р-н Мотовилихинский, 20/25 эт.,1-к квартира,3 800 000  ₽, 47.4 м²
р-н Свердловский, 1/17 эт.,Квартира-студия,1 490 000  ₽, 17.3 м²
р-н Дзержинский, 9/10 эт.,3-к квартира,6 100 000  ₽, 105 м²
р-н Ленинский, 4/6 эт.,4-к квартира,12 000 000  ₽, 148 м²
р-н Индустриальный, 21/23 эт.,1-к квартира,3 350 000  ₽, 43.4 м²
р-н Свердловский, 3/4 эт.,2-к квартира,4 070 000  ₽, 59.9 м²
р-н Кировский, 9/9 эт.,2-к квартира,1 290 000  ₽, 38 м²
р-н Мотовилихинский, 3/9 эт.,3-к квартира,3 670 000  ₽, 69.2 м²
р-н Мотовилихинский, 4/5 эт.,2-к квартира,2 000 000  ₽, 43.2 м²
р-н Индустриальный, 1/16 эт.,Квартира-студия,2 350 000  ₽, 36.6 м²
р-н Орджоникидзевский, 4/5 эт.,2-к квартира,2 100 000  ₽, 43.9 м²
р-н Свердловский, 14/25 эт.,2-к квартира,6 300 000  ₽, 64 м²
р-н Дзержинский, 1/16 эт.,1-к квартира,5 940 000  ₽, 76.4 м²
р-н Кировский, 6/16 эт.,1-к квартира,2 200 000  ₽, 37.1 м²
р-н Свердловский, 4/5 эт.,2-к квартира,1 300 000  ₽, 30 м²
р-н Дзержинский, 9/25 эт.,2-к квартира,4 290 000  ₽, 53 м²
р-н Свердловский, 3/5 эт.,2-к квартира,2 470 000  ₽, 31 м²
р-н Дзержинский, 9/25 эт.,2-к квартира,3 722 320  ₽, 58 м²
р-н Орджоникидзевский, 3/5 эт.,1-к квартира,1 150 000  ₽, 25 м²
р-н Кировский, 2/5 эт.,1-к квартира,1 700 000  ₽, 30.9 м²
р-н Дзержинский, 4/10 эт.,2-к квартира,3 880 000  ₽, 52.1 м²
р-н Кировский, 1/10 эт.,1-к квартира,2 150 000  ₽, 38.1 м²
р-н Мотовилихинский, 2/5 эт.,2-к квартира,2 390 000  ₽, 45.1 м²
р-н Мотовилихинский, 5/12 эт.,2-к квартира,3 100 000  ₽, 50 м²
р-н Орджоникидзевский, 1/5 эт.,2-к квартира,1 800 000  ₽, 42.8 м²
р-н Дзержинский, 5/24 эт.,2-к квартира,2 976 480  ₽, 47 м²
р-н Индустриальный, 5/10 эт.,2-к квартира,4 300 000  ₽, 52 м²
р-н Кировский, 3/5 эт.,1-к квартира,1 400 000  ₽, 30 м²
р-н Свердловский, 1/5 эт.,1-к квартира,1 980 000  ₽, 40.6 м²
р-н Ленинский, 3/10 эт.,1-к квартира,3 850 000  ₽, 45 м²
р-н Свердловский, 10/10 эт.,1-к квартира,3 000 000  ₽, 37.7 м²
р-н Свердловский, 4/5 эт.,2-к квартира,1 650 000  ₽, 38 м²
р-н Свердловский, 8/9 эт.,2-к квартира,2 750 000  ₽, 43 м²
р-н Индустриальный, 12/16 эт.,1-к квартира,3 170 000  ₽, 42.3 м²
р-н Свердловский, 4/5 эт.,1-к квартира,1 800 000  ₽, 31 м²
р-н Свердловский, 14/25 эт.,3-к квартира,7 000 000  ₽, 70 м²
р-н Кировский, 9/10 эт.,1-к квартира,2 300 000  ₽, 37.8 м²
р-н Свердловский, 3/5 эт.,2-к квартира,2 699 000  ₽, 45 м²
р-н Индустриальный, 4/23 эт.,2-к квартира,2 350 000  ₽, 33.6 м²
р-н Кировский, 2/2 эт.,2-к квартира,1 500 000  ₽, 43 м²
р-н Орджоникидзевский, 2/16 эт.,1-к квартира,1 690 000  ₽, 33.8 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 900 000  ₽, 44 м²
р-н Индустриальный, 5/10 эт.,2-к квартира,4 300 000  ₽, 52 м²
р-н Кировский, 3/5 эт.,1-к квартира,1 400 000  ₽, 30 м²
р-н Свердловский, 1/5 эт.,1-к квартира,1 980 000  ₽, 40.6 м²
р-н Ленинский, 3/10 эт.,1-к квартира,3 850 000  ₽, 45 м²
р-н Свердловский, 10/10 эт.,1-к квартира,3 000 000  ₽, 37.7 м²
р-н Свердловский, 4/5 эт.,2-к квартира,1 650 000  ₽, 38 м²
р-н Свердловский, 8/9 эт.,2-к квартира,2 750 000  ₽, 43 м²
р-н Индустриальный, 12/16 эт.,1-к квартира,3 170 000  ₽, 42.3 м²
р-н Свердловский, 4/5 эт.,1-к квартира,1 800 000  ₽, 31 м²
р-н Кировский, 9/10 эт.,1-к квартира,2 300 000  ₽, 37.8 м²
р-н Свердловский, 3/5 эт.,2-к квартира,2 699 000  ₽, 45 м²
р-н Индустриальный, 4/23 эт.,2-к квартира,2 350 000  ₽, 33.6 м²
р-н Кировский, 2/2 эт.,2-к квартира,1 500 000  ₽, 43 м²
р-н Орджоникидзевский, 2/16 эт.,1-к квартира,1 690 000  ₽, 33.8 м²
р-н Свердловский, 5/5 эт.,2-к квартира,2 900 000  ₽, 44 м²
р-н Дзержинский, 5/5 эт.,3-к квартира,2 980 000  ₽, 47 м²
р-н Орджоникидзевский, 7/9 эт.,2-к квартира,2 150 000  ₽, 44 м²
р-н Орджоникидзевский, 5/5 эт.,2-к квартира,2 500 000  ₽, 45 м²
р-н Свердловский, 10/19 эт.,3-к квартира,4 445 000  ₽, 63 м²
р-н Дзержинский, 7/9 эт.,1-к квартира,2 050 000  ₽, 29.3 м²
р-н Индустриальный, 2/16 эт.,2-к квартира,4 600 000  ₽, 69.9 м²
р-н Свердловский, 14/15 эт.,4-к квартира,25 000 000  ₽, 155 м²
р-н Ленинский, 6/9 эт.,3-к квартира,5 900 000  ₽, 80 м²
р-н Дзержинский, 8/12 эт.,2-к квартира,3 200 000  ₽, 44 м²
р-н Дзержинский, 2/11 эт.,4-к квартира,7 532 280  ₽, 102.5 м²
р-н Индустриальный, 5/5 эт.,2-к квартира,2 680 000  ₽, 44 м²
р-н Индустриальный, 1/4 эт.,1-к квартира,2 000 000  ₽, 31.5 м²
р-н Дзержинский, 10/10 эт.,1-к квартира,2 897 000  ₽, 38.5 м²
р-н Дзержинский, 1/16 эт.,2-к квартира,3 150 000  ₽, 61 м²
р-н Мотовилихинский, 5/5 эт.,3-к квартира,2 700 000  ₽, 60 м²
р-н Ленинский, 2/5 эт.,2-к квартира,2 500 000  ₽, 44.3 м²
р-н Кировский, 7/10 эт.,1-к квартира,2 050 000  ₽, 42 м²
р-н Дзержинский, 1/5 эт.,2-к квартира,2 450 000  ₽, 44.7 м²
р-н Орджоникидзевский, 15/16 эт.,1-к квартира,2 550 000  ₽, 49.7 м²
р-н Свердловский, 3/14 эт.,3-к квартира,2 980 000  ₽, 55.1 м²
р-н Свердловский, 11/14 эт.,2-к квартира,2 500 000  ₽, 43.4 м²
р-н Дзержинский, 8/10 эт.,1-к квартира,2 850 000  ₽, 40 м²
р-н Орджоникидзевский, 6/10 эт.,1-к квартира,2 200 000  ₽, 40.3 м²
р-н Мотовилихинский, 3/5 эт.,2-к квартира,2 550 000  ₽, 40 м²
р-н Индустриальный, 1/16 эт.,2-к квартира,3 950 000  ₽, 53 м²
р-н Кировский, 2/5 эт.,2-к квартира,2 100 000  ₽, 45 м²
р-н Мотовилихинский, 2/5 эт.,2-к квартира,2 200 000  ₽, 46 м²
р-н Дзержинский, 5/5 эт.,1-к квартира,2 100 000  ₽, 30 м²
р-н Мотовилихинский, 6/16 эт.,1-к квартира,2 700 000  ₽, 37.5 м²
р-н Индустриальный, 2/9 эт.,2-к квартира,3 550 000  ₽, 48 м²
р-н Орджоникидзевский, 14/25 эт.,Квартира-студия,1 390 000  ₽, 22.3 м²
р-н Мотовилихинский, 8/13 эт.,Квартира-студия,2 200 000  ₽, 36.5 м²
р-н Мотовилихинский, 5/10 эт.,3-к квартира,4 500 000  ₽, 66 м²
р-н Кировский, 5/5 эт.,2-к квартира,2 250 000  ₽, 46.6 м²
р-н Дзержинский, 16/25 эт.,2-к квартира,5 300 000  ₽, 74.7 м²
р-н Орджоникидзевский, 1/3 эт.,2-к квартира,2 350 000  ₽, 40 м²
р-н Дзержинский, 11/17 эт.,1-к квартира,3 200 000  ₽, 42 м²
р-н Свердловский, 7/19 эт.,3-к квартира,5 550 000  ₽, 80 м²
р-н Дзержинский, 9/16 эт.,2-к квартира,4 980 000  ₽, 65 м²
р-н Мотовилихинский, 3/10 эт.,1-к квартира,2 350 000  ₽, 37 м²
р-н Свердловский, 3/9 эт.,1-к квартира,1 200 000  ₽, 22 м²
р-н Мотовилихинский, 5/5 эт.,3-к квартира,2 590 000  ₽, 61.3 м²
р-н Дзержинский, 7/10 эт.,3-к квартира,3 990 000  ₽, 71.7 м²
р-н Кировский, 6/16 эт.,1-к квартира,2 500 000  ₽, 38.7 м²
р-н Мотовилихинский, 11/16 эт.,2-к квартира,4 500 000  ₽, 55 м²
р-н Индустриальный, 3/5 эт.,1-к квартира,1 950 000  ₽, 31 м²
р-н Индустриальный, 1/5 эт.,1-к квартира,2 100 000  ₽, 36 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 560 000  ₽, 42 м²
р-н Кировский, 1/3 эт.,1-к квартира,1 510 000  ₽, 34 м²
р-н Индустриальный, 2/10 эт.,3-к квартира,5 100 000  ₽, 86 м²
р-н Свердловский, 2/4 эт.,2-к квартира,2 650 000  ₽, 44.3 м²
р-н Ленинский, 2/13 эт.,1-к квартира,4 100 000  ₽, 58.5 м²
р-н Кировский, 6/9 эт.,3-к квартира,3 500 000  ₽, 67 м²
р-н Свердловский, 3/5 эт.,1-к квартира,2 200 000  ₽, 29.8 м²
р-н Индустриальный, 4/10 эт.,1-к квартира,2 700 000  ₽, 38.3 м²
р-н Орджоникидзевский, 3/5 эт.,3-к квартира,2 000 000  ₽, 58 м²
р-н Дзержинский, 5/16 эт.,2-к квартира,3 462 930  ₽, 63.5 м²
р-н Орджоникидзевский, 4/5 эт.,1-к квартира,1 300 000  ₽, 25 м²
р-н Индустриальный, 2/5 эт.,1-к квартира,2 400 000  ₽, 30 м²
р-н Свердловский, 4/9 эт.,3-к квартира,3 900 000  ₽, 57.4 м²
р-н Дзержинский, 6/10 эт.,2-к квартира,3 600 000  ₽, 59.7 м²
р-н Свердловский, 4/5 эт.,2-к квартира,2 600 000  ₽, 44 м²
р-н Индустриальный, 11/17 эт.,3-к квартира,5 300 000  ₽, 92.7 м²
р-н Кировский, 9/18 эт.,1-к квартира,2 800 000  ₽, 47.7 м²
р-н Кировский, 2/5 эт.,3-к квартира,2 100 000  ₽, 60 м²
р-н Орджоникидзевский, 1/2 эт.,2-к квартира,980 000  ₽, 42 м²
р-н Свердловский, 1/2 эт.,3-к квартира,1 890 000  ₽, 76.8 м²
р-н Дзержинский, 15/16 эт.,3-к квартира,3 900 000  ₽, 74 м²
р-н Свердловский, 2/9 эт.,3-к квартира,3 300 000  ₽, 57 м²
р-н Дзержинский, 2/10 эт.,2-к квартира,3 850 000  ₽, 54 м²
р-н Орджоникидзевский, 1/2 эт.,2-к квартира,1 250 000  ₽, 51.7 м²
р-н Дзержинский, 4/10 эт.,2-к квартира,3 900 000  ₽, 57.3 м²
р-н Дзержинский, 4/9 эт.,1-к квартира,2 590 000  ₽, 35 м²
р-н Индустриальный, 11/19 эт.,2-к квартира,3 600 000  ₽, 47.4 м²
р-н Свердловский, 5/5 эт.,1-к квартира,1 980 000  ₽, 30.5 м²
р-н Мотовилихинский, 2/5 эт.,2-к квартира,2 650 000  ₽, 43.8 м²
р-н Мотовилихинский, 7/9 эт.,2-к квартира,2 600 000  ₽, 45.2 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 450 000  ₽, 44 м²
р-н Свердловский, 5/9 эт.,3-к квартира,2 760 000  ₽, 54 м²
р-н Индустриальный, 5/5 эт.,1-к квартира,2 100 000  ₽, 34.6 м²
р-н Кировский, 1/4 эт.,1-к квартира,2 800 000  ₽, 48 м²
р-н Мотовилихинский, 2/9 эт.,2-к квартира,3 500 000  ₽, 53 м²
р-н Дзержинский, 12/25 эт.,Квартира-студия,2 550 000  ₽, 25.7 м²
р-н Свердловский, 1/2 эт.,3-к квартира,1 890 000  ₽, 76.8 м²
р-н Дзержинский, 15/16 эт.,3-к квартира,3 900 000  ₽, 74 м²
р-н Свердловский, 2/9 эт.,3-к квартира,3 300 000  ₽, 57 м²
р-н Дзержинский, 2/10 эт.,2-к квартира,3 850 000  ₽, 54 м²
р-н Орджоникидзевский, 1/2 эт.,2-к квартира,1 250 000  ₽, 51.7 м²
р-н Дзержинский, 4/10 эт.,2-к квартира,3 900 000  ₽, 57.3 м²
р-н Дзержинский, 4/9 эт.,1-к квартира,2 590 000  ₽, 35 м²
р-н Индустриальный, 11/19 эт.,2-к квартира,3 600 000  ₽, 47.4 м²
р-н Свердловский, 5/5 эт.,1-к квартира,1 980 000  ₽, 30.5 м²
р-н Мотовилихинский, 2/5 эт.,2-к квартира,2 650 000  ₽, 43.8 м²
р-н Мотовилихинский, 7/9 эт.,2-к квартира,2 600 000  ₽, 45.2 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 450 000  ₽, 44 м²
р-н Свердловский, 5/9 эт.,3-к квартира,2 760 000  ₽, 54 м²
р-н Дзержинский, 16/25 эт.,2-к квартира,5 300 000  ₽, 74.7 м²
р-н Индустриальный, 5/5 эт.,1-к квартира,2 100 000  ₽, 34.6 м²
р-н Кировский, 1/4 эт.,1-к квартира,2 800 000  ₽, 48 м²
р-н Мотовилихинский, 2/9 эт.,2-к квартира,3 500 000  ₽, 53 м²
р-н Дзержинский, 12/25 эт.,Квартира-студия,2 550 000  ₽, 25.7 м²
р-н Кировский, 8/9 эт.,3-к квартира,3 900 000  ₽, 69.5 м²
р-н Свердловский, 2/5 эт.,3-к квартира,2 850 000  ₽, 60.2 м²
р-н Свердловский, 7/14 эт.,3-к квартира,3 100 000  ₽, 56.4 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 850 000  ₽, 43 м²
р-н Дзержинский, 2/25 эт.,1-к квартира,2 673 300  ₽, 40 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,1 350 000  ₽, 30 м²
р-н Дзержинский, 2/10 эт.,1-к квартира,2 150 000  ₽, 31 м²
р-н Кировский, 2/4 эт.,Квартира-студия,1 500 000  ₽, 27 м²
р-н Ленинский, 2/11 эт.,4-к квартира,6 725 100  ₽, 124.1 м²
р-н Мотовилихинский, 7/17 эт.,3-к квартира,13 000 000  ₽, 141.1 м²
р-н Свердловский, 3/5 эт.,2-к квартира,2 700 000  ₽, 42.3 м²
р-н Кировский, 2/16 эт.,2-к квартира,3 800 000  ₽, 62 м²
р-н Мотовилихинский, 9/10 эт.,1-к квартира,2 200 000  ₽, 35 м²
р-н Индустриальный, 4/10 эт.,2-к квартира,4 300 000  ₽, 53 м²
р-н Свердловский, 15/20 эт.,3-к квартира,6 500 000  ₽, 93 м²
р-н Индустриальный, 4/5 эт.,2-к квартира,2 580 000  ₽, 44 м²
р-н Кировский, 2/9 эт.,1-к квартира,1 980 000  ₽, 34.3 м²
р-н Индустриальный, 1/5 эт.,2-к квартира,2 300 000  ₽, 43.3 м²
р-н Кировский, 1/5 эт.,1-к квартира,1 650 000  ₽, 31 м²
р-н Мотовилихинский, 7/16 эт.,1-к квартира,2 250 000  ₽, 41.8 м²
р-н Кировский, 4/5 эт.,3-к квартира,5 500 000  ₽, 110 м²
р-н Дзержинский, 5/23 эт.,2-к квартира,4 170 000  ₽, 55.8 м²
р-н Ленинский, 5/5 эт.,1-к квартира,2 400 000  ₽, 31 м²
р-н Дзержинский, 3/17 эт.,3-к квартира,6 308 100  ₽, 74.7 м²
р-н Мотовилихинский, 3/5 эт.,1-к квартира,2 100 000  ₽, 42 м²
р-н Индустриальный, 1/9 эт.,2-к квартира,3 000 000  ₽, 52 м²
р-н Ленинский, 15/16 эт.,2-к квартира,3 750 000  ₽, 55 м²
р-н Дзержинский, 13/17 эт.,3-к квартира,5 399 000  ₽, 72 м²
р-н Индустриальный, 5/5 эт.,4-к квартира,2 890 000  ₽, 61 м²
р-н Дзержинский, 9/24 эт.,2-к квартира,2 859 120  ₽, 42 м²
р-н Дзержинский, 4/14 эт.,2-к квартира,4 200 000  ₽, 60 м²
р-н Индустриальный, 4/5 эт.,2-к квартира,2 750 000  ₽, 44.9 м²
р-н Индустриальный, 2/22 эт.,Квартира-студия,2 420 000  ₽, 30 м²
р-н Кировский, 1/9 эт.,1-к квартира,2 100 000  ₽, 39 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 950 000  ₽, 48 м²
р-н Ленинский, 6/7 эт.,5-к квартира,16 000 000  ₽, 140 м²
р-н Индустриальный, 9/9 эт.,2-к квартира,3 250 000  ₽, 53 м²
р-н Дзержинский, 5/10 эт.,2-к квартира,3 700 000  ₽, 55.8 м²
р-н Свердловский, 1/5 эт.,2-к квартира,2 500 000  ₽, 44 м²
р-н Индустриальный, 2/5 эт.,1-к квартира,1 950 000  ₽, 30 м²
р-н Свердловский, 16/25 эт.,2-к квартира,4 250 000  ₽, 51 м²
р-н Орджоникидзевский, 3/5 эт.,1-к квартира,1 480 000  ₽, 30 м²
р-н Свердловский, 1/9 эт.,3-к квартира,2 650 000  ₽, 57.1 м²
р-н Индустриальный, 18/20 эт.,1-к квартира,2 942 675  ₽, 38 м²
р-н Орджоникидзевский, 5/5 эт.,1-к квартира,1 800 000  ₽, 30 м²
р-н Мотовилихинский, 25/25 эт.,3-к квартира,4 800 000  ₽, 88.9 м²
р-н Индустриальный, 3/17 эт.,3-к квартира,5 970 000  ₽, 72 м²
р-н Мотовилихинский, 1/9 эт.,1-к квартира,1 899 000  ₽, 34.6 м²
р-н Дзержинский, 7/9 эт.,3-к квартира,4 200 000  ₽, 63.2 м²
р-н Дзержинский, 2/5 эт.,2-к квартира,2 570 000  ₽, 44 м²
р-н Свердловский, 13/14 эт.,3-к квартира,4 170 000  ₽, 65.7 м²
р-н Дзержинский, 7/16 эт.,4-к квартира,6 000 000  ₽, 116 м²
р-н Индустриальный, 16/16 эт.,3-к квартира,6 000 000  ₽, 84 м²
р-н Мотовилихинский, 5/9 эт.,1-к квартира,2 850 000  ₽, 38.4 м²
р-н Индустриальный, 9/9 эт.,3-к квартира,3 350 000  ₽, 63 м²
р-н Свердловский, 13/16 эт.,2-к квартира,9 500 000  ₽, 118 м²
р-н Свердловский, 2/5 эт.,1-к квартира,2 000 000  ₽, 30 м²
р-н Мотовилихинский, 9/10 эт.,4-к квартира,3 200 000  ₽, 87 м²
р-н Орджоникидзевский, 9/17 эт.,2-к квартира,2 580 000  ₽, 59.7 м²
р-н Кировский, 10/10 эт.,3-к квартира,3 900 000  ₽, 67 м²
р-н Орджоникидзевский, 14/17 эт.,3-к квартира,4 500 000  ₽, 86.3 м²
р-н Свердловский, 3/5 эт.,2-к квартира,2 700 000  ₽, 44 м²
р-н Индустриальный, 5/5 эт.,2-к квартира,3 050 000  ₽, 42 м²
р-н Свердловский, 2/5 эт.,2-к квартира,2 300 000  ₽, 45 м²
р-н Свердловский, 9/9 эт.,2-к квартира,2 840 000  ₽, 45 м²
р-н Дзержинский, 24/25 эт.,Квартира-студия,2 900 000  ₽, 37.7 м²
р-н Свердловский, 3/9 эт.,1-к квартира,950 000  ₽, 16 м²
р-н Свердловский, 8/9 эт.,1-к квартира,2 100 000  ₽, 35.1 м²
р-н Индустриальный, 5/5 эт.,2-к квартира,2 200 000  ₽, 42.7 м²
р-н Кировский, 3/5 эт.,1-к квартира,900 000  ₽, 24 м²
р-н Кировский, 2/16 эт.,2-к квартира,3 350 000  ₽, 64 м²
р-н Ленинский, 2/4 эт.,2-к квартира,3 200 000  ₽, 60.6 м²
р-н Мотовилихинский, 5/9 эт.,1-к квартира,2 200 000  ₽, 33 м²
р-н Индустриальный, 7/11 эт.,3-к квартира,5 950 000  ₽, 111 м²
р-н Мотовилихинский, 8/9 эт.,2-к квартира,2 850 000  ₽, 56.5 м²
р-н Кировский, 2/9 эт.,1-к квартира,2 100 000  ₽, 38.8 м²
р-н Свердловский, 4/9 эт.,1-к квартира,2 000 000  ₽, 38 м²
р-н Орджоникидзевский, 4/9 эт.,2-к квартира,2 350 000  ₽, 45 м²
р-н Свердловский, 6/14 эт.,2-к квартира,2 850 000  ₽, 59.9 м²
р-н Дзержинский, 3/5 эт.,1-к квартира,2 250 000  ₽, 31 м²
р-н Мотовилихинский, 10/10 эт.,3-к квартира,3 700 000  ₽, 68 м²
р-н Мотовилихинский, 11/12 эт.,4-к квартира,5 680 000  ₽, 80 м²
р-н Дзержинский, 24/25 эт.,Квартира-студия,2 900 000  ₽, 37.7 м²
р-н Свердловский, 3/9 эт.,1-к квартира,950 000  ₽, 16 м²
р-н Свердловский, 8/9 эт.,1-к квартира,2 100 000  ₽, 35.1 м²
р-н Индустриальный, 5/5 эт.,2-к квартира,2 200 000  ₽, 42.7 м²
р-н Кировский, 3/5 эт.,1-к квартира,900 000  ₽, 24 м²
р-н Кировский, 2/16 эт.,2-к квартира,3 350 000  ₽, 64 м²
р-н Ленинский, 2/4 эт.,2-к квартира,3 200 000  ₽, 60.6 м²
р-н Кировский, 10/25 эт.,Квартира-студия,1 500 000  ₽, 22 м²
р-н Мотовилихинский, 5/9 эт.,1-к квартира,2 200 000  ₽, 33 м²
р-н Индустриальный, 7/11 эт.,3-к квартира,5 950 000  ₽, 111 м²
р-н Мотовилихинский, 8/9 эт.,2-к квартира,2 850 000  ₽, 56.5 м²
р-н Кировский, 2/9 эт.,1-к квартира,2 100 000  ₽, 38.8 м²
р-н Свердловский, 4/9 эт.,1-к квартира,2 000 000  ₽, 38 м²
р-н Орджоникидзевский, 4/9 эт.,2-к квартира,2 350 000  ₽, 45 м²
р-н Свердловский, 6/14 эт.,2-к квартира,2 850 000  ₽, 59.9 м²
р-н Дзержинский, 3/5 эт.,1-к квартира,2 250 000  ₽, 31 м²
р-н Мотовилихинский, 10/10 эт.,3-к квартира,3 700 000  ₽, 68 м²
р-н Мотовилихинский, 11/12 эт.,4-к квартира,5 680 000  ₽, 80 м²
р-н Индустриальный, 4/10 эт.,2-к квартира,4 450 000  ₽, 56.5 м²
р-н Индустриальный, 2/5 эт.,3-к квартира,2 850 000  ₽, 56.3 м²
р-н Индустриальный, 4/15 эт.,3-к квартира,4 880 000  ₽, 87 м²
р-н Дзержинский, 3/6 эт.,4-к квартира,9 225 000  ₽, 147.6 м²
р-н Свердловский, 2/5 эт.,3-к квартира,2 750 000  ₽, 67 м²
р-н Свердловский, 7/10 эт.,3-к квартира,4 300 000  ₽, 59 м²
р-н Мотовилихинский, 6/9 эт.,2-к квартира,2 400 000  ₽, 45 м²
р-н Дзержинский, 1/5 эт.,3-к квартира,2 880 000  ₽, 62 м²
р-н Дзержинский, 4/5 эт.,2-к квартира,2 150 000  ₽, 41.1 м²
р-н Дзержинский, 11/16 эт.,2-к квартира,4 950 000  ₽, 64.8 м²
р-н Свердловский, 3/23 эт.,2-к квартира,3 860 000  ₽, 47.7 м²
р-н Ленинский, 5/5 эт.,2-к квартира,2 600 000  ₽, 45 м²
р-н Дзержинский, 8/16 эт.,2-к квартира,3 545 770  ₽, 65 м²
р-н Свердловский, 1/10 эт.,1-к квартира,2 720 000  ₽, 33.9 м²
