"OlympiadType","Status","TeamSize","Subject","Year_end","Class","ShortName","Year_begin"
"Всероссийская олимпиада","призёр",4,"Литература",2018,11,"ГБОУ школа № 641 имени С. Есенина",2017
"Всероссийская олимпиада","призёр",4,"Математика",2014,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013
"Московская олимпиада","призёр",4,"Химия",2016,9,"ГАОУ ВО МИОО. СОШ № 179",2015
"Районная олимпиада","призёр",4,"Экономика",2020,11,"ГБОУ школа № 1507",2019
"Районная олимпиада","призёр",4,"Право",2019,8,"ОАНО «Школа «ЛЕТОВО»",2018
"Всероссийская олимпиада","призёр",4,"Литература",2016,11,"ГБОУ школа № 853",2015
"Всероссийская олимпиада","призёр",5,"История",2019,11,"ГБОУ школа № 1371 «Крылатское»",2018
"Всероссийская олимпиада","победитель",4,"Литература",2017,9,"ГБОУ гимназия № 1514",2016
"Всероссийская олимпиада","призёр",4,"Математика",2014,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013
"Всероссийская олимпиада","призёр",3,"Физическая культура",2019,10,"ГБОУ школа № 2045",2018
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2019,10,"ГБОУ школа № 14",2018
"Московская олимпиада","призёр",5,"Информатика",2017,9,"ГБОУ школа № 2086",2016
"Московская олимпиада","призёр",3,"Математика",2018,7,"ГБОУ школа № 1576",2017
"Всероссийская олимпиада","победитель",4,"Обществознание",2020,8,"ГБОУ школа № 2031",2019
"Всероссийская олимпиада","призёр",4,"Экология",2016,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015
"Всероссийская олимпиада","призёр",4,"Экономика",2020,10,"ГБОУ школа № 218",2019
"Районная олимпиада","призёр",5,"Биология",2020,9,"ГБОУ школа № 1450 «Олимп»",2019
"Всероссийская олимпиада","призёр",4,"Русский язык",2018,11,"ГБОУ школа № 2123 им. М. Эрнандеса",2017
"Всероссийская олимпиада","призёр",4,"География",2014,11,"ГБОУ Пушкинский лицей № 1500",2013
"Районная олимпиада","призёр",4,"Экономика",2018,9,"ГБОУ школа № 1547",2017
"Московская олимпиада","призёр",3,"Экология",2019,8,"ГБОУ школа № 1552",2018
"Всероссийская олимпиада","призёр",3,"Обществознание",2018,10,"ГБОУ школа № 1247",2017
"Всероссийская олимпиада","победитель",3,"География",2017,10,"ГБОУ гимназия № 1576",2016
"Московская олимпиада","призёр",4,"Физика",2018,9,"ГБОУ школа им. Н.М. Карамзина",2017
"Московская олимпиада","победитель",5,"Изобразительное искусство",2019,8,"ГБОУ школа № 1955",2018
"Всероссийская олимпиада","призёр",4,"Биология",2018,9,"ГБОУ школа № 1535",2017
"Районная олимпиада","призёр",4,"История",2015,10,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014
"Всероссийская олимпиада","победитель",3,"Экономика",2016,11,"ГБОУ школа № 1317",2015
"Московская олимпиада","призёр",4,"Изобразительное искусство",2015,7,"ГБОУ школа № 896",2014
"Московская олимпиада","победитель",3,"История",2015,10,"ГБОУ «Школа-интернат «Интеллектуал»",2014
"Всероссийская олимпиада","призёр",4,"Экология",2016,11,"ГБОУ гимназия № 1516",2015
"Московская олимпиада","призёр",5,"Математика",2015,6,"ГБОУ лицей № 1547",2014
"Московская олимпиада","призёр",5,"Математика",2014,7,"ГБОУ СОШ № 315",2013
"Районная олимпиада","призёр",4,"Обществознание",2019,10,"ГБОУ школа № 1257",2018
"Всероссийская олимпиада","призёр",4,"Литература",2019,11,"ГБОУ школа № 218",2018
"Московская олимпиада","призёр",5,"Химия",2018,11,"ГБОУ школа № 1297",2017
"Московская олимпиада","победитель",5,"Экономика",2013,11,"ГБОУ гимназия № 1567",2012
"Всероссийская олимпиада","призёр",4,"Химия",2018,11,"ГБОУ школа № 1574",2017
"Всероссийская олимпиада","призёр",4,"Право",2018,11,"ГБОУ «Московская международная школа»",2017
"Московская олимпиада","призёр",4,"филология",2019,8,"ГБОУ школа № 2089",2018
"Всероссийская олимпиада","призёр",4,"Русский язык",2020,11,"ГБОУ школа № 49",2019
"Московская олимпиада","призёр",4,"Обществознание",2014,11,"ГБОУ лицей № 1535",2013
"Всероссийская олимпиада","призёр",3,"Информатика",2019,11,"ГБОУ школа № 179",2018
"Московская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2019,7,"ГБОУ школа № 1506",2018
"Московская олимпиада","призёр",3,"Математика",2017,11,"ГБОУ школа № 57",2016
"Московская олимпиада","призёр",5,"Экономика",2015,10,"ГБОУ школа № 1474",2014
"Районная олимпиада","призёр",5,"Русский язык",2020,9,"ГБОУ школа в Капотне",2019
"Всероссийская олимпиада","призёр",4,"Физика",2019,9,"ГБОУ школа № 179",2018
"Московская олимпиада","призёр",4,"Технология",2015,6,"ГБОУ лицей № 1568",2014
"Московская олимпиада","призёр",5,"Биология",2016,7,"ГБОУ школа № 1375",2015
"Районная олимпиада","призёр",4,"Физическая культура",2020,10,"ГБОУ школа № 1420",2019
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2020,11,"ГБОУ школа № 1474",2019
"Всероссийская олимпиада","призёр",5,"Математика",2016,10,"ГБОУ школа № 57",2015
"Московская олимпиада","призёр",3,"Технология",2017,10,"ГБОУ школа № 1492",2016
"Всероссийская олимпиада","призёр",5,"Литература",2020,9,"ГБОУ школа № 1793",2019
"Всероссийская олимпиада","призёр",4,"История",2019,11,"ГБОУ школа № 1498",2018
"Районная олимпиада","призёр",5,"Иностранный язык (английский язык)",2013,10,"ГБОУ СОШ № 1223",2012
"Московская олимпиада","призёр",5,"Математика",2017,10,"ГАОУ ВПО МИОО. СОШ № 179",2016
"Всероссийская олимпиада","призёр",5,"Русский язык",2015,10,"ГБОУ СОШ № 1199 «Лига Школ»",2014
"Всероссийская олимпиада","призёр",4,"Право",2018,10,"ГБОУ школа № 1474",2017
"Всероссийская олимпиада","призёр",3,"Биология",2018,9,"ГБОУ школа № 1329",2017
"Московская олимпиада","призёр",4,"Экология",2019,6,"ГАОУ школа № 548",2018
"Московская олимпиада","призёр",3,"Математика",2015,11,"ГБОУ СОШ № 2086",2014
"Всероссийская олимпиада","призёр",4,"Иностранный язык (французский язык)",2014,11,"ГБОУ СОШ № 1251 имени генерала Шарля де Голля",2013
"Всероссийская олимпиада","призёр",5,"Литература",2019,11,"ГБОУ «Московская международная школа»",2018
"Всероссийская олимпиада","победитель",4,"Русский язык",2015,10,"ГБОУ гимназия № 1573",2014
"Всероссийская олимпиада","призёр",5,"Иностранный язык (французский язык)",2015,11,"ГБОУ гимназия № 1532",2014
"Районная олимпиада","победитель",3,"География",2018,9,"ГБОУ школа «Кузьминки»",2017
"Районная олимпиада","призёр",5,"Русский язык",2020,10,"ГБОУ школа № 1573",2019
"Московская олимпиада","призёр",3,"филология",2013,11,"ГБОУ ЦО № 1601",2012
"Всероссийская олимпиада","победитель",4,"Иностранный язык (немецкий язык)",2019,11,"ГБОУ школа № 1454 «Тимирязевская»",2018
"Московская олимпиада","победитель",5,"Изобразительное искусство",2015,7,"ГБОУ ЦРР - детский сад № 1277",2014
"Московская олимпиада","призёр",5,"Изобразительное искусство",2018,6,"ГБОУ школа № 1955",2017
"Районная олимпиада","призёр",4,"Основы безопасности жизнедеятельности",2020,8,"ГБОУ школа № 2026",2019
"Всероссийская олимпиада","призёр",4,"Обществознание",2018,10,"ГБОУ школа им. Н.М. Карамзина",2017
"Всероссийская олимпиада","призёр",3,"Физическая культура",2016,9,"ГБОУ школа № 2127",2015
"Московская олимпиада","призёр",3,"Бюджетная грамотность",2019,8,"ГБОУ школа № 1210",2018
"Всероссийская олимпиада","призёр",4,"Русский язык",2019,10,"ГБОУ школа № 1575",2018
"Всероссийская олимпиада","призёр",4,"Экология",2019,9,"ГБОУ школа № 185",2018
"Всероссийская олимпиада","победитель",4,"История",2016,10,"ГБОУ школа № 2070",2015
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2019,10,"ГБОУ школа № 2036",2018
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2019,11,"ГБОУ школа № 117",2018
"Всероссийская олимпиада","призёр",5,"Литература",2015,11,"ГБОУ гимназия № 1811 «Восточное Измайлово»",2014
"Всероссийская олимпиада","призёр",3,"Обществознание",2017,9,"ГБОУ школа № 1200",2016
"Московская олимпиада","призёр",4,"Химия",2017,9,"ГБОУ гимназия № 1583",2016
"Московская олимпиада","призёр",4,"Информатика",2016,9,"ГБОУ Физматшкола № 2007",2015
"Московская олимпиада","призёр",4,"Изобразительное искусство",2014,10,"ГБОУ Физматшкола 2007",2013
"Московская олимпиада","призёр",5,"География",2016,8,"ГБОУ гимназия № 1562",2015
"Всероссийская олимпиада","призёр",4,"Русский язык",2018,9,"ГБОУ школа № 1547",2017
"Всероссийская олимпиада","призёр",4,"Право",2017,9,"ГБОУ школа № 1206",2016
"Всероссийская олимпиада","призёр",3,"Иностранный язык (испанский язык)",2019,11,"ГБОУ школа № 1558 имени Росалии де Кастро",2018
"Московская олимпиада","призёр",3,"астрономия",2015,5,"ГБОУ школа № 64",2014
"Районная олимпиада","призёр",5,"Иностранный язык (английский язык)",2019,10,"ГБОУ школа № 1286",2018
"Московская олимпиада","призёр",4,"Информатика",2019,5,"ГБОУ школа № 2007 ФМШ",2018
"Районная олимпиада","призёр",4,"Искусство (МХК)",2018,11,"ГБОУ школа № 1205",2017
"Всероссийская олимпиада","победитель",5,"Математика",2017,11,"ГБОУ лицей «Вторая школа»",2016
"Московская олимпиада","призёр",4,"Изобразительное искусство",2015,10,"ГБОУ СОШ № 1955",2014
"Всероссийская олимпиада","победитель",4,"Технология",2016,9,"ГБОУ «Школа № 354 им. Д.М. Карбышева»",2015
"Московская олимпиада","призёр",5,"Робототехника",2019,6,"ГБОУ школа № 2006",2018
"Всероссийская олимпиада","призёр",5,"Физическая культура",2019,10,"ГБОУ школа № 887",2018
"Всероссийская олимпиада","призёр",3,"История",2017,10,"ГБОУ школа № 1293",2016
"Районная олимпиада","призёр",4,"Мировая Художественная Культура (МХК)",2017,10,"ГБОУ гимназия № 1637",2016
"Московская олимпиада","призёр",5,"География",2017,7,"ГБОУ школа № 2109",2016
"Московская олимпиада","победитель",5,"Математика",2016,7,"ГБОУ Физматшкола № 2007",2015
"Всероссийская олимпиада","призёр",4,"Русский язык",2020,9,"ГБОУ школа № 1514",2019
"Всероссийская олимпиада","призёр",5,"Литература",2019,10,"ГБОУ школа № 924",2018
"Московская олимпиада","призёр",5,"Математика",2018,9,"ГБОУ школа № 179",2017
"Московская олимпиада","победитель",5,"Химия",2019,10,"СУНЦ МГУ",2018
"Всероссийская олимпиада","призёр",3,"Иностранный язык (немецкий язык)",2016,11,"ГБОУ школа № 1222",2015
"Московская олимпиада","призёр",5,"Информатика",2014,9,"ГАОУ ВО МИОО. СОШ № 179",2013
"Всероссийская олимпиада","призёр",4,"География",2020,10,"ГБОУ школа № 1502",2019
"Московская олимпиада","призёр",4,"Химия",2016,8,"ГБОУ школа № 218",2015
"Московская олимпиада","призёр",4,"Изобразительное искусство",2013,7,"ГБОУ СОШ № 2003",2012
"Всероссийская олимпиада","призёр",4,"Биология",2013,11,"ГБОУ ЦО № 204",2012
"Московская олимпиада","призёр",5,"филология",2016,5,"ГБОУ лицей № 1525 «Красносельский»",2015
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2020,11,"ГБОУ школа № 2036",2019
"Всероссийская олимпиада","призёр",5,"Биология",2020,11,"ГБОУ школа № 1253",2019
"Московская олимпиада","призёр",3,"Математика",2016,6,"ГБОУ школа № 734",2015
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2013,9,"ГБОУ лицей № 1535",2012
"Московская олимпиада","призёр",3,"История",2019,9,"ГБОУ школа № 1535",2018
"Всероссийская олимпиада","призёр",3,"Литература",2015,11,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014
"Всероссийская олимпиада","победитель",5,"астрономия",2019,10,"ГБОУ «Лицей «Вторая школа»",2018
"Районная олимпиада","призёр",4,"История",2019,11,"ГБОУ школа № 1353",2018
"Всероссийская олимпиада","призёр",4,"Математика",2015,11,"ГБОУ лицей «Вторая школа»",2014
"Московская олимпиада","призёр",3,"Технология",2018,7,"ГБОУ школа № 657",2017
"Московская олимпиада","призёр",3,"Химия",2016,8,"ГБОУ школа № 1370",2015
"Всероссийская олимпиада","призёр",5,"Обществознание",2013,11,"ГБОУ школа № 1284",2012
"Всероссийская олимпиада","призёр",3,"Экономика",2019,10,"ГБОУ школа № 1507",2018
"Всероссийская олимпиада","призёр",5,"История",2015,11,"ГБОУ гимназия № 1582",2014
"Районная олимпиада","призёр",5,"Физическая культура",2020,9,"ГБОУ школа «Марьино»",2019
"Всероссийская олимпиада","победитель",4,"астрономия",2015,10,"ГАОУ ВО МИОО. СОШ № 179",2014
"Всероссийская олимпиада","призёр",4,"Экономика",2015,10,"ГБОУ гимназия № 1518",2014
"Всероссийская олимпиада","призёр",4,"История",2018,9,"ГБОУ школа № 1293",2017
"Всероссийская олимпиада","призёр",3,"Обществознание",2019,10,"ГБОУ школа № 1955",2018
"Всероссийская олимпиада","победитель",4,"Химия",2020,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019
"Всероссийская олимпиада","победитель",4,"Русский язык",2015,11,"ГБОУ СОШ № 2091",2014
"Всероссийская олимпиада","призёр",3,"География",2016,10,"ГБОУ школа № 939",2015
"Всероссийская олимпиада","призёр",5,"Литература",2015,11,"ГБОУ СОШ № 1249",2014
"Московская олимпиада","призёр",4,"Экономика",2014,4,"ГБОУ ЦО № 656 им. А.С. Макаренко",2013
"Всероссийская олимпиада","призёр",5,"Литература",2019,9,"ГБОУ школа № 1270",2018
"Всероссийская олимпиада","призёр",4,"Химия",2017,9,"ГБОУ «Школа на Яузе»",2016
"Всероссийская олимпиада","призёр",3,"Право",2015,10,"ГБОУ лицей № 1574",2014
"Районная олимпиада","призёр",4,"Иностранный язык (английский язык)",2017,11,"ГБОУ гимназия № 1520 им. Капцовых",2016
"Районная олимпиада","призёр",4,"Иностранный язык (английский язык)",2016,11,"ГБОУ школа № 1973",2015
"Всероссийская олимпиада","призёр",5,"Биология",2015,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014
"Районная олимпиада","победитель",4,"Информатика",2020,11,"ГБОУ школа № 179",2019
"Районная олимпиада","призёр",5,"Литература",2018,11,"ГБОУ школа № 654 имени А.Д. Фридмана",2017
"Всероссийская олимпиада","призёр",4,"Мировая Художественная Культура (МХК)",2019,10,"ГБОУ школа № 1517",2018
"Московская олимпиада","призёр",4,"Биология",2014,8,"ГБОУ гимназия № 1505",2013
"Московская олимпиада","победитель",4,"Технология",2019,7,"ГБОУ школа № 1454 «Тимирязевская»",2018
"Московская олимпиада","призёр",5,"филология",2015,11,"ГБОУ гимназия № 1512",2014
"Всероссийская олимпиада","призёр",3,"География",2014,11,"ГБОУ СОШ № 815",2013
"Московская олимпиада","призёр",4,"Информатика",2015,9,"ГБОУ школа № 1360",2014
"Московская олимпиада","призёр",5,"Математика",2017,9,"ГБОУ школа «Интеллектуал»",2016
"Всероссийская олимпиада","призёр",3,"Право",2017,10,"ГБОУ школа № 1329",2016
"Районная олимпиада","победитель",3,"Обществознание",2017,10,"ГБОУ гимназия № 45",2016
"Всероссийская олимпиада","призёр",3,"Право",2018,10,"ГБОУ школа № 1591",2017
"Московская олимпиада","призёр",4,"филология",2019,9,"ГБОУ Инженерно-техническая школа",2018
"Районная олимпиада","призёр",5,"Физика",2018,10,"ГБОУ школа № 1329",2017
"Всероссийская олимпиада","призёр",4,"Физика",2020,11,"ГБОУ школа «Интеллектуал»",2019
"Всероссийская олимпиада","призёр",4,"Литература",2019,9,"ГБОУ школа № 1514",2018
"Всероссийская олимпиада","призёр",5,"Химия",2020,11,"ГБОУ школа № 1589",2019
"Московская олимпиада","призёр",4,"Изобразительное искусство",2014,7,"ГБОУ СОШ № 1370",2013
"Районная олимпиада","призёр",5,"Физическая культура",2015,10,"ГБОУ СОШ № 1065",2014
"Московская олимпиада","победитель",4,"Право",2019,8,"ГБОУ школа № 1273",2018
"Всероссийская олимпиада","призёр",4,"Право",2019,11,"ГБОУ школа № 2009",2018
"Районная олимпиада","призёр",4,"Иностранный язык (английский язык)",2016,10,"ФГБОУ ВО МГЛУ",2015
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2016,9,"ГБОУ гимназия № 1519",2015
"Московская олимпиада","призёр",5,"Изобразительное искусство",2018,10,"ГБОУ школа № 1507",2017
"Московская олимпиада","призёр",3,"Технология",2015,7,"ГБОУ гимназия № 1516",2014
"Всероссийская олимпиада","призёр",3,"Химия",2019,11,"ГБОУ школа № 192",2018
"Всероссийская олимпиада","призёр",3,"Мировая Художественная Культура (МХК)",2015,11,"ГБОУ СОШ № 1199 «Лига Школ»",2014
"Московская олимпиада","призёр",4,"Химия",2016,8,"ГБОУ школа № 641 имени С. Есенина",2015
"Районная олимпиада","призёр",4,"История",2018,11,"ГБОУ школа № 1270",2017
"Московская олимпиада","победитель",5,"Физика",2018,8,"ГБОУ лицей «Вторая школа»",2017
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2020,9,"ОАНО «Школа «ЛЕТОВО»",2019
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2020,9,"ГБОУ школа № 1506",2019
"Всероссийская олимпиада","призёр",4,"Химия",2016,10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015
"Всероссийская олимпиада","призёр",4,"астрономия",2019,10,"ГБОУ школа № 179",2018
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2018,9,"ГБОУ школа № 1234",2017
"Всероссийская олимпиада","победитель",3,"Биология",2020,11,"ГБОУ школа № 887",2019
"Московская олимпиада","победитель",5,"Математика",2019,10,"ГБОУ школа № 1543",2018
"Всероссийская олимпиада","победитель",5,"Информатика",2020,10,"ГБОУ «Лицей «Вторая школа»",2019
"Всероссийская олимпиада","призёр",4,"История",2016,10,"ГБОУ Московская гимназия на Юго-Западе № 1543",2015
"Всероссийская олимпиада","призёр",3,"Мировая Художественная Культура (МХК)",2013,10,"ГБОУ СОШ № 1148",2012
"Московская олимпиада","призёр",4,"История",2014,11,"ГБОУ СОШ № 819",2013
"Всероссийская олимпиада","призёр",4,"Биология",2016,10,"ГАОУ ВО МИОО. СОШ № 179",2015
"Всероссийская олимпиада","призёр",3,"Физика",2017,9,"ГБОУ лицей «Вторая школа»",2016
"Всероссийская олимпиада","победитель",5,"Химия",2019,11,"ГБОУ школа № 192",2018
"Всероссийская олимпиада","призёр",4,"Литература",2016,9,"ГБОУ школа № 1285",2015
"Московская олимпиада","победитель",5,"Изобразительное искусство",2014,8,"ГБОУ СОШ № 1188",2013
"Всероссийская олимпиада","призёр",4,"Обществознание",2020,10,"ГБОУ школа № 1517",2019
"Всероссийская олимпиада","призёр",5,"Литература",2015,11,"ГБОУ гимназия № 45",2014
"Всероссийская олимпиада","призёр",3,"Литература",2017,10,"ГБОУ гимназия № 1514",2016
"Всероссийская олимпиада","призёр",4,"Право",2019,10,"ГБОУ школа № 625",2018
"Районная олимпиада","призёр",4,"Основы безопасности жизнедеятельности",2016,9,"ГБОУ школа № 2073",2015
"Московская олимпиада","призёр",3,"Математика",2013,6,"ГБОУ Физматшкола 2007",2012
"Районная олимпиада","призёр",5,"Экология",2013,11,"ГБОУ СОШ № 641 имени С. Есенина",2012
"Московская олимпиада","призёр",3,"Экономика",2016,5,"ГБОУ Физматшкола № 2007",2015
"Московская олимпиада","призёр",4,"Математика",2013,8,"ГБОУ школа № 1101",2012
"Всероссийская олимпиада","призёр",4,"Биология",2019,9,"ГБОУ школа № 1535",2018
"Районная олимпиада","призёр",3,"Физика",2019,9,"ГБОУ школа № 2007 ФМШ",2018
"Районная олимпиада","призёр",3,"Математика",2016,10,"ГБОУ гимназия № 1514",2015
"Всероссийская олимпиада","победитель",4,"Химия",2019,9,"ГБОУ школа № 171",2018
"Всероссийская олимпиада","призёр",5,"Физика",2015,11,"ГБОУ школа № 192",2014
"Районная олимпиада","призёр",4,"Литература",2020,11,"университетская гимназия",2019
"Всероссийская олимпиада","победитель",5,"Математика",2018,9,"ГБОУ лицей «Вторая школа»",2017
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2016,11,"ГБОУ гимназия № 1570",2015
"Всероссийская олимпиада","победитель",5,"Основы безопасности жизнедеятельности",2020,11,"ГБОУ школа № 1449",2019
"Всероссийская олимпиада","призёр",5,"Литература",2020,11,"ГБОУ школа № 1799",2019
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2015,11,"ГБОУ школа № 356 имени Н.З. Коляды",2014
"Всероссийская олимпиада","призёр",5,"Экология",2019,9,"ГБОУ школа № 1259",2018
"Московская олимпиада","победитель",4,"Изобразительное искусство",2017,9,"ГБОУ лицей № 1557",2016
"Всероссийская олимпиада","призёр",4,"Информатика",2016,9,"ГБОУ «Школа-интернат «Интеллектуал»",2015
"Районная олимпиада","победитель",3,"Физическая культура",2018,10,"ГБОУ школа № 1504",2017
"Районная олимпиада","призёр",3,"Химия",2016,11,"ГБОУ Московская гимназия на Юго-Западе № 1543",2015
"Всероссийская олимпиада","призёр",4,"Физика",2017,11,"ГБОУ лицей № 1557",2016
"Районная олимпиада","призёр",3,"История",2015,9,"ГБОУ СОШ № 1208",2014
"Всероссийская олимпиада","призёр",5,"Математика",2020,10,"ГБОУ школа № 2007 ФМШ",2019
"Всероссийская олимпиада","призёр",5,"История",2014,10,"НИУ ВШЭ. лицей",2013
"Московская олимпиада","призёр",5,"Технология",2018,5,"ГБОУ школа № 1569 «Созвездие»",2017
"Районная олимпиада","призёр",3,"Иностранный язык (английский язык)",2020,11,"ГБОУ школа № 1533 «ЛИТ»",2019
"Московская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2019,7,"ГБОУ школа № 236",2018
"Всероссийская олимпиада","призёр",4,"Химия",2019,11,"МБШ «Вита»",2018
"Всероссийская олимпиада","призёр",3,"Биология",2016,11,"ГАОУ ВО МИОО. СОШ № 179",2015
"Московская олимпиада","победитель",4,"География",2015,8,"ГБОУ СОШ № 2098 имени Героя Советского Союза Л.М. Доватора",2014
"Всероссийская олимпиада","призёр",3,"Физика",2016,9,"ГБОУ школа № 1741",2015
"Московская олимпиада","призёр",5,"Изобразительное искусство",2019,7,"ГБОУ школа № 2009",2018
"Московская олимпиада","призёр",5,"География",2015,8,"ГБОУ школа № 1474",2014
"Всероссийская олимпиада","призёр",4,"Математика",2014,11,"ГБОУ Московская гимназия на Юго-Западе № 1543",2013
"Всероссийская олимпиада","призёр",5,"Русский язык",2017,9,"ГБОУ школа № 7",2016
"Районная олимпиада","призёр",3,"Иностранный язык (английский язык)",2017,11,"НИУ ВШЭ. лицей",2016
"Всероссийская олимпиада","призёр",5,"Биология",2019,10,"ФГАОУ ВО Первый МГМУ им И.М. Сеченова Минздрава России (Сеченовский университет)",2018
"Московская олимпиада","победитель",4,"Физика",2019,11,"ГБОУ школа № 179",2018
"Всероссийская олимпиада","призёр",3,"Иностранный язык (английский язык)",2016,10,"ГБОУ школа № 1329",2015
"Всероссийская олимпиада","призёр",4,"Химия",2020,9,"ГБОУ школа имени Маршала В.И. Чуйкова",2019
"Московская олимпиада","призёр",4,"Физика",2016,11,"ГБОУ лицей № 1537",2015
"Московская олимпиада","победитель",5,"Экономика",2016,11,"ГБОУ школа № 218",2015
"Всероссийская олимпиада","призёр",4,"Русский язык",2018,11,"ГБОУ школа на проспекте Вернадского",2017
"Всероссийская олимпиада","призёр",3,"Обществознание",2016,10,"ГБОУ лицей № 1535",2015
"Всероссийская олимпиада","призёр",4,"История",2019,9,"ГБОУ школа № 1563",2018
"Всероссийская олимпиада","призёр",3,"Литература",2017,11,"ГБОУ школа № 806",2016
"Всероссийская олимпиада","призёр",4,"Русский язык",2019,10,"ГБОУ школа № 1356",2018
"Московская олимпиада","победитель",5,"Изобразительное искусство",2015,5,"ГБОУ гимназия № 1583",2014
"Всероссийская олимпиада","призёр",4,"География",2020,11,"ГБОУ школа № 1534 «Академическая»",2019
"Всероссийская олимпиада","призёр",5,"Русский язык",2015,11,"ГБОУ школа № 1253",2014
"Всероссийская олимпиада","победитель",4,"Основы безопасности жизнедеятельности",2020,3,"ГБПОУ ТПСК им. В. М. Максимчука",2019
"Всероссийская олимпиада","призёр",4,"Обществознание",2013,10,"ГБОУ СОШ № 941",2012
"Московская олимпиада","призёр",4,"Математика",2017,10,"ГБОУ школа № 1329",2016
"Всероссийская олимпиада","победитель",3,"Обществознание",2019,11,"ГБОУ школа № 1514",2018
"Всероссийская олимпиада","призёр",3,"История",2016,9,"ГБОУ школа № 1944",2015
"Всероссийская олимпиада","призёр",5,"География",2017,10,"ГБОУ РОЦ № 76",2016
"Всероссийская олимпиада","призёр",3,"Право",2015,10,"ГБОУ СОШ № 1280",2014
"Всероссийская олимпиада","призёр",3,"Биология",2019,9,"ГБОУ школа Перспектива",2018
"Всероссийская олимпиада","призёр",4,"Основы безопасности жизнедеятельности",2018,11,"ГБОУ школа № 1877 «Люблино»",2017
"Всероссийская олимпиада","призёр",5,"Математика",2015,10,"ГБОУ гимназия № 1514",2014
"Всероссийская олимпиада","призёр",4,"Литература",2019,10,"ГБОУ школа № 1352",2018
"Московская олимпиада","призёр",5,"Информатика",2017,8,"ГБОУ Физматшкола № 2007",2016
"Всероссийская олимпиада","призёр",3,"Литература",2015,11,"ГБОУ школа № 1353",2014
"Всероссийская олимпиада","призёр",3,"Биология",2017,10,"ГБОУ школа № 315",2016
"Всероссийская олимпиада","призёр",5,"Физика",2018,9,"ГБОУ школа № 1329",2017
"Всероссийская олимпиада","призёр",3,"Физика",2014,11,"ГБОУ лицей № 1547",2013
"Всероссийская олимпиада","призёр",3,"Искусство (МХК)",2018,9,"ГБОУ школа № 1547",2017
"Московская олимпиада","победитель",4,"Изобразительное искусство",2018,10,"ГБПОУ «1-й МОК»",2017
"Московская олимпиада","призёр",5,"Физика",2015,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014
"Московская олимпиада","призёр",5,"Математика",2016,9,"ГБОУ гимназия № 1514",2015
"Московская олимпиада","призёр",5,"Изобразительное искусство",2014,5,"ГБОУ СОШ № 799",2013
"Всероссийская олимпиада","призёр",3,"Химия",2016,11,"ГБОУ ЛГК на Юго-Востоке",2015
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2017,11,"ГБОУ школа № 2129",2016
"Районная олимпиада","призёр",4,"Экономика",2019,10,"ГБОУ школа № 57",2018
"Районная олимпиада","победитель",4,"Биология",2019,11,"ГБОУ школа № 218",2018
"Московская олимпиада","призёр",5,"Математика",2018,11,"ГБОУ школа № 179",2017
"Всероссийская олимпиада","призёр",4,"Обществознание",2020,11,"ГБОУ Шуваловская школа № 1448",2019
"Всероссийская олимпиада","призёр",5,"Иностранный язык (английский язык)",2019,10,"школа «Наследник»",2018
"Московская олимпиада","призёр",5,"Робототехника",2017,7,"ГБОУ лицей № 1537",2016
"Всероссийская олимпиада","призёр",3,"Физическая культура",2015,9,"ГБОУ СОШ № 892",2014
"Всероссийская олимпиада","призёр",5,"География",2013,11,"ГБОУ Физматшкола 2007",2012
"Московская олимпиада","призёр",5,"филология",2018,8,"ГБОУ школа № 1573",2017
"Всероссийская олимпиада","призёр",5,"Физическая культура",2018,11,"ГБОУ школа № 1384",2017
