"OlympiadType","TeamSize","ShortName","Year_begin","Subject","Year_end","Status","Class"
"Всероссийская олимпиада",3,"ГБОУ школа № 1449",2019,"Основы безопасности жизнедеятельности",2020,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1000",2017,"Технология",2018,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 49",2019,"География",2020,"призёр",11
"Районная олимпиада",5,"ГБОУ школа № 1394",2015,"Право",2016,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1353",2014,"Иностранный язык (английский язык)",2015,"призёр",10
"Районная олимпиада",5,"ГБОУ «Лицей «Вторая школа»",2018,"Математика",2019,"победитель",11
"Московская олимпиада",4,"ГБОУ ЦО № 1637",2013,"Изобразительное искусство",2014,"призёр",4
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1573",2013,"Русский язык",2014,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 57",2019,"Русский язык",2020,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 1996",2016,"Биология",2017,"призёр",8
"Московская олимпиада",4,"ГБОУ школа № 1980",2018,"филология",2019,"призёр",6
"Районная олимпиада",5,"ГБОУ школа № 2033",2018,"Русский язык",2019,"призёр",11
"Районная олимпиада",4,"ГБОУ лицей «Вторая школа»",2017,"Математика",2018,"победитель",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1950",2019,"Иностранный язык (итальянский язык)",2020,"победитель",7
"Московская олимпиада",4,"ГБОУ Физматшкола 2007",2013,"Физика",2014,"победитель",11
"Всероссийская олимпиада",4,"лицей НИУ ВШЭ",2019,"Мировая Художественная Культура (МХК)",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1568",2017,"Физика",2018,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1270",2018,"Русский язык",2019,"призёр",10
"Районная олимпиада",4,"ГБОУ лицей № 1560",2014,"Экономика",2015,"призёр",9
"Всероссийская олимпиада",3,"НИУ ВШЭ. лицей",2014,"Литература",2015,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 57",2018,"астрономия",2019,"победитель",9
"Всероссийская олимпиада",4,"ГБОУ Государственная столичная гимназия",2014,"Мировая Художественная Культура (МХК)",2015,"призёр",9
"Московская олимпиада",4,"ГБОУ ЦО № 656 им. А.С. Макаренко",2013,"Экономика",2014,"призёр",4
"Районная олимпиада",3,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2014,"Право",2015,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ Лингвистический лицей № 1555",2012,"Иностранный язык (английский язык)",2013,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ лицей «Вторая школа»",2015,"Биология",2016,"призёр",11
"Районная олимпиада",3,"ГБОУ лицей «Вторая школа»",2013,"Физика",2014,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 192",2016,"Биология",2017,"призёр",10
"Районная олимпиада",5,"ГБОУ школа № 192",2017,"Химия",2018,"победитель",10
"Всероссийская олимпиада",4,"ГБОУ «Школа-интернат «Интеллектуал»",2015,"Мировая Художественная Культура (МХК)",2016,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1329",2015,"Физика",2016,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 2007 ФМШ",2019,"астрономия",2020,"призёр",8
"Московская олимпиада",4,"ГБОУ гимназия № 1554",2016,"Биология",2017,"призёр",6
"Всероссийская олимпиада",4,"ГБОУ лицей «Вторая школа»",2015,"Физика",2016,"призёр",10
"Всероссийская олимпиада",5,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"История",2018,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1270",2016,"Обществознание",2017,"призёр",10
"Районная олимпиада",4,"ГБОУ лицей «Вторая школа»",2016,"Физика",2017,"призёр",11
"Районная олимпиада",5,"НИУ ВШЭ. лицей",2016,"Обществознание",2017,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1575",2017,"филология",2018,"призёр",6
"Московская олимпиада",3,"ГБОУ Московская гимназия на Юго-Западе № 1543",2015,"Математика",2016,"призёр",6
"Районная олимпиада",5,"МАОУ «Гимназия г. Троицка»",2019,"Мировая Художественная Культура (МХК)",2020,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ СОШ № 315",2013,"Физика",2014,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1514",2012,"История",2013,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1535",2017,"Иностранный язык (английский язык)",2018,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1329",2015,"астрономия",2016,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 498",2015,"Основы безопасности жизнедеятельности",2016,"победитель",9
"Всероссийская олимпиада",5,"ГБОУ лицей № 1537",2015,"Иностранный язык (английский язык)",2016,"призёр",10
"Всероссийская олимпиада",3,"ГАОУ ВО МИОО. СОШ № 179",2015,"Физика",2016,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 2089",2015,"История",2016,"победитель",10
"Районная олимпиада",4,"ГБОУ школа № 1302",2017,"Основы безопасности жизнедеятельности",2018,"победитель",9
"Московская олимпиада",5,"ГБОУ школа № 179",2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)",2018,"призёр",8
"Всероссийская олимпиада",3,"ГБОУ СОШ № 1740",2012,"География",2013,"призёр",9
"Районная олимпиада",5,"ГБОУ школа № 218",2016,"Обществознание",2017,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 293",2016,"Изобразительное искусство",2017,"призёр",7
"Всероссийская олимпиада",3,"ГБОУ школа № 1502",2019,"Литература",2020,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1515",2016,"Химия",2017,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1514",2017,"Литература",2018,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 712",2014,"Изобразительное искусство",2015,"призёр",5
"Районная олимпиада",5,"ГБОУ школа № 1582",2019,"Иностранный язык (английский язык)",2020,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 825",2015,"филология",2016,"призёр",9
"Московская олимпиада",4,"ГАОУ ВО МИОО. СОШ № 179",2015,"Информатика",2016,"призёр",7
"Всероссийская олимпиада",5,"ГБОУ школа № 1514",2017,"География",2018,"победитель",11
"Всероссийская олимпиада",4,"СУНЦ МГУ",2018,"Физика",2019,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 57",2019,"Информатика",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1242",2016,"Физика",2017,"призёр",9
"Всероссийская олимпиада",5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,"Информатика",2015,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1914",2014,"История",2015,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 185",2019,"Экология",2020,"призёр",9
"Районная олимпиада",5,"ГБОУ школа № 1329",2017,"Иностранный язык (немецкий язык)",2018,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 1525",2018,"Литература",2019,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1543",2019,"Физика",2020,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ Шуваловская школа № 1448",2017,"Право",2018,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 2007 ФМШ",2018,"Бюджетная грамотность",2019,"призёр",5
"Всероссийская олимпиада",4,"ГБОУ школа № 91",2015,"Экономика",2016,"призёр",11
"Всероссийская олимпиада",3,"АНО НОО «Наши традиции»",2018,"Иностранный язык (английский язык)",2019,"победитель",10
"Всероссийская олимпиада",5,"ГБОУ лицей № 1557",2016,"Экология",2017,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2015,"Литература",2016,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 444",2019,"Технология",2020,"призёр",10
"Московская олимпиада",3,"ГБОУ «Школа № 597 «Новое Поколение»",2018,"Экология",2019,"призёр",5
"Всероссийская олимпиада",3,"ГБОУ школа № 1535",2018,"Биология",2019,"призёр",10
"Московская олимпиада",3,"ГБОУ гимназия № 1272",2016,"Обществознание",2017,"призёр",8
"Всероссийская олимпиада",3,"ГБОУ ЦО № 218",2013,"Физика",2014,"призёр",9
"Московская олимпиада",4,"ГБОУ школа № 1575",2018,"Экология",2019,"победитель",5
"Московская олимпиада",3,"ГБОУ школа № 2033",2016,"География",2017,"призёр",5
"Районная олимпиада",5,"ГБОУ Физматшкола 2007",2014,"Математика",2015,"призёр",9
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"Информатика",2014,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1253",2018,"Биология",2019,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1568",2018,"Химия",2019,"победитель",10
"Всероссийская олимпиада",5,"ГБОУ школа «Марьино»",2017,"Химия",2018,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа «Интеллектуал»",2018,"Экономика",2019,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1352",2016,"Математика",2017,"призёр",9
"Московская олимпиада",3,"ГБОУ лицей № 1568",2016,"Математика",2017,"призёр",6
"Московская олимпиада",3,"ГБОУ школа № 429",2017,"Изобразительное искусство",2018,"призёр",5
"Всероссийская олимпиада",3,"ГБОУ школа № 887",2019,"Биология",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1497",2013,"Изобразительное искусство",2014,"призёр",4
"Московская олимпиада",4,"ОАНО школа «Ника»",2018,"Физика",2019,"победитель",7
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1567",2016,"Русский язык",2017,"призёр",9
"Московская олимпиада",4,"ГБОУ школа № 2089",2017,"филология",2018,"призёр",5
"Всероссийская олимпиада",3,"ГБОУ школа № 1541",2018,"Иностранный язык (английский язык)",2019,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 171",2017,"Экология",2018,"победитель",11
"Московская олимпиада",5,"ГБОУ школа № 1576",2018,"филология",2019,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа «Покровский квартал»",2018,"Литература",2019,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ гимназия № 45",2016,"Обществознание",2017,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ ЦО № 2006",2012,"Русский язык",2013,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ СОШ № 1298",2012,"Обществознание",2013,"призёр",9
"Московская олимпиада",5,"ГБОУ школа № 1252 имени Сервантеса",2015,"филология",2016,"призёр",7
"Всероссийская олимпиада",5,"ГБОУ школа № 199",2018,"Математика",2019,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ СОШ № 654 имени А.Д. Фридмана",2014,"Биология",2015,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1557",2017,"астрономия",2018,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ Физматшкола 2007",2013,"Физика",2014,"призёр",9
"Московская олимпиада",4,"ГБОУ школа № 814",2018,"География",2019,"призёр",9
"Районная олимпиада",3,"ГБОУ школа № 218",2018,"Иностранный язык (английский язык)",2019,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1329",2015,"астрономия",2016,"призёр",10
"Московская олимпиада",3,"ГБОУ детский сад общеразвивающего вида № 1095",2014,"астрономия",2015,"призёр",5
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1576",2014,"Литература",2015,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 192",2018,"Биология",2019,"победитель",7
"Всероссийская олимпиада",4,"ГБОУ СОШ № 1243",2014,"Иностранный язык (английский язык)",2015,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 57",2019,"Биология",2020,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 171",2014,"Математика",2015,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа имени Маршала В.И. Чуйкова",2017,"Экология",2018,"призёр",9
"Районная олимпиада",3,"ГБОУ школа № 179",2017,"Физика",2018,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1558 имени Росалии де Кастро",2016,"Иностранный язык (испанский язык)",2017,"победитель",11
"Московская олимпиада",4,"ГБОУ школа № 185",2017,"Технология",2018,"победитель",6
"Московская олимпиада",5,"ГБОУ школа № 814",2017,"Технология",2018,"призёр",5
"Всероссийская олимпиада",5,"ГБОУ школа № 444",2018,"Иностранный язык (английский язык)",2019,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1329",2014,"Физика",2015,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ СОШ № 192",2012,"Биология",2013,"призёр",9
"Районная олимпиада",5,"ГБОУ школа № 1553 имени В.И. Вернадского",2018,"Биология",2019,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1290",2016,"Литература",2017,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ лицей «Вторая школа»",2014,"Математика",2015,"призёр",9
"Районная олимпиада",5,"ГБОУ школа № 1551",2019,"Мировая Художественная Культура (МХК)",2020,"призёр",11
"Районная олимпиада",5,"ФГБОУ ВО МГЛУ",2019,"Обществознание",2020,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 853",2014,"Математика",2015,"призёр",7
"Всероссийская олимпиада",3,"ГБОУ ЦО № 117",2014,"Основы безопасности жизнедеятельности",2015,"призёр",10
"Районная олимпиада",5,"ГБОУ школа № 1286",2018,"Иностранный язык (английский язык)",2019,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1363",2015,"Право",2016,"призёр",8
"Всероссийская олимпиада",4,"ГБОУ школа № 1543",2018,"Литература",2019,"призёр",10
"Московская олимпиада",4,"ГБОУ школа № 1252 имени Сервантеса",2012,"Иностранный язык (испанский язык)",2013,"призёр",9
"Районная олимпиада",4,"ГБОУ Петровский кадетский корпус",2016,"Основы безопасности жизнедеятельности",2017,"победитель",10
"Московская олимпиада",3,"ГБОУ гимназия № 1637",2015,"Изобразительное искусство",2016,"победитель",8
"Всероссийская олимпиада",4,"ГБОУ Московская гимназия на Юго-Западе № 1543",2012,"Иностранный язык (английский язык)",2013,"призёр",10
"Районная олимпиада",3,"ГБОУ лицей «Вторая школа»",2015,"Экономика",2016,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1514",2018,"Химия",2019,"победитель",9
"Всероссийская олимпиада",3,"ГБОУ лицей № 1535",2016,"Иностранный язык (английский язык)",2017,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1557",2017,"Физическая культура",2018,"призёр",9
"Районная олимпиада",4,"ГБОУ ЦО № 218",2013,"Обществознание",2014,"победитель",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1151",2017,"Технология",2018,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1454 «Центр образования Тимирязевский»",2013,"История",2014,"победитель",5
"Московская олимпиада",3,"ГБОУ школа № 1288",2017,"Математика",2018,"призёр",6
"Всероссийская олимпиада",4,"ГБОУ школа № 1552",2019,"Литература",2020,"призёр",9
"Московская олимпиада",5,"ГБОУ СОШ № 854",2014,"Изобразительное искусство",2015,"призёр",5
"Всероссийская олимпиада",5,"ГБОУ школа № 1329",2019,"Физика",2020,"победитель",9
"Районная олимпиада",5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019,"Физика",2020,"призёр",10
"Всероссийская олимпиада",3,"ГАОУ ВО МИОО. СОШ № 179",2012,"Информатика",2013,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 2036",2014,"Право",2015,"призёр",10
"Всероссийская олимпиада",5,"лицей НИУ ВШЭ",2018,"Право",2019,"призёр",11
"Всероссийская олимпиада",3,"лицей НИУ ВШЭ",2019,"Обществознание",2020,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ ЦО № 1678 «Восточное Дегунино»",2016,"Литература",2017,"призёр",9
"Всероссийская олимпиада",5,"НИУ ВШЭ. лицей",2014,"Обществознание",2015,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1589",2017,"Физика",2018,"призёр",10
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012,"Математика",2013,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,"Мировая Художественная Культура (МХК)",2015,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 867",2017,"Изобразительное искусство",2018,"победитель",9
"Всероссийская олимпиада",5,"ГБОУ школа № 113",2016,"История",2017,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1257",2019,"Биология",2020,"призёр",10
"Московская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012,"Физика",2013,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1944",2016,"Иностранный язык (английский язык)",2017,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ МКЛ № 1310",2015,"Литература",2016,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ лицей «Вторая школа»",2014,"Математика",2015,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ СОШ № 930",2012,"Технология",2013,"призёр",11
"Районная олимпиада",3,"ФГБОУ ВО МГЛУ",2015,"Мировая Художественная Культура (МХК)",2016,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1223",2016,"Обществознание",2017,"призёр",10
"Московская олимпиада",4,"ГБОУ гимназия № 1409",2013,"Изобразительное искусство",2014,"победитель",4
"Районная олимпиада",5,"ГБОУ гимназия № 1515",2014,"Основы безопасности жизнедеятельности",2015,"призёр",10
"Московская олимпиада",5,"ГБОУ Московская гимназия на Юго-Западе № 1543",2016,"Физика",2017,"призёр",8
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1567",2015,"Биология",2016,"победитель",10
"Всероссийская олимпиада",3,"ГБОУ СОШ № 2086",2014,"Литература",2015,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1252 имени Сервантеса",2016,"Русский язык",2017,"победитель",9
"Всероссийская олимпиада",4,"ГБОУ школа № 57",2016,"Математика",2017,"призёр",9
"Московская олимпиада",5,"ГБОУ СОШ № 1405 «Вдохновение»",2012,"Изобразительное искусство",2013,"призёр",6
"Московская олимпиада",3,"ГБОУ школа № 1547",2018,"Математика",2019,"призёр",8
"Всероссийская олимпиада",5,"ОАНО «Школа «ЛЕТОВО»",2018,"Физика",2019,"победитель",9
"Всероссийская олимпиада",5,"ГБОУ гимназия № 491",2015,"Право",2016,"победитель",11
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"Информатика",2014,"призёр",10
"Московская олимпиада",4,"ГБОУ гимназия № 1534",2016,"Физика",2017,"призёр",8
"Московская олимпиада",4,"ГБОУ лицей «Вторая школа»",2017,"лингвистика",2018,"победитель",8
"Всероссийская олимпиада",5,"НОУ школа «Ника»",2015,"Биология",2016,"призёр",9
"Районная олимпиада",4,"ГБОУ школа № 218",2015,"Право",2016,"победитель",11
"Всероссийская олимпиада",3,"ГБОУ лицей № 1502 при МЭИ",2016,"Литература",2017,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1285",2014,"Право",2015,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ лицей № 1535",2015,"Обществознание",2016,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ школа № 1286",2012,"Русский язык",2013,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 2095",2016,"География",2017,"призёр",11
"Московская олимпиада",4,"ГБОУ школа № 1551",2017,"География",2018,"призёр",6
"Районная олимпиада",5,"ГБОУ гимназия № 1514",2016,"Математика",2017,"победитель",11
"Районная олимпиада",4,"ГБОУ «Школа Глория»",2018,"Математика",2019,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 627",2017,"Изобразительное искусство",2018,"призёр",6
"Московская олимпиада",3,"ГБОУ школа № 1573",2017,"филология",2018,"призёр",11
"Районная олимпиада",3,"ГБОУ школа № 2045",2019,"Физическая культура",2020,"призёр",9
"Московская олимпиада",5,"ГБОУ СОШ № 1188",2013,"Изобразительное искусство",2014,"победитель",9
"Районная олимпиада",3,"ГБОУ школа № 1302",2017,"Обществознание",2018,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 171",2019,"Биология",2020,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1247",2017,"История",2018,"победитель",11
"Московская олимпиада",4,"ГБОУ школа № 1210",2015,"Робототехника",2016,"призёр",6
"Всероссийская олимпиада",5,"ГБОУ школа № 1329",2014,"Математика",2015,"призёр",9
"Московская олимпиада",5,"ГБОУ Физматшкола 2007",2014,"Математика",2015,"призёр",11
"Московская олимпиада",3,"ГБОУ гимназия № 1567",2014,"Математика",2015,"призёр",6
"Всероссийская олимпиада",5,"ГБОУ школа имени Маршала В.И. Чуйкова",2018,"Химия",2019,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1516",2018,"Обществознание",2019,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа-интернат «Интеллектуал»",2012,"Химия",2013,"призёр",9
"Московская олимпиада",3,"ГБОУ детский сад № 2032",2014,"Изобразительное искусство",2015,"победитель",5
"Всероссийская олимпиада",4,"ГБОУ школа № 218",2017,"Химия",2018,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ школа № 1329",2016,"Обществознание",2017,"призёр",10
"Московская олимпиада",5,"ГБОУ школа № 1575",2018,"Химия",2019,"победитель",8
"Всероссийская олимпиада",5,"ГБОУ ЦО № 218",2013,"Обществознание",2014,"призёр",11
"Московская олимпиада",5,"ГБОУ школа № 1474",2018,"Технология",2019,"призёр",9
"Районная олимпиада",3,"лицей НИУ ВШЭ",2019,"Иностранный язык (английский язык)",2020,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ школа № 1253",2018,"Обществознание",2019,"призёр",9
"Районная олимпиада",5,"ГБОУ гимназия № 1540",2016,"Основы безопасности жизнедеятельности",2017,"призёр",11
"Всероссийская олимпиада",5,"НОЧУ «ШКОЛА «МУМИ-ТРОЛЛЬ»",2014,"Биология",2015,"призёр",11
"Районная олимпиада",3,"ГБОУ школа № 625",2019,"Русский язык",2020,"победитель",11
"Районная олимпиада",5,"ГБОУ лицей № 1547",2014,"Экономика",2015,"призёр",10
"Московская олимпиада",3,"ГБОУ школа № 1573",2017,"филология",2018,"призёр",8
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1567",2015,"Литература",2016,"призёр",10
"Московская олимпиада",5,"ГБОУ ЦО № 218",2012,"Математика",2013,"призёр",8
"Московская олимпиада",3,"ГБОУ школа № 1573",2017,"филология",2018,"призёр",9
"Районная олимпиада",3,"ГБОУ школа № 1980",2017,"Литература",2018,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ школа № 67",2019,"Биология",2020,"призёр",10
"Московская олимпиада",4,"ГБОУ лицей «Вторая школа»",2017,"Математика",2018,"победитель",6
"Московская олимпиада",3,"ГБОУ школа № 163",2014,"Технология",2015,"победитель",6
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1514",2013,"Экономика",2014,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ школа № 1514",2017,"Искусство (МХК)",2018,"призёр",9
"Московская олимпиада",3,"ГБОУ гимназия № 1569 «Созвездие»",2015,"Физика",2016,"призёр",7
"Московская олимпиада",3,"ГБОУ гимназия № 1577",2016,"Технология",2017,"призёр",5
"Московская олимпиада",5,"ГБОУ Физматшкола № 2007",2015,"Экономика",2016,"призёр",5
"Московская олимпиада",5,"ГБОУ лицей «Вторая школа»",2012,"Математика",2013,"призёр",7
"Районная олимпиада",3,"ОАНО школа «Ника»",2018,"Экономика",2019,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1252 имени Сервантеса",2016,"Основы безопасности жизнедеятельности",2017,"призёр",10
"Московская олимпиада",3,"ГБОУ гимназия № 1505",2016,"Биология",2017,"призёр",6
"Всероссийская олимпиада",3,"ГБОУ школа № 544",2017,"История",2018,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1543",2017,"Литература",2018,"победитель",11
"Московская олимпиада",5,"ГБОУ лицей № 1568",2015,"Информатика",2016,"победитель",9
"Московская олимпиада",4,"ГБОУ школа № 15",2015,"филология",2016,"призёр",10
"Всероссийская олимпиада",4,"ГАОУ ЦО № 548",2016,"Иностранный язык (китайский язык)",2017,"призёр",10
"Московская олимпиада",3,"ГБОУ гимназия № 1518",2012,"предпринимательство",2013,"победитель",4
"Московская олимпиада",3,"НОУ гимназия «Московская экономическая школа»",2012,"Экономика",2013,"победитель",8
"Всероссийская олимпиада",5,"ГБОУ школа № 1290",2017,"Литература",2018,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1558 имени Росалии де Кастро",2018,"Экология",2019,"победитель",10
"Всероссийская олимпиада",4,"лицей НИУ ВШЭ",2018,"Иностранный язык (французский язык)",2019,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 2109",2016,"Основы безопасности жизнедеятельности",2017,"победитель",11
"Районная олимпиада",3,"ГБОУ школа № 1252 имени Сервантеса",2015,"Иностранный язык (испанский язык)",2016,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1270",2018,"Литература",2019,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 2121",2018,"Литература",2019,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ «Школа № 354 им. Д.М. Карбышева»",2018,"Литература",2019,"призёр",9
"Московская олимпиада",5,"ГАОУ ВО МИОО. СОШ № 179",2012,"Информатика",2013,"призёр",9
"Всероссийская олимпиада",4,"ГБОУ школа № 1359",2016,"Технология",2017,"призёр",9
"Московская олимпиада",5,"ГБОУ лицей № 1557",2013,"Физика",2014,"победитель",10
"Московская олимпиада",5,"ГБОУ школа № 1514",2017,"Математика",2018,"призёр",6
"Всероссийская олимпиада",4,"ГБОУ школа № 1525",2019,"Биология",2020,"призёр",11
"Районная олимпиада",3,"ГБОУ школа № 771",2016,"Биология",2017,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ ЛГК на Юго-Востоке",2015,"Химия",2016,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 57",2019,"Иностранный язык (английский язык)",2020,"призёр",9
"Московская олимпиада",3,"ГБОУ школа № 1103",2017,"Технология",2018,"призёр",6
"Всероссийская олимпиада",4,"ОАНО «Школа «ЛЕТОВО»",2019,"Иностранный язык (английский язык)",2020,"призёр",9
"Районная олимпиада",5,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2014,"Иностранный язык (французский язык)",2015,"призёр",9
"Всероссийская олимпиада",5,"ГБОУ гимназия № 1517",2015,"Литература",2016,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 2090",2016,"Литература",2017,"призёр",10
"Всероссийская олимпиада",3,"ГБПОУ «Воробьевы горы»",2018,"Физика",2019,"призёр",11
"Всероссийская олимпиада",4,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"Физика",2018,"призёр",11
"Всероссийская олимпиада",3,"ГБОУ гимназия № 1576",2015,"Основы безопасности жизнедеятельности",2016,"призёр",10
"Всероссийская олимпиада",4,"ГБОУ СОШ № 2107",2014,"Литература",2015,"призёр",11
"Районная олимпиада",4,"ГБОУ лицей № 1568",2014,"Русский язык",2015,"призёр",10
