"Year_end","OlympiadType","Subject","ShortName","Class","TeamSize","Status","Year_begin"
2016,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ «Образовательный центр на проспекте Вернадского»",9,4,"призёр",2015
2018,"Всероссийская олимпиада","Экономика","ГБОУ школа № 179",11,3,"призёр",2017
2017,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 109",11,4,"призёр",2016
2019,"Всероссийская олимпиада","Информатика","СУНЦ МГУ",11,5,"призёр",2018
2020,"Всероссийская олимпиада","Биология","ГБОУ школа № 1529 имени А. С. Грибоедова",11,4,"призёр",2019
2013,"Всероссийская олимпиада","Экономика","ГБОУ СОШ № 948",11,5,"призёр",2012
2016,"Всероссийская олимпиада","История","ГБОУ гимназия № 1409",11,4,"призёр",2015
2019,"Всероссийская олимпиада","Биология","ГБОУ школа № 1392 им. Д.В. Рябинкина",9,5,"призёр",2018
2017,"Московская олимпиада","филология","ГБОУ «Образовательный центр на проспекте Вернадского»",11,4,"призёр",2016
2019,"Всероссийская олимпиада","Информатика","ГБОУ школа № 179",10,4,"призёр",2018
2017,"Всероссийская олимпиада","Технология","ГБОУ школа № 185",10,5,"призёр",2016
2018,"Московская олимпиада","Математика","ГБОУ школа № 152",7,3,"призёр",2017
2019,"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 978",9,4,"призёр",2018
2019,"Всероссийская олимпиада","Физическая культура","ГБОУ школа «Марьино»",11,5,"призёр",2018
2018,"Районная олимпиада","Литература","ГБОУ школа № 1527",9,3,"призёр",2017
2015,"Московская олимпиада","История","ГБОУ «Школа-интернат «Интеллектуал»",10,3,"победитель",2014
2016,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1253",10,5,"призёр",2015
2019,"Московская олимпиада","Робототехника","ГБОУ школа № 1474",6,4,"призёр",2018
2014,"Районная олимпиада","Иностранный язык (немецкий язык)","ГБОУ гимназия № 1513",11,4,"призёр",2013
2018,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1376",9,5,"призёр",2017
2019,"Районная олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 1363",9,4,"призёр",2018
2015,"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1530 «Школа Ломоносова»",11,3,"призёр",2014
2018,"Московская олимпиада","Изобразительное искусство","ГАОУ школа № 548",9,5,"призёр",2017
2019,"Районная олимпиада","Русский язык","ГБОУ школа № 1252",11,3,"призёр",2018
2015,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1454 «Центр образования Тимирязевский»",10,3,"призёр",2014
2015,"Московская олимпиада","Информатика","ГБОУ Московская гимназия на Юго-Западе № 1543",10,5,"призёр",2014
2015,"Московская олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",9,3,"призёр",2014
2016,"Всероссийская олимпиада","История","ГБОУ школа № 1411",10,4,"призёр",2015
2015,"Районная олимпиада","Биология","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,3,"призёр",2014
2019,"Всероссийская олимпиада","Обществознание","ОЧУ МГ Сколково",9,4,"призёр",2018
2020,"Всероссийская олимпиада","Математика","ГБОУ школа № 2007 ФМШ",11,3,"призёр",2019
2013,"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ гимназия № 1257",11,5,"призёр",2012
2016,"Московская олимпиада","филология","ГБОУ школа № 1095",10,3,"призёр",2015
2018,"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1912",11,5,"победитель",2017
2015,"Московская олимпиада","Физика","ГБОУ лицей «Вторая школа»",11,5,"призёр",2014
2016,"Московская олимпиада","География","ГБОУ гимназия № 1590",5,5,"призёр",2015
2015,"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 1485",6,4,"победитель",2014
2017,"Всероссийская олимпиада","Обществознание","ФГКОУ «МКК ПВ МО РФ»",10,4,"призёр",2016
2020,"Районная олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1290",11,5,"призёр",2019
2017,"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 2104 на Таганке",11,4,"призёр",2016
2020,"Всероссийская олимпиада","Экология","ГБОУ школа № 1575",8,3,"призёр",2019
2014,"Московская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",10,5,"призёр",2013
2013,"Всероссийская олимпиада","Экология","ГБОУ школа № 827",11,4,"призёр",2012
2015,"Московская олимпиада","Химия","ГБОУ школа № 2036",8,5,"призёр",2014
2019,"Московская олимпиада","филология","ГБОУ школа № 1018",7,5,"призёр",2018
2017,"Всероссийская олимпиада","Математика","ГБОУ лицей № 1568",11,4,"призёр",2016
2013,"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1529",11,4,"призёр",2012
2017,"Всероссийская олимпиада","Экономика","ГБОУ гимназия № 1554",10,4,"призёр",2016
2014,"Районная олимпиада","Физическая культура","ГБОУ ЦО № 345",10,5,"призёр",2013
2019,"Всероссийская олимпиада","История","ГБОУ школа № 1409",10,5,"призёр",2018
2018,"Районная олимпиада","Биология","ГБОУ школа № 57",10,4,"победитель",2017
2018,"Всероссийская олимпиада","Экономика","ГБОУ школа № 218",11,3,"призёр",2017
2015,"Московская олимпиада","филология","ГБОУ гимназия № 1503",10,4,"призёр",2014
2016,"Всероссийская олимпиада","Литература","ГБОУ Многопрофильный лицей № 1799",9,4,"призёр",2015
2014,"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 2009",6,3,"призёр",2013
2018,"Московская олимпиада","Математика","ГБОУ школа № 2007 ФМШ",7,4,"призёр",2017
2018,"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1252",9,4,"призёр",2017
2020,"Всероссийская олимпиада","География","Предуниверситарий НИЯУ МИФИ",10,5,"призёр",2019
2018,"Московская олимпиада","филология","ГБОУ школа № 1208",8,5,"призёр",2017
2015,"Московская олимпиада","Математика","ГБОУ СОШ № 218",9,3,"призёр",2014
2017,"Всероссийская олимпиада","Русский язык","ГБОУ лицей № 1568",9,5,"призёр",2016
2020,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 554",11,5,"призёр",2019
2019,"Всероссийская олимпиада","Химия","ГБОУ школа № 1315",11,5,"призёр",2018
2019,"Всероссийская олимпиада","География","ГБОУ школа № 1741",11,4,"призёр",2018
2014,"Московская олимпиада","Технология","ГБОУ ЦО № 345",10,3,"победитель",2013
2019,"Всероссийская олимпиада","Право","ОАНО «Школа «ЛЕТОВО»",8,3,"победитель",2018
2019,"Московская олимпиада","Экономика","ГБОУ школа № 1329",6,3,"призёр",2018
2019,"Московская олимпиада","Технология","ГБОУ школа № 185",5,5,"призёр",2018
2013,"Московская олимпиада","Экономика","ГБОУ лицей № 1547",7,3,"призёр",2012
2013,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ ЦО № 1329",9,4,"призёр",2012
2015,"Всероссийская олимпиада","Физическая культура","ГБОУ СОШ № 1356",11,4,"призёр",2014
2015,"Районная олимпиада","Химия","ГБОУ лицей № 1568",10,3,"призёр",2014
2015,"Всероссийская олимпиада","История","ГБОУ лицей «Вторая школа»",10,4,"призёр",2014
2020,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1535",10,4,"призёр",2019
2019,"Московская олимпиада","филология","ГБОУ школа № 224",9,3,"призёр",2018
2019,"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1208",9,5,"призёр",2018
2017,"Московская олимпиада","Физика","ГБОУ лицей № 1568",8,4,"призёр",2016
2018,"Московская олимпиада","Технология","ГБОУ школа № 185",6,3,"победитель",2017
2018,"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1575",11,4,"победитель",2017
2013,"Московская олимпиада","Физика","ГБОУ лицей № 1557",10,5,"призёр",2012
2019,"Районная олимпиада","Русский язык","ГБОУ школа № 1862",9,5,"призёр",2018
2020,"Районная олимпиада","Обществознание","ГБОУ школа № 152",10,5,"призёр",2019
2014,"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 1912",8,5,"победитель",2013
2014,"Московская олимпиада","предпринимательство","ГБОУ гимназия № 1518",3,4,"победитель",2013
2019,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1529 имени А. С. Грибоедова",11,4,"призёр",2018
2017,"Всероссийская олимпиада","Математика","ГБОУ лицей «Вторая школа»",10,4,"призёр",2016
2018,"Всероссийская олимпиада","Искусство (МХК)","ГБОУ школа № 1770",11,4,"призёр",2017
2016,"Московская олимпиада","филология","ГБОУ гимназия № 1512",5,4,"призёр",2015
2016,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1514",10,4,"победитель",2015
2014,"Всероссийская олимпиада","Технология","ГБОУ лицей № 1828 «Сабурово»",11,4,"призёр",2013
2018,"Всероссийская олимпиада","Искусство (МХК)","ФГКОУ «МКК ПВ МО РФ»",9,3,"призёр",2017
2019,"Московская олимпиада","Технология","ГБОУ школа № 1980",6,3,"призёр",2018
2020,"Всероссийская олимпиада","Экология","ГБОУ школа № 171",11,3,"призёр",2019
2019,"Всероссийская олимпиада","Информатика","ГБОУ школа № 1543",11,4,"призёр",2018
2014,"Всероссийская олимпиада","Биология","ГБОУ ЦО № 218",11,3,"победитель",2013
2016,"Московская олимпиада","Обществознание","МАОУ «Гимназия имени Н.В. Пушкова»",10,3,"призёр",2015
2014,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ СОШ № 329",9,4,"призёр",2013
2018,"Всероссийская олимпиада","Химия","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",10,5,"призёр",2017
2020,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1239",10,5,"призёр",2019
2018,"Районная олимпиада","Физическая культура","ГБОУ школа № 1504",10,3,"победитель",2017
2016,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 2123 им. М. Эрнандеса",10,4,"призёр",2015
2020,"Всероссийская олимпиада","История","ГБОУ «Школа № 597 «Новое Поколение»",10,4,"призёр",2019
2015,"Всероссийская олимпиада","Химия","ГАОУ ВО МИОО. СОШ № 179",10,3,"призёр",2014
2015,"Всероссийская олимпиада","Право","ГБОУ школа № 2095",11,4,"победитель",2014
2018,"Всероссийская олимпиада","Физика","ГБОУ лицей «Вторая школа»",10,3,"призёр",2017
2018,"Московская олимпиада","филология","ГБОУ школа № 1563",8,3,"призёр",2017
2018,"Всероссийская олимпиада","Обществознание","МАОУ «Гимназия г. Троицка»",10,5,"призёр",2017
2015,"Районная олимпиада","Обществознание","ГБОУ «Гимназия № 1528»",9,4,"призёр",2014
2018,"Московская олимпиада","филология","ГБОУ школа № 1575",11,5,"победитель",2017
2018,"Московская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 179",11,4,"призёр",2017
2017,"Московская олимпиада","Математика","ГБОУ лицей «Вторая школа»",11,3,"призёр",2016
2019,"Московская олимпиада","филология","ГБОУ школа № 2101",6,4,"призёр",2018
2019,"Московская олимпиада","Обществознание","ГБОУ школа № 293",11,5,"призёр",2018
2015,"Всероссийская олимпиада","География","ГБОУ СОШ № 1716 «Эврика-Огонек»",11,5,"победитель",2014
2020,"Всероссийская олимпиада","Технология","ГБОУ школа № 1591",9,3,"призёр",2019
2016,"Всероссийская олимпиада","Информатика","ГБОУ «Школа-интернат «Интеллектуал»",9,4,"призёр",2015
2017,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 444",10,4,"призёр",2016
2017,"Московская олимпиада","Математика","ГБОУ гимназия № 1567",6,5,"призёр",2016
2019,"Всероссийская олимпиада","Биология","ФГАОУ ВО Первый МГМУ им И.М. Сеченова Минздрава России (Сеченовский университет)",10,5,"призёр",2018
2017,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 843",11,4,"призёр",2016
2016,"Московская олимпиада","филология","ГБОУ школа № 1252 имени Сервантеса",6,5,"победитель",2015
2018,"Московская олимпиада","Изобразительное искусство","ГАОУ школа № 548",6,5,"призёр",2017
2019,"Московская олимпиада","Биология","ГБОУ школа № 1501",7,3,"призёр",2018
2015,"Районная олимпиада","Химия","ГБОУ школа № 171",11,3,"призёр",2014
2019,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 625",8,4,"призёр",2018
2019,"Районная олимпиада","Экономика","Московская экономическая школа",9,4,"призёр",2018
2013,"Московская олимпиада","Иностранный язык (испанский язык)","ГБОУ СОШ № 1237",11,4,"призёр",2012
2013,"Московская олимпиада","Математика","ГБОУ ЦО № 57",9,3,"призёр",2012
2015,"Московская олимпиада","Информатика","ГБОУ Физматшкола 2007",9,5,"призёр",2014
2014,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ гимназия № 1567",11,5,"призёр",2013
2016,"Всероссийская олимпиада","Русский язык","ГБОУ гимназия № 1563",11,3,"призёр",2015
2016,"Районная олимпиада","Обществознание","ГБОУ гимназия № 1409",11,3,"призёр",2015
2018,"Районная олимпиада","Технология","ГБОУ школа № 1000",11,4,"победитель",2017
2015,"Всероссийская олимпиада","Информатика","МАОУ «Лицей города Троицка»",11,4,"призёр",2014
2020,"Всероссийская олимпиада","География","ГБОУ школа № 507",11,3,"призёр",2019
2019,"Всероссийская олимпиада","Физика","ГБОУ «Лицей «Вторая школа»",9,3,"призёр",2018
2015,"Всероссийская олимпиада","Математика","ГБОУ ЦО № 57",9,4,"призёр",2014
2018,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1532",9,5,"призёр",2017
2014,"Московская олимпиада","предпринимательство","ГБОУ СОШ № 1383",4,4,"призёр",2013
2018,"Всероссийская олимпиада","Химия","ГБОУ школа № 654 имени А.Д. Фридмана",10,3,"призёр",2017
2018,"Всероссийская олимпиада","Биология","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",10,4,"победитель",2017
2016,"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1576",9,3,"призёр",2015
2019,"Всероссийская олимпиада","География","ГБОУ школа № 1498",10,5,"победитель",2018
2015,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ Государственная столичная гимназия",9,5,"призёр",2014
2013,"Всероссийская олимпиада","История","ГБОУ СОШ № 1441 «Бронная слобода»",11,5,"призёр",2012
2016,"Всероссийская олимпиада","География","ГБОУ школа № 1454 «Центр образования Тимирязевский»",9,3,"призёр",2015
2016,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1512",10,3,"призёр",2015
2018,"Всероссийская олимпиада","Биология","ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",11,5,"призёр",2017
2013,"Районная олимпиада","Иностранный язык (французский язык)","НОУ гимназия «Московская экономическая школа»",11,5,"призёр",2012
2014,"Всероссийская олимпиада","История","ГБОУ СОШ № 1232",11,4,"призёр",2013
2016,"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ гимназия № 1563",10,4,"призёр",2015
2020,"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 1286",9,5,"призёр",2019
2019,"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1987",9,3,"призёр",2018
2020,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1317",10,5,"победитель",2019
2017,"Московская олимпиада","Физика","ГБОУ «Школа № 448»",10,4,"призёр",2016
2013,"Всероссийская олимпиада","Экономика","ГБОУ ЦО № 1479",11,4,"призёр",2012
2014,"Районная олимпиада","Литература","ГБОУ школа № 2064",10,4,"призёр",2013
2015,"Районная олимпиада","Обществознание","ГБОУ лицей № 1502 при МЭИ",9,3,"победитель",2014
2014,"Московская олимпиада","Математика","ГБОУ ЦО № 57",9,4,"призёр",2013
2015,"Всероссийская олимпиада","Литература","ГБОУ Московская гимназия на Юго-Западе № 1543",11,5,"победитель",2014
2018,"Московская олимпиада","Технология","ГБОУ школа № 962",6,3,"призёр",2017
2015,"Районная олимпиада","Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1514",11,5,"призёр",2014
2019,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","МЦХШ при РАХ",10,4,"призёр",2018
2014,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1944",9,4,"призёр",2013
2016,"Районная олимпиада","Русский язык","ГБОУ школа № 192",10,5,"призёр",2015
2015,"Московская олимпиада","Математика","ГБОУ школа № 853",6,3,"призёр",2014
2016,"Московская олимпиада","География","ГБОУ школа № 293",8,4,"призёр",2015
2017,"Районная олимпиада","Литература","ГБОУ школа № 717",10,4,"призёр",2016
2017,"Всероссийская олимпиада","Биология","ГБОУ школа № 192",10,5,"призёр",2016
2020,"Всероссийская олимпиада","Литература","ГБОУ школа № 2006",11,3,"призёр",2019
2014,"Московская олимпиада","филология","ГБОУ школа № 1252 имени Сервантеса",9,3,"призёр",2013
2017,"Всероссийская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",11,5,"призёр",2016
2020,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ «Лицей «Вторая школа»",8,3,"призёр",2019
2016,"Всероссийская олимпиада","Биология","ГБОУ школа № 1130",11,5,"призёр",2015
2015,"Московская олимпиада","Информатика","ГБОУ гимназия № 1534",7,5,"призёр",2014
2015,"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1288",11,3,"призёр",2014
2016,"Всероссийская олимпиада","Физика","ГАОУ ВО МИОО. СОШ № 179",9,5,"призёр",2015
2016,"Московская олимпиада","Технология","ГБОУ лицей № 1561",6,4,"призёр",2015
2018,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»",11,4,"призёр",2017
2013,"Московская олимпиада","Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,3,"победитель",2012
2013,"Районная олимпиада","Литература","ГБОУ лицей № 1553 им. В. И. Вернадского",11,5,"призёр",2012
2017,"Всероссийская олимпиада","Физика","ГАОУ ВО МИОО. СОШ № 179",9,5,"призёр",2016
2016,"Районная олимпиада","Экономика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,5,"призёр",2015
2016,"Всероссийская олимпиада","Русский язык","ГБОУ ЛГК на Юго-Востоке",10,3,"призёр",2015
2019,"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1234",11,4,"призёр",2018
2018,"Районная олимпиада","Математика","ГБОУ лицей «Вторая школа»",11,5,"победитель",2017
2016,"Всероссийская олимпиада","Право","ГБОУ школа № 853",9,4,"призёр",2015
2019,"Районная олимпиада","Литература","лицей НИУ ВШЭ",11,5,"призёр",2018
2018,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1637",7,3,"призёр",2017
2013,"Всероссийская олимпиада","Литература","ГБОУ гимназия № 1522",9,3,"призёр",2012
2018,"Всероссийская олимпиада","География","ГБОУ школа «Интеллектуал»",10,4,"призёр",2017
2020,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1980",10,4,"призёр",2019
2017,"Всероссийская олимпиада","Физика","ГБОУ лицей «Вторая школа»",10,5,"призёр",2016
2018,"Всероссийская олимпиада","Математика","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",11,4,"призёр",2017
2016,"Всероссийская олимпиада","Биология","ГБОУ школа № 1944",9,5,"призёр",2015
2020,"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1252",9,3,"призёр",2019
2014,"Московская олимпиада","Химия","ГБОУ школа-интернат «Интеллектуал»",9,3,"призёр",2013
2017,"Всероссийская олимпиада","Обществознание","ОАНО «ОЦ» Лучик»",11,4,"призёр",2016
2017,"Районная олимпиада","Право","ГБОУ школа № 166",11,5,"призёр",2016
2019,"Московская олимпиада","Информационные технологии в профессиональной деятельности","ФГАОУ ВО РУТ (МИИТ) , РУТ (МИИТ)",10,4,"призёр",2018
2019,"Московская олимпиада","филология","ГБОУ школа № 2123 им. М. Эрнандеса",7,5,"призёр",2018
2019,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1980",6,3,"призёр",2018
2016,"Московская олимпиада","Физика","ГБОУ школа № 2036",9,5,"призёр",2015
2020,"Всероссийская олимпиада","Информатика","ГБОУ «Лицей «Вторая школа»",10,3,"победитель",2019
2015,"Всероссийская олимпиада","География","ГБОУ «Школа-интернат «Интеллектуал»",10,4,"победитель",2014
2016,"Всероссийская олимпиада","Право","ГКОУ КШИ № 5",9,3,"призёр",2015
2019,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1329",9,5,"призёр",2018
2013,"Московская олимпиада","Экономика","ГБОУ лицей № 1303",10,5,"призёр",2012
2019,"Всероссийская олимпиада","Информатика","ГБОУ «Лицей «Вторая школа»",11,5,"призёр",2018
2017,"Всероссийская олимпиада","Биология","ГБОУ школа № 171",11,5,"призёр",2016
2017,"Всероссийская олимпиада","Информатика","ГАОУ ВПО МИОО. СОШ № 179",11,4,"победитель",2016
2016,"Московская олимпиада","Технология","ГБОУ школа № 1357",6,3,"победитель",2015
2018,"Всероссийская олимпиада","Иностранный язык (итальянский язык)","НИУ ВШЭ. лицей",11,3,"призёр",2017
2019,"Московская олимпиада","Физика","ГБОУ школа № 2036",9,4,"призёр",2018
2018,"Всероссийская олимпиада","Право","ГБОУ школа № 56 имени академика В.А. Легасова",10,3,"победитель",2017
2018,"Всероссийская олимпиада","Искусство (МХК)","МАОУ «Гимназия г. Троицка»",9,5,"призёр",2017
2017,"Всероссийская олимпиада","Биология","ГБОУ лицей № 1535",9,4,"призёр",2016
2014,"Московская олимпиада","филология","ГБОУ школа № 1252 имени Сервантеса",10,5,"призёр",2013
2020,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1358",11,4,"призёр",2019
2019,"Районная олимпиада","История","ГБОУ школа № 1296",9,3,"призёр",2018
2017,"Всероссийская олимпиада","Литература","ГБОУ «ЦО № 654 имени А.Д. Фридмана»",10,5,"призёр",2016
2020,"Всероссийская олимпиада","Иностранный язык (английский язык)","ОАНО «Школа «ЛЕТОВО»",10,4,"победитель",2019
2020,"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1231",10,3,"призёр",2019
2017,"Всероссийская олимпиада","Химия","ГБОУ школа № 192",10,3,"призёр",2016
2015,"Всероссийская олимпиада","История","ГБОУ СОШ № 1287",9,5,"призёр",2014
2018,"Московская олимпиада","Математика","ГБОУ школа № 57",6,5,"призёр",2017
2017,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1269",11,5,"призёр",2016
2017,"Всероссийская олимпиада","Физика","ГАОУ ВО МИОО. СОШ № 179",11,3,"призёр",2016
2015,"Всероссийская олимпиада","Математика","ГБОУ лицей № 1557",11,3,"призёр",2014
2018,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1467",10,4,"призёр",2017
2017,"Всероссийская олимпиада","Физическая культура","ГБОУ лицей № 1501",10,4,"победитель",2016
2013,"Районная олимпиада","История","ГБОУ гимназия № 1554",11,4,"призёр",2012
2015,"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ ЦО № 117",10,3,"призёр",2014
2013,"Всероссийская олимпиада","Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,4,"призёр",2012
2018,"Московская олимпиада","Физика","ГБОУ школа № 444",9,5,"призёр",2017
2014,"Всероссийская олимпиада","Литература","ГБОУ гимназия № 1583",10,3,"победитель",2013
2020,"Районная олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 236",8,4,"призёр",2019
2018,"Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 179",11,5,"призёр",2017
2013,"Всероссийская олимпиада","Физика","ГБОУ СОШ № 1189",10,5,"призёр",2012
2018,"Всероссийская олимпиада","История","ГБОУ школа № 625",11,3,"победитель",2017
2019,"Всероссийская олимпиада","Иностранный язык (итальянский язык)","ГБОУ школа № 1525",11,4,"призёр",2018
2014,"Всероссийская олимпиада","Литература","ГБОУ СОШ № 1199 «Лига Школ»",11,4,"призёр",2013
2015,"Районная олимпиада","История","ГБОУ СОШ № 705",11,5,"призёр",2014
2014,"Районная олимпиада","Физическая культура","ГБОУ лицей № 1502 при МЭИ",10,3,"призёр",2013
2017,"Московская олимпиада","филология","ГБОУ школа № 825",6,5,"призёр",2016
2017,"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ лицей № 1535",10,3,"призёр",2016
2016,"Всероссийская олимпиада","География","ГБОУ школа № 962",10,3,"призёр",2015
2014,"Московская олимпиада","История","ГБОУ гимназия № 1518",5,3,"призёр",2013
2014,"Московская олимпиада","Обществознание","ГБОУ школа № 1288",8,3,"победитель",2013
2019,"Всероссийская олимпиада","География","ГАОУ «Школа № 1518»",9,3,"призёр",2018
2017,"Московская олимпиада","Право","ГБОУ лицей № 1574",10,3,"призёр",2016
2019,"Московская олимпиада","Математика","ГБОУ школа № 1329",6,5,"призёр",2018
2019,"Районная олимпиада","Математика","СУНЦ МГУ",11,4,"призёр",2018
2016,"Московская олимпиада","филология","ГБОУ школа № 2097",6,5,"победитель",2015
2014,"Московская олимпиада","История","ЧУОО «ТАТЬЯНИНСКАЯ шКОЛА»",11,3,"призёр",2013
2013,"Московская олимпиада","География","ГБОУ лицей № 1524",11,4,"победитель",2012
2017,"Всероссийская олимпиада","Право","ГБОУ школа № 199",10,4,"призёр",2016
2017,"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1357",11,4,"призёр",2016
2019,"Московская олимпиада","Бюджетная грамотность","ГБОУ школа № 1557",8,4,"призёр",2018
2016,"Московская олимпиада","География","ГБОУ школа № 1944",9,5,"победитель",2015
2019,"Всероссийская олимпиада","Иностранный язык (английский язык)","Российская академия государственной службы при Президенте Российской Федерации",11,3,"победитель",2018
2017,"Всероссийская олимпиада","География","ГБОУ школа «Спектр»",10,5,"призёр",2016
2016,"Московская олимпиада","Математика","ГБОУ лицей № 1303",9,5,"призёр",2015
2020,"Всероссийская олимпиада","Литература","ГБОУ школа № 429",10,3,"призёр",2019
2020,"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 171",11,5,"призёр",2019
2016,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1955",9,3,"призёр",2015
2017,"Всероссийская олимпиада","Физика","ГБОУ лицей № 1580",9,3,"призёр",2016
2015,"Районная олимпиада","Биология","АНО СОШ «Феникс»",11,3,"призёр",2014
2016,"Всероссийская олимпиада","Литература","ГБОУ МОК «Кузьминки»",10,4,"призёр",2015
2013,"Московская олимпиада","Технология","ГБОУ ЦО № 1446",5,3,"призёр",2012
2016,"Районная олимпиада","Обществознание","ГБОУ школа № 1944",10,4,"победитель",2015
2013,"Всероссийская олимпиада","Обществознание","ГБОУ СОШ № 1249",11,4,"призёр",2012
2015,"Районная олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 109",10,4,"призёр",2014
