"ShortName","Year_end","TeamSize","Year_begin","Subject","Status","Class","OlympiadType"
"ГБОУ школа № 1420",2015,3,2014,"Экология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2007 ФМШ",2019,3,2018,"астрономия","призёр",5,"Московская олимпиада"
"ГБОУ гимназия № 1514",2017,4,2016,"Мировая Художественная Культура (МХК)","призёр",10,"Всероссийская олимпиада"
"ГАОУ ЦО № 548",2015,3,2014,"Изобразительное искусство","победитель",10,"Московская олимпиада"
"ГБОУ школа № 1980",2019,3,2018,"Русский язык","призёр",9,"Районная олимпиада"
"ФГБОУ ВО МГЛУ",2019,4,2018,"Иностранный язык (английский язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1223",2020,3,2019,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 504",2018,4,2017,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ ГСГ",2017,4,2016,"Мировая Художественная Культура (МХК)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа «Кузьминки»",2019,5,2018,"География","победитель",10,"Районная олимпиада"
"ГБОУ СОШ № 1384 им. А.А. Леманского",2013,5,2012,"Математика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 293",2015,4,2014,"Изобразительное искусство","призёр",9,"Московская олимпиада"
"ГБОУ школа № 1329",2020,5,2019,"Химия","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2013,3,2012,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ гимназия № 1505",2014,5,2013,"Иностранный язык (английский язык)","призёр",11,"Районная олимпиада"
"ГБОУ гимназия № 1514",2017,3,2016,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007",2016,4,2015,"Химия","победитель",8,"Московская олимпиада"
"ГБОУ гимназия № 1506",2015,4,2014,"Химия","призёр",11,"Московская олимпиада"
"ГБОУ Физматшкола 2007",2014,3,2013,"Физика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1286",2019,3,2018,"Иностранный язык (французский язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1980",2020,3,2019,"Технология","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1400",2017,5,2016,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГАОУ «Школа № 1518»",2018,3,2017,"Биология","призёр",5,"Московская олимпиада"
"ГБОУ школа № 185",2015,5,2014,"Технология","призёр",5,"Московская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2018,5,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1324",2016,4,2015,"Русский язык","призёр",9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2015,4,2014,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 170",2020,4,2019,"Физическая культура","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1251 имени генерала Шарля де Голля",2018,5,2017,"Право","призёр",9,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007",2017,5,2016,"Физика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1248",2020,5,2019,"История","призёр",9,"Всероссийская олимпиада"
"ГБОУ СОШ № 241",2014,5,2013,"Биология","призёр",6,"Московская олимпиада"
"ГБОУ школа № 14",2019,3,2018,"Экология","призёр",5,"Московская олимпиада"
"ГБОУ школа № 356 имени Н.З. Коляды",2016,5,2015,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 641 имени С. Есенина",2017,5,2016,"Экология","призёр",10,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2018,5,2017,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 57",2019,5,2018,"Информатика","победитель",11,"Московская олимпиада"
"ГБОУ ЦО № 1296",2015,3,2014,"Информатика","призёр",11,"Всероссийская олимпиада"
"ГБОУ Физматшкола 2007",2015,3,2014,"Физика","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1540",2019,4,2018,"Технология","победитель",9,"Московская олимпиада"
"лицей НИУ ВШЭ",2019,4,2018,"Обществознание","призёр",10,"Районная олимпиада"
"ГБОУ школа № 853",2014,3,2013,"Физика","победитель",7,"Московская олимпиада"
"ГБОУ школа № 1980",2018,3,2017,"Изобразительное искусство","призёр",6,"Московская олимпиада"
"ГБОУ школа № 185",2017,4,2016,"Технология","призёр",5,"Московская олимпиада"
"ГБОУ школа № 57",2016,3,2015,"Математика","призёр",10,"Всероссийская олимпиада"
"ГАОУ «Школа № 1518»",2018,5,2017,"География","призёр",7,"Московская олимпиада"
"НИУ ВШЭ. лицей",2017,5,2016,"Экономика","призёр",11,"Всероссийская олимпиада"
"ГБОУ «Курчатовская школа»",2018,3,2017,"Русский язык","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1273",2016,4,2015,"Право","победитель",11,"Московская олимпиада"
"ГБОУ лицей № 1557",2016,4,2015,"Экономика","призёр",7,"Московская олимпиада"
"ГБОУ СОШ № 1215",2014,4,2013,"Иностранный язык (французский язык)","призёр",11,"Районная олимпиада"
"ГБОУ СОШ № 1277",2014,3,2013,"Иностранный язык (немецкий язык)","призёр",9,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007",2016,4,2015,"Математика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 57",2016,4,2015,"Физика","призёр",9,"Московская олимпиада"
"ГБОУ школа № 1357",2019,5,2018,"Литература","призёр",9,"Районная олимпиада"
"МАОУ «Лицей города Троицка»",2018,3,2017,"История","победитель",11,"Московская олимпиада"
"ГБОУ школа № 57",2017,3,2016,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ФГБОУ ВО МГЛУ",2019,4,2018,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 1248",2013,4,2012,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1252 имени Сервантеса",2015,4,2014,"Литература","победитель",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1520 им. Капцовых",2015,5,2014,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2016,4,2015,"Математика","призёр",9,"Всероссийская олимпиада"
"лицей НИУ ВШЭ",2020,3,2019,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1517",2019,3,2018,"История","победитель",10,"Всероссийская олимпиада"
"школа «Знайка»",2016,5,2015,"Информатика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1573",2018,4,2017,"филология","призёр",6,"Московская олимпиада"
"ГБОУ школа № 14",2017,3,2016,"Иностранный язык (испанский язык)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 171",2020,5,2019,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1552",2017,4,2016,"Мировая Художественная Культура (МХК)","победитель",9,"Всероссийская олимпиада"
"НОУ гимназия «Московская экономическая школа»",2013,3,2012,"Экономика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 192",2016,4,2015,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1207",2016,5,2015,"Робототехника","призёр",5,"Московская олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»",2016,4,2015,"Мировая Художественная Культура (МХК)","победитель",9,"Всероссийская олимпиада"
"ГБОУ школа № 1288",2019,5,2018,"Иностранный язык (немецкий язык)","победитель",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1748 «Вертикаль»",2015,4,2014,"Литература","призёр",11,"Районная олимпиада"
"ГБОУ гимназия № 1573",2015,3,2014,"Литература","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1535",2015,3,2014,"Экономика","призёр",11,"Районная олимпиада"
"ГБОУ Физматшкола № 2007",2016,3,2015,"Биология","призёр",5,"Московская олимпиада"
"ГБОУ лицей № 1580",2018,5,2017,"Экономика","призёр",9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2017,4,2016,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1529",2018,5,2017,"Литература","призёр",9,"Всероссийская олимпиада"
"ГБОУ СОШ № 72",2014,3,2013,"История","победитель",11,"Московская олимпиада"
"ГБОУ гимназия № 1514",2015,4,2014,"Мировая Художественная Культура (МХК)","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 192",2019,3,2018,"Биология","призёр",10,"Районная олимпиада"
"ГБОУ СОШ № 1231",2014,5,2013,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ ЦО № 218",2014,5,2013,"Экономика","призёр",8,"Московская олимпиада"
"ГБОУ школа «Интеллектуал»",2017,3,2016,"Информатика","победитель",9,"Районная олимпиада"
"ГБОУ школа № 45",2018,5,2017,"Искусство (МХК)","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 57",2019,4,2018,"Математика","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа в Капотне",2019,4,2018,"филология","призёр",11,"Московская олимпиада"
"ГБОУ школа № 2031",2016,3,2015,"филология","призёр",5,"Московская олимпиада"
"ГБОУ СОШ № 368 «Лосиный остров»",2014,3,2013,"Изобразительное искусство","призёр",6,"Московская олимпиада"
"ГБОУ гимназия № 1290",2017,5,2016,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 218",2016,3,2015,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа-интернат «Интеллектуал»",2014,4,2013,"История","призёр",9,"Московская олимпиада"
"ГБОУ гимназия № 1512",2017,4,2016,"История","победитель",9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514",2015,4,2014,"География","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1540",2018,5,2017,"Основы безопасности жизнедеятельности","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1535",2019,5,2018,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1557",2019,5,2018,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 179",2019,5,2018,"Математика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 2089",2019,5,2018,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 2086",2017,3,2016,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1747",2020,3,2019,"История","призёр",9,"Районная олимпиада"
"ГБОУ школа № 1329",2016,5,2015,"филология","призёр",5,"Московская олимпиада"
"ГБОУ гимназия № 1514",2013,4,2012,"Математика","призёр",8,"Московская олимпиада"
"ГБОУ лицей № 1535",2015,3,2014,"История","призёр",10,"Районная олимпиада"
"ГБОУ гимназия № 45",2014,5,2013,"филология","призёр",7,"Московская олимпиада"
"ГБОУ гимназия № 1567",2013,4,2012,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1449",2018,4,2017,"Основы безопасности жизнедеятельности","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 67",2019,5,2018,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1950",2018,5,2017,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1529",2014,5,2013,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа имени Маршала В.И. Чуйкова",2018,4,2017,"Химия","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 152",2017,5,2016,"Иностранный язык (английский язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1514",2019,4,2018,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ лицей № 1303",2015,4,2014,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1000",2017,4,2016,"Технология","призёр",9,"Районная олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,5,2018,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1532",2016,4,2015,"Иностранный язык (французский язык)","призёр",11,"Районная олимпиада"
"ГБОУ школа-интернат «Интеллектуал»",2013,3,2012,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 57",2016,4,2015,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа-интернат «Интеллектуал»",2014,4,2013,"Математика","призёр",11,"Всероссийская олимпиада"
"ГБОУ Инженерно-техническая школа",2017,3,2016,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2009",2017,4,2016,"филология","призёр",8,"Московская олимпиада"
"Предуниверситарий НИЯУ МИФИ",2017,5,2016,"Физика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 192",2020,5,2019,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 57",2019,5,2018,"Физика","призёр",9,"Московская олимпиада"
"ГБОУ школа № 1741",2018,3,2017,"Обществознание","победитель",11,"Московская олимпиада"
"ГБОУ Пушкинский лицей № 1500",2017,4,2016,"Обществознание","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1589",2020,5,2019,"Химия","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей № 138",2016,3,2015,"География","победитель",11,"Московская олимпиада"
"ГБОУ школа № 2026",2019,5,2018,"Основы безопасности жизнедеятельности","победитель",7,"Московская олимпиада"
"ГБОУ школа № 171",2019,4,2018,"Технология","победитель",6,"Московская олимпиада"
"ГБОУ школа № 1329",2015,3,2014,"Математика","призёр",5,"Московская олимпиада"
"ГБОУ СОШ № 1394",2015,3,2014,"Обществознание","призёр",10,"Московская олимпиада"
"ГАОУ школа № 548",2019,4,2018,"Физика","победитель",11,"Московская олимпиада"
"ГБОУ школа № 1955",2016,4,2015,"Изобразительное искусство","призёр",5,"Московская олимпиада"
"ГБОУ школа № 57",2018,4,2017,"Математика","призёр",11,"Районная олимпиада"
"ГБОУ школа № 1573",2019,3,2018,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 117",2019,3,2018,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1530 «Школа Ломоносова»",2019,4,2018,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2017,3,2016,"Физика","победитель",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1535",2017,5,2016,"География","победитель",8,"Московская олимпиада"
"ГБОУ школа № 1252",2018,5,2017,"филология","призёр",7,"Московская олимпиада"
"ГБПОУ «Воробьевы горы»",2019,4,2018,"Биология","призёр",5,"Московская олимпиада"
"ГБОУ школа № 1315",2019,4,2018,"филология","победитель",8,"Московская олимпиада"
"ГБОУ школа № 1329",2020,5,2019,"Математика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1273",2019,3,2018,"Экология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 494",2015,5,2014,"Изобразительное искусство","призёр",7,"Московская олимпиада"
"ГБОУ гимназия № 1520 им. Капцовых",2014,3,2013,"Математика","призёр",6,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,3,2015,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1242",2013,3,2012,"Экология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2007 ФМШ",2020,4,2019,"Информатика","призёр",9,"Всероссийская олимпиада"
"университетская гимназия",2019,5,2018,"Иностранный язык (французский язык)","призёр",10,"Всероссийская олимпиада"
"ГАОУ ВПО МИОО. СОШ № 179",2017,4,2016,"Химия","призёр",8,"Московская олимпиада"
"ГБОУ лицей № 1535",2017,4,2016,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ Измайловская гимназия № 1508",2016,3,2015,"Мировая Художественная Культура (МХК)","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 1222",2017,5,2016,"Иностранный язык (немецкий язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1387",2018,5,2017,"Физика","призёр",9,"Московская олимпиада"
"ГБОУ школа-интернат «Интеллектуал»",2014,5,2013,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 57",2019,4,2018,"Биология","призёр",8,"Районная олимпиада"
"ГАОУ ЦО № 548",2017,5,2016,"География","победитель",9,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,3,2013,"Информатика","призёр",10,"Московская олимпиада"
"ГБОУ СОШ № 1253",2013,5,2012,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 57",2017,3,2016,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1286",2020,5,2019,"Иностранный язык (французский язык)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1543",2019,5,2018,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1537",2019,3,2018,"Робототехника","победитель",6,"Московская олимпиада"
"ГБОУ гимназия № 1514",2016,4,2015,"Литература","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 171",2015,3,2014,"Экология","призёр",11,"Всероссийская олимпиада"
"ФГАОУ ВО Первый МГМУ им И.М. Сеченова Минздрава России (Сеченовский университет)",2018,5,2017,"Химия","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1553 имени В.И. Вернадского",2019,3,2018,"Химия","победитель",10,"Московская олимпиада"
"ГБОУ гимназия № 1542",2013,4,2012,"Изобразительное искусство","призёр",4,"Московская олимпиада"
"НИУ ВШЭ. лицей",2016,5,2015,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 444",2017,3,2016,"Биология","призёр",5,"Московская олимпиада"
"ГБОУ СОШ № 1095",2014,4,2013,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1568",2020,5,2019,"Химия","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1353",2018,3,2017,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1748 «Вертикаль»",2017,5,2016,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа-интернат «Интеллектуал»",2014,5,2013,"Математика","победитель",6,"Московская олимпиада"
"ГБОУ школа № 1454 «Тимирязевская»",2020,3,2019,"Литература","призёр",10,"Районная олимпиада"
"ГБОУ школа № 1252 имени Сервантеса",2014,4,2013,"филология","победитель",11,"Московская олимпиада"
"лицей НИУ ВШЭ",2019,3,2018,"Иностранный язык (французский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1359",2017,4,2016,"Информатика","призёр",9,"Московская олимпиада"
"лицей НИУ ВШЭ",2020,4,2019,"Иностранный язык (английский язык)","призёр",10,"Районная олимпиада"
"ФГБОУ ВО МГЛУ",2017,3,2016,"Иностранный язык (немецкий язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ Образовательный центр «Протон»",2018,4,2017,"Технология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1279",2019,5,2018,"Иностранный язык (немецкий язык)","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 853",2018,5,2017,"Химия","призёр",10,"Московская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2015,5,2014,"Математика","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1811 «Восточное Измайлово»",2016,3,2015,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа «Тропарево»",2019,3,2018,"Иностранный язык (испанский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1535",2018,3,2017,"Иностранный язык (английский язык)","победитель",9,"Всероссийская олимпиада"
"ГБОУ СОШ № 2035",2014,5,2013,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1637",2019,4,2018,"Мировая Художественная Культура (МХК)","призёр",8,"Всероссийская олимпиада"
"ГБОУ школа № 1575",2019,5,2018,"филология","призёр",9,"Московская олимпиада"
"ГБОУ школа № 2007 ФМШ",2020,4,2019,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2016,4,2015,"Математика","призёр",11,"Районная олимпиада"
"ГБОУ лицей «Вторая школа»",2014,4,2013,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1466 имени Надежды Рушевой",2015,3,2014,"Литература","призёр",9,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2015,4,2014,"Математика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1208",2020,3,2019,"История","призёр",9,"Районная олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,4,2013,"Информатика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1148 имени Ф.М. Достоевского",2018,5,2017,"Обществознание","призёр",11,"Районная олимпиада"
"ГБОУ школа № 717",2014,4,2013,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1535",2016,5,2015,"Мировая Художественная Культура (МХК)","призёр",11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2017,4,2016,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1449",2018,5,2017,"Основы безопасности жизнедеятельности","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1581",2013,4,2012,"Физика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 2083",2016,4,2015,"Основы безопасности жизнедеятельности","призёр",9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2018,5,2017,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1580",2018,5,2017,"Химия","призёр",9,"Всероссийская олимпиада"
"ГБОУ Шуваловская школа № 1448",2020,3,2019,"Право","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 618",2016,5,2015,"Основы безопасности жизнедеятельности","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1280",2019,4,2018,"Иностранный язык (итальянский язык)","призёр",9,"Всероссийская олимпиада"
"ОАНО «Школа «ЛЕТОВО»",2020,4,2019,"Мировая Художественная Культура (МХК)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2007 ФМШ",2018,4,2017,"Экономика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 64",2019,3,2018,"астрономия","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1535",2016,4,2015,"История","призёр",11,"Всероссийская олимпиада"
"ГБОУ СОШ № 654 имени А.Д. Фридмана",2014,3,2013,"Физика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1384 имени А.А. Леманского",2016,3,2015,"Экономика","призёр",5,"Московская олимпиада"
"ГБОУ гимназия № 1512",2016,4,2015,"История","победитель",9,"Всероссийская олимпиада"
"лицей НИУ ВШЭ",2019,5,2018,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1376",2020,4,2019,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1567",2013,4,2012,"Информатика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 444",2015,5,2014,"Физика","призёр",9,"Районная олимпиада"
"ГБОУ СОШ № 1740",2013,3,2012,"География","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2070",2017,3,2016,"Технология","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2123 им. М. Эрнандеса",2016,4,2015,"Иностранный язык (испанский язык)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1366",2018,3,2017,"филология","победитель",10,"Московская олимпиада"
"ГБОУ школа № 293",2014,4,2013,"Изобразительное искусство","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1375",2018,4,2017,"Изобразительное искусство","призёр",5,"Московская олимпиада"
"ГБОУ гимназия № 1517",2016,3,2015,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1468",2016,5,2015,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа «Интеллектуал»",2017,3,2016,"Информатика","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1270",2019,3,2018,"Русский язык","призёр",10,"Районная олимпиада"
"ГБОУ Физматшкола № 2007",2017,5,2016,"Математика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 827",2018,3,2017,"Биология","призёр",9,"Всероссийская олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,4,2013,"Информатика","призёр",11,"Московская олимпиада"
"ГБОУ гимназия № 1590",2017,5,2016,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 218",2018,3,2017,"Экономика","призёр",11,"Районная олимпиада"
"ГБОУ школа № 2007 ФМШ",2019,4,2018,"Иностранный язык (английский язык)","победитель",10,"Районная олимпиада"
"ГБОУ школа № 629",2020,4,2019,"География","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 2097",2018,5,2017,"Изобразительное искусство","призёр",7,"Московская олимпиада"
"ГБОУ школа № 49",2018,5,2017,"Иностранный язык (французский язык)","призёр",10,"Всероссийская олимпиада"
"ФГКОУ «МСВУ МО РФ»",2018,4,2017,"Основы безопасности жизнедеятельности","победитель",10,"Всероссийская олимпиада"
"ГБОУ лицей № 1537",2015,3,2014,"Информатика","призёр",11,"Районная олимпиада"
"ГБОУ школа № 1280",2016,3,2015,"Иностранный язык (немецкий язык)","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 218",2015,4,2014,"Экономика","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1551",2017,5,2016,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2017,4,2016,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ лицей № 1547",2013,5,2012,"Экономика","призёр",11,"Московская олимпиада"
"ГБОУ школа № 1151",2020,5,2019,"Литература","призёр",11,"Районная олимпиада"
"ГБОУ гимназия № 1507",2016,5,2015,"Технология","призёр",7,"Московская олимпиада"
"СУНЦ МГУ",2017,5,2016,"Информатика","победитель",10,"Московская олимпиада"
"ГБОУ школа № 1543",2018,4,2017,"Биология","победитель",10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1519",2016,3,2015,"Право","призёр",9,"Районная олимпиада"
"ГБОУ школа № 171",2020,5,2019,"Экология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 879",2014,4,2013,"География","призёр",10,"Районная олимпиада"
"ГБОУ школа № 554",2017,5,2016,"Физическая культура","призёр",9,"Районная олимпиада"
"ГБОУ школа № 1514",2018,4,2017,"Литература","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 1474",2016,3,2015,"филология","призёр",6,"Московская олимпиада"
"ГБОУ школа № 853",2018,5,2017,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ СОШ № 618",2014,3,2013,"Технология","призёр",5,"Московская олимпиада"
"ГБОУ школа № 1231",2016,3,2015,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514",2014,5,2013,"История","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1319",2013,4,2012,"Физика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1252 имени Сервантеса",2014,3,2013,"филология","призёр",5,"Московская олимпиада"
"ГБОУ гимназия № 1569 «Созвездие»",2017,4,2016,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»",2014,5,2013,"Физика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1286",2019,3,2018,"Иностранный язык (французский язык)","победитель",8,"Московская олимпиада"
"ГБОУ школа № 2101",2015,3,2014,"Литература","победитель",11,"Всероссийская олимпиада"
