"credit_amount","duration","housing","type","purpose","credit_history","existing_credits","personal_status","age"
1272,15,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",24
2788,21,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",37
1759,18,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",30
242,6,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",19
7018,34,"арендатор","надежный","подержанная машина","есть непогашенные кредиты",1,"женщина",28
6254,16,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"мужчина (одинокий)",32
2910,29,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",37
1219,26,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"женщина",50
1575,10,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",25
2113,14,"домовладелец","надежный","другое","есть просрочки платежей",1,"мужчина (одинокий)",29
7243,59,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"женщина",31
3630,31,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",37
13739,80,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",43
10731,14,"без жилья","ненадежный","подержанная машина","есть непогашенные кредиты",1,"женщина",44
1246,17,"домовладелец","ненадежный","новая машина","не было кредитов",2,"мужчина (одинокий)",43
5589,22,"домовладелец","ненадежный","новая машина","есть просрочки платежей",2,"мужчина (женатый или вдовец)",31
630,8,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",26
1824,14,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (женатый или вдовец)",29
1237,9,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",35
5805,18,"домовладелец","надежный","мебель","есть просрочки платежей",1,"мужчина (одинокий)",47
1665,28,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"женщина",33
11567,53,"домовладелец","ненадежный","бизнес","не было кредитов",1,"мужчина (одинокий)",21
3159,49,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",23
1798,11,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",18
3016,15,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",39
2592,33,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (разведенный)",22
2689,21,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"женщина",29
621,18,"домовладелец","ненадежный","бизнес","все кредиты погашены",1,"женщина",25
8405,49,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",22
12618,48,"домовладелец","надежный","бизнес","не было кредитов",1,"мужчина (одинокий)",40
3129,33,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"женщина",33
408,16,"домовладелец","надежный","бытовая техника","есть просрочки платежей",4,"женщина",49
3113,7,"арендатор","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",24
2935,15,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",21
3058,11,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"женщина",32
1015,11,"домовладелец","ненадежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",32
2507,44,"домовладелец","надежный","бытовая техника","есть просрочки платежей",1,"женщина",34
1213,20,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",30
1706,23,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",30
3613,29,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",33
2517,16,"арендатор","надежный","подержанная машина","есть непогашенные кредиты",1,"женщина",36
1445,11,"арендатор","ненадежный","новая машина","все кредиты погашены",1,"мужчина (женатый или вдовец)",21
16219,4,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",77
1653,11,"без жилья","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",30
1682,55,"домовладелец","ненадежный","образование","есть непогашенные кредиты",1,"мужчина (одинокий)",42
2124,35,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",31
9824,67,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"женщина",35
4682,36,"домовладелец","ненадежный","мебель","есть просрочки платежей",2,"женщина",20
3414,31,"домовладелец","надежный","бытовая техника","есть просрочки платежей",1,"мужчина (одинокий)",35
1448,13,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",24
3123,18,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",32
807,10,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",30
1430,11,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",22
2073,10,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",59
427,5,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",56
8184,35,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",40
1697,3,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",37
2646,13,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",39
5388,15,"арендатор","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",33
5692,21,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",25
1193,16,"без жилья","ненадежный","ремонт жилья","есть просрочки платежей",3,"женщина",64
990,24,"домовладелец","надежный","другое","есть непогашенные кредиты",2,"мужчина (женатый или вдовец)",30
816,14,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"женщина",25
1422,11,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",36
2300,8,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",22
5190,40,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",33
14219,44,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",18
3310,20,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"женщина",24
1562,14,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",34
2823,17,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",44
3596,17,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",54
1882,9,"домовладелец","ненадежный","образование","есть просрочки платежей",2,"женщина",29
15869,48,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",2,"женщина",26
479,8,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",24
2141,31,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (женатый или вдовец)",25
1450,15,"арендатор","надежный","мебель","есть просрочки платежей",2,"женщина",24
3403,28,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",24
14769,3,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",21
3203,20,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",33
10586,44,"домовладелец","надежный","подержанная машина","не было кредитов",1,"мужчина (одинокий)",38
8125,26,"домовладелец","ненадежный","новая машина","все кредиты погашены",2,"мужчина (одинокий)",43
5481,18,"домовладелец","ненадежный","бизнес","есть непогашенные кредиты",3,"мужчина (одинокий)",49
9442,21,"без жилья","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",69
438,7,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",47
8408,11,"домовладелец","надежный","мебель","есть просрочки платежей",2,"мужчина (одинокий)",33
1883,24,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",39
6260,54,"без жилья","надежный","образование","есть просрочки платежей",1,"мужчина (одинокий)",36
4088,23,"без жилья","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",24
3549,11,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"женщина",37
3179,7,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",22
5975,17,"домовладелец","надежный","мебель","есть просрочки платежей",1,"мужчина (одинокий)",29
1831,22,"без жилья","надежный","образование","есть непогашенные кредиты",1,"мужчина (одинокий)",65
4628,24,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"женщина",25
1235,39,"домовладелец","надежный","бизнес","есть просрочки платежей",2,"мужчина (разведенный)",33
1854,10,"домовладелец","надежный","образование","есть просрочки платежей",1,"женщина",27
837,13,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",70
3954,68,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",38
2201,11,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",42
2141,9,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",51
5641,31,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (разведенный)",50
6699,12,"домовладелец","ненадежный","новая машина","не было кредитов",2,"женщина",33
2070,14,"арендатор","ненадежный","новая машина","есть непогашенные кредиты",2,"женщина",24
4398,19,"домовладелец","надежный","подержанная машина","есть просрочки платежей",1,"мужчина (одинокий)",43
1017,11,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"женщина",33
1681,7,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",27
1874,41,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",67
1200,16,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",31
2529,26,"домовладелец","ненадежный","новая машина","не было кредитов",2,"женщина",31
3993,21,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",50
1972,13,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",35
1094,13,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",51
2401,37,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",18
5085,12,"домовладелец","надежный","бизнес","есть просрочки платежей",3,"мужчина (женатый или вдовец)",43
2791,27,"арендатор","надежный","подержанная машина","есть непогашенные кредиты",1,"женщина",23
1476,8,"арендатор","надежный","мебель","есть просрочки платежей",2,"женщина",26
3313,22,"домовладелец","надежный","мебель","не было кредитов",2,"женщина",33
2087,15,"без жилья","надежный","мебель","есть непогашенные кредиты",1,"женщина",61
1372,44,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",25
1293,21,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",28
3380,11,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",27
2090,16,"домовладелец","надежный","образование","есть просрочки платежей",2,"женщина",39
4588,47,"арендатор","ненадежный","бизнес","есть непогашенные кредиты",1,"мужчина (одинокий)",31
571,4,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"женщина",62
3467,24,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",33
2169,4,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",30
18990,30,"без жилья","ненадежный","новая машина","есть просрочки платежей",1,"мужчина (одинокий)",31
5597,21,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",26
2698,25,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"женщина",44
841,32,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",35
807,7,"домовладелец","надежный","бытовая техника","есть просрочки платежей",3,"мужчина (одинокий)",46
1256,35,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",47
5021,38,"арендатор","ненадежный","подержанная машина","есть непогашенные кредиты",1,"женщина",28
15128,28,"без жилья","ненадежный","образование","есть непогашенные кредиты",1,"мужчина (одинокий)",46
3649,32,"домовладелец","надежный","бизнес","есть просрочки платежей",4,"мужчина (одинокий)",38
3160,24,"домовладелец","надежный","подержанная машина","есть просрочки платежей",1,"мужчина (одинокий)",36
1419,15,"арендатор","надежный","образование","есть просрочки платежей",2,"женщина",39
10581,35,"арендатор","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",27
3149,26,"домовладелец","надежный","новая машина","все кредиты погашены",1,"мужчина (одинокий)",25
6719,22,"домовладелец","надежный","бытовая техника","есть просрочки платежей",1,"мужчина (одинокий)",33
2993,37,"домовладелец","надежный","новая машина","есть непогашенные кредиты",2,"мужчина (одинокий)",39
4280,3,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",27
1112,18,"домовладелец","ненадежный","другое","все кредиты погашены",1,"мужчина (одинокий)",33
1933,32,"домовладелец","ненадежный","бизнес","есть просрочки платежей",2,"мужчина (разведенный)",36
1522,9,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",20
9661,60,"арендатор","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",39
670,8,"без жилья","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",37
1261,6,"арендатор","надежный","новая машина","не было кредитов",1,"мужчина (одинокий)",40
2050,12,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"женщина",32
8619,53,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",41
1384,24,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",20
3524,21,"без жилья","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",32
1083,18,"без жилья","надежный","новая машина","есть просрочки платежей",3,"мужчина (одинокий)",73
1078,19,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",27
2783,80,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (одинокий)",31
1788,11,"домовладелец","надежный","другое","есть непогашенные кредиты",1,"мужчина (одинокий)",30
7954,32,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",39
1293,17,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"женщина",34
819,16,"домовладелец","надежный","бытовая техника","есть просрочки платежей",4,"мужчина (одинокий)",61
6397,26,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",33
6073,78,"без жилья","ненадежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",41
1670,10,"домовладелец","надежный","другое","есть непогашенные кредиты",1,"мужчина (одинокий)",38
3004,30,"домовладелец","надежный","бизнес","есть просрочки платежей",2,"мужчина (одинокий)",27
1768,21,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",22
3764,18,"арендатор","надежный","подержанная машина","есть непогашенные кредиты",1,"женщина",20
1571,17,"арендатор","надежный","бытовая техника","есть просрочки платежей",2,"женщина",48
1201,37,"без жилья","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",41
4937,10,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",28
876,14,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",2,"женщина",40
2062,30,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (женатый или вдовец)",36
1472,6,"домовладелец","надежный","бытовая техника","все кредиты погашены",1,"мужчина (одинокий)",36
6781,17,"домовладелец","ненадежный","образование","есть непогашенные кредиты",1,"мужчина (одинокий)",41
2146,40,"домовладелец","надежный","мебель","есть просрочки платежей",2,"мужчина (одинокий)",39
2153,12,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",21
9561,16,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (разведенный)",65
541,7,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",48
1500,7,"домовладелец","надежный","бизнес","есть просрочки платежей",2,"женщина",30
1616,17,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",33
1477,10,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",23
3657,28,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",29
532,9,"домовладелец","надежный","ремонт жилья","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",23
795,11,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"женщина",21
1589,26,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (разведенный)",26
2727,40,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",32
7915,76,"без жилья","надежный","другое","есть непогашенные кредиты",1,"мужчина (одинокий)",43
1554,5,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",28
8154,35,"без жилья","надежный","образование","есть непогашенные кредиты",1,"мужчина (одинокий)",48
1910,13,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",29
1634,7,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",31
527,9,"домовладелец","ненадежный","образование","есть непогашенные кредиты",1,"женщина",25
3408,32,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",23
4678,12,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"женщина",26
3312,11,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",25
926,17,"домовладелец","ненадежный","образование","есть непогашенные кредиты",1,"мужчина (одинокий)",46
5220,18,"домовладелец","надежный","мебель","есть просрочки платежей",1,"мужчина (одинокий)",43
7523,34,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",24
669,16,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (разведенный)",55
1452,27,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (одинокий)",28
14036,21,"без жилья","ненадежный","подержанная машина","есть непогашенные кредиты",1,"женщина",39
2855,19,"домовладелец","надежный","мебель","все кредиты погашены",1,"мужчина (одинокий)",23
4554,19,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",29
11220,35,"без жилья","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",37
1773,24,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",2,"женщина",21
1634,19,"домовладелец","ненадежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",36
1490,9,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",28
2147,9,"домовладелец","надежный","бизнес","есть непогашенные кредиты",2,"женщина",31
3145,30,"домовладелец","надежный","бытовая техника","есть просрочки платежей",1,"мужчина (одинокий)",52
775,26,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",39
1618,14,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (одинокий)",30
2135,18,"домовладелец","ненадежный","мебель","есть просрочки платежей",2,"мужчина (одинокий)",69
9619,31,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",29
2839,13,"арендатор","надежный","мебель","есть просрочки платежей",2,"женщина",23
6756,77,"без жилья","ненадежный","мебель","не было кредитов",2,"мужчина (одинокий)",58
6480,24,"домовладелец","ненадежный","образование","есть просрочки платежей",2,"женщина",21
4304,40,"без жилья","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",52
1540,23,"арендатор","надежный","мебель","есть просрочки платежей",1,"женщина",18
1610,21,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"женщина",57
2027,15,"домовладелец","надежный","бытовая техника","все кредиты погашены",1,"мужчина (одинокий)",30
4410,23,"домовладелец","надежный","бизнес","не было кредитов",1,"мужчина (одинокий)",27
2459,32,"без жилья","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",38
6795,25,"без жилья","надежный","образование","есть просрочки платежей",2,"женщина",22
3826,32,"арендатор","ненадежный","бизнес","есть непогашенные кредиты",2,"мужчина (разведенный)",64
2462,14,"арендатор","надежный","образование","есть непогашенные кредиты",1,"мужчина (одинокий)",45
4370,70,"арендатор","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",22
2784,12,"домовладелец","надежный","мебель","не было кредитов",2,"мужчина (одинокий)",27
4853,114,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",24
8689,49,"без жилья","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",35
1065,15,"домовладелец","ненадежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",71
4003,15,"без жилья","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",19
7529,66,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"женщина",24
4366,40,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",30
10443,7,"арендатор","надежный","новая машина","есть непогашенные кредиты",1,"женщина",25
1290,18,"домовладелец","надежный","мебель","есть просрочки платежей",1,"женщина",33
1180,11,"домовладелец","ненадежный","мебель","есть непогашенные кредиты",1,"женщина",24
2016,20,"домовладелец","ненадежный","ремонт жилья","есть непогашенные кредиты",1,"женщина",23
3858,17,"арендатор","ненадежный","мебель","не было кредитов",2,"женщина",27
7901,45,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"женщина",36
962,7,"арендатор","ненадежный","другое","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",20
4002,22,"домовладелец","надежный","мебель","есть просрочки платежей",2,"мужчина (одинокий)",25
4644,36,"домовладелец","ненадежный","бизнес","есть непогашенные кредиты",1,"мужчина (одинокий)",35
1514,14,"арендатор","ненадежный","новая машина","есть непогашенные кредиты",2,"мужчина (разведенный)",42
1292,16,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",45
2118,53,"арендатор","ненадежный","ремонт жилья","есть непогашенные кредиты",1,"мужчина (одинокий)",30
6151,16,"домовладелец","ненадежный","мебель","все кредиты погашены",1,"мужчина (разведенный)",52
472,6,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"женщина",55
2042,43,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",33
