"Class","ShortName","Subject","Status","Year_begin","Year_end","OlympiadType","TeamSize"
11,"ГБОУ СОШ № 2098 имени Героя Советского Союза Л.М. Доватора","Иностранный язык (немецкий язык)","призёр",2014,2015,"Всероссийская олимпиада",3
6,"ГБОУ школа на проспекте Вернадского","филология","призёр",2018,2019,"Московская олимпиада",5
10,"НИУ ВШЭ. лицей","Иностранный язык (французский язык)","призёр",2017,2018,"Всероссийская олимпиада",5
9,"ГБОУ школа № 49","Изобразительное искусство","победитель",2018,2019,"Московская олимпиада",4
11,"ГБОУ «Школа-интернат «Интеллектуал»","Биология","призёр",2014,2015,"Районная олимпиада",4
8,"ГБОУ школа № 1376","филология","призёр",2016,2017,"Московская олимпиада",4
9,"ГБОУ СОШ № 1271","Обществознание","призёр",2012,2013,"Всероссийская олимпиада",3
10,"ГБОУ школа № 2099","История","призёр",2019,2020,"Всероссийская олимпиада",3
10,"НИУ ВШЭ. лицей","Право","призёр",2016,2017,"Всероссийская олимпиада",5
10,"ГБОУ лицей «Вторая школа»","Математика","призёр",2016,2017,"Всероссийская олимпиада",5
7,"ГБОУ школа № 1347","Изобразительное искусство","победитель",2016,2017,"Московская олимпиада",5
6,"ГБОУ школа № 1287","Технология","победитель",2016,2017,"Московская олимпиада",4
11,"ГБОУ гимназия № 1517","Экология","призёр",2016,2017,"Всероссийская олимпиада",5
11,"СУНЦ МГУ","Математика","призёр",2018,2019,"Московская олимпиада",3
11,"ГБОУ СОШ № 581","Экономика","призёр",2012,2013,"Всероссийская олимпиада",3
11,"«Центр образования «САМСОН»","История","призёр",2015,2016,"Всероссийская олимпиада",3
11,"ФГКОУ «МКК ПВ МО РФ»","История","победитель",2014,2015,"Районная олимпиада",5
7,"ГБОУ Физматшкола 2007","Математика","призёр",2014,2015,"Московская олимпиада",5
10,"МГУПС (МИИТ)","Химия","призёр",2013,2014,"Московская олимпиада",3
9,"ГБОУ школа № 1631","Литература","призёр",2016,2017,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1249","Иностранный язык (немецкий язык)","призёр",2016,2017,"Всероссийская олимпиада",5
11,"НИУ ВШЭ. лицей","Иностранный язык (английский язык)","призёр",2015,2016,"Всероссийская олимпиада",5
10,"НИУ ВШЭ. лицей","Обществознание","призёр",2017,2018,"Всероссийская олимпиада",3
10,"ГБОУ «Школа № 773 «Центр образования «Печатники»","Химия","призёр",2015,2016,"Московская олимпиада",4
11,"НОУ ЦО «Школа Сотрудничества»","Право","призёр",2015,2016,"Московская олимпиада",5
9,"ГБОУ школа № 1557","астрономия","призёр",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ школа № 1329","Математика","победитель",2017,2018,"Всероссийская олимпиада",5
11,"ГБОУ лицей № 1535","История","призёр",2016,2017,"Всероссийская олимпиада",4
11,"ГБОУ школа № 979","Биология","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1434","Русский язык","победитель",2019,2020,"Всероссийская олимпиада",5
9,"ГБОУ школа № 1376","филология","призёр",2016,2017,"Московская олимпиада",4
10,"ГБОУ СОШ № 1376","Литература","призёр",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ Московская гимназия на Юго-Западе № 1543","Русский язык","победитель",2015,2016,"Всероссийская олимпиада",5
10,"СУНЦ МГУ","Математика","призёр",2018,2019,"Московская олимпиада",3
11,"ФГБОУ ВО МГЛУ","Русский язык","призёр",2019,2020,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1554","Право","призёр",2017,2018,"Всероссийская олимпиада",5
9,"ГБОУ гимназия № 1514","Литература","призёр",2015,2016,"Всероссийская олимпиада",4
11,"ГАОУ ВО МИОО. СОШ № 179","Физика","призёр",2015,2016,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1531","Иностранный язык (английский язык)","призёр",2018,2019,"Всероссийская олимпиада",3
9,"ГБОУ лицей № 1571","Обществознание","призёр",2014,2015,"Всероссийская олимпиада",3
11,"ГБОУ ЦО № 1641","Иностранный язык (французский язык)","призёр",2012,2013,"Всероссийская олимпиада",3
6,"ГБОУ гимназия № 1505","География","призёр",2015,2016,"Московская олимпиада",5
6,"ГБОУ школа № 2123 им. М. Эрнандеса","Изобразительное искусство","победитель",2018,2019,"Московская олимпиада",5
10,"ГБОУ СОШ № 1208","Литература","призёр",2014,2015,"Всероссийская олимпиада",5
9,"ГБОУ школа им. А. Боровика","Бюджетная грамотность","призёр",2018,2019,"Московская олимпиада",4
9,"ГБОУ школа «Интеллектуал»","Литература","призёр",2016,2017,"Всероссийская олимпиада",4
9,"ГБОУ гимназия № 1514","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",5
10,"ГБОУ гимназия № 1541","Иностранный язык (французский язык)","призёр",2012,2013,"Всероссийская олимпиада",5
7,"ГБОУ Государственная столичная гимназия","Математика","призёр",2013,2014,"Московская олимпиада",3
7,"ГБОУ школа № 1591","Изобразительное искусство","призёр",2018,2019,"Московская олимпиада",4
11,"ГБОУ лицей № 1535","Экономика","призёр",2012,2013,"Московская олимпиада",5
6,"ГБОУ школа № 390 имени генерала П.И. Батова","Изобразительное искусство","призёр",2014,2015,"Московская олимпиада",4
11,"ГБОУ «Курчатовская школа»","Право","призёр",2015,2016,"Всероссийская олимпиада",5
10,"ГБОУ школа в Капотне","Русский язык","призёр",2018,2019,"Всероссийская олимпиада",5
10,"ГБОУ школа № 57","Математика","призёр",2018,2019,"Всероссийская олимпиада",3
9,"ГБОУ школа-интернат «Интеллектуал»","Химия","призёр",2012,2013,"Всероссийская олимпиада",5
10,"ГБОУ школа № 179","астрономия","призёр",2019,2020,"Всероссийская олимпиада",3
6,"ГБОУ школа № 1329","Математика","победитель",2016,2017,"Московская олимпиада",4
7,"ГБОУ гимназия № 1514","Математика","призёр",2013,2014,"Московская олимпиада",4
9,"ГБОУ школа № 1265","Иностранный язык (французский язык)","призёр",2017,2018,"Всероссийская олимпиада",3
11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Математика","победитель",2012,2013,"Московская олимпиада",5
10,"ГБОУ школа № 1376","История","призёр",2016,2017,"Районная олимпиада",3
11,"ГБОУ лицей № 1568","Математика","призёр",2016,2017,"Всероссийская олимпиада",5
10,"ГБОУ школа № 2030","Информационные технологии в профессиональной деятельности","призёр",2018,2019,"Московская олимпиада",3
11,"ГБОУ школа № 218","Литература","победитель",2018,2019,"Всероссийская олимпиада",5
10,"ГБОУ СОШ № 1874","Экономика","призёр",2013,2014,"Московская олимпиада",3
9,"ГБОУ школа № 1416","Мировая Художественная Культура (МХК)","призёр",2015,2016,"Всероссийская олимпиада",4
11,"ГБОУ школа № 1530 «Школа Ломоносова»","Биология","призёр",2017,2018,"Всероссийская олимпиада",5
8,"ГБОУ гимназия № 1538","География","победитель",2014,2015,"Московская олимпиада",5
10,"ГБОУ школа № 625","История","призёр",2019,2020,"Всероссийская олимпиада",4
10,"ГБОУ гимназия № 1529","Иностранный язык (английский язык)","призёр",2017,2018,"Всероссийская олимпиада",4
10,"Образовательный центр ОАО «Газпром»","Русский язык","призёр",2014,2015,"Районная олимпиада",4
11,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","Математика","призёр",2017,2018,"Всероссийская олимпиада",3
9,"ГБОУ СОШ № 1122","Изобразительное искусство","призёр",2012,2013,"Московская олимпиада",3
8,"ГБОУ школа № 727","География","призёр",2016,2017,"Московская олимпиада",5
9,"ГАОУ ВО МИОО. СОШ № 179","Информатика","призёр",2013,2014,"Московская олимпиада",3
5,"ГБОУ школа № 185","Технология","призёр",2014,2015,"Московская олимпиада",3
10,"ГБОУ школа № 390 имени генерала П.И. Батова","Экология","призёр",2015,2016,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1568","Физика","призёр",2018,2019,"Всероссийская олимпиада",4
7,"ГБОУ школа № 853","Физика","призёр",2014,2015,"Московская олимпиада",5
11,"ГБОУ школа № 14","Экология","призёр",2019,2020,"Всероссийская олимпиада",5
10,"ГБОУ школа № 57","Литература","призёр",2015,2016,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1535","Химия","призёр",2018,2019,"Московская олимпиада",3
11,"ГАОУ ВПО МИОО. СОШ № 179","Информатика","призёр",2016,2017,"Московская олимпиада",3
11,"ГБОУ гимназия № 1567","Биология","призёр",2014,2015,"Всероссийская олимпиада",3
10,"ГБОУ лицей № 1557","Математика","призёр",2015,2016,"Районная олимпиада",3
11,"ГБОУ лицей «Вторая школа»","Экономика","победитель",2017,2018,"Всероссийская олимпиада",4
11,"ГБОУ школа № 1955","Иностранный язык (английский язык)","призёр",2016,2017,"Всероссийская олимпиада",4
6,"ГБОУ СОШ № 1268","Математика","призёр",2012,2013,"Московская олимпиада",3
11,"ГБОУ школа № 1329","Информатика","призёр",2016,2017,"Всероссийская олимпиада",4
10,"ГБОУ ЦО № 1454","География","победитель",2012,2013,"Московская олимпиада",4
7,"ГБОУ «Лицей «Вторая школа»","Информатика","призёр",2018,2019,"Московская олимпиада",4
11,"ГБОУ гимназия № 1599","Обществознание","призёр",2013,2014,"Всероссийская олимпиада",5
10,"ГБОУ СОШ № 556","Право","призёр",2015,2016,"Районная олимпиада",3
9,"ГБОУ школа № 853","Химия","призёр",2015,2016,"Московская олимпиада",5
11,"ГБОУ школа № 1537","Физика","призёр",2017,2018,"Всероссийская олимпиада",3
11,"ГБОУ лицей № 1575","Русский язык","призёр",2016,2017,"Всероссийская олимпиада",4
9,"ГБОУ лицей № 1537","Математика","победитель",2014,2015,"Московская олимпиада",3
8,"ГБОУ школа № 1543","астрономия","победитель",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ Шуваловская школа № 1448","Право","призёр",2017,2018,"Районная олимпиада",5
10,"ГБОУ школа № 1449","Основы безопасности жизнедеятельности","победитель",2019,2020,"Всероссийская олимпиада",5
5,"ГБОУ ЦО № 57","История","победитель",2013,2014,"Московская олимпиада",4
9,"МАОУ «Лицей города Троицка»","Информатика","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1535","Экономика","призёр",2017,2018,"Районная олимпиада",3
11,"ГБОУ школа № 1440","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",4
10,"ГБОУ школа № 2127","Технология","призёр",2018,2019,"Всероссийская олимпиада",4
5,"ГБОУ школа № 705","Технология","победитель",2017,2018,"Московская олимпиада",5
11,"ГБОУ школа № 1501","Физика","призёр",2017,2018,"Всероссийская олимпиада",4
5,"ГБОУ гимназия № 1597","Изобразительное искусство","победитель",2014,2015,"Московская олимпиада",3
11,"ГБОУ школа № 1522 имени В.И. Чуркина","Обществознание","призёр",2017,2018,"Московская олимпиада",5
11,"ГБОУ школа № 1234","Иностранный язык (немецкий язык)","победитель",2017,2018,"Всероссийская олимпиада",5
10,"ГАОУ ВО МИОО. СОШ № 179","Информатика","призёр",2012,2013,"Всероссийская олимпиада",4
10,"ГБОУ школа № 57","Математика","призёр",2016,2017,"Московская олимпиада",5
10,"ГБОУ школа № 192","Биология","призёр",2017,2018,"Всероссийская олимпиада",3
9,"ГБОУ школа № 171","Биология","победитель",2017,2018,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1329","Право","призёр",2017,2018,"Районная олимпиада",5
5,"ГБОУ СОШ № 1416","Изобразительное искусство","призёр",2013,2014,"Московская олимпиада",5
11,"ГБОУ гимназия № 1534","Физика","призёр",2012,2013,"Всероссийская олимпиада",5
8,"ГБОУ СОШ № 1388","Биология","призёр",2013,2014,"Московская олимпиада",3
9,"ГБОУ школа № 1376","Литература","призёр",2017,2018,"Всероссийская олимпиада",3
10,"ГБОУ СОШ № 1388","Биология","призёр",2013,2014,"Районная олимпиада",5
11,"ГБОУ школа № 2086","Математика","призёр",2019,2020,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1506","Биология","призёр",2018,2019,"Районная олимпиада",3
9,"«Новая гуманитарная школа»","Русский язык","призёр",2018,2019,"Районная олимпиада",3
9,"ГБОУ школа № 1298 «Профиль Куркино»","Иностранный язык (английский язык)","призёр",2018,2019,"Всероссийская олимпиада",3
8,"ГБОУ ММГ","филология","призёр",2015,2016,"Московская олимпиада",4
7,"ГБОУ школа № 1569 «Созвездие»","Технология","победитель",2017,2018,"Московская олимпиада",4
11,"ГБОУ школа № 498","Основы безопасности жизнедеятельности","победитель",2015,2016,"Районная олимпиада",4
10,"ГБОУ лицей «Вторая школа»","Экономика","призёр",2014,2015,"Всероссийская олимпиада",5
11,"ГБОУ школа № 1034","Биология","призёр",2018,2019,"Всероссийская олимпиада",3
11,"ГБОУ школа № 141","Право","призёр",2018,2019,"Московская олимпиада",5
5,"ГБОУ лицей № 1575","филология","призёр",2016,2017,"Московская олимпиада",4
11,"ГБОУ школа № 1482","Основы безопасности жизнедеятельности","призёр",2018,2019,"Районная олимпиада",3
11,"ГАОУ «Гимназия № 1518»","История","призёр",2016,2017,"Всероссийская олимпиада",4
9,"ГАОУ ВО МИОО. СОШ № 179","Русский язык","призёр",2015,2016,"Всероссийская олимпиада",3
8,"ГАОУ ВО МИОО. СОШ № 179","Математика","призёр",2012,2013,"Московская олимпиада",4
9,"ГБОУ «Школа Глория»","Искусство (МХК)","победитель",2017,2018,"Всероссийская олимпиада",4
11,"СУНЦ МГУ","Химия","призёр",2016,2017,"Всероссийская олимпиада",5
11,"ГБОУ Измайловская гимназия № 1508","Право","призёр",2012,2013,"Всероссийская олимпиада",4
7,"ГБОУ школа № 1637","Изобразительное искусство","победитель",2018,2019,"Московская олимпиада",3
10,"ГБОУ школа № 1353","Основы безопасности жизнедеятельности","призёр",2017,2018,"Всероссийская олимпиада",4
11,"ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»","Физическая культура","призёр",2015,2016,"Районная олимпиада",3
9,"ГБОУ школа № 1354 «Вектор»","Обществознание","призёр",2019,2020,"Районная олимпиада",5
5,"ГБОУ школа № 185","Технология","призёр",2018,2019,"Московская олимпиада",5
10,"ГБОУ гимназия № 201","Мировая Художественная Культура (МХК)","призёр",2015,2016,"Всероссийская олимпиада",3
11,"ГБОУ школа № 2089","История","призёр",2017,2018,"Всероссийская олимпиада",3
10,"ГАОУ ВО МИОО. СОШ № 179","Иностранный язык (английский язык)","призёр",2015,2016,"Всероссийская олимпиада",3
10,"ГБОУ школа № 1474","Русский язык","призёр",2018,2019,"Всероссийская олимпиада",5
9,"ГБОУ Шуваловская гимназия № 1448","Право","призёр",2016,2017,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1252","Русский язык","призёр",2017,2018,"Районная олимпиада",3
9,"ГБОУ ЦО № 57","Математика","призёр",2012,2013,"Всероссийская олимпиада",3
7,"ГБОУ школа № 827","Изобразительное искусство","победитель",2018,2019,"Московская олимпиада",5
9,"ГБОУ гимназия № 1358","Математика","призёр",2012,2013,"Районная олимпиада",4
9,"ГБОУ гимназия № 1272","История","призёр",2014,2015,"Районная олимпиада",4
10,"ГБОУ школа № 1103","Обществознание","победитель",2016,2017,"Московская олимпиада",3
11,"ГБОУ гимназия № 1514","Литература","призёр",2014,2015,"Районная олимпиада",4
8,"ГБОУ лицей № 1535","филология","призёр",2014,2015,"Московская олимпиада",5
8,"ГБОУ Физматшкола 2007","Физика","призёр",2013,2014,"Московская олимпиада",4
10,"ГБОУ гимназия № 1583","Мировая Художественная Культура (МХК)","призёр",2014,2015,"Всероссийская олимпиада",3
10,"ГБОУ школа № 1384 имени А.А. Леманского","Иностранный язык (английский язык)","призёр",2015,2016,"Районная олимпиада",5
10,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","Физика","призёр",2017,2018,"Всероссийская олимпиада",4
11,"НИУ ВШЭ. лицей","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",3
9,"МАОУ «Гимназия г. Троицка»","Биология","призёр",2018,2019,"Всероссийская олимпиада",3
10,"ГБОУ школа № 2045","Обществознание","призёр",2017,2018,"Всероссийская олимпиада",5
9,"ГБОУ школа № 1543","Биология","призёр",2019,2020,"Районная олимпиада",4
10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Биология","призёр",2014,2015,"Всероссийская олимпиада",4
10,"ГБОУ «Лицей «Вторая школа»","Право","призёр",2019,2020,"Всероссийская олимпиада",4
10,"ГАОУ ЦО № 548","Изобразительное искусство","победитель",2015,2016,"Московская олимпиада",4
9,"ГБОУ школа № 1179","Русский язык","призёр",2019,2020,"Всероссийская олимпиада",3
10,"ГБПОУ «Воробьевы горы»","Право","призёр",2018,2019,"Районная олимпиада",3
10,"НИУ ВШЭ. лицей","Русский язык","призёр",2013,2014,"Всероссийская олимпиада",3
9,"ГБОУ «Московская международная школа»","География","призёр",2017,2018,"Всероссийская олимпиада",5
6,"ГБОУ школа № 185","Технология","победитель",2014,2015,"Московская олимпиада",3
10,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ","Химия","призёр",2017,2018,"Всероссийская олимпиада",4
11,"лицей НИУ ВШЭ","Обществознание","призёр",2018,2019,"Московская олимпиада",3
8,"ГБОУ Московская гимназия на Юго-Западе № 1543","Математика","призёр",2013,2014,"Московская олимпиада",5
10,"ГБОУ «Курчатовская школа»","астрономия","победитель",2017,2018,"Всероссийская олимпиада",4
11,"ГБПОУ ОК «Юго-Запад»","Биология","призёр",2016,2017,"Всероссийская олимпиада",3
11,"ГБОУ «Гимназия № 1636 «НИКА»","Химия","призёр",2014,2015,"Всероссийская олимпиада",3
7,"ГАОУ школа № 1306 - «Школа молодых политиков»","филология","призёр",2018,2019,"Московская олимпиада",5
10,"МАОУ «Гимназия имени Н.В. Пушкова»","Изобразительное искусство","призёр",2014,2015,"Московская олимпиада",3
10,"ГБОУ школа № 1286","Иностранный язык (французский язык)","призёр",2016,2017,"Всероссийская олимпиада",5
5,"ГБОУ школа № 185","Технология","призёр",2016,2017,"Московская олимпиада",3
7,"ГБОУ школа № 1411","География","призёр",2018,2019,"Московская олимпиада",3
10,"ГБОУ школа № 2104 на Таганке","Иностранный язык (немецкий язык)","призёр",2015,2016,"Всероссийская олимпиада",3
10,"ОАНО «Новая школа»","Литература","призёр",2018,2019,"Всероссийская олимпиада",3
10,"ГБОУ школа № 648","История","призёр",2017,2018,"Всероссийская олимпиада",5
11,"ГБОУ лицей № 1537","предпринимательство","призёр",2012,2013,"Московская олимпиада",4
5,"ГБОУ школа № 1980","филология","призёр",2018,2019,"Московская олимпиада",3
11,"ГАОУ ВО МИОО. СОШ № 179","Иностранный язык (английский язык)","призёр",2014,2015,"Всероссийская олимпиада",5
9,"ГБОУ школа № 630","Право","призёр",2014,2015,"Всероссийская олимпиада",5
7,"ГБОУ «Школа № 597 «Новое Поколение»","Физика","призёр",2015,2016,"Московская олимпиада",3
10,"ГБОУ гимназия № 1513","Обществознание","призёр",2012,2013,"Всероссийская олимпиада",5
11,"ГБОУ лицей № 429 «Соколиная гора»","Русский язык","призёр",2014,2015,"Районная олимпиада",3
10,"ГБОУ школа № 1253","История","победитель",2016,2017,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1434","Иностранный язык (немецкий язык)","призёр",2017,2018,"Всероссийская олимпиада",5
11,"ГАОУ «Гимназия № 1518»","География","победитель",2015,2016,"Московская олимпиада",5
10,"ГБОУ школа № 1223","Мировая Художественная Культура (МХК)","призёр",2014,2015,"Всероссийская олимпиада",5
9,"ГБОУ школа № 1252","Литература","призёр",2019,2020,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1797","Изобразительное искусство","призёр",2018,2019,"Московская олимпиада",5
11,"лицей НИУ ВШЭ","Экономика","призёр",2018,2019,"Всероссийская олимпиада",5
11,"ГБОУ школа № 179","Информатика и Информационно-коммуникационные технологии (ИКТ)","победитель",2017,2018,"Всероссийская олимпиада",3
11,"ГБОУ школа № 1247","История","призёр",2018,2019,"Всероссийская олимпиада",5
10,"ГБОУ СОШ № 2086","Биология","призёр",2014,2015,"Всероссийская олимпиада",5
10,"ГБОУ СОШ № 979","Физическая культура","призёр",2014,2015,"Районная олимпиада",3
10,"ГБОУ школа № 1252","Иностранный язык (испанский язык)","призёр",2017,2018,"Всероссийская олимпиада",4
6,"ГБОУ школа им. Н.М. Карамзина","филология","призёр",2018,2019,"Московская олимпиада",5
10,"ГБОУ гимназия № 1529","Химия","призёр",2012,2013,"Московская олимпиада",4
6,"ГБОУ школа № 2009","филология","призёр",2017,2018,"Московская олимпиада",4
11,"ГБОУ лицей № 1537","Физика","призёр",2012,2013,"Московская олимпиада",4
8,"ГБОУ гимназия № 1518","Экономика","призёр",2013,2014,"Московская олимпиада",4
10,"ГБОУ Московская гимназия на Юго-Западе № 1543","Математика","призёр",2016,2017,"Московская олимпиада",3
5,"ГБОУ гимназия № 1562","предпринимательство","победитель",2013,2014,"Московская олимпиада",4
11,"ГБОУ школа № 46","Обществознание","призёр",2015,2016,"Всероссийская олимпиада",3
11,"ГБОУ школа № 1251 имени генерала Шарля де Голля","История","призёр",2014,2015,"Всероссийская олимпиада",5
7,"ГБОУ школа № 2086","Математика","призёр",2015,2016,"Московская олимпиада",3
10,"ГБОУ школа № 1329","Математика","призёр",2015,2016,"Московская олимпиада",5
6,"ГБОУ школа № 1560","География","призёр",2018,2019,"Московская олимпиада",3
11,"ГБОУ школа № 57","Иностранный язык (английский язык)","призёр",2016,2017,"Всероссийская олимпиада",3
11,"ГБОУ СОШ № 430","Литература","призёр",2012,2013,"Всероссийская олимпиада",5
9,"ГБОУ гимназия № 1573","Русский язык","призёр",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ школа № 57","Математика","призёр",2015,2016,"Всероссийская олимпиада",4
11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Информатика","призёр",2014,2015,"Всероссийская олимпиада",4
7,"ГБОУ Физматшкола № 2007","Физика","победитель",2016,2017,"Московская олимпиада",4
8,"ГБОУ школа № 1955","Изобразительное искусство","победитель",2016,2017,"Московская олимпиада",4
11,"ГБОУ СОШ № 1308","История","призёр",2012,2013,"Всероссийская олимпиада",5
7,"ГБОУ гимназия № 1518","Экономика","призёр",2012,2013,"Московская олимпиада",4
11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Математика","призёр",2014,2015,"Всероссийская олимпиада",3
11,"ГБОУ «Школа № 2100»","Основы безопасности жизнедеятельности","призёр",2016,2017,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1541","Иностранный язык (французский язык)","призёр",2017,2018,"Всероссийская олимпиада",3
10,"ГБОУ КШИ № 6 МГКК","Литература","призёр",2015,2016,"Всероссийская олимпиада",3
10,"ГБОУ Московская гимназия на Юго-Западе № 1543","Информатика","призёр",2012,2013,"Всероссийская олимпиада",3
11,"ФГБОУ ВО МГЛУ","Иностранный язык (французский язык)","призёр",2018,2019,"Всероссийская олимпиада",5
11,"университетская гимназия","Обществознание","призёр",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ гимназия № 491 «Марьино»","Мировая Художественная Культура (МХК)","призёр",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ Инженерно-техническая школа","Химия","призёр",2018,2019,"Московская олимпиада",5
11,"ГБОУ школа № 1514","лингвистика","призёр",2017,2018,"Московская олимпиада",3
11,"ГБОУ школа № 1589","Химия","победитель",2018,2019,"Районная олимпиада",5
10,"ГБОУ школа № 2089","Литература","призёр",2016,2017,"Всероссийская олимпиада",3
11,"Предуниверситарий НИЯУ МИФИ","История","призёр",2014,2015,"Всероссийская олимпиада",4
11,"НИУ ВШЭ. лицей","Экономика","призёр",2017,2018,"Всероссийская олимпиада",3
5,"ГБОУ школа «Дмитровский»","Технология","победитель",2018,2019,"Московская олимпиада",5
11,"ГБОУ «Школа-интернат «Интеллектуал»","История","призёр",2015,2016,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1950","Биология","призёр",2019,2020,"Всероссийская олимпиада",5
10,"ГБОУ лицей № 1535","предпринимательство","победитель",2013,2014,"Московская олимпиада",4
5,"ГБОУ школа № 1352","История","призёр",2016,2017,"Московская олимпиада",3
10,"ННЧУ ОО СОШ «ГАРМОНИЯ»","Обществознание","призёр",2018,2019,"Всероссийская олимпиада",3
11,"ГБОУ школа № 2089","филология","призёр",2014,2015,"Московская олимпиада",5
9,"ГБОУ гимназия № 1567","Биология","победитель",2014,2015,"Всероссийская олимпиада",4
9,"ГБОУ лицей № 1568","Информатика","победитель",2015,2016,"Московская олимпиада",5
10,"ГБОУ СОШ № 2069","Изобразительное искусство","призёр",2014,2015,"Московская олимпиада",4
10,"ГБОУ лицей № 1535","Химия","призёр",2015,2016,"Всероссийская олимпиада",3
11,"ГБОУ школа № 1329","Обществознание","призёр",2017,2018,"Всероссийская олимпиада",5
8,"ГБОУ школа № 1056","Химия","призёр",2016,2017,"Московская олимпиада",4
7,"ГБОУ школа № 185","Технология","призёр",2018,2019,"Московская олимпиада",5
11,"ГБОУ школа № 1208","Биология","призёр",2019,2020,"Всероссийская олимпиада",3
11,"ГБОУ лицей № 1580","Физика","призёр",2012,2013,"Московская олимпиада",5
10,"ГБОУ школа № 2104 на Таганке","Иностранный язык (английский язык)","призёр",2016,2017,"Всероссийская олимпиада",3
10,"ГБОУ школа № 1252","Основы безопасности жизнедеятельности","призёр",2017,2018,"Районная олимпиада",4
9,"ГБОУ школа № 1748","Обществознание","победитель",2017,2018,"Московская олимпиада",4
11,"ГБОУ школа № 1238","История","призёр",2017,2018,"Всероссийская олимпиада",4
8,"ГБОУ школа № 1552","Экология","призёр",2018,2019,"Московская олимпиада",3
10,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Биология","призёр",2012,2013,"Всероссийская олимпиада",5
10,"ГБОУ школа № 2089","Литература","призёр",2014,2015,"Всероссийская олимпиада",4
9,"ГБОУ школа № 324","Основы безопасности жизнедеятельности","призёр",2014,2015,"Всероссийская олимпиада",3
11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Информатика","призёр",2016,2017,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1208","Литература","призёр",2019,2020,"Всероссийская олимпиада",5
7,"ГБОУ школа № 1590","География","призёр",2018,2019,"Московская олимпиада",4
9,"ГБОУ школа № 218","Обществознание","призёр",2015,2016,"Всероссийская олимпиада",3
11,"ГБПОУ «Воробьевы горы»","Физика","призёр",2019,2020,"Всероссийская олимпиада",3
1,"ГБОУ школа «Интеллектуал»","Латынь","призёр",2016,2017,"Московская олимпиада",3
10,"ГБОУ школа № 67","Математика","призёр",2017,2018,"Всероссийская олимпиада",3
9,"ГБОУ гимназия № 1514","Математика","призёр",2014,2015,"Всероссийская олимпиада",5
10,"ГБОУ школа № 1950","Иностранный язык (французский язык)","призёр",2016,2017,"Районная олимпиада",3
7,"ГБОУ гимназия № 1514","Физика","призёр",2015,2016,"Московская олимпиада",4
5,"ГБОУ школа № 727","филология","победитель",2016,2017,"Московская олимпиада",3
9,"ГБОУ школа № 1329","Физика","призёр",2017,2018,"Всероссийская олимпиада",4
10,"ФГБОУ ВО МГЛУ","История","призёр",2019,2020,"Всероссийская олимпиада",5
11,"ГБОУ школа № 171","Экология","победитель",2015,2016,"Районная олимпиада",5
11,"ГБОУ гимназия № 1565 «Свиблово»","Литература","призёр",2014,2015,"Всероссийская олимпиада",3
9,"ГБОУ СОШ № 192","Информатика","призёр",2012,2013,"Московская олимпиада",5
11,"ГБОУ лицей № 1535","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",5
8,"ГБОУ школа № 1535","Экономика","призёр",2017,2018,"Московская олимпиада",3
9,"ГБОУ школа № 962","Биология","призёр",2018,2019,"Всероссийская олимпиада",5
