"TeamSize","OlympiadType","Status","Year_end","Subject","ShortName","Year_begin","Class"
5,"Московская олимпиада","призёр",2019,"Информационные технологии в профессиональной деятельности","ГБОУ школа № 618",2018,10
3,"Районная олимпиада","победитель",2020,"Литература","ГБОУ школа № 1514",2019,9
4,"Всероссийская олимпиада","призёр",2019,"Экономика","ГБОУ школа № 1557",2018,11
5,"Всероссийская олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,11
5,"Всероссийская олимпиада","призёр",2018,"астрономия","ГБОУ школа № 1286",2017,9
5,"Всероссийская олимпиада","призёр",2016,"Мировая Художественная Культура (МХК)","ГБОУ ЦО № 1601 им. Героя Советского Союза Е.К. Лютикова",2015,9
3,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (английский язык)","ГБОУ школа № 556",2018,11
5,"Всероссийская олимпиада","призёр",2017,"Литература","ГБОУ ШОР № 1",2016,9
3,"Московская олимпиада","победитель",2015,"Математика","ГБОУ школа № 1329",2014,9
5,"Всероссийская олимпиада","призёр",2017,"История","ГБОУ гимназия № 1522",2016,10
3,"Всероссийская олимпиада","призёр",2015,"Русский язык","ГБОУ школа № 1371",2014,10
5,"Всероссийская олимпиада","призёр",2014,"Основы безопасности жизнедеятельности","ГБОУ СОШ № 723",2013,10
4,"Московская олимпиада","призёр",2018,"лингвистика","ГБОУ школа № 1543",2017,11
3,"Всероссийская олимпиада","призёр",2013,"Обществознание","ГБОУ СОШ № 796",2012,11
3,"Всероссийская олимпиада","призёр",2018,"Иностранный язык (английский язык)","НИУ ВШЭ. лицей",2017,11
5,"Московская олимпиада","призёр",2013,"Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012,10
4,"Всероссийская олимпиада","победитель",2018,"Обществознание","ГБОУ «Школа Глория»",2017,9
5,"Районная олимпиада","призёр",2013,"Химия","ГБОУ школа № 171",2012,10
4,"Всероссийская олимпиада","призёр",2015,"Русский язык","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,11
3,"Московская олимпиада","призёр",2017,"Изобразительное искусство","ГБОУ школа № 1018",2016,9
5,"Московская олимпиада","призёр",2016,"Математика","ГБОУ гимназия № 1576",2015,7
3,"Московская олимпиада","победитель",2014,"Изобразительное искусство","ГБОУ школа № 648",2013,1
4,"Московская олимпиада","призёр",2019,"Технология","ГБОУ школа № 1404 «Гамма»",2018,5
4,"Районная олимпиада","победитель",2017,"Иностранный язык (английский язык)","ГБОУ гимназия № 1529",2016,10
5,"Всероссийская олимпиада","призёр",2014,"Литература","ГБОУ СОШ № 63",2013,9
5,"Всероссийская олимпиада","победитель",2019,"астрономия","ГБОУ «Лицей «Вторая школа»",2018,10
5,"Всероссийская олимпиада","призёр",2014,"География","ГБОУ лицей № 1564",2013,9
5,"Московская олимпиада","призёр",2014,"предпринимательство","ГБОУ ЦО № 1601",2013,4
5,"Московская олимпиада","победитель",2013,"Изобразительное искусство","ГБОУ школа № 648",2012,3
5,"Всероссийская олимпиада","призёр",2019,"История","ГБОУ школа № 1788",2018,11
4,"Всероссийская олимпиада","призёр",2018,"Русский язык","ГБОУ школа № 1535",2017,11
4,"Московская олимпиада","призёр",2018,"филология","ГБОУ школа № 1980",2017,8
5,"Всероссийская олимпиада","призёр",2019,"Технология","ГБОУ школа № 1537",2018,10
5,"Всероссийская олимпиада","призёр",2020,"Право","ГБОУ Шуваловская школа № 1448",2019,11
5,"Московская олимпиада","призёр",2015,"Химия","ГБОУ СОШ № 597",2014,10
4,"Районная олимпиада","призёр",2016,"Иностранный язык (английский язык)","ФГБОУ ВО МГЛУ",2015,11
4,"Московская олимпиада","призёр",2018,"Изобразительное искусство","ГБОУ школа № 2094",2017,8
5,"Московская олимпиада","призёр",2015,"Химия","МАОУ «Лицей города Троицка»",2014,11
5,"Всероссийская олимпиада","призёр",2018,"История","НИУ ВШЭ. лицей",2017,10
3,"Всероссийская олимпиада","призёр",2020,"Литература","ГБОУ школа № 1356",2019,9
4,"Всероссийская олимпиада","призёр",2018,"Химия","МАОУ «Гимназия г. Троицка»",2017,10
3,"Всероссийская олимпиада","призёр",2013,"Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012,11
3,"Всероссийская олимпиада","призёр",2016,"Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1514",2015,9
5,"Московская олимпиада","призёр",2016,"География","ГБОУ гимназия № 1579",2015,9
3,"Всероссийская олимпиада","призёр",2017,"Литература","ГБОУ школа № 1285",2016,9
3,"Московская олимпиада","призёр",2014,"филология","ГБОУ школа № 853",2013,9
5,"Районная олимпиада","призёр",2015,"Физика","ГБОУ гимназия № 1514",2014,9
3,"Всероссийская олимпиада","призёр",2019,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1589",2018,10
4,"Всероссийская олимпиада","призёр",2016,"История","ГБОУ школа № 962",2015,9
3,"Московская олимпиада","призёр",2015,"Физика","ГБОУ школа № 1329",2014,9
3,"Московская олимпиада","призёр",2019,"Изобразительное искусство","ГБОУ школа № 1056",2018,6
3,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 1238",2017,11
4,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 2109",2017,9
3,"Всероссийская олимпиада","призёр",2020,"Биология","ГБОУ школа № 1208",2019,11
3,"Районная олимпиада","призёр",2019,"Русский язык","ГБОУ школа № 1531",2018,11
5,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (французский язык)","ГБОУ школа № 1541",2018,10
5,"Всероссийская олимпиада","призёр",2016,"Экономика","НИУ ВШЭ. лицей",2015,11
3,"Всероссийская олимпиада","призёр",2018,"Литература","ГБОУ школа № 1535",2017,9
4,"Районная олимпиада","призёр",2019,"Русский язык","ГБОУ школа № 1270",2018,9
3,"Всероссийская олимпиада","призёр",2016,"Физика","ГБОУ школа № 192",2015,9
4,"Районная олимпиада","призёр",2020,"Физическая культура","ГБОУ школа № 1368",2019,9
5,"Всероссийская олимпиада","призёр",2019,"Экономика","ГБОУ школа № 1465",2018,11
3,"Всероссийская олимпиада","призёр",2018,"Русский язык","ГБОУ «Школа на Яузе»",2017,9
5,"Московская олимпиада","призёр",2017,"Технология","ГБОУ школа № 1000",2016,7
3,"Всероссийская олимпиада","призёр",2015,"География","ГБОУ школа № 1847",2014,11
5,"Московская олимпиада","призёр",2018,"Биология","ГБОУ школа № 1747",2017,5
5,"Районная олимпиада","призёр",2018,"Иностранный язык (немецкий язык)","ГБОУ «Немецкая школа № 1212»",2017,9
4,"Всероссийская олимпиада","призёр",2017,"Физика","ГАОУ ВО МИОО. СОШ № 179",2016,9
4,"Всероссийская олимпиада","призёр",2017,"Основы безопасности жизнедеятельности","ФГКОУ «МСВУ МО РФ»",2016,11
3,"Московская олимпиада","призёр",2017,"Химия","ГБОУ «ЦО № 654 имени А.Д. Фридмана»",2016,8
4,"Всероссийская олимпиада","призёр",2020,"Право","лицей НИУ ВШЭ",2019,10
4,"Всероссийская олимпиада","призёр",2017,"Биология","ГБОУ школа № 2031",2016,11
5,"Всероссийская олимпиада","призёр",2014,"Обществознание","ГБОУ ЦО № 1080 «Экополис»",2013,11
3,"Всероссийская олимпиада","призёр",2015,"Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1514",2014,9
5,"Всероссийская олимпиада","призёр",2017,"Иностранный язык (французский язык)","ГБОУ школа № 1468",2016,10
4,"Всероссийская олимпиада","призёр",2018,"Обществознание","ГБОУ школа № 1554",2017,9
5,"Всероссийская олимпиада","призёр",2018,"Иностранный язык (французский язык)","ГБОУ школа № 117",2017,11
3,"Всероссийская олимпиада","призёр",2018,"Литература","ГБОУ школа № 1579",2017,9
4,"Всероссийская олимпиада","призёр",2015,"Математика","ГАОУ ВО МИОО. СОШ № 179",2014,9
5,"Всероссийская олимпиада","призёр",2017,"Русский язык","ГБОУ школа № 2089",2016,9
5,"Московская олимпиада","призёр",2018,"Биология","ГБОУ школа № 1517",2017,7
4,"Московская олимпиада","призёр",2016,"Математика","ГБОУ «Курчатовская школа»",2015,8
5,"Всероссийская олимпиада","призёр",2018,"Основы безопасности жизнедеятельности","ГБОУ школа № 2054",2017,10
4,"Всероссийская олимпиада","победитель",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,11
3,"Всероссийская олимпиада","призёр",2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 117",2018,9
5,"Московская олимпиада","призёр",2018,"Технология","ГБОУ школа № 814",2017,5
5,"Московская олимпиада","призёр",2018,"Изобразительное искусство","ГБОУ школа № 1324",2017,6
5,"Московская олимпиада","победитель",2019,"География","ГБОУ школа № 887",2018,9
5,"Всероссийская олимпиада","призёр",2017,"Право","ГБОУ ГСГ",2016,10
3,"Районная олимпиада","призёр",2017,"Экология","ГБОУ школа № 536",2016,11
3,"Всероссийская олимпиада","призёр",2015,"Биология","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,10
3,"Всероссийская олимпиада","победитель",2017,"Иностранный язык (английский язык)","ГБОУ гимназия № 1520 им. Капцовых",2016,11
5,"Всероссийская олимпиада","призёр",2016,"Литература","ГБОУ гимназия № 1503",2015,9
3,"Всероссийская олимпиада","призёр",2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 236",2018,10
3,"Районная олимпиада","призёр",2015,"Обществознание","ГБОУ СОШ № 1359",2014,9
5,"Московская олимпиада","призёр",2019,"Математика","ГБОУ школа № 1329",2018,6
3,"Всероссийская олимпиада","призёр",2014,"Иностранный язык (немецкий язык)","ГБОУ СОШ № 1249",2013,11
3,"Московская олимпиада","призёр",2019,"Химия","ГБОУ школа № 1568",2018,9
4,"Всероссийская олимпиада","призёр",2018,"Право","ГБОУ школа «Тропарево»",2017,11
3,"Московская олимпиада","призёр",2013,"Экономика","ГБОУ гимназия № 1518",2012,11
5,"Всероссийская олимпиада","призёр",2018,"Иностранный язык (немецкий язык)","ГБОУ школа № 1272",2017,11
3,"Московская олимпиада","призёр",2013,"Изобразительное искусство","ГБОУ школа № 1420",2012,4
4,"Всероссийская олимпиада","победитель",2017,"Обществознание","ГБОУ школа № 1948",2016,9
5,"Всероссийская олимпиада","победитель",2017,"Иностранный язык (английский язык)","НИУ ВШЭ. лицей",2016,10
3,"Московская олимпиада","призёр",2019,"Биология","ГБОУ школа № 1637",2018,8
5,"Всероссийская олимпиада","призёр",2019,"Технология","ГБОУ школа № 1580",2018,11
4,"Всероссийская олимпиада","призёр",2019,"Биология","ГБОУ школа «Интеллектуал»",2018,9
4,"Всероссийская олимпиада","победитель",2019,"Право","ГБОУ школа № 1329",2018,9
5,"Всероссийская олимпиада","призёр",2018,"Русский язык","ГБОУ школа «Интеграл»",2017,9
4,"Районная олимпиада","призёр",2017,"Математика","ГАОУ ВПО МИОО. СОШ № 179",2016,9
3,"Московская олимпиада","призёр",2015,"Изобразительное искусство","ГБОУ школа № 1288",2014,7
3,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (испанский язык)","ГБОУ школа № 1568",2018,10
4,"Всероссийская олимпиада","призёр",2014,"Русский язык","ГБОУ лицей № 1502 при МЭИ",2013,9
4,"Всероссийская олимпиада","призёр",2018,"Литература","МАОУ «Лицей города Троицка»",2017,10
3,"Всероссийская олимпиада","призёр",2016,"Биология","ГБОУ лицей № 1535",2015,11
3,"Всероссийская олимпиада","призёр",2017,"Русский язык","ГБОУ школа № 57",2016,10
3,"Московская олимпиада","победитель",2017,"Химия","ГБОУ лицей № 1535",2016,11
3,"Всероссийская олимпиада","призёр",2016,"География","ГБОУ школа № 2116",2015,11
4,"Московская олимпиада","призёр",2018,"Изобразительное искусство","ГБОУ школа № 2070",2017,9
5,"Московская олимпиада","победитель",2014,"Изобразительное искусство","ГБОУ СОШ № 18",2013,9
4,"Всероссийская олимпиада","призёр",2019,"Литература","ГАОУ школа № 548",2018,9
5,"Районная олимпиада","призёр",2018,"География","ГБОУ школа «Спектр»",2017,9
5,"Всероссийская олимпиада","призёр",2019,"Обществознание","Российская академия государственной службы при Президенте Российской Федерации",2018,11
4,"Районная олимпиада","призёр",2013,"История","ГБОУ СОШ № 136",2012,11
5,"Всероссийская олимпиада","призёр",2018,"Математика","ГБОУ школа № 1534",2017,10
4,"Районная олимпиада","призёр",2014,"Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,11
4,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 1861 «Загорье»",2017,10
3,"Всероссийская олимпиада","призёр",2020,"Экология","ГБОУ школа № 2045",2019,10
5,"Всероссийская олимпиада","призёр",2013,"История","ГБОУ школа № 1400",2012,10
3,"Всероссийская олимпиада","призёр",2015,"География","ГБОУ школа № 171",2014,10
4,"Всероссийская олимпиада","призёр",2019,"История","лицей НИУ ВШЭ",2018,10
5,"Московская олимпиада","призёр",2015,"Химия","ГБОУ лицей № 1568",2014,8
5,"Московская олимпиада","победитель",2014,"Изобразительное искусство","ГБОУ гимназия № 1576",2013,5
3,"Всероссийская олимпиада","призёр",2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 2036",2019,8
4,"Московская олимпиада","призёр",2019,"филология","ГБОУ школа № 1980",2018,8
4,"Всероссийская олимпиада","призёр",2017,"астрономия","ГБОУ «Школа на Яузе»",2016,9
4,"Московская олимпиада","призёр",2017,"Технология","ГБОУ школа № 814",2016,5
3,"Всероссийская олимпиада","призёр",2014,"Русский язык","ГАОУ ЦО № 548",2013,10
3,"Всероссийская олимпиада","победитель",2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 1506",2019,9
4,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 1535",2017,11
3,"Московская олимпиада","призёр",2018,"История","ГБОУ школа № 1259",2017,9
3,"Московская олимпиада","победитель",2014,"Изобразительное искусство","ГБОУ школа № 648",2013,4
3,"Московская олимпиада","призёр",2014,"География","ГБОУ СОШ № 224",2013,9
5,"Московская олимпиада","призёр",2014,"Изобразительное искусство","ЧУ СОШ «Лотос»",2013,5
4,"Всероссийская олимпиада","призёр",2019,"Русский язык","ГБОУ школа № 1955",2018,11
5,"Всероссийская олимпиада","призёр",2020,"Иностранный язык (французский язык)","ГБОУ школа № 1248",2019,10
5,"Всероссийская олимпиада","призёр",2016,"Физика","ГБОУ школа № 57",2015,10
4,"Всероссийская олимпиада","победитель",2016,"Иностранный язык (английский язык)","ГБОУ школа № 1747",2015,11
3,"Московская олимпиада","призёр",2017,"филология","ГАОУ гимназия № 1306",2016,6
3,"Районная олимпиада","призёр",2015,"Биология","ГБОУ СОШ № 549",2014,11
3,"Всероссийская олимпиада","призёр",2015,"Физика","ГБОУ СОШ № 2086",2014,9
5,"Всероссийская олимпиада","призёр",2019,"Право","ГБОУ школа № 1504",2018,11
5,"Московская олимпиада","призёр",2015,"Математика","ГБОУ СОШ № 2086",2014,11
5,"Всероссийская олимпиада","призёр",2018,"История","ГБОУ школа № 1514",2017,11
5,"Всероссийская олимпиада","призёр",2020,"Химия","университетская гимназия",2019,11
3,"Всероссийская олимпиада","призёр",2019,"Экономика","ГАОУ «Школа № 1518»",2018,9
4,"Московская олимпиада","призёр",2019,"Химия","университетская гимназия",2018,10
3,"Московская олимпиада","призёр",2018,"Биология","ГБОУ школа № 1557",2017,8
3,"Всероссийская олимпиада","призёр",2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 1002",2018,9
5,"Московская олимпиада","призёр",2016,"Технология","ГБОУ школа № 69",2015,7
5,"Районная олимпиада","призёр",2016,"Иностранный язык (итальянский язык)","ГБОУ гимназия № 1576",2015,10
4,"Московская олимпиада","призёр",2017,"Физика","ГБОУ школа № 1329",2016,7
3,"Всероссийская олимпиада","призёр",2019,"астрономия","СУНЦ МГУ",2018,11
3,"Московская олимпиада","победитель",2018,"Технология","ГБОУ школа № 185",2017,5
3,"Всероссийская олимпиада","призёр",2015,"Иностранный язык (английский язык)","ГБОУ школа № 1273",2014,11
5,"Всероссийская олимпиада","призёр",2017,"Биология","ГБОУ школа № 57",2016,9
3,"Московская олимпиада","призёр",2014,"Экономика","ГБОУ СОШ № 199",2013,6
5,"Московская олимпиада","победитель",2018,"Химия","ГБОУ школа № 218",2017,10
5,"Всероссийская олимпиада","призёр",2014,"Физика","ГАОУ ВО МИОО. СОШ № 179",2013,10
5,"Всероссийская олимпиада","призёр",2014,"Русский язык","ГБОУ гимназия № 1563",2013,10
4,"Всероссийская олимпиада","призёр",2016,"Иностранный язык (английский язык)","ГБОУ школа № 1259 с углубленным изучением иностранных языков",2015,9
5,"Всероссийская олимпиада","призёр",2015,"Обществознание","ГБОУ гимназия № 1048 «Новокосино»",2014,9
4,"Всероссийская олимпиада","призёр",2020,"Литература","ГБОУ Инженерная школа № 1581",2019,9
3,"Московская олимпиада","призёр",2013,"Математика","ГБОУ лицей № 1568",2012,7
4,"Московская олимпиада","победитель",2016,"Изобразительное искусство","ГБОУ школа № 345",2015,11
3,"Всероссийская олимпиада","призёр",2016,"Иностранный язык (английский язык)","ЧУ СОШ «СААШ «Марина»",2015,11
3,"Московская олимпиада","призёр",2017,"Биология","ГБОУ гимназия № 1532",2016,7
3,"Всероссийская олимпиада","призёр",2018,"Обществознание","НИУ ВШЭ. лицей",2017,11
5,"Районная олимпиада","призёр",2016,"История","ГБОУ школа № 2114",2015,10
4,"Районная олимпиада","призёр",2016,"Биология","ГБОУ Московская гимназия на Юго-Западе № 1543",2015,11
5,"Районная олимпиада","призёр",2016,"История","ГБОУ школа № 199",2015,9
3,"Московская олимпиада","призёр",2019,"Технология","ГБОУ школа № 185",2018,6
4,"Районная олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ лицей «Вторая школа»",2017,9
5,"Всероссийская олимпиада","призёр",2018,"Математика","ГБОУ школа № 171",2017,9
4,"Всероссийская олимпиада","призёр",2020,"Иностранный язык (английский язык)","ГБОУ школа № 1238",2019,11
5,"Всероссийская олимпиада","призёр",2019,"История","ГБОУ школа № 1542",2018,9
4,"Районная олимпиада","призёр",2015,"Право","ГБОУ СОШ № 436",2014,11
5,"Всероссийская олимпиада","призёр",2018,"Математика","ГБОУ школа № 179",2017,9
3,"Московская олимпиада","призёр",2019,"Изобразительное искусство","ГБОУ школа № 1158",2018,8
5,"Районная олимпиада","призёр",2015,"Русский язык","ГБОУ гимназия № 1567",2014,10
4,"Всероссийская олимпиада","призёр",2018,"Иностранный язык (английский язык)","ГБОУ школа № 1566",2017,9
4,"Всероссийская олимпиада","призёр",2017,"Иностранный язык (английский язык)","ГБОУ гимназия № 1573",2016,10
5,"Районная олимпиада","победитель",2019,"Математика","ГБОУ «Лицей «Вторая школа»",2018,11
4,"Всероссийская олимпиада","призёр",2020,"Математика","ГБОУ «Лицей «Вторая школа»",2019,11
5,"Районная олимпиада","призёр",2020,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1514",2019,10
5,"Всероссийская олимпиада","призёр",2018,"Экология","ГБОУ школа № 1502 при МЭИ",2017,9
4,"Районная олимпиада","призёр",2018,"Основы безопасности жизнедеятельности","ГБОУ школа № 1547",2017,11
5,"Всероссийская олимпиада","призёр",2015,"Математика","ГБОУ Физматшкола 2007",2014,9
4,"Всероссийская олимпиада","призёр",2015,"Иностранный язык (английский язык)","ГБОУ СОШ № 2107",2014,11
3,"Всероссийская олимпиада","призёр",2016,"Экология","ГБОУ школа № 1021",2015,9
3,"Московская олимпиада","призёр",2019,"Информационные технологии в профессиональной деятельности","ГБОУ школа № 1557",2018,10
3,"Московская олимпиада","призёр",2019,"Информатика","ГАОУ школа № 548",2018,6
5,"Московская олимпиада","призёр",2018,"Математика","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,11
3,"Всероссийская олимпиада","призёр",2020,"Математика","ГБОУ школа № 57",2019,10
3,"Всероссийская олимпиада","призёр",2013,"География","ГБОУ СОШ № 962",2012,11
5,"Московская олимпиада","призёр",2017,"Математика","ГБОУ лицей № 1557",2016,11
3,"Московская олимпиада","призёр",2017,"Технология","ГБОУ школа № 618",2016,6
4,"Всероссийская олимпиада","призёр",2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 1539",2018,9
4,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (английский язык)","ФГБОУ ВО МГЛУ",2018,10
3,"Всероссийская олимпиада","призёр",2016,"История","ГБОУ СОШ № 654 имени А.Д. Фридмана",2015,11
3,"Всероссийская олимпиада","призёр",2020,"Русский язык","ГБОУ школа № 17",2019,11
4,"Районная олимпиада","призёр",2013,"Литература","ГБОУ Московская гимназия на Юго-Западе № 1543",2012,9
3,"Московская олимпиада","призёр",2015,"Обществознание","НИУ ВШЭ. лицей",2014,11
3,"Всероссийская олимпиада","призёр",2013,"Русский язык","НОУ СОШ «Московский лицей «Ступени»",2012,10
4,"Всероссийская олимпиада","призёр",2020,"Экология","ГБОУ школа № 64",2019,10
4,"Всероссийская олимпиада","победитель",2014,"Русский язык","ГБОУ СОШ № 1249",2013,9
4,"Московская олимпиада","призёр",2015,"Изобразительное искусство","ГБОУ школа № 896",2014,7
5,"Московская олимпиада","призёр",2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ОАНО школа «Ника»",2017,6
3,"Всероссийская олимпиада","призёр",2020,"История","ОАНО «Школа «ЛЕТОВО»",2019,10
5,"Всероссийская олимпиада","призёр",2019,"Право","ГБОУ Шуваловская школа № 1448",2018,11
4,"Московская олимпиада","призёр",2019,"филология","ГБОУ школа № 2009",2018,8
4,"Московская олимпиада","победитель",2019,"Изобразительное искусство","ГБОУ школа № 554",2018,10
3,"Московская олимпиада","призёр",2015,"Информатика","ГБОУ Физматшкола 2007",2014,9
3,"Всероссийская олимпиада","призёр",2019,"Информатика","ГБОУ школа № 1543",2018,10
3,"Всероссийская олимпиада","призёр",2020,"Иностранный язык (английский язык)","ГБОУ «ЦОИС «Москва-98» Москомспорта",2019,11
3,"Всероссийская олимпиада","призёр",2016,"Физическая культура","ГБОУ школа № 853",2015,10
3,"Всероссийская олимпиада","призёр",2020,"Литература","ГБОУ школа № 1287",2019,10
5,"Всероссийская олимпиада","призёр",2016,"Экономика","ГБОУ лицей № 1535",2015,11
5,"Всероссийская олимпиада","победитель",2016,"Биология","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,10
4,"Всероссийская олимпиада","призёр",2020,"Физика","ГБОУ школа № 2007 ФМШ",2019,9
5,"Московская олимпиада","победитель",2015,"филология","ГБОУ лицей № 1575",2014,10
4,"Всероссийская олимпиада","победитель",2019,"Математика","ГБОУ «Лицей «Вторая школа»",2018,11
4,"Всероссийская олимпиада","призёр",2015,"История","ОАНО «ОЦ» Лучик»",2014,10
4,"Московская олимпиада","призёр",2019,"Обществознание","ГБОУ школа № 1980",2018,8
4,"Московская олимпиада","призёр",2016,"филология","ГБОУ лицей № 1575",2015,11
5,"Московская олимпиада","призёр",2017,"Технология","ГБОУ школа № 2030",2016,6
4,"Районная олимпиада","призёр",2016,"Русский язык","ГБОУ ММГ",2015,9
5,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (английский язык)","ГБОУ школа № 1561",2018,10
5,"Московская олимпиада","призёр",2018,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",2017,9
5,"Всероссийская олимпиада","призёр",2019,"Физика","СУНЦ МГУ",2018,11
4,"Московская олимпиада","победитель",2018,"Право","ГБОУ школа им. Н.М. Карамзина",2017,8
3,"Всероссийская олимпиада","призёр",2020,"Русский язык","ГБОУ школа № 1583",2019,11
4,"Всероссийская олимпиада","призёр",2015,"История","ГБОУ лицей «Вторая школа»",2014,11
5,"Всероссийская олимпиада","призёр",2018,"Экономика","ГБОУ школа № 444",2017,9
5,"Всероссийская олимпиада","призёр",2019,"Русский язык","ГБОУ школа № 641 имени С. Есенина",2018,10
4,"Всероссийская олимпиада","победитель",2018,"Биология","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,10
4,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (испанский язык)","ГБОУ школа № 1252",2018,9
5,"Московская олимпиада","победитель",2017,"Изобразительное искусство","ГБОУ лицей № 1502 при МЭИ",2016,7
5,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (английский язык)","ГБОУ школа № 1354 «Вектор»",2018,11
4,"Московская олимпиада","призёр",2016,"Математика","ГБОУ Физматшкола № 2007",2015,8
4,"Московская олимпиада","призёр",2014,"Экономика","ГБОУ СОШ № 2006",2013,11
5,"Московская олимпиада","призёр",2019,"Физика","ГАОУ школа № 548",2018,7
4,"Всероссийская олимпиада","призёр",2013,"Иностранный язык (немецкий язык)","ГБОУ СОШ № 1249",2012,10
4,"Московская олимпиада","призёр",2019,"Химия","университетская гимназия",2018,8
4,"Всероссийская олимпиада","призёр",2017,"Иностранный язык (французский язык)","ГБОУ школа № 1251 имени генерала Шарля де Голля",2016,9
3,"Всероссийская олимпиада","призёр",2016,"Литература","ГБОУ школа № 1905",2015,11
5,"Районная олимпиада","призёр",2018,"Литература","ГБОУ школа № 1553 имени В.И. Вернадского",2017,11
5,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 1251 имени генерала Шарля де Голля",2018,10
4,"Районная олимпиада","призёр",2018,"Физика","ГБОУ школа № 518",2017,10
3,"Районная олимпиада","призёр",2019,"История","ОО ЧУ «Классическая гимназия при ГЛК»",2018,11
4,"Московская олимпиада","призёр",2016,"Химия","ГБОУ гимназия № 1517",2015,9
4,"Московская олимпиада","победитель",2015,"филология","ГБОУ СОШ № 2097",2014,7
4,"Районная олимпиада","призёр",2019,"Химия","ГБОУ школа № 1589",2018,11
4,"Всероссийская олимпиада","призёр",2015,"История","ГБОУ СОШ № 1394",2014,9
5,"Всероссийская олимпиада","призёр",2019,"География","ГБОУ школа № 654 имени А.Д. Фридмана",2018,9
4,"Всероссийская олимпиада","призёр",2014,"Экономика","ГБОУ лицей «Вторая школа»",2013,11
3,"Всероссийская олимпиада","призёр",2015,"Физика","ГБОУ школа № 2077",2014,10
5,"Всероссийская олимпиада","призёр",2016,"Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,10
3,"Всероссийская олимпиада","победитель",2015,"Иностранный язык (немецкий язык)","ГБОУ СОШ № 426",2014,11
3,"Всероссийская олимпиада","призёр",2019,"Литература","ГБОУ школа № 814",2018,9
3,"Московская олимпиада","призёр",2015,"Математика","ГБОУ Физматшкола 2007",2014,6
4,"Всероссийская олимпиада","призёр",2016,"Обществознание","ГБОУ школа № 183",2015,9
3,"Московская олимпиада","победитель",2016,"филология","ГБОУ школа № 727",2015,11
5,"Районная олимпиада","победитель",2018,"Физическая культура","ГБОУ школа № 2089",2017,11
