"personal_status","duration","credit_history","purpose","type","existing_credits","credit_amount","housing","age"
"женщина",33,"есть непогашенные кредиты","мебель","надежный",1,8193,"домовладелец",31
"мужчина (одинокий)",37,"есть просрочки платежей","бытовая техника","надежный",2,2737,"домовладелец",45
"мужчина (одинокий)",17,"есть непогашенные кредиты","бытовая техника","надежный",1,4397,"домовладелец",45
"мужчина (женатый или вдовец)",7,"есть непогашенные кредиты","другое","ненадежный",1,736,"арендатор",24
"женщина",22,"есть непогашенные кредиты","новая машина","ненадежный",1,2023,"домовладелец",28
"мужчина (одинокий)",22,"есть непогашенные кредиты","мебель","надежный",2,1993,"домовладелец",58
"мужчина (одинокий)",15,"есть непогашенные кредиты","бытовая техника","ненадежный",1,1795,"домовладелец",31
"мужчина (женатый или вдовец)",28,"есть непогашенные кредиты","новая машина","надежный",1,1583,"арендатор",36
"мужчина (одинокий)",29,"есть просрочки платежей","образование","надежный",1,5779,"без жилья",34
"женщина",42,"есть просрочки платежей","мебель","ненадежный",2,8946,"арендатор",19
"женщина",11,"есть просрочки платежей","мебель","надежный",2,2851,"домовладелец",21
"женщина",15,"есть непогашенные кредиты","мебель","надежный",1,1538,"домовладелец",25
"мужчина (одинокий)",35,"есть непогашенные кредиты","подержанная машина","надежный",1,6212,"без жилья",26
"мужчина (разведенный)",23,"есть непогашенные кредиты","мебель","надежный",1,2730,"без жилья",54
"мужчина (одинокий)",18,"есть просрочки платежей","бытовая техника","надежный",2,2029,"домовладелец",56
"мужчина (одинокий)",12,"есть непогашенные кредиты","новая машина","ненадежный",1,3024,"домовладелец",38
"женщина",18,"есть непогашенные кредиты","подержанная машина","ненадежный",1,18950,"без жилья",36
"женщина",25,"есть просрочки платежей","бытовая техника","надежный",2,1552,"арендатор",58
"мужчина (одинокий)",74,"есть непогашенные кредиты","бытовая техника","ненадежный",1,2493,"без жилья",27
"мужчина (одинокий)",29,"есть просрочки платежей","подержанная машина","надежный",2,2906,"домовладелец",29
"мужчина (одинокий)",12,"есть просрочки платежей","новая машина","надежный",2,2071,"домовладелец",41
"мужчина (одинокий)",18,"есть просрочки платежей","мебель","надежный",2,6617,"домовладелец",45
"женщина",8,"есть непогашенные кредиты","мебель","ненадежный",1,1477,"домовладелец",25
"женщина",16,"есть непогашенные кредиты","бытовая техника","ненадежный",1,3228,"домовладелец",24
"женщина",20,"есть непогашенные кредиты","новая машина","ненадежный",1,1242,"домовладелец",21
"мужчина (одинокий)",22,"есть непогашенные кредиты","бизнес","надежный",1,3536,"арендатор",22
"мужчина (одинокий)",31,"есть непогашенные кредиты","новая машина","ненадежный",1,1555,"домовладелец",20
"мужчина (одинокий)",12,"есть непогашенные кредиты","новая машина","надежный",1,2966,"домовладелец",35
"мужчина (одинокий)",5,"есть непогашенные кредиты","бизнес","надежный",1,4404,"домовладелец",77
"женщина",12,"есть непогашенные кредиты","мебель","ненадежный",1,2724,"арендатор",26
"женщина",3,"есть непогашенные кредиты","другое","надежный",1,371,"домовладелец",23
"женщина",18,"есть непогашенные кредиты","мебель","надежный",1,3453,"домовладелец",50
"мужчина (одинокий)",22,"есть непогашенные кредиты","новая машина","надежный",1,8953,"домовладелец",45
"мужчина (одинокий)",27,"есть непогашенные кредиты","новая машина","надежный",2,8066,"домовладелец",33
"женщина",20,"есть непогашенные кредиты","бытовая техника","ненадежный",2,8688,"домовладелец",37
"женщина",34,"все кредиты погашены","новая машина","ненадежный",2,1486,"арендатор",24
"мужчина (одинокий)",17,"есть просрочки платежей","новая машина","надежный",1,2690,"домовладелец",59
"женщина",24,"есть непогашенные кредиты","бизнес","надежный",1,1063,"домовладелец",22
"мужчина (разведенный)",7,"есть непогашенные кредиты","бизнес","надежный",1,2756,"домовладелец",33
"мужчина (одинокий)",53,"есть непогашенные кредиты","мебель","надежный",1,4992,"домовладелец",30
"мужчина (одинокий)",9,"есть непогашенные кредиты","новая машина","надежный",1,1708,"арендатор",38
"мужчина (разведенный)",19,"есть непогашенные кредиты","новая машина","ненадежный",2,1406,"арендатор",37
"мужчина (одинокий)",3,"есть непогашенные кредиты","новая машина","ненадежный",1,14636,"домовладелец",22
"женщина",17,"есть непогашенные кредиты","новая машина","надежный",1,2646,"домовладелец",26
"женщина",29,"есть непогашенные кредиты","ремонт жилья","надежный",1,3950,"домовладелец",60
"мужчина (одинокий)",20,"есть просрочки платежей","новая машина","ненадежный",2,1797,"домовладелец",69
"мужчина (одинокий)",27,"есть непогашенные кредиты","мебель","надежный",1,3807,"домовладелец",41
"мужчина (одинокий)",20,"есть непогашенные кредиты","мебель","надежный",1,3408,"домовладелец",27
"мужчина (одинокий)",35,"все кредиты погашены","подержанная машина","надежный",2,7996,"арендатор",39
"женщина",7,"есть непогашенные кредиты","мебель","надежный",1,1444,"домовладелец",32
"мужчина (одинокий)",38,"есть просрочки платежей","подержанная машина","надежный",2,3403,"домовладелец",40
"мужчина (разведенный)",18,"все кредиты погашены","бытовая техника","ненадежный",1,2480,"без жилья",24
"мужчина (одинокий)",65,"есть непогашенные кредиты","бытовая техника","ненадежный",1,5545,"домовладелец",31
"женщина",8,"есть непогашенные кредиты","мебель","надежный",1,1342,"домовладелец",23
"мужчина (одинокий)",16,"есть просрочки платежей","бытовая техника","надежный",3,3058,"домовладелец",41
"женщина",16,"есть непогашенные кредиты","бытовая техника","ненадежный",2,1983,"арендатор",26
"мужчина (одинокий)",53,"есть непогашенные кредиты","ремонт жилья","ненадежный",1,2949,"арендатор",31
"мужчина (одинокий)",15,"есть просрочки платежей","новая машина","надежный",2,1668,"домовладелец",61
"мужчина (одинокий)",59,"есть непогашенные кредиты","другое","надежный",1,6267,"без жилья",42
"мужчина (одинокий)",26,"есть просрочки платежей","новая машина","ненадежный",2,1020,"домовладелец",33
"мужчина (одинокий)",26,"есть непогашенные кредиты","бытовая техника","ненадежный",2,3556,"домовладелец",32
"мужчина (одинокий)",30,"есть просрочки платежей","подержанная машина","надежный",3,14887,"без жилья",39
"мужчина (женатый или вдовец)",28,"есть просрочки платежей","бытовая техника","надежный",2,3244,"домовладелец",38
"мужчина (одинокий)",36,"есть просрочки платежей","подержанная машина","надежный",2,6457,"домовладелец",26
"мужчина (одинокий)",3,"есть непогашенные кредиты","новая машина","надежный",1,1729,"домовладелец",29
"мужчина (одинокий)",20,"есть просрочки платежей","бизнес","надежный",2,3152,"домовладелец",36
"мужчина (разведенный)",18,"есть просрочки платежей","новая машина","надежный",1,3882,"домовладелец",40
"женщина",16,"есть непогашенные кредиты","новая машина","надежный",1,11168,"арендатор",28
"мужчина (одинокий)",6,"есть непогашенные кредиты","мебель","надежный",1,2470,"домовладелец",34
"мужчина (одинокий)",12,"есть непогашенные кредиты","бытовая техника","надежный",2,1514,"домовладелец",30
"мужчина (одинокий)",29,"все кредиты погашены","мебель","ненадежный",1,4175,"домовладелец",28
"мужчина (одинокий)",20,"все кредиты погашены","новая машина","ненадежный",2,1674,"без жилья",38
"женщина",20,"есть непогашенные кредиты","новая машина","надежный",1,6412,"без жилья",40
"мужчина (одинокий)",13,"все кредиты погашены","новая машина","ненадежный",2,7681,"домовладелец",38
"женщина",27,"есть просрочки платежей","бытовая техника","надежный",2,1839,"домовладелец",48
"женщина",12,"есть непогашенные кредиты","новая машина","ненадежный",1,1995,"домовладелец",22
"мужчина (одинокий)",43,"есть просрочки платежей","бытовая техника","надежный",1,5297,"домовладелец",44
"женщина",29,"есть просрочки платежей","мебель","надежный",1,900,"арендатор",22
"мужчина (женатый или вдовец)",19,"есть непогашенные кредиты","бытовая техника","надежный",1,1412,"домовладелец",25
"женщина",13,"есть просрочки платежей","бытовая техника","надежный",2,1921,"домовладелец",31
"мужчина (одинокий)",17,"есть непогашенные кредиты","мебель","надежный",2,2542,"домовладелец",22
"женщина",25,"есть непогашенные кредиты","новая машина","надежный",1,1847,"домовладелец",23
"женщина",25,"есть непогашенные кредиты","бытовая техника","надежный",1,2898,"домовладелец",21
"женщина",27,"есть непогашенные кредиты","новая машина","ненадежный",1,1207,"домовладелец",34
"женщина",17,"есть непогашенные кредиты","бытовая техника","надежный",1,7625,"домовладелец",49
"женщина",9,"все кредиты погашены","новая машина","ненадежный",1,1239,"домовладелец",28
"мужчина (одинокий)",7,"есть непогашенные кредиты","новая машина","надежный",1,905,"домовладелец",33
"мужчина (одинокий)",15,"не было кредитов","ремонт жилья","ненадежный",2,1447,"домовладелец",26
"женщина",41,"есть непогашенные кредиты","бытовая техника","надежный",1,2180,"домовладелец",29
"мужчина (женатый или вдовец)",27,"есть просрочки платежей","бытовая техника","надежный",3,5301,"без жилья",43
"мужчина (одинокий)",4,"есть просрочки платежей","бытовая техника","надежный",3,1785,"домовладелец",39
"мужчина (одинокий)",33,"есть непогашенные кредиты","подержанная машина","надежный",1,3628,"без жилья",43
"мужчина (одинокий)",16,"есть просрочки платежей","бизнес","ненадежный",2,3056,"домовладелец",36
"мужчина (одинокий)",25,"есть непогашенные кредиты","бытовая техника","надежный",1,2374,"домовладелец",29
"мужчина (одинокий)",76,"есть непогашенные кредиты","образование","надежный",1,8083,"без жилья",55
"мужчина (одинокий)",51,"есть непогашенные кредиты","мебель","ненадежный",1,3851,"домовладелец",37
"мужчина (женатый или вдовец)",35,"есть непогашенные кредиты","новая машина","надежный",1,1451,"домовладелец",30
"мужчина (одинокий)",6,"есть непогашенные кредиты","бытовая техника","надежный",1,2535,"арендатор",39
"мужчина (одинокий)",23,"есть просрочки платежей","бытовая техника","надежный",2,1832,"без жилья",32
"мужчина (женатый или вдовец)",26,"есть просрочки платежей","новая машина","ненадежный",2,3468,"домовладелец",25
"женщина",9,"есть непогашенные кредиты","мебель","надежный",1,1043,"домовладелец",28
"мужчина (одинокий)",38,"есть просрочки платежей","ремонт жилья","надежный",2,5116,"без жилья",48
"женщина",39,"есть непогашенные кредиты","бытовая техника","ненадежный",1,3033,"без жилья",58
"женщина",14,"есть непогашенные кредиты","мебель","ненадежный",1,1526,"арендатор",25
"женщина",11,"есть непогашенные кредиты","мебель","ненадежный",1,825,"домовладелец",28
"мужчина (одинокий)",10,"есть непогашенные кредиты","новая машина","надежный",1,6207,"домовладелец",35
"женщина",13,"есть просрочки платежей","образование","надежный",2,1782,"арендатор",44
"мужчина (одинокий)",13,"есть непогашенные кредиты","бытовая техника","надежный",1,2440,"домовладелец",38
"женщина",5,"есть просрочки платежей","новая машина","надежный",2,327,"домовладелец",41
"мужчина (одинокий)",32,"есть непогашенные кредиты","бытовая техника","надежный",1,6538,"домовладелец",28
"женщина",17,"есть просрочки платежей","бизнес","надежный",2,1524,"домовладелец",33
"женщина",7,"есть просрочки платежей","бытовая техника","надежный",2,1953,"домовладелец",32
"женщина",90,"есть непогашенные кредиты","бытовая техника","надежный",1,13218,"домовладелец",24
"женщина",12,"есть непогашенные кредиты","мебель","надежный",1,1553,"домовладелец",50
"мужчина (одинокий)",20,"есть непогашенные кредиты","образование","надежный",1,1011,"без жилья",51
"мужчина (одинокий)",30,"есть просрочки платежей","подержанная машина","ненадежный",2,5121,"без жилья",41
"мужчина (женатый или вдовец)",6,"есть непогашенные кредиты","бытовая техника","надежный",1,577,"домовладелец",25
"мужчина (одинокий)",62,"не было кредитов","бизнес","ненадежный",2,9658,"арендатор",32
"мужчина (одинокий)",13,"есть просрочки платежей","подержанная машина","надежный",1,2403,"домовладелец",30
"мужчина (разведенный)",11,"есть непогашенные кредиты","мебель","надежный",1,1109,"домовладелец",46
"женщина",19,"есть непогашенные кредиты","бытовая техника","ненадежный",1,3047,"домовладелец",21
"мужчина (разведенный)",12,"есть непогашенные кредиты","бытовая техника","надежный",1,1523,"домовладелец",26
"мужчина (одинокий)",45,"есть непогашенные кредиты","бизнес","ненадежный",1,4571,"домовладелец",36
"женщина",28,"есть непогашенные кредиты","бытовая техника","надежный",1,1949,"домовладелец",29
"мужчина (одинокий)",11,"есть просрочки платежей","бытовая техника","надежный",2,1119,"домовладелец",25
"мужчина (одинокий)",12,"есть просрочки платежей","новая машина","надежный",3,1329,"без жилья",55
"мужчина (женатый или вдовец)",22,"есть просрочки платежей","бытовая техника","надежный",2,1687,"домовладелец",51
"женщина",38,"есть непогашенные кредиты","бытовая техника","надежный",1,3412,"домовладелец",27
"мужчина (разведенный)",23,"есть непогашенные кредиты","бытовая техника","ненадежный",1,3127,"арендатор",27
"мужчина (женатый или вдовец)",32,"есть просрочки платежей","новая машина","надежный",2,1327,"домовладелец",34
"мужчина (одинокий)",42,"есть непогашенные кредиты","подержанная машина","ненадежный",1,9083,"без жилья",54
"женщина",17,"есть непогашенные кредиты","бытовая техника","надежный",1,994,"домовладелец",27
"женщина",13,"есть непогашенные кредиты","бизнес","надежный",1,2072,"домовладелец",36
"мужчина (одинокий)",28,"есть непогашенные кредиты","новая машина","надежный",1,3876,"домовладелец",28
"женщина",8,"есть просрочки платежей","бытовая техника","надежный",2,1474,"домовладелец",45
"мужчина (женатый или вдовец)",5,"есть непогашенные кредиты","ремонт жилья","надежный",1,521,"домовладелец",19
"женщина",12,"есть непогашенные кредиты","бытовая техника","надежный",1,2064,"домовладелец",23
"мужчина (женатый или вдовец)",20,"есть непогашенные кредиты","бытовая техника","ненадежный",1,680,"домовладелец",35
"мужчина (женатый или вдовец)",19,"есть непогашенные кредиты","бытовая техника","надежный",1,1650,"домовладелец",32
"мужчина (одинокий)",64,"есть непогашенные кредиты","бытовая техника","ненадежный",2,11029,"домовладелец",26
"мужчина (одинокий)",51,"не было кредитов","подержанная машина","надежный",1,13421,"домовладелец",32
"мужчина (одинокий)",6,"есть непогашенные кредиты","новая машина","надежный",1,4292,"арендатор",30
"мужчина (одинокий)",35,"есть непогашенные кредиты","новая машина","надежный",1,1063,"домовладелец",41
"мужчина (одинокий)",18,"есть непогашенные кредиты","подержанная машина","ненадежный",1,4345,"без жилья",33
"мужчина (женатый или вдовец)",22,"есть просрочки платежей","бизнес","надежный",2,1561,"домовладелец",31
"мужчина (одинокий)",16,"все кредиты погашены","бытовая техника","надежный",1,938,"домовладелец",27
"мужчина (одинокий)",39,"есть непогашенные кредиты","новая машина","надежный",1,3688,"домовладелец",34
"мужчина (одинокий)",23,"есть просрочки платежей","мебель","надежный",2,3011,"домовладелец",38
"мужчина (одинокий)",19,"есть непогашенные кредиты","новая машина","ненадежный",1,5272,"домовладелец",32
"мужчина (одинокий)",6,"есть просрочки платежей","новая машина","надежный",1,1235,"домовладелец",42
"мужчина (одинокий)",31,"есть просрочки платежей","подержанная машина","надежный",2,3558,"домовладелец",63
"мужчина (одинокий)",8,"есть непогашенные кредиты","мебель","ненадежный",1,2506,"домовладелец",32
"женщина",19,"не было кредитов","мебель","надежный",2,2724,"домовладелец",37
"мужчина (одинокий)",89,"есть просрочки платежей","новая машина","надежный",1,14233,"без жилья",66
"мужчина (разведенный)",19,"есть непогашенные кредиты","ремонт жилья","ненадежный",1,17728,"домовладелец",28
"женщина",13,"есть просрочки платежей","мебель","надежный",1,2774,"домовладелец",19
"мужчина (разведенный)",44,"есть непогашенные кредиты","подержанная машина","надежный",1,3200,"домовладелец",39
"мужчина (одинокий)",13,"есть непогашенные кредиты","бытовая техника","ненадежный",1,949,"домовладелец",67
"женщина",26,"не было кредитов","новая машина","ненадежный",2,5113,"домовладелец",26
"женщина",20,"все кредиты погашены","бизнес","ненадежный",1,528,"домовладелец",28
"мужчина (одинокий)",37,"есть просрочки платежей","другое","ненадежный",2,15260,"домовладелец",36
"мужчина (женатый или вдовец)",26,"есть непогашенные кредиты","бытовая техника","надежный",1,3885,"арендатор",20
"мужчина (одинокий)",14,"есть непогашенные кредиты","бизнес","надежный",1,1677,"домовладелец",34
"мужчина (одинокий)",4,"есть просрочки платежей","новая машина","надежный",2,9378,"домовладелец",49
"мужчина (одинокий)",9,"есть непогашенные кредиты","подержанная машина","надежный",1,1498,"арендатор",41
"мужчина (одинокий)",59,"есть просрочки платежей","бытовая техника","надежный",1,2717,"домовладелец",48
"мужчина (одинокий)",24,"есть непогашенные кредиты","мебель","надежный",1,3218,"домовладелец",50
"женщина",37,"есть просрочки платежей","подержанная машина","надежный",1,6523,"арендатор",24
"мужчина (одинокий)",24,"есть просрочки платежей","новая машина","надежный",3,5037,"без жилья",41
"женщина",24,"не было кредитов","бизнес","ненадежный",2,6161,"арендатор",26
"женщина",32,"есть непогашенные кредиты","новая машина","ненадежный",1,1621,"домовладелец",30
"женщина",50,"есть непогашенные кредиты","бытовая техника","ненадежный",1,8820,"домовладелец",31
"мужчина (одинокий)",74,"есть непогашенные кредиты","новая машина","ненадежный",1,3362,"без жилья",41
"мужчина (одинокий)",9,"есть непогашенные кредиты","новая машина","надежный",1,1357,"домовладелец",24
"женщина",8,"есть непогашенные кредиты","бытовая техника","надежный",2,1278,"домовладелец",55
"мужчина (одинокий)",9,"есть просрочки платежей","бытовая техника","ненадежный",2,1866,"без жилья",32
"женщина",4,"есть просрочки платежей","бытовая техника","надежный",1,1582,"домовладелец",34
"мужчина (одинокий)",6,"есть просрочки платежей","бытовая техника","надежный",2,1024,"домовладелец",79
"мужчина (одинокий)",10,"есть непогашенные кредиты","новая машина","надежный",1,3067,"домовладелец",56
"мужчина (одинокий)",20,"есть непогашенные кредиты","бытовая техника","надежный",1,1693,"домовладелец",54
"мужчина (одинокий)",24,"есть просрочки платежей","бытовая техника","надежный",1,3719,"домовладелец",42
"женщина",9,"есть просрочки платежей","образование","надежный",1,1244,"домовладелец",32
"мужчина (женатый или вдовец)",19,"все кредиты погашены","другое","надежный",1,448,"домовладелец",36
"мужчина (одинокий)",9,"есть непогашенные кредиты","бизнес","надежный",1,1092,"домовладелец",35
"мужчина (одинокий)",57,"есть просрочки платежей","подержанная машина","надежный",1,13128,"домовладелец",30
"женщина",23,"не было кредитов","мебель","ненадежный",1,4240,"арендатор",21
"мужчина (одинокий)",40,"есть непогашенные кредиты","бизнес","надежный",2,4770,"домовладелец",35
"мужчина (одинокий)",20,"есть просрочки платежей","мебель","надежный",3,3839,"арендатор",24
"мужчина (одинокий)",24,"есть просрочки платежей","бытовая техника","надежный",1,3736,"домовладелец",42
"мужчина (одинокий)",6,"есть непогашенные кредиты","бытовая техника","надежный",1,566,"домовладелец",19
"мужчина (одинокий)",22,"есть непогашенные кредиты","бытовая техника","ненадежный",2,4172,"домовладелец",31
"мужчина (одинокий)",27,"есть непогашенные кредиты","новая машина","надежный",2,4676,"домовладелец",32
"мужчина (одинокий)",35,"есть просрочки платежей","подержанная машина","надежный",2,2373,"домовладелец",43
"женщина",19,"есть просрочки платежей","образование","ненадежный",2,2576,"домовладелец",34
"мужчина (женатый или вдовец)",15,"есть просрочки платежей","бизнес","надежный",3,3282,"домовладелец",44
"мужчина (одинокий)",77,"есть непогашенные кредиты","подержанная машина","надежный",1,6742,"домовладелец",30
"женщина",6,"есть непогашенные кредиты","бытовая техника","надежный",1,854,"домовладелец",78
"мужчина (одинокий)",64,"не было кредитов","бизнес","ненадежный",1,14266,"арендатор",58
"мужчина (женатый или вдовец)",18,"есть непогашенные кредиты","новая машина","надежный",1,1205,"домовладелец",20
"женщина",16,"есть непогашенные кредиты","бытовая техника","надежный",1,3661,"домовладелец",28
"мужчина (женатый или вдовец)",28,"есть непогашенные кредиты","другое","ненадежный",1,1089,"домовладелец",45
"мужчина (одинокий)",8,"есть непогашенные кредиты","мебель","надежный",1,1908,"домовладелец",23
"женщина",53,"есть просрочки платежей","мебель","ненадежный",1,4098,"домовладелец",34
"мужчина (одинокий)",58,"есть непогашенные кредиты","мебель","ненадежный",1,3412,"домовладелец",37
"мужчина (одинокий)",38,"есть непогашенные кредиты","ремонт жилья","надежный",4,5147,"домовладелец",54
"мужчина (женатый или вдовец)",20,"есть просрочки платежей","новая машина","ненадежный",2,2487,"арендатор",28
"женщина",61,"все кредиты погашены","другое","ненадежный",2,14605,"без жилья",63
"мужчина (одинокий)",20,"есть непогашенные кредиты","новая машина","надежный",1,1048,"домовладелец",27
"мужчина (одинокий)",14,"есть просрочки платежей","новая машина","надежный",2,3053,"арендатор",44
"мужчина (одинокий)",25,"есть просрочки платежей","бизнес","надежный",1,1935,"домовладелец",21
"мужчина (одинокий)",14,"есть просрочки платежей","мебель","надежный",3,1982,"домовладелец",45
"женщина",8,"есть непогашенные кредиты","новая машина","надежный",1,1438,"домовладелец",62
"мужчина (одинокий)",36,"есть просрочки платежей","новая машина","надежный",2,4244,"домовладелец",33
"мужчина (одинокий)",50,"есть просрочки платежей","подержанная машина","надежный",2,6828,"домовладелец",65
"мужчина (одинокий)",19,"есть непогашенные кредиты","другое","надежный",2,924,"домовладелец",45
"мужчина (одинокий)",14,"есть непогашенные кредиты","новая машина","надежный",1,2344,"домовладелец",40
"мужчина (одинокий)",19,"есть непогашенные кредиты","новая машина","ненадежный",1,1000,"домовладелец",30
"женщина",13,"есть просрочки платежей","мебель","ненадежный",2,2460,"арендатор",28
"мужчина (одинокий)",7,"есть непогашенные кредиты","образование","ненадежный",1,883,"домовладелец",44
"женщина",11,"есть непогашенные кредиты","образование","надежный",1,446,"арендатор",20
"мужчина (одинокий)",28,"есть просрочки платежей","мебель","надежный",2,5229,"домовладелец",34
"женщина",15,"есть просрочки платежей","образование","надежный",1,2655,"домовладелец",53
"мужчина (одинокий)",30,"есть просрочки платежей","подержанная машина","надежный",2,7942,"домовладелец",48
"мужчина (одинокий)",16,"не было кредитов","другое","надежный",1,2006,"домовладелец",31
"мужчина (женатый или вдовец)",12,"есть непогашенные кредиты","бытовая техника","надежный",1,1710,"домовладелец",36
"мужчина (одинокий)",8,"есть просрочки платежей","бизнес","надежный",2,2284,"домовладелец",22
"мужчина (одинокий)",55,"есть непогашенные кредиты","образование","ненадежный",1,2635,"домовладелец",34
"мужчина (одинокий)",14,"есть просрочки платежей","новая машина","надежный",2,3386,"домовладелец",57
"мужчина (одинокий)",14,"есть непогашенные кредиты","мебель","надежный",3,5099,"домовладелец",39
"мужчина (женатый или вдовец)",23,"есть непогашенные кредиты","новая машина","надежный",1,1349,"домовладелец",23
"мужчина (одинокий)",19,"есть просрочки платежей","мебель","ненадежный",1,9845,"домовладелец",41
"мужчина (разведенный)",18,"есть просрочки платежей","образование","ненадежный",1,3477,"арендатор",31
"мужчина (одинокий)",51,"все кредиты погашены","мебель","ненадежный",1,3054,"домовладелец",33
"мужчина (одинокий)",35,"есть просрочки платежей","бытовая техника","надежный",2,3953,"домовладелец",28
"женщина",23,"есть непогашенные кредиты","бытовая техника","надежный",1,4191,"арендатор",63
"мужчина (разведенный)",12,"есть просрочки платежей","новая машина","надежный",1,3095,"домовладелец",30
"женщина",14,"есть непогашенные кредиты","бытовая техника","ненадежный",1,1369,"арендатор",25
"женщина",8,"есть непогашенные кредиты","новая машина","надежный",1,3194,"без жилья",51
"женщина",36,"есть просрочки платежей","новая машина","надежный",2,1102,"домовладелец",37
"мужчина (одинокий)",19,"есть непогашенные кредиты","бытовая техника","надежный",1,2455,"арендатор",30
"мужчина (одинокий)",66,"есть непогашенные кредиты","бытовая техника","ненадежный",1,4417,"арендатор",21
"мужчина (одинокий)",9,"есть просрочки платежей","образование","надежный",2,947,"домовладелец",34
"женщина",14,"есть непогашенные кредиты","бытовая техника","надежный",1,2665,"арендатор",32
"женщина",22,"есть непогашенные кредиты","бытовая техника","надежный",1,3078,"домовладелец",22
"мужчина (одинокий)",27,"есть непогашенные кредиты","мебель","надежный",1,6322,"без жилья",43
"женщина",15,"есть просрочки платежей","бытовая техника","надежный",2,1597,"арендатор",54
"мужчина (одинокий)",94,"есть непогашенные кредиты","новая машина","ненадежный",1,12924,"домовладелец",23
"мужчина (женатый или вдовец)",10,"есть непогашенные кредиты","подержанная машина","надежный",1,2398,"арендатор",30
"мужчина (одинокий)",39,"есть просрочки платежей","новая машина","надежный",2,8095,"домовладелец",36
"мужчина (одинокий)",19,"есть непогашенные кредиты","новая машина","надежный",1,5046,"без жилья",18
"мужчина (одинокий)",40,"есть просрочки платежей","новая машина","ненадежный",2,1792,"домовладелец",42
"женщина",19,"есть непогашенные кредиты","образование","ненадежный",1,600,"домовладелец",27
"мужчина (одинокий)",9,"есть непогашенные кредиты","другое","надежный",1,1709,"домовладелец",38
"женщина",16,"все кредиты погашены","бытовая техника","ненадежный",1,541,"домовладелец",26
"мужчина (одинокий)",9,"есть просрочки платежей","новая машина","надежный",2,1706,"домовладелец",31
"женщина",23,"есть непогашенные кредиты","новая машина","ненадежный",2,2803,"арендатор",22
"мужчина (одинокий)",30,"есть непогашенные кредиты","подержанная машина","надежный",1,6309,"домовладелец",45
"женщина",10,"не было кредитов","новая машина","ненадежный",2,2571,"арендатор",30
"мужчина (одинокий)",15,"есть непогашенные кредиты","новая машина","надежный",1,2451,"домовладелец",38
"женщина",20,"есть непогашенные кредиты","бытовая техника","ненадежный",1,518,"арендатор",25
"мужчина (одинокий)",26,"все кредиты погашены","мебель","ненадежный",1,2102,"домовладелец",43
"мужчина (одинокий)",32,"есть просрочки платежей","подержанная машина","надежный",2,11143,"без жилья",47
"мужчина (разведенный)",55,"есть непогашенные кредиты","другое","надежный",1,17870,"домовладелец",34
"женщина",5,"есть просрочки платежей","новая машина","надежный",1,3739,"домовладелец",37
"женщина",32,"есть непогашенные кредиты","новая машина","надежный",1,4501,"без жилья",59
"мужчина (одинокий)",19,"все кредиты погашены","мебель","надежный",1,2473,"домовладелец",22
"мужчина (одинокий)",39,"есть непогашенные кредиты","мебель","надежный",1,5723,"домовладелец",30
"женщина",4,"есть просрочки платежей","новая машина","надежный",2,332,"домовладелец",34
"мужчина (одинокий)",16,"не было кредитов","мебель","надежный",2,3707,"домовладелец",30
"мужчина (одинокий)",16,"есть непогашенные кредиты","бытовая техника","надежный",1,2845,"домовладелец",34
"мужчина (одинокий)",18,"есть непогашенные кредиты","мебель","надежный",1,2832,"домовладелец",28
"женщина",3,"есть непогашенные кредиты","бытовая техника","надежный",1,831,"домовладелец",68
"женщина",23,"есть просрочки платежей","мебель","ненадежный",2,7346,"арендатор",25
"мужчина (одинокий)",30,"все кредиты погашены","бытовая техника","ненадежный",1,1299,"арендатор",19
"женщина",20,"все кредиты погашены","образование","ненадежный",1,2580,"без жилья",40
"мужчина (одинокий)",12,"есть просрочки платежей","новая машина","надежный",2,1192,"домовладелец",29
"мужчина (одинокий)",12,"есть непогашенные кредиты","подержанная машина","надежный",1,4260,"домовладелец",34
"мужчина (одинокий)",51,"есть непогашенные кредиты","бытовая техника","надежный",1,2888,"домовладелец",24
"мужчина (одинокий)",68,"есть просрочки платежей","новая машина","ненадежный",1,9094,"без жилья",42
"мужчина (одинокий)",12,"есть непогашенные кредиты","бытовая техника","ненадежный",1,1164,"домовладелец",25
"женщина",10,"есть просрочки платежей","новая машина","надежный",2,1322,"домовладелец",40
"женщина",8,"есть просрочки платежей","мебель","надежный",2,1336,"арендатор",21
"женщина",17,"есть непогашенные кредиты","новая машина","ненадежный",1,1056,"домовладелец",35
"мужчина (одинокий)",13,"есть просрочки платежей","новая машина","ненадежный",2,761,"домовладелец",38
"мужчина (одинокий)",8,"есть просрочки платежей","новая машина","надежный",3,1279,"домовладелец",61
"мужчина (разведенный)",18,"есть просрочки платежей","бизнес","ненадежный",2,2839,"домовладелец",31
"женщина",24,"есть непогашенные кредиты","бытовая техника","надежный",1,4083,"домовладелец",21
"женщина",38,"есть непогашенные кредиты","бытовая техника","надежный",1,1319,"домовладелец",54
"мужчина (одинокий)",9,"есть непогашенные кредиты","новая машина","надежный",1,2096,"арендатор",29
"женщина",15,"есть просрочки платежей","подержанная машина","надежный",2,7607,"без жилья",40
"мужчина (одинокий)",6,"есть непогашенные кредиты","бытовая техника","надежный",1,1991,"домовладелец",37
"мужчина (одинокий)",14,"есть просрочки платежей","новая машина","надежный",2,1140,"без жилья",60
