"ShortName","Status","Year_begin","Year_end","Subject","TeamSize","Class","OlympiadType"
"ГБОУ СОШ № 1038","призёр",2012,2013,"Иностранный язык (английский язык)",5,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1540","призёр",2015,2016,"Основы безопасности жизнедеятельности",4,11,"Районная олимпиада"
"ГБОУ школа № 1253","призёр",2014,2015,"Химия",4,8,"Московская олимпиада"
"ГАОУ ЦО № 548","призёр",2016,2017,"Химия",5,11,"Московская олимпиада"
"ГБОУ ЦО № 57","призёр",2014,2015,"Обществознание",4,9,"Всероссийская олимпиада"
"НОЧУ «ШКОЛА «МУМИ-ТРОЛЛЬ»","победитель",2017,2018,"Искусство (МХК)",3,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1558","призёр",2012,2013,"Иностранный язык (испанский язык)",5,10,"Московская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2015,2016,"Математика",4,10,"Московская олимпиада"
"ГБОУ СОШ № 499","победитель",2013,2014,"География",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 996","победитель",2018,2019,"Изобразительное искусство",3,5,"Московская олимпиада"
"ГБОУ школа № 2075","призёр",2014,2015,"Экология",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 2107","призёр",2018,2019,"Физическая культура",5,9,"Районная олимпиада"
"ГАОУ ЦО № 548","призёр",2012,2013,"Изобразительное искусство",5,11,"Московская олимпиада"
"ГБОУ школа № 1525","призёр",2017,2018,"Искусство (МХК)",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1270","призёр",2018,2019,"История",5,11,"Московская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2016,2017,"астрономия",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1018","призёр",2017,2018,"Искусство (МХК)",3,10,"Районная олимпиада"
"ГБОУ школа № 1797","победитель",2018,2019,"Обществознание",4,9,"Всероссийская олимпиада"
"ГБОУ ЦО № 204","призёр",2012,2013,"Экономика",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 654 имени А.Д. Фридмана","победитель",2017,2018,"Иностранный язык (английский язык)",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1576","призёр",2018,2019,"Математика",4,6,"Московская олимпиада"
"ГБОУ школа № 1980","призёр",2017,2018,"филология",3,11,"Московская олимпиада"
"ГБОУ школа № 57","победитель",2017,2018,"Физика",3,9,"Московская олимпиада"
"ГБОУ школа № 236","призёр",2018,2019,"Основы безопасности жизнедеятельности",3,8,"Московская олимпиада"
"ГБОУ СОШ № 651","призёр",2013,2014,"География",5,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1575","призёр",2016,2017,"филология",5,6,"Московская олимпиада"
"ГБОУ школа № 17","призёр",2017,2018,"Физическая культура",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 163","призёр",2014,2015,"Технология",5,5,"Московская олимпиада"
"ГБОУ школа на проспекте Вернадского","призёр",2019,2020,"Литература",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1329","призёр",2018,2019,"География",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 627","победитель",2015,2016,"Иностранный язык (французский язык)",5,11,"Всероссийская олимпиада"
"ОАНО «Школа «ЛЕТОВО»","призёр",2018,2019,"Физика",5,9,"Всероссийская олимпиада"
"ГБОУ Шуваловская школа № 1448","призёр",2019,2020,"Право",4,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1501","победитель",2012,2013,"Физика",5,11,"Московская олимпиада"
"ГБОУ школа № 171","призёр",2019,2020,"Математика",5,9,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»","призёр",2018,2019,"Математика",3,9,"Московская олимпиада"
"ГБОУ школа № 727","победитель",2015,2016,"филология",3,11,"Московская олимпиада"
"ГБОУ Физматшкола № 2007","призёр",2015,2016,"Экономика",5,9,"Московская олимпиада"
"ГБОУ школа № 924","призёр",2015,2016,"География",5,9,"Районная олимпиада"
"ГБОУ Физматшкола № 2007","призёр",2016,2017,"Математика",5,6,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","победитель",2012,2013,"Химия",5,11,"Московская олимпиада"
"ГБОУ школа № 1905","призёр",2015,2016,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ «Школа Глория»","призёр",2017,2018,"Право",4,11,"Всероссийская олимпиада"
"ГБОУ СОШ № 444","победитель",2013,2014,"География",3,11,"Всероссийская олимпиада"
"ГБОУ ЦО № 57","призёр",2012,2013,"Информатика",4,10,"Районная олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2012,2013,"Физика",4,11,"Всероссийская олимпиада"
"ГБОУ СОШ № 192","призёр",2013,2014,"Экология",4,10,"Всероссийская олимпиада"
"СУНЦ МГУ","призёр",2018,2019,"Математика",3,11,"Московская олимпиада"
"ГБОУ лицей № 1303","призёр",2014,2015,"Физика",3,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 2086","призёр",2014,2015,"Обществознание",5,11,"Московская олимпиада"
"ГБОУ школа № 1553 имени В.И. Вернадского","призёр",2019,2020,"Русский язык",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1415 «Останкино»","призёр",2019,2020,"Литература",3,9,"Всероссийская олимпиада"
"СУНЦ МГУ","призёр",2016,2017,"Биология",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 2086","призёр",2017,2018,"Математика",5,6,"Московская олимпиада"
"ГБОУ лицей № 1564","призёр",2016,2017,"Изобразительное искусство",3,8,"Московская олимпиада"
"ГБОУ школа № 1286","призёр",2018,2019,"Изобразительное искусство",5,7,"Московская олимпиада"
"ГБОУ лицей «Вторая школа»","победитель",2017,2018,"астрономия",5,9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1579","призёр",2013,2014,"Мировая Художественная Культура (МХК)",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1543","призёр",2017,2018,"Математика",5,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 1207","призёр",2012,2013,"Обществознание",3,10,"Всероссийская олимпиада"
"ГАОУ ЦО № 548","победитель",2016,2017,"Робототехника",4,6,"Московская олимпиада"
"ГБОУ школа № 323","призёр",2018,2019,"Экология",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 2115","призёр",2016,2017,"Физическая культура",3,10,"Всероссийская олимпиада"
"ГБОУ Шуваловская школа № 1448","призёр",2018,2019,"Право",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 727","призёр",2015,2016,"Русский язык",3,9,"Районная олимпиада"
"ГАОУ ЦО № 548","призёр",2016,2017,"Иностранный язык (китайский язык)",3,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514","призёр",2015,2016,"Математика",5,8,"Московская олимпиада"
"ГБОУ школа № 1508","победитель",2018,2019,"Изобразительное искусство",3,10,"Московская олимпиада"
"ГБОУ ЦО № 1601 им. Героя Советского Союза Е.К. Лютикова","призёр",2016,2017,"Биология",5,11,"Всероссийская олимпиада"
"ГБОУ школа «Интеграл»","победитель",2018,2019,"филология",5,5,"Московская олимпиада"
"ГБОУ школа № 1522 имени В.И. Чуркина","призёр",2018,2019,"Обществознание",4,8,"Московская олимпиада"
"НИУ ВШЭ. лицей","призёр",2015,2016,"Мировая Художественная Культура (МХК)",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1574","призёр",2018,2019,"Физика",4,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 1230","призёр",2012,2013,"Обществознание",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1270","призёр",2016,2017,"История",4,9,"Районная олимпиада"
"ГБОУ школа № 1543","призёр",2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)",5,9,"Московская олимпиада"
"ГБОУ школа имени Маршала В.И. Чуйкова","призёр",2017,2018,"Химия",5,9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1522","призёр",2014,2015,"Химия",3,8,"Московская олимпиада"
"ГБОУ детский сад № 2162","призёр",2014,2015,"Технология",4,5,"Московская олимпиада"
"ГАОУ школа № 548","победитель",2017,2018,"Изобразительное искусство",5,11,"Московская олимпиада"
"ГБОУ СОШ № 1955","призёр",2014,2015,"Химия",4,10,"Московская олимпиада"
"ГБОУ школа № 1501","победитель",2017,2018,"География",5,10,"Московская олимпиада"
"ГБОУ школа № 1272","призёр",2017,2018,"Технология",4,9,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»","призёр",2018,2019,"Математика",4,7,"Московская олимпиада"
"ГБОУ школа № 1329","призёр",2019,2020,"Химия",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1238","призёр",2017,2018,"Иностранный язык (английский язык)",4,9,"Районная олимпиада"
"ГБОУ школа № 1206","призёр",2014,2015,"Обществознание",5,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1535","призёр",2014,2015,"Экономика",4,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1533","призёр",2014,2015,"Экономика",3,11,"Всероссийская олимпиада"
"ГБОУ Мнопрофильная школа № 1577","победитель",2017,2018,"Искусство (МХК)",5,9,"Всероссийская олимпиада"
"ГБОУ лицей № 1535","призёр",2016,2017,"Экономика",5,11,"Московская олимпиада"
"ГБОУ школа № 179","призёр",2018,2019,"астрономия",5,11,"Московская олимпиада"
"ГБОУ школа № 1329","призёр",2018,2019,"Математика",4,6,"Московская олимпиада"
"ГБОУ школа № 1329","призёр",2019,2020,"Биология",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 1568","призёр",2018,2019,"Физика",3,8,"Московская олимпиада"
"ГБОУ школа № 1947","победитель",2015,2016,"Технология",4,6,"Московская олимпиада"
"ГАОУ ЦО № 548","призёр",2014,2015,"Математика",5,6,"Московская олимпиада"
"ГБОУ СОШ № 654 имени А.Д. Фридмана","призёр",2014,2015,"География",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1213","победитель",2015,2016,"Технология",4,5,"Московская олимпиада"
"ФГКОУ «МСВУ МО РФ»","призёр",2018,2019,"Основы безопасности жизнедеятельности",3,11,"Районная олимпиада"
"ГБОУ школа № 1568","призёр",2017,2018,"Биология",3,5,"Московская олимпиада"
"ГБОУ лицей № 1580","призёр",2014,2015,"Физическая культура",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 843","призёр",2015,2016,"Право",4,11,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","призёр",2013,2014,"Физика",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1980","призёр",2018,2019,"Изобразительное искусство",4,5,"Московская олимпиада"
"ГБПОУ «Воробьевы горы»","победитель",2018,2019,"Химия",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1366","призёр",2016,2017,"Литература",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1413","призёр",2016,2017,"Обществознание",5,10,"Районная олимпиада"
"ГБОУ школа № 1297","призёр",2017,2018,"Иностранный язык (английский язык)",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 2109","призёр",2016,2017,"Мировая Художественная Культура (МХК)",5,9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей","призёр",2017,2018,"Иностранный язык (английский язык)",4,10,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2015,2016,"Математика",4,11,"Московская олимпиада"
"ГБОУ школа № 192","победитель",2019,2020,"Химия",5,8,"Всероссийская олимпиада"
"ГБОУ школа «Покровский квартал»","призёр",2017,2018,"Литература",3,11,"Районная олимпиада"
"ГБОУ лицей № 1575","призёр",2014,2015,"филология",3,11,"Московская олимпиада"
"ГБОУ школа № 1557","победитель",2019,2020,"астрономия",3,9,"Всероссийская олимпиада"
"МАОУ «Лицей города Троицка»","призёр",2012,2013,"История",4,11,"Московская олимпиада"
"ГБОУ школа № 1542","призёр",2019,2020,"Иностранный язык (английский язык)",4,9,"Районная олимпиада"
"ГБОУ школа № 57","призёр",2019,2020,"Математика",4,8,"Всероссийская олимпиада"
"ГБОУ школа № 1329","победитель",2017,2018,"Физика",5,10,"Московская олимпиада"
"ГБОУ школа «Интеллектуал»","призёр",2019,2020,"Физика",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1253","призёр",2018,2019,"Русский язык",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 1194","победитель",2015,2016,"Изобразительное искусство",3,10,"Московская олимпиада"
"ГБОУ школа № 67","призёр",2019,2020,"Биология",4,11,"Районная олимпиада"
"ГБОУ школа № 1474","призёр",2015,2016,"филология",4,11,"Московская олимпиада"
"ГБОУ СОШ № 1189","призёр",2013,2014,"Экономика",3,7,"Московская олимпиада"
"ГБОУ ММГ","призёр",2014,2015,"История",3,8,"Московская олимпиада"
"ГБОУ гимназия № 1409","победитель",2016,2017,"Право",4,10,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей","победитель",2015,2016,"Право",3,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1558","призёр",2013,2014,"Иностранный язык (испанский язык)",3,11,"Московская олимпиада"
"ГБОУ школа № 1535","призёр",2019,2020,"Обществознание",5,11,"Районная олимпиада"
"ГБОУ школа № 179","победитель",2017,2018,"Экономика",4,11,"Районная олимпиада"
"ГБОУ школа № 1329","призёр",2016,2017,"Математика",5,8,"Московская олимпиада"
"ГАОУ ЦО № 548","призёр",2014,2015,"Изобразительное искусство",5,5,"Московская олимпиада"
"ГБОУ школа № 1502","призёр",2019,2020,"Физика",5,10,"Всероссийская олимпиада"
"НП Телешкола","призёр",2013,2014,"Право",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 2009","призёр",2016,2017,"Русский язык",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 1376","призёр",2016,2017,"филология",4,8,"Московская олимпиада"
"ГБОУ СОШ № 1249","победитель",2013,2014,"Иностранный язык (немецкий язык)",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1367","призёр",2017,2018,"Искусство (МХК)",4,11,"Всероссийская олимпиада"
"ГБОУ ЦО № 57","призёр",2014,2015,"Математика",5,9,"Московская олимпиада"
"ГБОУ школа № 1557","призёр",2017,2018,"Биология",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1535","призёр",2018,2019,"История",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 192","призёр",2018,2019,"Биология",4,10,"Районная олимпиада"
"ГБОУ «Гимназия № 1528»","призёр",2014,2015,"Мировая Художественная Культура (МХК)",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1449","призёр",2018,2019,"Основы безопасности жизнедеятельности",4,11,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007","призёр",2016,2017,"Информатика",3,9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей","призёр",2016,2017,"Обществознание",4,10,"Московская олимпиада"
"ГБОУ лицей «Вторая школа»","победитель",2016,2017,"Экономика",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1205","призёр",2015,2016,"История",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 2115","победитель",2016,2017,"Биология",4,9,"Всероссийская олимпиада"
"ГБОУ лицей № 1524","призёр",2016,2017,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 953","призёр",2015,2016,"Мировая Художественная Культура (МХК)",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1955","призёр",2019,2020,"История",3,9,"Районная олимпиада"
"ГБОУ СОШ № 2006","призёр",2014,2015,"Биология",5,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1512","победитель",2016,2017,"Литература",5,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1535","победитель",2012,2013,"предпринимательство",3,10,"Московская олимпиада"
"ГБОУ школа № 1543","призёр",2019,2020,"Экономика",5,11,"Районная олимпиада"
"ГБОУ лицей № 1580","призёр",2017,2018,"Обществознание",4,9,"Всероссийская олимпиада"
"МАОУ «Гимназия г. Троицка»","призёр",2015,2016,"Мировая Художественная Культура (МХК)",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 2089","призёр",2018,2019,"филология",5,8,"Московская олимпиада"
"ГБОУ школа № 1248","призёр",2016,2017,"филология",5,7,"Московская олимпиада"
"ГБОУ школа № 2036","призёр",2018,2019,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 218","призёр",2016,2017,"История",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1799","призёр",2018,2019,"Обществознание",3,11,"Всероссийская олимпиада"
"Предуниверситарий НИЯУ МИФИ","призёр",2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)",5,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1535","призёр",2014,2015,"Экономика",3,11,"Районная олимпиада"
"ГБОУ школа № 1358","призёр",2017,2018,"Экология",3,11,"Всероссийская олимпиада"
"ГАОУ ВПО МИОО. СОШ № 179","призёр",2016,2017,"Математика",4,7,"Московская олимпиада"
"ГБОУ лицей № 1535","призёр",2013,2014,"Экономика",3,10,"Районная олимпиада"
"ГБОУ школа № 1547","призёр",2018,2019,"Иностранный язык (английский язык)",4,8,"Всероссийская олимпиада"
"ГБОУ «Школа № 597 «Новое Поколение»","призёр",2018,2019,"Робототехника",3,7,"Московская олимпиада"
"ГБОУ ЦО № 218","призёр",2013,2014,"Биология",3,11,"Районная олимпиада"
"ЧУ СОШ «СААШ «Марина»","призёр",2016,2017,"Иностранный язык (английский язык)",3,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1534","призёр",2014,2015,"Физика",3,7,"Московская олимпиада"
"ГБОУ лицей № 1547","призёр",2016,2017,"География",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 57","призёр",2015,2016,"Латынь",3,11,"Московская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","победитель",2017,2018,"Химия",4,10,"Московская олимпиада"
"ГБОУ гимназия № 1518","призёр",2014,2015,"Обществознание",4,10,"Всероссийская олимпиада"
"ГБОУ СОШ № 218","призёр",2014,2015,"Химия",5,9,"Московская олимпиада"
"ГБОУ школа № 1449","победитель",2019,2020,"Основы безопасности жизнедеятельности",5,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1272","призёр",2013,2014,"Обществознание",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 2005","призёр",2017,2018,"Искусство (МХК)",5,10,"Всероссийская олимпиада"
"ГБОУ Физматшкола № 2007","призёр",2016,2017,"Математика",5,7,"Московская олимпиада"
"ГБОУ школа № 1251 имени генерала Шарля де Голля","призёр",2014,2015,"Иностранный язык (французский язык)",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 626","призёр",2019,2020,"Литература",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1514","призёр",2017,2018,"Математика",3,11,"Московская олимпиада"
"ГБОУ гимназия № 45","призёр",2015,2016,"Обществознание",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1253","призёр",2014,2015,"Биология",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1329","призёр",2018,2019,"Физика",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 1370","призёр",2017,2018,"Технология",3,5,"Московская олимпиада"
"ГБОУ гимназия № 1518","призёр",2012,2013,"предпринимательство",3,4,"Московская олимпиада"
"ГБОУ школа № 1253","призёр",2018,2019,"Обществознание",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 1535","призёр",2018,2019,"Иностранный язык (английский язык)",3,10,"Всероссийская олимпиада"
"АНО «Православная общеобразовательная школа-пансион «Плесково»","призёр",2016,2017,"Литература",5,9,"Районная олимпиада"
"ГБОУ СОШ № 2087 «Открытие»","призёр",2013,2014,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1568","призёр",2016,2017,"Физика",3,11,"Московская олимпиада"
"ГБОУ Лингвистический лицей № 1555","призёр",2012,2013,"Иностранный язык (английский язык)",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 97","призёр",2018,2019,"Право",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 1582","призёр",2019,2020,"История",3,11,"Районная олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","победитель",2012,2013,"Информатика",4,11,"Московская олимпиада"
"ГБОУ Физматшкола 2007","призёр",2014,2015,"Математика",4,11,"Всероссийская олимпиада"
"ГБОУ Лингвистический лицей № 1555","призёр",2013,2014,"Иностранный язык (французский язык)",4,10,"Всероссийская олимпиада"
"ФГКОУ «МКК ПВ МО РФ»","победитель",2014,2015,"История",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 648","призёр",2018,2019,"филология",3,7,"Московская олимпиада"
"ГБОУ гимназия № 1551","призёр",2014,2015,"Экология",3,9,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514","призёр",2015,2016,"Литература",5,9,"Районная олимпиада"
"ГБОУ школа № 179","победитель",2018,2019,"астрономия",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 1955","призёр",2016,2017,"Литература",4,11,"Районная олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","победитель",2019,2020,"Информатика",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1471","призёр",2017,2018,"Литература",5,10,"Всероссийская олимпиада"
"ГБОУ Открытая школа № 88","призёр",2019,2020,"Русский язык",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 152","победитель",2019,2020,"Иностранный язык (английский язык)",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 2083","призёр",2018,2019,"Обществознание",5,11,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей","призёр",2016,2017,"Математика",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1250","призёр",2017,2018,"Искусство (МХК)",4,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1290","победитель",2015,2016,"Обществознание",4,11,"Районная олимпиада"
"ГБОУ школа № 179","призёр",2019,2020,"Математика",3,8,"Всероссийская олимпиада"
"ГБОУ школа «Интеллектуал»","призёр",2017,2018,"Искусство (МХК)",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1329","призёр",2016,2017,"Физика",4,7,"Московская олимпиада"
"ГБОУ школа на проспекте Вернадского","призёр",2018,2019,"филология",4,9,"Московская олимпиада"
"СУНЦ МГУ","призёр",2018,2019,"Биология",4,10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1205","призёр",2012,2013,"География",5,9,"Районная олимпиада"
"ГБОУ ЦО № 218","призёр",2012,2013,"Информатика",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1980","призёр",2018,2019,"Технология",3,6,"Московская олимпиада"
"ГБОУ СОШ № 240","призёр",2012,2013,"предпринимательство",3,9,"Московская олимпиада"
"ГБОУ лицей № 1502 при МЭИ","призёр",2016,2017,"Химия",4,10,"Всероссийская олимпиада"
"ГАОУ ВПО МИОО. СОШ № 179","призёр",2016,2017,"Математика",4,11,"Московская олимпиада"
"ГБОУ СОШ № 329","призёр",2014,2015,"Мировая Художественная Культура (МХК)",3,10,"Всероссийская олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543","призёр",2012,2013,"Биология",4,8,"Московская олимпиада"
"ГБОУ «Курчатовская школа»","призёр",2016,2017,"Иностранный язык (английский язык)",5,10,"Районная олимпиада"
"ГБОУ «Лицей «Вторая школа»","победитель",2018,2019,"Математика",3,9,"Всероссийская олимпиада"
"МАОУ «Лицей города Троицка»","призёр",2018,2019,"Литература",5,11,"Всероссийская олимпиада"
"ГБОУ лицей № 1553","призёр",2015,2016,"Литература",4,10,"Всероссийская олимпиада"
"ГБОУ лицей «Вторая школа»","призёр",2016,2017,"Математика",5,9,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2019,2020,"Информатика",5,10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1466 имени Надежды Рушевой","призёр",2013,2014,"Иностранный язык (английский язык)",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1852","призёр",2018,2019,"География",4,9,"Московская олимпиада"
"ГБОУ школа № 1329","призёр",2017,2018,"Робототехника",3,6,"Московская олимпиада"
"ГБОУ школа № 1535","призёр",2017,2018,"История",4,9,"Районная олимпиада"
"ГБОУ школа № 1980","призёр",2017,2018,"Биология",4,8,"Московская олимпиада"
"ГБОУ школа № 878","призёр",2015,2016,"Математика",4,11,"Московская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2016,2017,"Математика",4,10,"Районная олимпиада"
"ГБОУ школа № 444","призёр",2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)",4,7,"Московская олимпиада"
"ГБОУ школа № 1000","победитель",2018,2019,"Технология",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 1324","призёр",2017,2018,"География",3,7,"Московская олимпиада"
"МБШ «Вита»","призёр",2017,2018,"Физика",3,10,"Районная олимпиада"
"ГБОУ школа № 1288","победитель",2018,2019,"Иностранный язык (французский язык)",3,7,"Московская олимпиада"
"ГБОУ школа № 1514","победитель",2019,2020,"Экономика",4,9,"Всероссийская олимпиада"
"ГБОУ ЦО № 1480","призёр",2013,2014,"История",4,9,"Районная олимпиада"
"ГАОУ «Гимназия № 1518»","призёр",2016,2017,"География",4,9,"Московская олимпиада"
"ГБОУ школа № 1411","призёр",2016,2017,"Основы безопасности жизнедеятельности",5,9,"Всероссийская олимпиада"
"ГБОУ лицей № 1568","призёр",2013,2014,"Физика",5,9,"Всероссийская олимпиада"
"ФГКОУ «МКК ПВ МО РФ»","победитель",2016,2017,"Обществознание",4,9,"Всероссийская олимпиада"
"ГБОУ ЦО № 57","призёр",2014,2015,"Химия",3,11,"Московская олимпиада"
"ГБОУ СОШ № 1061","призёр",2013,2014,"Физическая культура",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 185","призёр",2014,2015,"Технология",3,5,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2015,2016,"Экология",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1194","призёр",2019,2020,"География",3,10,"Районная олимпиада"
"ГБОУ СОШ № 2105","призёр",2013,2014,"История",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1980","победитель",2018,2019,"Изобразительное искусство",3,7,"Московская олимпиада"
"ГБОУ школа № 1191","призёр",2015,2016,"Обществознание",4,10,"Всероссийская олимпиада"
"ГБПОУ ТПСК им. В. М. Максимчука","победитель",2018,2019,"Основы безопасности жизнедеятельности",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1384 имени А.А. Леманского","победитель",2015,2016,"Литература",3,10,"Всероссийская олимпиада"
"ГБОУ «Курчатовская школа»","призёр",2015,2016,"Иностранный язык (английский язык)",3,11,"Всероссийская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","призёр",2017,2018,"Математика",4,10,"Районная олимпиада"
"ГБПОУ «Воробьевы горы»","призёр",2014,2015,"Биология",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 2030","призёр",2016,2017,"Технология",4,6,"Московская олимпиада"
"ГБОУ «Немецкая школа № 1212»","призёр",2018,2019,"Иностранный язык (немецкий язык)",5,11,"Всероссийская олимпиада"
"ГБОУ ЦО № 1637","призёр",2013,2014,"Изобразительное искусство",5,10,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2016,2017,"Математика",5,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1567","призёр",2016,2017,"Русский язык",5,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1550","призёр",2013,2014,"Экономика",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 1499","призёр",2015,2016,"Право",4,11,"Всероссийская олимпиада"
