"OlympiadType","Subject","ShortName","Class","Year_end","Status","Year_begin","TeamSize"
"Московская олимпиада","Экономика","ОЧУ «Финансово-экономическая школа»",6,2015,"призёр",2014,3
"Всероссийская олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",11,2016,"победитель",2015,4
"Всероссийская олимпиада","Технология","ГБОУ школа № 1000",9,2016,"призёр",2015,3
"Московская олимпиада","Изобразительное искусство","ГАОУ ЦО № 548",11,2017,"победитель",2016,3
"Всероссийская олимпиада","Литература","ГБОУ школа № 57",10,2017,"победитель",2016,4
"Всероссийская олимпиада","Право","ГБОУ школа № 1981",9,2018,"призёр",2017,3
"Всероссийская олимпиада","Биология","ГБОУ школа № 1950",11,2016,"призёр",2015,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ СОШ № 89",11,2015,"призёр",2014,5
"Московская олимпиада","Технология","ГБОУ школа № 1000",9,2019,"победитель",2018,3
"Всероссийская олимпиада","Русский язык","ГБОУ лицей № 1535",10,2013,"призёр",2012,5
"Московская олимпиада","История","ГБОУ школа № 1874",6,2018,"призёр",2017,4
"Районная олимпиада","История","ГБОУ школа № 2114",11,2016,"призёр",2015,3
"Районная олимпиада","Литература","ГБОУ школа № 218",9,2017,"призёр",2016,4
"Всероссийская олимпиада","Биология","ГБОУ «Школа № 354 им. Д.М. Карбышева»",9,2020,"призёр",2019,4
"Московская олимпиада","Химия","ГБОУ школа № 218",8,2018,"призёр",2017,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1506",9,2020,"победитель",2019,3
"Московская олимпиада","филология","ГБОУ гимназия № 1583",7,2015,"призёр",2014,3
"Московская олимпиада","Математика","ГБОУ лицей № 1564",6,2017,"призёр",2016,4
"Московская олимпиада","Робототехника","ГБОУ школа № 199",6,2018,"победитель",2017,5
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1241",11,2019,"призёр",2018,5
"Районная олимпиада","Литература","ГБОУ школа № 1575",9,2018,"призёр",2017,3
"Московская олимпиада","Физика","ГБОУ гимназия № 1514",7,2017,"призёр",2016,4
"Районная олимпиада","Физика","МАОУ «Лицей города Троицка»",9,2019,"призёр",2018,5
"Всероссийская олимпиада","История","ГБОУ школа № 1568",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 2103",9,2016,"призёр",2015,4
"Всероссийская олимпиада","Обществознание","ГАОУ «Школа № 1518»",11,2018,"призёр",2017,5
"Московская олимпиада","История","НИУ ВШЭ. лицей",10,2014,"призёр",2013,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ СОШ № 1253",11,2014,"призёр",2013,5
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1195",9,2015,"призёр",2014,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1374",9,2018,"призёр",2017,4
"Московская олимпиада","предпринимательство","ГБОУ гимназия № 1518",9,2014,"призёр",2013,3
"Районная олимпиада","Физическая культура","ГБОУ гимназия № 1562",10,2017,"призёр",2016,4
"Всероссийская олимпиада","Обществознание","ГБОУ школа «Содружество»",9,2019,"призёр",2018,3
"Всероссийская олимпиада","Литература","ГБОУ Московская гимназия на Юго-Западе № 1543",11,2017,"призёр",2016,4
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1517",11,2020,"призёр",2019,5
"Московская олимпиада","Биология","ГБОУ Московская гимназия на Юго-Западе № 1543",8,2017,"призёр",2016,5
"Всероссийская олимпиада","География","ГБОУ школа имени Маршала В.И. Чуйкова",10,2019,"призёр",2018,5
"Всероссийская олимпиада","Литература","ГБОУ ЦО № 1470",10,2014,"призёр",2013,3
"Всероссийская олимпиада","Литература","ГБОУ школа № 1251 имени генерала Шарля де Голля",9,2016,"призёр",2015,3
"Районная олимпиада","Экономика","ГБОУ лицей № 1535",11,2013,"призёр",2012,3
"Всероссийская олимпиада","Право","ГБОУ школа № 1557",9,2020,"призёр",2019,4
"Всероссийская олимпиада","Русский язык","ГБОУ лицей № 1571",9,2016,"призёр",2015,3
"Московская олимпиада","Физика","ГБОУ школа № 1524",11,2018,"призёр",2017,3
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 904",10,2017,"призёр",2016,5
"Районная олимпиада","Обществознание","МГУПС (МИИТ)",11,2014,"призёр",2013,4
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 618",11,2017,"призёр",2016,4
"Всероссийская олимпиада","Информатика","Предуниверситарий НИЯУ МИФИ",10,2015,"призёр",2014,5
"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 1223",9,2013,"призёр",2012,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1770",9,2020,"призёр",2019,3
"Московская олимпиада","Иностранный язык (испанский язык)","ГБОУ школа № 1252 имени Сервантеса",10,2015,"призёр",2014,5
"Всероссийская олимпиада","Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,2017,"призёр",2016,5
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 625",11,2020,"призёр",2019,5
"Всероссийская олимпиада","Физика","ГБОУ лицей № 1557",10,2014,"призёр",2013,4
"Всероссийская олимпиада","Экология","ГБОУ школа № 1950",11,2017,"призёр",2016,5
"Московская олимпиада","География","ГБОУ школа № 2048",7,2018,"призёр",2017,3
"Районная олимпиада","Математика","ГБОУ гимназия № 1514",11,2013,"призёр",2012,4
"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 1392 им. Д.В. Рябинкина",10,2018,"призёр",2017,4
"Московская олимпиада","Экология","ГБОУ школа № 14",6,2019,"победитель",2018,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 345",10,2016,"призёр",2015,4
"Всероссийская олимпиада","Химия","университетская гимназия",11,2019,"призёр",2018,4
"Районная олимпиада","География","ГБОУ школа № 57",10,2017,"победитель",2016,5
"Московская олимпиада","Математика","ГБОУ гимназия № 1567",6,2015,"призёр",2014,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1376",10,2019,"призёр",2018,5
"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ гимназия № 1576",11,2014,"призёр",2013,5
"Московская олимпиада","Математика","ГБОУ школа № 171",11,2018,"призёр",2017,5
"Всероссийская олимпиада","Математика","ГБОУ «Лицей «Вторая школа»",9,2019,"победитель",2018,3
"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 141",7,2015,"призёр",2014,3
"Московская олимпиада","Математика","ГБОУ школа № 2007 ФМШ",6,2018,"победитель",2017,4
"Районная олимпиада","Биология","АНО «ОШ центра педагогического мастерства»",10,2020,"победитель",2019,4
"Всероссийская олимпиада","Математика","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",11,2018,"призёр",2017,3
"Московская олимпиада","лингвистика","Филипповская школа",8,2018,"победитель",2017,3
"Всероссийская олимпиада","Экология","ГБОУ гимназия № 1520 им. Капцовых",10,2015,"призёр",2014,4
"Московская олимпиада","Экология","ГБОУ «Школа № 597 «Новое Поколение»",5,2019,"призёр",2018,5
"Московская олимпиада","Изобразительное искусство","ГБОУ центр образования № 46",4,2014,"призёр",2013,4
"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 1323",7,2014,"победитель",2013,3
"Всероссийская олимпиада","Обществознание","НИУ ВШЭ. лицей",11,2016,"призёр",2015,5
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ ЦО № 1884",11,2014,"призёр",2013,3
"Московская олимпиада","Физика","ГБОУ «Лицей «Вторая школа»",6,2019,"призёр",2018,4
"Московская олимпиада","Технология","ГБОУ школа № 185",6,2016,"призёр",2015,3
"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1576",9,2016,"призёр",2015,3
"Московская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 218",11,2018,"призёр",2017,4
"Всероссийская олимпиада","Биология","ГБОУ «Гимназия № 1528»",11,2017,"призёр",2016,5
"Всероссийская олимпиада","Физика","ГБОУ школа № 2101",10,2019,"призёр",2018,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ гимназия № 1519",9,2017,"призёр",2016,5
"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1505",11,2013,"призёр",2012,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 554",11,2019,"призёр",2018,5
"Всероссийская олимпиада","Искусство (МХК)","ГБОУ школа № 57",10,2018,"призёр",2017,4
"Всероссийская олимпиада","Математика","университетская гимназия",10,2019,"призёр",2018,4
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 2026",9,2018,"призёр",2017,5
"Всероссийская олимпиада","Экономика","ГБОУ ЦО № 218",11,2014,"призёр",2013,4
"Московская олимпиада","Математика","ГБОУ школа № 57",10,2017,"призёр",2016,4
"Всероссийская олимпиада","Биология","ГБОУ школа № 1347",10,2015,"призёр",2014,3
"Всероссийская олимпиада","Литература","ГБОУ школа № 1290",11,2018,"призёр",2017,5
"Московская олимпиада","филология","ГБОУ школа № 1474",6,2015,"призёр",2014,4
"Московская олимпиада","Экономика","ГБОУ СОШ № 240",8,2014,"призёр",2013,4
"Всероссийская олимпиада","Литература","ГБОУ школа № 2090",10,2017,"призёр",2016,5
"Московская олимпиада","предпринимательство","ГБОУ гимназия № 1290",6,2014,"призёр",2013,3
"Московская олимпиада","Технология","ГБОУ школа № 118",7,2019,"призёр",2018,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ОАНО «Школа «ЛЕТОВО»",8,2020,"призёр",2019,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 498",10,2016,"призёр",2015,3
"Московская олимпиада","История","ГБОУ гимназия № 1519",8,2014,"призёр",2013,4
"Всероссийская олимпиада","Биология","ГБОУ школа № 192",11,2020,"призёр",2019,5
"Всероссийская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",10,2014,"призёр",2013,4
"Всероссийская олимпиада","Русский язык","ОАНО «Школа «ЛЕТОВО»",9,2019,"призёр",2018,4
"Всероссийская олимпиада","Химия","ГБОУ школа № 444",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Математика","СУНЦ МГУ",10,2019,"призёр",2018,4
"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ школа № 1953 «Москва-98»",10,2018,"призёр",2017,3
"Московская олимпиада","Физика","ГБОУ ЦО № 1329",10,2014,"призёр",2013,4
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 853",11,2017,"призёр",2016,3
"Всероссийская олимпиада","Физическая культура","ГБОУ СОШ № 1061",10,2014,"призёр",2013,5
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1352",9,2017,"призёр",2016,3
"Всероссийская олимпиада","Технология","ГБОУ «Лицей «Вторая школа»",8,2020,"призёр",2019,3
"Всероссийская олимпиада","Обществознание","ГБОУ «Школа № 448»",11,2016,"призёр",2015,3
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1793",7,2019,"призёр",2018,5
"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 1950",11,2017,"победитель",2016,3
"Районная олимпиада","Иностранный язык (китайский язык)","ГБОУ школа № 1948",9,2018,"призёр",2017,3
"Московская олимпиада","филология","ГБОУ гимназия № 1544",5,2014,"победитель",2013,4
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 171",9,2015,"призёр",2014,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 648",6,2017,"призёр",2016,3
"Московская олимпиада","Биология","ГБОУ гимназия № 1551",7,2014,"призёр",2013,5
"Московская олимпиада","Изобразительное искусство","ГБОУ гимназия № 1517",5,2014,"призёр",2013,3
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 1590",9,2020,"призёр",2019,3
"Районная олимпиада","Математика","ГБОУ школа № 57",9,2018,"призёр",2017,4
"Всероссийская олимпиада","Право","ГБОУ гимназия № 1290",10,2017,"призёр",2016,3
"Всероссийская олимпиада","Экономика","ГБОУ лицей «Вторая школа»",10,2018,"призёр",2017,3
"Всероссийская олимпиада","Химия","ГБОУ школа имени Маршала В.И. Чуйкова",10,2020,"призёр",2019,4
"Всероссийская олимпиада","Экономика","ГБОУ школа № 1536",11,2019,"победитель",2018,3
"Всероссийская олимпиада","Химия","ГБОУ лицей № 1535",11,2017,"призёр",2016,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 2116",8,2017,"победитель",2016,4
"Всероссийская олимпиада","Право","ГБОУ школа № 2009",9,2017,"победитель",2016,4
"Районная олимпиада","Биология","ГБОУ школа № 192",9,2020,"призёр",2019,3
"Всероссийская олимпиада","Физика","Предуниверситарий НИЯУ МИФИ",11,2015,"призёр",2014,4
"Московская олимпиада","Физика","ГБОУ школа № 1329",9,2018,"призёр",2017,5
"Районная олимпиада","Физика","ГБОУ гимназия № 1514",9,2015,"призёр",2014,5
"Московская олимпиада","Обществознание","ГБОУ школа № 1980",10,2018,"призёр",2017,4
"Московская олимпиада","филология","ГБОУ школа на проспекте Вернадского",8,2018,"победитель",2017,4
"Всероссийская олимпиада","Иностранный язык (испанский язык)","ГБОУ школа № 1554",11,2018,"призёр",2017,3
"Районная олимпиада","Право","ГБОУ школа № 962",9,2016,"призёр",2015,5
"Всероссийская олимпиада","Математика","ГБОУ школа № 2007 ФМШ",9,2018,"призёр",2017,4
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1194",11,2020,"призёр",2019,5
"Всероссийская олимпиада","Физика","ГБОУ лицей «Вторая школа»",9,2013,"призёр",2012,4
"Районная олимпиада","Литература","лицей НИУ ВШЭ",11,2019,"призёр",2018,5
"Всероссийская олимпиада","Экология","ГБОУ школа № 1125",11,2017,"победитель",2016,4
"Всероссийская олимпиада","Право","ГБОУ школа № 2123 им. М. Эрнандеса",11,2020,"призёр",2019,4
"Московская олимпиада","География","ГБОУ гимназия № 201",9,2017,"призёр",2016,3
"Всероссийская олимпиада","Литература","ГБОУ школа № 1530 «Школа Ломоносова»",9,2018,"победитель",2017,5
"Московская олимпиада","Физика","ГБОУ школа № 2007 ФМШ",7,2019,"призёр",2018,3
"Всероссийская олимпиада","Информатика","ГБОУ школа № 179",10,2020,"призёр",2019,4
"Московская олимпиада","География","ГБОУ ЦО № 1858",8,2017,"призёр",2016,4
"Районная олимпиада","Литература","ГБОУ школа № 117",10,2019,"призёр",2018,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1542",8,2019,"призёр",2018,4
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1252 имени Сервантеса",10,2013,"призёр",2012,4
"Всероссийская олимпиада","Иностранный язык (китайский язык)","ГБОУ школа № 1517",11,2020,"призёр",2019,4
"Всероссийская олимпиада","Биология","ГБОУ лицей № 1535",10,2016,"призёр",2015,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1460",9,2018,"призёр",2017,4
"Московская олимпиада","Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,2014,"победитель",2013,5
"Московская олимпиада","География","ГБОУ школа № 590",11,2014,"призёр",2013,3
"Всероссийская олимпиада","История","ГБОУ СОШ № 1415",11,2016,"призёр",2015,4
"Всероссийская олимпиада","Право","ГБОУ школа № 1247",10,2016,"призёр",2015,4
"Районная олимпиада","Химия","ГБОУ лицей № 1574",11,2017,"победитель",2016,5
"Московская олимпиада","филология","ГАОУ «Школа № 1518»",8,2019,"призёр",2018,3
"Районная олимпиада","Мировая Художественная Культура (МХК)","университетская гимназия",11,2020,"призёр",2019,4
"Районная олимпиада","Биология","ОАНО школа «Ника»",11,2020,"призёр",2019,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1575",11,2020,"призёр",2019,5
"Районная олимпиада","Право","ФГБОУ ВО МГЛУ",10,2017,"призёр",2016,3
"Всероссийская олимпиада","Биология","ГБОУ школа № 2007 ФМШ",9,2018,"призёр",2017,5
"Московская олимпиада","Физика","ГБОУ ЦО № 57",10,2014,"призёр",2013,3
"Районная олимпиада","Физика","ГБОУ школа № 1568",10,2018,"победитель",2017,4
"Всероссийская олимпиада","Информатика","СУНЦ МГУ",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Русский язык","ГБОУ Московская гимназия на Юго-Западе № 1543",10,2017,"призёр",2016,5
"Московская олимпиада","Технология","ГБОУ СОШ № 1929",5,2015,"призёр",2014,4
"Районная олимпиада","История","ГБОУ школа № 1353",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1543",11,2018,"призёр",2017,4
"Всероссийская олимпиада","Обществознание","ГБОУ лицей № 1523",11,2013,"призёр",2012,5
"Московская олимпиада","Технология","ГБОУ школа № 1000",6,2017,"призёр",2016,5
"Районная олимпиада","Физика","ГБОУ лицей № 1501",11,2013,"призёр",2012,5
"Московская олимпиада","Технология","ГБОУ школа № 1434",5,2015,"призёр",2014,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ СОШ № 1308",11,2014,"призёр",2013,5
"Всероссийская олимпиада","Физика","ГБОУ Московская гимназия на Юго-Западе № 1543",9,2017,"призёр",2016,3
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 185",6,2019,"призёр",2018,5
"Всероссийская олимпиада","Математика","ГБОУ ЦО № 57",11,2013,"призёр",2012,5
"Всероссийская олимпиада","Математика","ГБОУ школа № 2007 ФМШ",11,2019,"призёр",2018,5
"Московская олимпиада","Химия","ГБОУ лицей № 1535",11,2016,"призёр",2015,5
"Московская олимпиада","Математика","ГБОУ Физматшкола 2007",7,2013,"призёр",2012,5
"Всероссийская олимпиада","астрономия","ГБОУ лицей № 1557",11,2017,"призёр",2016,4
"Всероссийская олимпиада","Искусство (МХК)","ГБОУ школа № 1955",11,2018,"призёр",2017,5
"Районная олимпиада","Биология","ГБОУ СОШ № 149",9,2013,"призёр",2012,4
"Районная олимпиада","Экология","ГБОУ школа № 14",9,2019,"победитель",2018,4
"Всероссийская олимпиада","Обществознание","ГБОУ СОШ № 1338",10,2013,"призёр",2012,3
"Всероссийская олимпиада","География","ГБОУ школа № 1284",10,2017,"призёр",2016,3
"Московская олимпиада","Физика","ГБОУ Физматшкола № 2007",7,2016,"призёр",2015,3
"Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",11,2018,"призёр",2017,3
"Всероссийская олимпиада","Физическая культура","ГБОУ гимназия № 1504",9,2016,"призёр",2015,3
"Районная олимпиада","Биология","ГБОУ школа № 57",10,2020,"призёр",2019,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1539",9,2020,"призёр",2019,3
"Районная олимпиада","Обществознание","ГБОУ школа № 1293",11,2018,"призёр",2017,5
"Всероссийская олимпиада","Химия","ГБОУ школа № 1944",11,2016,"призёр",2015,3
"Районная олимпиада","Химия","ГБОУ школа имени Маршала В.И. Чуйкова",9,2020,"призёр",2019,5
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 648",9,2020,"призёр",2019,3
"Московская олимпиада","Биология","ГБОУ школа № 1501",7,2019,"призёр",2018,3
"Московская олимпиада","Технология","ГАОУ ВО МИОО. СОШ № 179",10,2015,"призёр",2014,5
"Московская олимпиада","Математика","ГБОУ школа № 1329",7,2018,"призёр",2017,4
"Районная олимпиада","Биология","ГБОУ лицей № 1553 им. В. И. Вернадского",11,2015,"призёр",2014,4
"Московская олимпиада","лингвистика","ГБОУ Московская гимназия на Юго-Западе № 1543",11,2013,"призёр",2012,4
"Всероссийская олимпиада","География","ГБОУ Физматшкола № 2007",9,2016,"призёр",2015,5
"Всероссийская олимпиада","Информатика","ГБОУ школа № 1534 «Академическая»",10,2020,"призёр",2019,4
"Московская олимпиада","Математика","ГБОУ лицей № 1557",7,2013,"призёр",2012,4
"Московская олимпиада","филология","ГБОУ школа № 1575",8,2019,"призёр",2018,4
"Всероссийская олимпиада","Биология","ГБОУ школа № 2114",10,2018,"призёр",2017,3
"Районная олимпиада","Биология","ГБОУ лицей № 1303",11,2014,"призёр",2013,4
"Районная олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",9,2013,"призёр",2012,3
"Московская олимпиада","Химия","ГБОУ СОШ № 641 имени С. Есенина",9,2014,"призёр",2013,4
"Московская олимпиада","География","ГБОУ школа № 1363",8,2016,"призёр",2015,5
"Всероссийская олимпиада","Иностранный язык (испанский язык)","ГБОУ лицей № 1568",10,2017,"призёр",2016,5
"Районная олимпиада","Обществознание","ГБОУ школа № 1392 им. Д.В. Рябинкина",11,2017,"призёр",2016,3
"Московская олимпиада","Экономика","ГБОУ СОШ № 1383",4,2014,"призёр",2013,5
"Всероссийская олимпиада","Право","ГБОУ школа № 1474",9,2018,"призёр",2017,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1389",11,2018,"призёр",2017,5
"Всероссийская олимпиада","Физическая культура","ГБОУ СОШ № 1912",10,2013,"призёр",2012,5
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1569 «Созвездие»",8,2019,"призёр",2018,5
"Всероссийская олимпиада","Право","ГБОУ лицей № 1158",9,2016,"призёр",2015,3
"Всероссийская олимпиада","География","ГБОУ школа № 1223",11,2020,"призёр",2019,3
"Всероссийская олимпиада","Искусство (МХК)","ГБОУ школа № 1799",10,2018,"призёр",2017,3
"Московская олимпиада","Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,2014,"призёр",2013,3
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 2104 на Таганке",11,2020,"призёр",2019,3
"Московская олимпиада","Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,2015,"призёр",2014,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1389",11,2018,"призёр",2017,3
"Районная олимпиада","Биология","ГБОУ школа № 185",10,2020,"призёр",2019,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 718",9,2017,"призёр",2016,3
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1329",11,2017,"призёр",2016,4
"Московская олимпиада","История","ГБОУ школа № 2128",11,2017,"победитель",2016,5
"Всероссийская олимпиада","Литература","ГБОУ лицей № 1533",9,2014,"призёр",2013,4
"Московская олимпиада","Математика","ГБОУ лицей «Вторая школа»",7,2014,"победитель",2013,4
"Московская олимпиада","филология","ГБОУ школа № 1252 имени Сервантеса",10,2015,"призёр",2014,4
"Всероссийская олимпиада","Экология","ГБОУ лицей № 1535",11,2014,"призёр",2013,4
"Районная олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",11,2013,"призёр",2012,4
"Московская олимпиада","Физика","ГБОУ лицей № 1568",7,2015,"победитель",2014,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ Петровский кадетский корпус",9,2016,"призёр",2015,3
"Районная олимпиада","Обществознание","ГБОУ СОШ № 1397 им. В.П. Чкалова",10,2014,"призёр",2013,3
"Всероссийская олимпиада","Экономика","ГБОУ школа № 57",9,2020,"призёр",2019,5
"Московская олимпиада","Биология","ГБОУ школа № 2120",6,2017,"призёр",2016,4
"Всероссийская олимпиада","Право","ГБОУ школа № 2103",9,2016,"призёр",2015,5
"Московская олимпиада","Физика","ГБОУ лицей № 1524",7,2013,"призёр",2012,3
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»",10,2013,"призёр",2012,3
"Всероссийская олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",10,2014,"призёр",2013,3
"Всероссийская олимпиада","Иностранный язык (немецкий язык)","ГБОУ гимназия № 1567",10,2015,"призёр",2014,3
"Московская олимпиада","Математика","ГБОУ «Школа-интернат «Интеллектуал»",6,2015,"победитель",2014,4
"Всероссийская олимпиада","Экология","ГБОУ Измайловская гимназия № 1508",11,2015,"призёр",2014,4
"Всероссийская олимпиада","Право","ГБОУ школа № 2123 им. М. Эрнандеса",11,2020,"призёр",2019,5
"Всероссийская олимпиада","География","ГБОУ школа № 1399",11,2016,"призёр",2015,4
"Всероссийская олимпиада","Биология","ГБОУ школа № 67",9,2019,"призёр",2018,3
"Всероссийская олимпиада","Литература","ГБОУ гимназия № 1579",9,2013,"призёр",2012,5
"Московская олимпиада","Иностранный язык (испанский язык)","ГБОУ гимназия № 1558",11,2013,"призёр",2012,5
"Всероссийская олимпиада","История","ГБОУ школа № 1210",10,2018,"призёр",2017,3
"Районная олимпиада","Физика","ГБОУ лицей № 1568",11,2017,"призёр",2016,5
"Всероссийская олимпиада","Право","ГБОУ школа № 625",10,2020,"призёр",2019,4
"Всероссийская олимпиада","Биология","ГБОУ школа № 57",10,2020,"призёр",2019,5
"Районная олимпиада","Обществознание","ГБОУ ММГ",10,2013,"призёр",2012,5
"Всероссийская олимпиада","Биология","ГБОУ «Школа-интернат «Интеллектуал»",11,2015,"призёр",2014,5
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 2123 им. М. Эрнандеса",11,2019,"призёр",2018,3
"Всероссийская олимпиада","Физика","ГБОУ школа № 1329",9,2019,"призёр",2018,3
"Московская олимпиада","Робототехника","ГБОУ школа № 1537",5,2018,"призёр",2017,4
"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1554",9,2013,"призёр",2012,4
"Московская олимпиада","География","ЧОУ «СОШ «НАШИ ПЕНАТЫ»",6,2019,"призёр",2018,5
"Районная олимпиада","Информатика","ГБОУ «ЦО № 654 имени А.Д. Фридмана»",11,2017,"призёр",2016,4
"Московская олимпиада","Биология","ГБОУ школа № 237",6,2013,"призёр",2012,4
"Московская олимпиада","Информатика","ГБОУ школа «Интеллектуал»",9,2019,"победитель",2018,5
"Всероссийская олимпиада","Физика","ГБОУ ЦО № 1296",11,2015,"призёр",2014,5
"Всероссийская олимпиада","Литература","ГБОУ «Школа Глория»",9,2019,"призёр",2018,4
"Всероссийская олимпиада","Химия","ГБОУ лицей № 1568",9,2017,"призёр",2016,5
"Московская олимпиада","Технология","ГБОУ школа № 1492",6,2019,"победитель",2018,3
"Всероссийская олимпиада","География","ГБОУ школа № 1563",9,2019,"призёр",2018,4
"Всероссийская олимпиада","Биология","ГБОУ лицей № 1580",9,2015,"призёр",2014,5
"Всероссийская олимпиада","История","ГБПОУ ЗКНО",11,2019,"призёр",2018,5
"Районная олимпиада","История","НОЧУ «Православная классическая гимназия «Радонеж»",9,2020,"призёр",2019,4
"Московская олимпиада","предпринимательство","ГБОУ СОШ № 506",8,2013,"призёр",2012,3
"Всероссийская олимпиада","Русский язык","ФГБОУ ВО МГЛУ",11,2017,"призёр",2016,3
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 508",10,2019,"призёр",2018,4
"Районная олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа «Интеллектуал»",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1514",11,2015,"призёр",2014,5
"Районная олимпиада","Биология","ГБОУ школа № 1944",11,2014,"призёр",2013,3
"Московская олимпиада","Химия","ГБОУ школа № 853",11,2018,"победитель",2017,3
"Всероссийская олимпиада","Право","ГБОУ гимназия № 1520 им. Капцовых",10,2017,"призёр",2016,4
"Всероссийская олимпиада","Физика","Предуниверситарий НИЯУ МИФИ",10,2016,"призёр",2015,5
"Всероссийская олимпиада","Биология","ГБОУ школа № 1284",10,2015,"призёр",2014,4
