"age","personal_status","housing","credit_history","credit_amount","purpose","type","duration","existing_credits"
71,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",2887,"бытовая техника","надежный",14,1
40,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",3210,"бытовая техника","надежный",18,2
24,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",686,"новая машина","ненадежный",17,1
33,"мужчина (одинокий)","домовладелец","есть просрочки платежей",8887,"бытовая техника","надежный",20,2
26,"мужчина (одинокий)","домовладелец","не было кредитов",2168,"ремонт жилья","надежный",34,2
62,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1961,"бытовая техника","надежный",23,2
28,"мужчина (одинокий)","домовладелец","есть просрочки платежей",12926,"подержанная машина","надежный",37,1
28,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2275,"бытовая техника","надежный",14,1
26,"мужчина (одинокий)","домовладелец","есть просрочки платежей",7862,"подержанная машина","надежный",18,2
60,"мужчина (разведенный)","без жилья","есть непогашенные кредиты",3407,"мебель","надежный",34,1
56,"женщина","домовладелец","есть непогашенные кредиты",1194,"мебель","надежный",15,1
20,"женщина","арендатор","есть просрочки платежей",8732,"мебель","ненадежный",56,2
32,"женщина","домовладелец","не было кредитов",4335,"бизнес","надежный",34,2
25,"женщина","домовладелец","есть непогашенные кредиты",1835,"новая машина","ненадежный",36,1
34,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2457,"бизнес","ненадежный",14,2
21,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",1485,"бытовая техника","ненадежный",60,1
24,"женщина","домовладелец","есть непогашенные кредиты",1585,"новая машина","надежный",11,1
31,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",2109,"новая машина","надежный",7,1
25,"женщина","домовладелец","все кредиты погашены",4459,"бизнес","надежный",28,1
28,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1700,"бытовая техника","ненадежный",15,1
31,"мужчина (одинокий)","без жилья","есть просрочки платежей",2773,"мебель","надежный",9,3
36,"мужчина (одинокий)","домовладелец","все кредиты погашены",1331,"бытовая техника","надежный",9,1
30,"мужчина (одинокий)","домовладелец","не было кредитов",5163,"бизнес","ненадежный",27,2
42,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2813,"подержанная машина","надежный",15,1
27,"женщина","домовладелец","есть просрочки платежей",1296,"бизнес","надежный",13,2
24,"женщина","арендатор","есть непогашенные кредиты",1161,"другое","надежный",6,1
50,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3091,"мебель","надежный",18,3
30,"мужчина (одинокий)","домовладелец","есть просрочки платежей",8336,"образование","ненадежный",28,1
45,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",6693,"подержанная машина","ненадежный",22,1
20,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1767,"ремонт жилья","надежный",21,1
44,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4592,"мебель","ненадежный",17,1
22,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1431,"мебель","надежный",18,1
22,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",2051,"бытовая техника","ненадежный",32,1
19,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",6461,"бизнес","надежный",17,1
35,"мужчина (одинокий)","домовладелец","есть просрочки платежей",6251,"бытовая техника","надежный",21,2
27,"мужчина (одинокий)","без жилья","есть просрочки платежей",5484,"образование","надежный",38,1
28,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",7405,"бытовая техника","надежный",54,1
29,"мужчина (одинокий)","домовладелец","есть просрочки платежей",6433,"бытовая техника","ненадежный",39,2
43,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",21963,"другое","надежный",46,1
28,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1915,"новая машина","ненадежный",28,2
31,"женщина","домовладелец","есть просрочки платежей",798,"новая машина","надежный",13,1
53,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1220,"новая машина","надежный",10,1
43,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2375,"мебель","ненадежный",10,1
45,"женщина","домовладелец","есть непогашенные кредиты",4371,"мебель","надежный",31,1
30,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",2165,"бизнес","надежный",25,1
26,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",1741,"бытовая техника","надежный",17,2
52,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1752,"новая машина","надежный",8,1
54,"мужчина (одинокий)","домовладелец","есть просрочки платежей",12517,"мебель","ненадежный",29,1
43,"мужчина (одинокий)","арендатор","есть просрочки платежей",2808,"новая машина","надежный",12,2
24,"мужчина (разведенный)","домовладелец","есть просрочки платежей",1865,"новая машина","надежный",7,2
27,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",7245,"новая машина","ненадежный",20,2
24,"женщина","арендатор","есть непогашенные кредиты",2052,"мебель","надежный",14,1
31,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",2461,"бытовая техника","надежный",9,1
32,"женщина","арендатор","есть просрочки платежей",3128,"мебель","надежный",16,2
33,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2346,"мебель","надежный",12,1
27,"женщина","арендатор","есть непогашенные кредиты",5119,"бытовая техника","надежный",23,1
25,"мужчина (разведенный)","арендатор","есть непогашенные кредиты",2558,"мебель","надежный",28,1
25,"женщина","домовладелец","есть непогашенные кредиты",2909,"бытовая техника","ненадежный",21,1
31,"женщина","домовладелец","все кредиты погашены",3226,"другое","надежный",53,1
18,"женщина","домовладелец","есть непогашенные кредиты",8658,"бытовая техника","надежный",48,1
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",672,"другое","надежный",14,2
35,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3142,"мебель","надежный",7,1
32,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",3127,"ремонт жилья","ненадежный",43,1
19,"женщина","домовладелец","есть непогашенные кредиты",742,"другое","ненадежный",10,1
25,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2382,"бытовая техника","надежный",16,2
21,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1349,"новая машина","надежный",16,1
34,"женщина","домовладелец","есть непогашенные кредиты",5342,"бытовая техника","надежный",40,1
18,"женщина","арендатор","есть непогашенные кредиты",870,"бизнес","надежный",10,1
79,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",6323,"новая машина","ненадежный",30,2
28,"женщина","арендатор","есть непогашенные кредиты",3870,"новая машина","ненадежный",14,2
48,"мужчина (одинокий)","арендатор","есть просрочки платежей",6037,"новая машина","ненадежный",19,2
37,"женщина","домовладелец","есть непогашенные кредиты",2727,"новая машина","ненадежный",41,1
35,"мужчина (одинокий)","домовладелец","есть просрочки платежей",567,"новая машина","ненадежный",11,2
36,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1919,"бытовая техника","надежный",28,1
32,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3289,"бытовая техника","надежный",19,3
49,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1869,"подержанная машина","надежный",22,2
28,"женщина","домовладелец","есть непогашенные кредиты",1694,"бытовая техника","ненадежный",21,2
19,"женщина","домовладелец","есть непогашенные кредиты",1271,"бытовая техника","надежный",9,1
61,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3288,"мебель","ненадежный",7,2
27,"женщина","домовладелец","есть непогашенные кредиты",4252,"новая машина","ненадежный",12,1
36,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",999,"бытовая техника","ненадежный",8,1
35,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2394,"бытовая техника","ненадежный",21,1
32,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1109,"бытовая техника","надежный",21,2
36,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3267,"бытовая техника","надежный",35,1
37,"женщина","домовладелец","есть непогашенные кредиты",1298,"мебель","надежный",18,1
51,"мужчина (одинокий)","домовладелец","все кредиты погашены",2036,"бизнес","надежный",21,1
24,"женщина","домовладелец","есть непогашенные кредиты",814,"бытовая техника","ненадежный",6,1
38,"мужчина (одинокий)","домовладелец","есть просрочки платежей",7457,"подержанная машина","надежный",34,2
30,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",1361,"новая машина","ненадежный",13,3
31,"женщина","арендатор","не было кредитов",2788,"мебель","ненадежный",28,1
36,"мужчина (одинокий)","домовладелец","есть просрочки платежей",5725,"мебель","надежный",38,1
31,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",2025,"бытовая техника","надежный",14,2
24,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2709,"подержанная машина","надежный",66,1
49,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",12639,"образование","ненадежный",54,1
45,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2977,"образование","надежный",17,1
22,"мужчина (одинокий)","домовладелец","все кредиты погашены",4151,"мебель","ненадежный",24,1
27,"женщина","домовладелец","есть непогашенные кредиты",1993,"бытовая техника","надежный",12,1
47,"мужчина (одинокий)","без жилья","есть просрочки платежей",6213,"ремонт жилья","надежный",26,2
30,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",1050,"мебель","надежный",5,2
40,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3498,"новая машина","надежный",30,2
30,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",4495,"бытовая техника","надежный",25,1
25,"мужчина (женатый или вдовец)","арендатор","все кредиты погашены",1268,"новая машина","ненадежный",23,1
44,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2626,"бытовая техника","надежный",36,1
32,"мужчина (одинокий)","домовладелец","есть просрочки платежей",784,"бытовая техника","надежный",7,2
19,"женщина","арендатор","есть непогашенные кредиты",953,"бытовая техника","надежный",17,1
31,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",7393,"подержанная машина","надежный",36,2
64,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4963,"бизнес","ненадежный",25,3
27,"женщина","домовладелец","есть непогашенные кредиты",3471,"бытовая техника","надежный",29,1
53,"женщина","без жилья","есть непогашенные кредиты",3265,"бытовая техника","ненадежный",38,1
31,"мужчина (одинокий)","домовладелец","не было кредитов",3843,"бизнес","ненадежный",20,3
31,"мужчина (одинокий)","без жилья","есть просрочки платежей",1008,"образование","ненадежный",5,2
45,"женщина","домовладелец","есть непогашенные кредиты",722,"образование","ненадежный",10,1
31,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3693,"мебель","надежный",54,1
52,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1079,"новая машина","надежный",15,1
37,"женщина","домовладелец","есть просрочки платежей",629,"новая машина","надежный",9,2
22,"женщина","домовладелец","есть непогашенные кредиты",1580,"бизнес","надежный",14,2
42,"мужчина (одинокий)","домовладелец","есть просрочки платежей",4049,"бытовая техника","надежный",23,1
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3487,"бытовая техника","надежный",50,1
46,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",711,"бытовая техника","ненадежный",11,1
40,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",4585,"бизнес","надежный",24,3
45,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",3351,"новая машина","ненадежный",78,1
30,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1773,"бытовая техника","ненадежный",11,1
33,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",4455,"мебель","надежный",34,1
32,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",1488,"новая машина","надежный",10,1
45,"женщина","домовладелец","не было кредитов",5085,"бытовая техника","ненадежный",23,1
30,"женщина","домовладелец","есть непогашенные кредиты",3570,"бытовая техника","ненадежный",34,1
54,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1199,"новая машина","надежный",14,2
29,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",8380,"мебель","ненадежный",47,1
36,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3586,"бытовая техника","надежный",46,1
61,"женщина","без жилья","есть просрочки платежей",3907,"образование","надежный",11,3
23,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",6805,"бытовая техника","надежный",17,1
27,"женщина","домовладелец","есть непогашенные кредиты",1967,"мебель","надежный",7,1
22,"женщина","без жилья","есть просрочки платежей",8240,"образование","надежный",15,2
23,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4267,"бытовая техника","ненадежный",31,1
39,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1017,"бытовая техника","надежный",15,1
51,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1645,"бытовая техника","надежный",12,1
25,"женщина","домовладелец","есть просрочки платежей",11070,"образование","ненадежный",25,2
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2833,"мебель","надежный",15,2
28,"мужчина (одинокий)","домовладелец","есть просрочки платежей",8731,"новая машина","надежный",50,2
32,"женщина","домовладелец","есть непогашенные кредиты",1709,"бытовая техника","надежный",15,1
24,"мужчина (одинокий)","домовладелец","все кредиты погашены",4951,"бизнес","надежный",58,1
21,"мужчина (женатый или вдовец)","арендатор","есть непогашенные кредиты",2193,"бытовая техника","ненадежный",16,1
20,"женщина","домовладелец","есть непогашенные кредиты",2622,"бытовая техника","надежный",21,1
31,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3510,"новая машина","надежный",31,2
37,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2563,"бытовая техника","надежный",37,2
19,"женщина","арендатор","есть просрочки платежей",1090,"мебель","надежный",13,1
34,"женщина","домовладелец","есть просрочки платежей",2875,"бытовая техника","надежный",4,1
27,"женщина","арендатор","есть непогашенные кредиты",1724,"образование","надежный",9,1
28,"женщина","домовладелец","есть непогашенные кредиты",3890,"бытовая техника","надежный",17,1
22,"женщина","арендатор","есть просрочки платежей",8515,"мебель","ненадежный",56,2
35,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3791,"образование","надежный",18,2
24,"женщина","домовладелец","есть непогашенные кредиты",393,"другое","надежный",6,1
26,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1309,"бизнес","надежный",5,1
30,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",1510,"новая машина","ненадежный",14,1
24,"женщина","арендатор","есть непогашенные кредиты",1895,"подержанная машина","надежный",6,1
52,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",9247,"подержанная машина","надежный",53,1
32,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1300,"новая машина","надежный",60,1
36,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",2379,"бытовая техника","надежный",9,1
34,"женщина","домовладелец","есть непогашенные кредиты",10457,"мебель","надежный",38,1
27,"женщина","домовладелец","есть непогашенные кредиты",3676,"подержанная машина","надежный",11,1
62,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3236,"бытовая техника","надежный",10,1
31,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2782,"мебель","надежный",22,1
21,"женщина","домовладелец","есть непогашенные кредиты",3275,"мебель","ненадежный",19,1
39,"мужчина (одинокий)","домовладелец","все кредиты погашены",9311,"новая машина","ненадежный",22,1
21,"женщина","арендатор","есть непогашенные кредиты",10404,"новая машина","надежный",8,1
44,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",462,"бытовая техника","надежный",6,1
54,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",11094,"мебель","ненадежный",11,1
20,"женщина","арендатор","есть непогашенные кредиты",1187,"новая машина","ненадежный",16,1
35,"женщина","домовладелец","есть просрочки платежей",688,"бытовая техника","ненадежный",18,1
38,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3755,"бытовая техника","надежный",8,1
34,"женщина","домовладелец","есть просрочки платежей",2197,"образование","ненадежный",7,2
22,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",4473,"образование","надежный",38,1
45,"женщина","домовладелец","есть просрочки платежей",222,"новая машина","надежный",5,2
28,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",4114,"новая машина","ненадежный",50,2
27,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",1658,"бытовая техника","надежный",17,1
69,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",3237,"бытовая техника","ненадежный",19,2
24,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",5344,"новая машина","надежный",19,1
25,"мужчина (одинокий)","домовладелец","не было кредитов",1178,"ремонт жилья","ненадежный",11,2
39,"мужчина (разведенный)","домовладелец","есть просрочки платежей",3793,"новая машина","надежный",18,1
22,"женщина","домовладелец","есть просрочки платежей",2777,"мебель","надежный",24,1
35,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2009,"подержанная машина","надежный",15,1
58,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",9567,"новая машина","надежный",12,1
28,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3275,"подержанная машина","надежный",24,2
18,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",4350,"мебель","ненадежный",20,1
39,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",10664,"бизнес","ненадежный",54,1
41,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1621,"другое","надежный",15,1
27,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2124,"мебель","надежный",9,1
54,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2706,"мебель","надежный",27,2
32,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",9085,"другое","ненадежный",38,2
29,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1247,"новая машина","ненадежный",30,2
54,"женщина","без жилья","есть непогашенные кредиты",3167,"новая машина","надежный",22,1
37,"мужчина (одинокий)","арендатор","есть просрочки платежей",2386,"мебель","надежный",5,1
51,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2576,"подержанная машина","надежный",25,1
46,"мужчина (одинокий)","без жилья","есть просрочки платежей",12279,"новая машина","ненадежный",28,1
29,"женщина","арендатор","есть непогашенные кредиты",1797,"мебель","ненадежный",12,1
41,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",753,"бытовая техника","ненадежный",23,1
33,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2593,"бытовая техника","надежный",11,1
30,"мужчина (одинокий)","домовладелец","все кредиты погашены",1226,"новая машина","ненадежный",14,1
33,"мужчина (одинокий)","арендатор","есть просрочки платежей",4964,"новая машина","надежный",16,2
29,"женщина","домовладелец","есть непогашенные кредиты",1218,"мебель","ненадежный",22,1
18,"женщина","арендатор","есть непогашенные кредиты",1037,"мебель","ненадежный",14,1
41,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1464,"мебель","надежный",4,1
53,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",1011,"образование","надежный",24,1
75,"женщина","домовладелец","есть непогашенные кредиты",1517,"новая машина","надежный",7,1
23,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",15696,"новая машина","ненадежный",46,1
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1103,"бытовая техника","надежный",38,1
31,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2289,"подержанная машина","надежный",33,2
52,"мужчина (одинокий)","без жилья","есть просрочки платежей",9093,"подержанная машина","ненадежный",65,2
45,"женщина","домовладелец","есть непогашенные кредиты",3158,"мебель","надежный",13,1
40,"мужчина (одинокий)","домовладелец","есть просрочки платежей",4257,"подержанная машина","надежный",23,2
30,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",634,"новая машина","надежный",6,1
44,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2586,"бытовая техника","надежный",45,1
22,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",2323,"бизнес","надежный",15,2
73,"мужчина (одинокий)","домовладелец","есть просрочки платежей",552,"новая машина","надежный",22,2
42,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2715,"бытовая техника","надежный",42,1
25,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",3761,"мебель","ненадежный",25,1
38,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",6260,"подержанная машина","надежный",24,1
34,"мужчина (одинокий)","без жилья","есть просрочки платежей",1246,"бытовая техника","надежный",10,2
54,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2276,"бытовая техника","надежный",27,2
24,"женщина","домовладелец","есть просрочки платежей",3326,"новая машина","ненадежный",12,2
35,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2498,"новая машина","надежный",15,1
29,"мужчина (одинокий)","без жилья","есть просрочки платежей",4859,"мебель","надежный",23,1
36,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1707,"новая машина","надежный",11,2
33,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",3610,"подержанная машина","надежный",42,1
41,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1827,"бытовая техника","надежный",2,3
52,"мужчина (одинокий)","арендатор","есть просрочки платежей",1475,"бизнес","надежный",12,1
63,"мужчина (одинокий)","домовладелец","есть просрочки платежей",813,"бытовая техника","надежный",18,1
22,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",3292,"бытовая техника","надежный",7,1
29,"женщина","домовладелец","есть непогашенные кредиты",6460,"бытовая техника","ненадежный",57,1
51,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3596,"новая машина","надежный",16,2
21,"женщина","домовладелец","есть просрочки платежей",4449,"мебель","надежный",20,2
39,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1451,"образование","надежный",13,3
49,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1206,"новая машина","надежный",12,2
28,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2603,"мебель","надежный",5,1
29,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",530,"ремонт жилья","ненадежный",16,1
38,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2387,"образование","ненадежный",36,1
18,"женщина","арендатор","есть непогашенные кредиты",2241,"мебель","ненадежный",5,2
28,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",2648,"мебель","надежный",11,2
51,"женщина","домовладелец","есть непогашенные кредиты",635,"мебель","надежный",6,1
28,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4307,"мебель","надежный",35,1
59,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1203,"подержанная машина","надежный",9,1
32,"мужчина (одинокий)","домовладелец","не было кредитов",2087,"другое","надежный",9,1
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2285,"новая машина","надежный",15,1
22,"женщина","домовладелец","есть непогашенные кредиты",2262,"бытовая техника","надежный",34,1
20,"женщина","домовладелец","есть непогашенные кредиты",3646,"бытовая техника","надежный",36,1
46,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1818,"мебель","надежный",14,1
40,"женщина","домовладелец","есть просрочки платежей",783,"новая машина","надежный",3,2
27,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1815,"новая машина","надежный",30,1
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3488,"бизнес","ненадежный",17,1
38,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1447,"бытовая техника","надежный",19,1
32,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",1814,"бытовая техника","ненадежный",30,1
40,"женщина","домовладелец","есть просрочки платежей",1566,"мебель","надежный",7,1
43,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",1066,"мебель","надежный",15,1
21,"женщина","домовладелец","есть непогашенные кредиты",1735,"бытовая техника","надежный",11,1
39,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1166,"бытовая техника","надежный",17,1
28,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1245,"бытовая техника","надежный",28,1
34,"мужчина (разведенный)","без жилья","все кредиты погашены",2330,"бытовая техника","ненадежный",8,1
21,"женщина","арендатор","есть непогашенные кредиты",4146,"подержанная машина","надежный",11,1
30,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",1552,"мебель","надежный",9,1
32,"мужчина (женатый или вдовец)","арендатор","есть просрочки платежей",2187,"бытовая техника","надежный",4,2
19,"женщина","домовладелец","есть непогашенные кредиты",5424,"бытовая техника","ненадежный",46,1
31,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1146,"бытовая техника","надежный",7,1
27,"женщина","домовладелец","не было кредитов",2742,"новая машина","ненадежный",20,2
21,"женщина","арендатор","есть непогашенные кредиты",1271,"бытовая техника","ненадежный",9,1
27,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",12769,"новая машина","ненадежный",8,1
34,"женщина","домовладелец","есть просрочки платежей",1339,"другое","надежный",4,2
45,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",872,"новая машина","надежный",4,1
24,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",12763,"бытовая техника","ненадежный",64,2
68,"женщина","домовладелец","есть непогашенные кредиты",1448,"образование","надежный",9,2
33,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",1254,"новая машина","ненадежный",40,1
31,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4232,"подержанная машина","надежный",6,1
52,"женщина","домовладелец","есть просрочки платежей",962,"бытовая техника","надежный",25,2
26,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2029,"другое","надежный",9,1
42,"женщина","домовладелец","есть просрочки платежей",7368,"бизнес","надежный",34,2
29,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",884,"бытовая техника","надежный",14,1
40,"женщина","арендатор","есть непогашенные кредиты",2606,"бытовая техника","надежный",10,1
50,"мужчина (одинокий)","домовладелец","есть просрочки платежей",4104,"новая машина","надежный",9,2
26,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",6716,"новая машина","надежный",27,1
59,"женщина","без жилья","все кредиты погашены",15329,"другое","ненадежный",55,2
31,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",8480,"новая машина","надежный",81,1
36,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3110,"новая машина","надежный",31,1
35,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",6155,"бизнес","ненадежный",79,1
29,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",4766,"новая машина","надежный",20,2
32,"женщина","домовладелец","есть непогашенные кредиты",1121,"бизнес","ненадежный",16,1
77,"мужчина (одинокий)","без жилья","есть просрочки платежей",1613,"новая машина","надежный",14,3
61,"женщина","без жилья","есть непогашенные кредиты",1819,"новая машина","надежный",19,1
31,"мужчина (одинокий)","без жилья","все кредиты погашены",4685,"мебель","ненадежный",26,1
34,"женщина","домовладелец","не было кредитов",8461,"новая машина","надежный",35,2
39,"мужчина (одинокий)","домовладелец","есть просрочки платежей",4332,"подержанная машина","надежный",14,1
33,"женщина","домовладелец","есть непогашенные кредиты",5137,"мебель","ненадежный",3,1
63,"женщина","домовладелец","есть просрочки платежей",497,"бытовая техника","надежный",13,4
25,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3086,"бытовая техника","надежный",20,1
28,"мужчина (разведенный)","домовладелец","есть непогашенные кредиты",11271,"ремонт жилья","ненадежный",26,1
23,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1376,"бытовая техника","надежный",17,2
31,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2674,"бизнес","надежный",15,1
24,"женщина","арендатор","есть непогашенные кредиты",1295,"новая машина","надежный",14,1
