"Year_begin","OlympiadType","Status","Year_end","TeamSize","Class","ShortName","Subject"
2017,"Всероссийская олимпиада","призёр",2018,3,10,"ГБОУ школа № 1449","Основы безопасности жизнедеятельности"
2016,"Московская олимпиада","призёр",2017,3,6,"ГБОУ гимназия № 1569 «Созвездие»","Технология"
2015,"Всероссийская олимпиада","призёр",2016,5,9,"ФГБОУ ВО МГЛУ","Русский язык"
2018,"Всероссийская олимпиада","призёр",2019,5,9,"ГБОУ школа № 2009","Русский язык"
2014,"Московская олимпиада","победитель",2015,3,6,"ГБОУ «Школа-интернат «Интеллектуал»","Экономика"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГБОУ «Школа-интернат «Интеллектуал»","География"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ФГБОУ ВО МГЛУ","Иностранный язык (французский язык)"
2018,"Всероссийская олимпиада","призёр",2019,3,10,"Классический пансион МГУ имени М.В. Ломоносова","Биология"
2018,"Всероссийская олимпиада","призёр",2019,4,11,"ГБОУ Шуваловская школа № 1448","Право"
2015,"Московская олимпиада","призёр",2016,4,6,"ГБОУ школа № 2034","Математика"
2016,"Московская олимпиада","победитель",2017,4,6,"ГБОУ школа № 57","Математика"
2016,"Московская олимпиада","призёр",2017,5,9,"ГБОУ школа № 2033","Обществознание"
2015,"Всероссийская олимпиада","призёр",2016,3,11,"ГАОУ ВО МИОО. СОШ № 179","Физика"
2016,"Московская олимпиада","призёр",2017,5,10,"ГБОУ гимназия № 1514","Физика"
2013,"Московская олимпиада","призёр",2014,4,11,"ГБОУ СОШ № 1279","Технология"
2013,"Московская олимпиада","призёр",2014,4,8,"ГБОУ школа № 2089","История"
2018,"Всероссийская олимпиада","призёр",2019,5,10,"ГБОУ школа «Интеллектуал»","Мировая Художественная Культура (МХК)"
2012,"Московская олимпиада","победитель",2013,3,8,"ГБОУ Государственная столичная гимназия","Физика"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГАОУ ВО МИОО. СОШ № 179","Математика"
2015,"Московская олимпиада","победитель",2016,5,6,"ГБОУ гимназия № 1505","Робототехника"
2012,"Московская олимпиада","призёр",2013,5,7,"ГБОУ ЦО № 1601","филология"
2019,"Всероссийская олимпиада","призёр",2020,3,11,"ГБОУ школа № 1534 «Академическая»","Обществознание"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГБОУ школа № 853","Химия"
2016,"Московская олимпиада","призёр",2017,4,6,"ГБОУ гимназия № 1507","Технология"
2016,"Московская олимпиада","призёр",2017,4,8,"ГБОУ школа «Спектр»","География"
2017,"Московская олимпиада","призёр",2018,3,6,"ГБОУ школа имени Маршала В.И. Чуйкова","Математика"
2013,"Всероссийская олимпиада","призёр",2014,4,10,"ГБОУ СОШ № 1874","История"
2013,"Всероссийская олимпиада","призёр",2014,4,10,"ГБОУ лицей № 1523","Иностранный язык (английский язык)"
2015,"Всероссийская олимпиада","призёр",2016,5,11,"ГБОУ лицей № 1502 при МЭИ","Физическая культура"
2016,"Всероссийская олимпиада","призёр",2017,3,10,"ГАОУ ВПО МИОО. СОШ № 179","Экономика"
2016,"Всероссийская олимпиада","призёр",2017,3,11,"ГБОУ гимназия № 1409","История"
2019,"Всероссийская олимпиада","призёр",2020,5,9,"ГБОУ «Лицей «Вторая школа»","Физика"
2012,"Московская олимпиада","призёр",2013,5,7,"ГБОУ СОШ № 2010","Изобразительное искусство"
2013,"Всероссийская олимпиада","призёр",2014,5,10,"ГБОУ школа № 1371","Обществознание"
2018,"Московская олимпиада","призёр",2019,3,11,"ГБОУ школа № 57","Математика"
2012,"Всероссийская олимпиада","призёр",2013,4,11,"ГБОУ СОШ № 1367","Иностранный язык (английский язык)"
2016,"Всероссийская олимпиада","призёр",2017,5,11,"ГБОУ школа № 979","Биология"
2018,"Московская олимпиада","призёр",2019,3,8,"университетская гимназия","Химия"
2013,"Московская олимпиада","призёр",2014,4,10,"ГБОУ СОШ № 2086","Экономика"
2015,"Всероссийская олимпиада","призёр",2016,4,11,"ГБОУ школа № 1228","Иностранный язык (английский язык)"
2012,"Московская олимпиада","призёр",2013,3,11,"ГБОУ гимназия № 1558","Иностранный язык (испанский язык)"
2017,"Всероссийская олимпиада","призёр",2018,5,9,"ГБОУ школа № 1912","Физическая культура"
2015,"Всероссийская олимпиада","призёр",2016,4,10,"ГБОУ школа № 1252 имени Сервантеса","Иностранный язык (испанский язык)"
2019,"Всероссийская олимпиада","победитель",2020,4,10,"ГБОУ школа № 1541","Право"
2017,"Всероссийская олимпиада","призёр",2018,5,9,"ГБОУ школа № 1575","Русский язык"
2016,"Всероссийская олимпиада","победитель",2017,4,9,"ГБОУ гимназия № 1514","Экономика"
2016,"Московская олимпиада","призёр",2017,5,6,"ГБОУ лицей № 1557","Робототехника"
2014,"Московская олимпиада","призёр",2015,5,10,"ГБОУ гимназия № 1503","Химия"
2012,"Всероссийская олимпиада","призёр",2013,5,9,"ГБОУ ЦО № 218","Обществознание"
2016,"Всероссийская олимпиада","призёр",2017,5,11,"ГБОУ гимназия № 1590","Физическая культура"
2018,"Всероссийская олимпиада","призёр",2019,4,10,"ГБОУ школа № 1573","Литература"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГБОУ школа № 1501","Математика"
2017,"Всероссийская олимпиада","призёр",2018,3,10,"ГБОУ школа № 57","Математика"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"ГБОУ школа № 1288","Иностранный язык (английский язык)"
2016,"Московская олимпиада","призёр",2017,4,7,"ГБОУ школа «Интеллектуал»","Биология"
2015,"Районная олимпиада","призёр",2016,5,10,"ГБОУ школа № 1947","Технология"
2015,"Районная олимпиада","призёр",2016,5,9,"ГБОУ лицей № 1367","Информатика"
2012,"Всероссийская олимпиада","призёр",2013,5,11,"ГБОУ гимназия № 1514","Обществознание"
2015,"Московская олимпиада","победитель",2016,5,7,"ГБОУ школа № 1273","Изобразительное искусство"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГБОУ школа № 1561","Биология"
2013,"Всероссийская олимпиада","призёр",2014,5,10,"ГБОУ ЦО № 57","Физика"
2015,"Московская олимпиада","призёр",2016,3,5,"ГБОУ гимназия № 1515","филология"
2015,"Всероссийская олимпиада","призёр",2016,5,10,"ГБОУ лицей № 1502 при МЭИ","Литература"
2016,"Всероссийская олимпиада","призёр",2017,5,10,"СУНЦ МГУ","Обществознание"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГБОУ СОШ № 1376","Русский язык"
2013,"Всероссийская олимпиада","призёр",2014,5,10,"ГБОУ СОШ № 1354","История"
2016,"Московская олимпиада","призёр",2017,5,7,"ГБОУ лицей «Вторая школа»","Математика"
2017,"Московская олимпиада","призёр",2018,4,7,"ГБОУ школа № 179","Математика"
2016,"Московская олимпиада","победитель",2017,3,10,"ГБОУ школа № 1103","Обществознание"
2012,"Районная олимпиада","призёр",2013,4,11,"ГБОУ гимназия № 1514","Мировая Художественная Культура (МХК)"
2012,"Всероссийская олимпиада","призёр",2013,3,9,"ГБОУ школа № 1392 им. Д.В. Рябинкина","Экология"
2014,"Московская олимпиада","призёр",2015,4,6,"ГБОУ школа № 1374","Изобразительное искусство"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"ГБОУ школа № 1534 «Академическая»","Обществознание"
2017,"Всероссийская олимпиада","призёр",2018,5,11,"ГБОУ школа № 1797","Иностранный язык (немецкий язык)"
2018,"Московская олимпиада","призёр",2019,5,8,"ГБОУ школа № 1374","филология"
2019,"Всероссийская олимпиада","победитель",2020,5,10,"ГБОУ школа № 1543","Русский язык"
2018,"Районная олимпиада","призёр",2019,4,10,"ГБОУ школа в Капотне","Русский язык"
2016,"Всероссийская олимпиада","призёр",2017,4,9,"ГБОУ школа «Интеллектуал»","Физика"
2014,"Московская олимпиада","призёр",2015,4,7,"ГБОУ школа № 853","Математика"
2017,"Московская олимпиада","победитель",2018,3,9,"ГБОУ школа № 118","Экономика"
2018,"Московская олимпиада","призёр",2019,5,8,"ГБОУ школа № 1547","Физика"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГБОУ Физматшкола 2007","Информатика"
2016,"Всероссийская олимпиада","призёр",2017,5,11,"ГБОУ гимназия № 1507","Иностранный язык (английский язык)"
2016,"Всероссийская олимпиада","призёр",2017,3,10,"МАОУ «Лицей города Троицка»","Мировая Художественная Культура (МХК)"
2016,"Всероссийская олимпиада","призёр",2017,3,10,"ГБОУ школа «Интеллектуал»","География"
2015,"Районная олимпиада","призёр",2016,3,9,"ГБОУ гимназия № 1552","Мировая Художественная Культура (МХК)"
2017,"Районная олимпиада","призёр",2018,4,9,"ГБОУ лицей «Вторая школа»","Физика"
2018,"Московская олимпиада","призёр",2019,4,7,"ГБОУ школа № 1514","Математика"
2017,"Всероссийская олимпиада","призёр",2018,4,11,"ЧОУ ВО «ИМТП»","Иностранный язык (английский язык)"
2018,"Московская олимпиада","победитель",2019,5,9,"ОАНО «Школа «ЛЕТОВО»","Физика"
2016,"Московская олимпиада","призёр",2017,5,9,"ГБОУ гимназия № 625","История"
2016,"Районная олимпиада","призёр",2017,5,11,"ГБОУ школа № 734","Экология"
2013,"Московская олимпиада","призёр",2014,4,9,"ГБОУ лицей № 1535","лингвистика"
2015,"Московская олимпиада","призёр",2016,4,7,"ГБОУ школа № 444","Математика"
2012,"Московская олимпиада","победитель",2013,3,8,"ГБОУ ЦО № 218","Физика"
2013,"Московская олимпиада","призёр",2014,3,10,"ГБОУ гимназия № 1518","Обществознание"
2016,"Всероссийская олимпиада","призёр",2017,4,11,"ЧУОО школа «Выбор»","Экономика"
2015,"Московская олимпиада","призёр",2016,4,9,"ГБОУ ЛГК на Юго-Востоке","Химия"
2012,"Районная олимпиада","призёр",2013,3,11,"ГАОУ ВО МИОО. СОШ № 179","Математика"
2019,"Всероссийская олимпиада","призёр",2020,4,10,"ГБОУ школа № 17","Иностранный язык (английский язык)"
2019,"Всероссийская олимпиада","призёр",2020,3,9,"ЧОУ «СОШ «НАШИ ПЕНАТЫ»","Физика"
2013,"Всероссийская олимпиада","призёр",2014,4,9,"ГБОУ центр образования № 46","География"
2016,"Всероссийская олимпиада","призёр",2017,4,11,"ГБОУ лицей № 1535","Иностранный язык (английский язык)"
2018,"Московская олимпиада","призёр",2019,5,10,"ГБОУ школа № 1376","филология"
2019,"Районная олимпиада","призёр",2020,5,11,"ГБОУ школа № 1543","Экономика"
2017,"Всероссийская олимпиада","победитель",2018,4,9,"ГБОУ школа № 1534","Физика"
2018,"Московская олимпиада","призёр",2019,4,7,"ГБОУ школа № 924","Робототехника"
2018,"Московская олимпиада","призёр",2019,4,5,"ГБОУ школа № 648","филология"
2014,"Всероссийская олимпиада","призёр",2015,4,9,"ГБОУ СОШ № 218","Биология"
2017,"Московская олимпиада","победитель",2018,4,6,"ГБОУ школа № 1293","Изобразительное искусство"
2017,"Московская олимпиада","призёр",2018,5,10,"ГБОУ школа № 179","Математика"
2018,"Московская олимпиада","победитель",2019,3,7,"ГБОУ школа № 179","Информатика"
2014,"Всероссийская олимпиада","призёр",2015,4,10,"ГБОУ школа № 171","Биология"
2017,"Всероссийская олимпиада","призёр",2018,3,9,"ГБОУ школа № 179","Биология"
2013,"Районная олимпиада","призёр",2014,4,11,"ГБОУ Московская гимназия на Юго-Западе № 1543","Информатика"
2013,"Всероссийская олимпиада","призёр",2014,5,10,"ГБОУ школа-интернат «Интеллектуал»","Мировая Художественная Культура (МХК)"
2013,"Московская олимпиада","призёр",2014,3,3,"ГБОУ школа № 1284","Изобразительное искусство"
2016,"Всероссийская олимпиада","призёр",2017,4,9,"ГБОУ ГСГ","Право"
2014,"Московская олимпиада","победитель",2015,3,6,"ГБОУ школа № 1238","Биология"
2015,"Московская олимпиада","призёр",2016,5,8,"ГБОУ Физматшкола № 2007","Информатика"
2014,"Московская олимпиада","призёр",2015,5,11,"ГАОУ ВО МИОО. СОШ № 179","Информатика"
2014,"Всероссийская олимпиада","призёр",2015,4,9,"ГБОУ ЦО № 57","Экология"
2014,"Московская олимпиада","победитель",2015,4,8,"ГБОУ СОШ № 1416","Изобразительное искусство"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"ГБОУ школа № 625","История"
2016,"Всероссийская олимпиада","призёр",2017,5,10,"ГБОУ школа № 1285","Биология"
2018,"Московская олимпиада","призёр",2019,5,9,"ГБОУ Инженерно-техническая школа","Информационные технологии в профессиональной деятельности"
2016,"Районная олимпиада","призёр",2017,4,11,"ГБОУ школа № 2090","Мировая Художественная Культура (МХК)"
2016,"Московская олимпиада","призёр",2017,5,6,"ГБОУ школа № 1412","Информатика"
2012,"Всероссийская олимпиада","призёр",2013,3,9,"ГБОУ гимназия № 1567","Биология"
2016,"Всероссийская олимпиада","призёр",2017,4,10,"ГАОУ ЦО № 548","Иностранный язык (китайский язык)"
2014,"Всероссийская олимпиада","призёр",2015,5,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Математика"
2015,"Всероссийская олимпиада","призёр",2016,4,11,"ГБОУ школа № 218","Физика"
2012,"Всероссийская олимпиада","призёр",2013,4,9,"МКК ПВ МО РФ","Мировая Художественная Культура (МХК)"
2016,"Московская олимпиада","призёр",2017,3,5,"ГБОУ гимназия № 1569 «Созвездие»","Изобразительное искусство"
2017,"Всероссийская олимпиада","призёр",2018,4,9,"ГБОУ школа № 1543","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2014,"Всероссийская олимпиада","призёр",2015,3,11,"ГБОУ гимназия № 1514","Физика"
2014,"Московская олимпиада","призёр",2015,4,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Физика"
2015,"Московская олимпиада","победитель",2016,3,10,"ГБОУ школа № 1329","астрономия"
2018,"Всероссийская олимпиада","призёр",2019,4,10,"ГБОУ школа № 1524","Технология"
2017,"Московская олимпиада","призёр",2018,3,7,"ГБОУ школа № 1502 при МЭИ","филология"
2014,"Районная олимпиада","победитель",2015,3,10,"ГБОУ СОШ № 1245","Литература"
2013,"Московская олимпиада","призёр",2014,4,6,"ГБОУ школа № 293","Изобразительное искусство"
2018,"Московская олимпиада","призёр",2019,3,9,"ОАНО «Школа «ЛЕТОВО»","Математика"
2018,"Московская олимпиада","победитель",2019,3,8,"ГБПОУ ОК «Юго-Запад»","Технология"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"ОАНО «Школа «ЛЕТОВО»","Русский язык"
2015,"Всероссийская олимпиада","призёр",2016,4,9,"ГБОУ школа № 630","Физическая культура"
2019,"Всероссийская олимпиада","призёр",2020,3,11,"ГБОУ школа № 1285","Биология"
2013,"Московская олимпиада","призёр",2014,4,8,"ГБОУ СОШ № 1250","филология"
2016,"Районная олимпиада","призёр",2017,5,10,"ГБОУ школа № 2026","Основы безопасности жизнедеятельности"
2015,"Московская олимпиада","победитель",2016,3,11,"ГБОУ школа № 1249","История"
2019,"Всероссийская олимпиада","победитель",2020,4,10,"ГБОУ школа № 1194","География"
2019,"Районная олимпиада","призёр",2020,3,9,"ГБОУ школа № 179","Биология"
2013,"Всероссийская олимпиада","призёр",2014,3,10,"ГБОУ ЦО № 345","Основы безопасности жизнедеятельности"
2018,"Всероссийская олимпиада","призёр",2019,3,9,"ГБОУ школа № 1543","Литература"
2013,"Московская олимпиада","призёр",2014,5,5,"ЧОУ СОШ Ломоносовская школа","филология"
2016,"Всероссийская олимпиада","призёр",2017,5,11,"ГБОУ школа № 1400","Мировая Художественная Культура (МХК)"
2014,"Районная олимпиада","призёр",2015,4,10,"ГБОУ СОШ № 814","Русский язык"
2012,"Всероссийская олимпиада","призёр",2013,4,10,"ГБОУ школа № 1319","Физика"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ГБОУ школа № 1543","Литература"
2017,"Всероссийская олимпиада","призёр",2018,4,11,"ГБОУ школа № 1543","Химия"
2015,"Московская олимпиада","призёр",2016,4,7,"ГБОУ лицей № 1575","филология"
2015,"Всероссийская олимпиада","победитель",2016,5,11,"ГБОУ школа № 1207","Русский язык"
2012,"Всероссийская олимпиада","призёр",2013,4,10,"ГБОУ школа № 1284","История"
2017,"Московская олимпиада","призёр",2018,5,11,"ГБОУ школа «Интеграл»","Изобразительное искусство"
2013,"Районная олимпиада","призёр",2014,4,11,"ГБОУ СОШ № 1199 «Лига Школ»","Мировая Художественная Культура (МХК)"
2016,"Районная олимпиада","призёр",2017,3,9,"ГБОУ школа «Интеллектуал»","Биология"
2019,"Всероссийская олимпиада","призёр",2020,3,11,"ГБОУ Инженерно-техническая школа","Русский язык"
2014,"Всероссийская олимпиада","призёр",2015,3,9,"ГБОУ школа № 1411","Основы безопасности жизнедеятельности"
2017,"Всероссийская олимпиада","призёр",2018,4,11,"ГБОУ школа № 1799","Иностранный язык (английский язык)"
2012,"Районная олимпиада","призёр",2013,5,11,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","Математика"
2015,"Всероссийская олимпиада","победитель",2016,4,11,"ГБОУ школа № 1948","Иностранный язык (китайский язык)"
2016,"Московская олимпиада","призёр",2017,4,9,"ГБОУ Физматшкола № 2007","Математика"
2015,"Московская олимпиада","призёр",2016,3,10,"ГБОУ лицей № 1568","Физика"
2015,"Московская олимпиада","призёр",2016,3,8,"ГБОУ гимназия № 1583","Химия"
2018,"Районная олимпиада","призёр",2019,3,9,"ГБОУ школа № 2007 ФМШ","Математика"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"университетская гимназия","Информатика"
2018,"Всероссийская олимпиада","призёр",2019,5,9,"ГБОУ школа № 1574","Биология"
2013,"Всероссийская олимпиада","призёр",2014,3,10,"ГБОУ лицей «Вторая школа»","Экономика"
2014,"Московская олимпиада","призёр",2015,5,9,"ГБОУ СОШ № 1199 «Лига Школ»","Латынь"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"ГБОУ школа № 648","Русский язык"
2016,"Всероссийская олимпиада","призёр",2017,3,10,"ГБОУ ММГ","Литература"
2014,"Московская олимпиада","победитель",2015,5,7,"ГБОУ СОШ № 1355","География"
2016,"Московская олимпиада","призёр",2017,4,9,"ГБОУ Физматшкола № 2007","Информатика"
2019,"Всероссийская олимпиада","призёр",2020,3,9,"ГБОУ Инженерная школа № 1581","Физика"
2015,"Всероссийская олимпиада","призёр",2016,4,9,"ГБОУ школа № 1246","Литература"
2014,"Всероссийская олимпиада","призёр",2015,5,10,"ГБОУ гимназия № 1565 «Свиблово»","Иностранный язык (английский язык)"
2012,"Всероссийская олимпиада","призёр",2013,4,11,"ГБОУ ЦО № 2006","Экономика"
2018,"Московская олимпиада","призёр",2019,5,6,"ГБОУ школа № 1637","Биология"
2012,"Всероссийская олимпиада","призёр",2013,5,9,"ГБОУ СОШ № 780","История"
2015,"Московская олимпиада","призёр",2016,3,10,"ГБОУ школа № 1251 имени генерала Шарля де Голля","филология"
2015,"Всероссийская олимпиада","победитель",2016,5,11,"ГБОУ школа № 2006","Экономика"
2018,"Районная олимпиада","призёр",2019,4,10,"ГБОУ школа № 38","Литература"
2018,"Всероссийская олимпиада","победитель",2019,5,9,"ГБОУ школа № 117","Иностранный язык (английский язык)"
2018,"Всероссийская олимпиада","призёр",2019,4,11,"ГБОУ школа № 1950","Биология"
2018,"Районная олимпиада","призёр",2019,5,9,"ОАНО «Школа «ЛЕТОВО»","Литература"
2013,"Всероссийская олимпиада","призёр",2014,5,9,"ГБОУ гимназия № 1534","География"
2014,"Московская олимпиада","победитель",2015,5,6,"ГБОУ СОШ № 904","Биология"
2018,"Всероссийская олимпиада","призёр",2019,4,10,"ГБОУ школа № 67","Обществознание"
2019,"Районная олимпиада","призёр",2020,4,11,"ГБОУ школа № 2045","Физическая культура"
2012,"Московская олимпиада","призёр",2013,3,9,"ГБОУ ЦО № 57","предпринимательство"
2018,"Всероссийская олимпиада","призёр",2019,3,10,"ГБОУ школа № 57","Русский язык"
2015,"Московская олимпиада","победитель",2016,4,10,"ГБОУ лицей № 1560","Изобразительное искусство"
2013,"Всероссийская олимпиада","призёр",2014,4,11,"ГБОУ СОШ № 947","Мировая Художественная Культура (МХК)"
2019,"Всероссийская олимпиада","победитель",2020,3,11,"ГБОУ школа № 1575","Русский язык"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ГБОУ школа № 1282 «Сокольники»","Биология"
2017,"Московская олимпиада","призёр",2018,4,9,"ГБОУ школа № 1747","Технология"
2013,"Московская олимпиада","победитель",2014,4,7,"ГБОУ СОШ № 240","Экономика"
2015,"Московская олимпиада","призёр",2016,4,7,"ГБОУ школа № 1056","История"
2018,"Московская олимпиада","призёр",2019,4,9,"ГБОУ школа № 57","Химия"
2016,"Всероссийская олимпиада","призёр",2017,4,11,"ГБОУ лицей № 1501","Обществознание"
2019,"Всероссийская олимпиада","победитель",2020,4,9,"АНО «ОШ центра педагогического мастерства»","Мировая Художественная Культура (МХК)"
2012,"Московская олимпиада","призёр",2013,3,11,"ГБОУ школа № 853","Физика"
2018,"Всероссийская олимпиада","призёр",2019,3,9,"лицей НИУ ВШЭ","Экономика"
2016,"Всероссийская олимпиада","призёр",2017,5,10,"ГБОУ школа № 1253","Биология"
2015,"Районная олимпиада","призёр",2016,4,10,"ГБОУ ЦО № 1858","Экология"
2013,"Районная олимпиада","призёр",2014,4,10,"ГБОУ гимназия № 1290","Обществознание"
2018,"Всероссийская олимпиада","победитель",2019,3,10,"ГБОУ школа № 953","Право"
2017,"Всероссийская олимпиада","призёр",2018,4,10,"ОЧУ СОШ «Классика»","Иностранный язык (английский язык)"
2014,"Московская олимпиада","призёр",2015,5,5,"ГБОУ СОШ № 962","География"
2017,"Всероссийская олимпиада","призёр",2018,3,10,"ГБОУ школа № 1535","Русский язык"
2016,"Московская олимпиада","призёр",2017,4,10,"ГБОУ школа № 771","Химия"
2017,"Всероссийская олимпиада","призёр",2018,4,11,"ГБОУ школа № 1520 им. Капцовых","Иностранный язык (английский язык)"
2015,"Всероссийская олимпиада","призёр",2016,5,10,"ГБОУ школа № 117","Основы безопасности жизнедеятельности"
2016,"Московская олимпиада","призёр",2017,3,11,"ГАОУ ВПО МИОО. СОШ № 179","Математика"
2016,"Районная олимпиада","призёр",2017,4,11,"ГБОУ школа № 1231","Обществознание"
2014,"Районная олимпиада","призёр",2015,3,11,"ГБОУ гимназия № 1562","История"
2013,"Московская олимпиада","призёр",2014,3,11,"ГБОУ гимназия № 1514","Физика"
2013,"Всероссийская олимпиада","призёр",2014,5,11,"ГБОУ СОШ № 651","География"
2012,"Всероссийская олимпиада","призёр",2013,4,11,"ГБОУ лицей № 1535","Обществознание"
2018,"Московская олимпиада","призёр",2019,5,6,"ГБОУ школа № 444","Изобразительное искусство"
2018,"Московская олимпиада","призёр",2019,3,7,"ГБОУ школа № 1543","Математика"
2015,"Московская олимпиада","победитель",2016,4,7,"ГБОУ гимназия № 1576","Информатика"
2019,"Всероссийская олимпиада","призёр",2020,4,9,"ГБОУ школа № 444","Технология"
2014,"Всероссийская олимпиада","призёр",2015,5,11,"МАОУ «Лицей города Троицка»","Экология"
2015,"Московская олимпиада","призёр",2016,5,10,"ГБОУ лицей № 1535","Химия"
2012,"Всероссийская олимпиада","призёр",2013,5,11,"ГБОУ лицей № 1511 при НИЯУ «МИФИ»","Физика"
2016,"Московская олимпиада","призёр",2017,4,5,"ГБОУ школа № 2045","Технология"
2013,"Районная олимпиада","призёр",2014,4,11,"ГБОУ гимназия № 1590","Экономика"
2019,"Районная олимпиада","призёр",2020,4,10,"ГБОУ школа в Капотне","Литература"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГАОУ «Школа № 1518»","Обществознание"
2014,"Всероссийская олимпиада","призёр",2015,3,10,"ГБОУ СОШ № 1440","Литература"
2014,"Всероссийская олимпиада","призёр",2015,5,9,"ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»","Основы безопасности жизнедеятельности"
2019,"Всероссийская олимпиада","призёр",2020,3,9,"Предуниверситарий НИЯУ МИФИ","Русский язык"
2017,"Московская олимпиада","призёр",2018,3,5,"ГБОУ школа № 1516","Биология"
2019,"Всероссийская олимпиада","призёр",2020,5,9,"лицей НИУ ВШЭ","Иностранный язык (английский язык)"
2015,"Московская олимпиада","призёр",2016,5,8,"ГБОУ лицей № 1568","Химия"
2016,"Всероссийская олимпиада","призёр",2017,3,11,"ГБОУ школа № 1252 имени Сервантеса","Иностранный язык (испанский язык)"
2013,"Московская олимпиада","призёр",2014,4,10,"ГБОУ СОШ № 1188","Изобразительное искусство"
2014,"Всероссийская олимпиада","призёр",2015,3,9,"ГБОУ «Школа-интернат «Интеллектуал»","Информатика"
2017,"Московская олимпиада","призёр",2018,3,10,"ГБОУ школа № 179","Математика"
2015,"Всероссийская олимпиада","призёр",2016,5,11,"ГБОУ школа № 1959","Биология"
2015,"Московская олимпиада","призёр",2016,3,6,"ГБОУ школа № 2000","Изобразительное искусство"
2019,"Районная олимпиада","призёр",2020,5,10,"ГБОУ школа № 1355","Биология"
2016,"Московская олимпиада","призёр",2017,5,8,"ГБОУ школа № 192","Биология"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГБОУ школа № 1591","Биология"
2018,"Московская олимпиада","победитель",2019,3,7,"ГБОУ школа «Интеллектуал»","Биология"
2017,"Всероссийская олимпиада","победитель",2018,5,10,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","Химия"
2013,"Московская олимпиада","призёр",2014,5,9,"ГБОУ Лингвистический лицей № 1555","История"
2015,"Всероссийская олимпиада","победитель",2016,4,11,"ГБОУ ЛГК на Юго-Востоке","Информатика"
2016,"Всероссийская олимпиада","победитель",2017,3,9,"ГБОУ лицей «Вторая школа»","Математика"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"ГБОУ школа имени Маршала В.И. Чуйкова","География"
2014,"Всероссийская олимпиада","призёр",2015,3,9,"ГБОУ СОШ № 1254","Право"
2018,"Московская олимпиада","призёр",2019,3,9,"ГБОУ школа имени Маршала В.И. Чуйкова","Химия"
2016,"Всероссийская олимпиада","призёр",2017,5,11,"ГБОУ школа № 117","Иностранный язык (английский язык)"
2016,"Районная олимпиада","призёр",2017,3,10,"ГБОУ школа № 1394","Основы безопасности жизнедеятельности"
2017,"Всероссийская олимпиада","призёр",2018,4,10,"ГБОУ школа № 15","Обществознание"
2012,"Московская олимпиада","призёр",2013,4,11,"ГБОУ лицей № 1568","Информатика"
2016,"Районная олимпиада","призёр",2017,5,10,"ГБОУ школа № 962","Право"
2018,"Всероссийская олимпиада","призёр",2019,4,10,"ГБОУ школа № 1101","География"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"лицей НИУ ВШЭ","История"
2018,"Московская олимпиада","победитель",2019,3,5,"ГБОУ школа № 1370","Технология"
2017,"Всероссийская олимпиада","победитель",2018,5,10,"ГБОУ школа № 444","Право"
2018,"Московская олимпиада","призёр",2019,4,6,"ГБОУ школа № 1450 «Олимп»","Изобразительное искусство"
2013,"Московская олимпиада","призёр",2014,3,8,"ГБОУ СОШ № 962","Экономика"
2016,"Районная олимпиада","призёр",2017,5,10,"ГБОУ школа № 1252 имени Сервантеса","Литература"
2017,"Всероссийская олимпиада","призёр",2018,5,11,"НИУ ВШЭ. лицей","Литература"
2018,"Всероссийская олимпиада","призёр",2019,5,10,"ГБОУ школа № 1239","Иностранный язык (английский язык)"
2015,"Московская олимпиада","призёр",2016,3,9,"МАОУ «Гимназия имени Н.В. Пушкова»","Химия"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"ГБОУ школа № 648","Русский язык"
2015,"Московская олимпиада","призёр",2016,3,9,"ГБОУ школа № 1412","Химия"
2017,"Московская олимпиада","призёр",2018,3,5,"ГБОУ школа № 185","Технология"
