"existing_credits","credit_amount","housing","type","age","personal_status","duration","purpose","credit_history"
1,636,"домовладелец","ненадежный",26,"женщина",15,"бытовая техника","все кредиты погашены"
1,399,"домовладелец","надежный",32,"мужчина (женатый или вдовец)",10,"бытовая техника","есть непогашенные кредиты"
1,5561,"домовладелец","ненадежный",22,"мужчина (одинокий)",27,"образование","есть просрочки платежей"
1,706,"домовладелец","надежный",73,"женщина",12,"бытовая техника","есть непогашенные кредиты"
1,2535,"домовладелец","надежный",35,"мужчина (одинокий)",15,"бытовая техника","есть непогашенные кредиты"
3,1428,"без жилья","надежный",71,"мужчина (одинокий)",22,"новая машина","есть просрочки платежей"
1,2343,"домовладелец","ненадежный",25,"женщина",5,"бытовая техника","есть непогашенные кредиты"
1,1523,"арендатор","ненадежный",21,"женщина",17,"новая машина","есть непогашенные кредиты"
1,3365,"домовладелец","надежный",42,"мужчина (одинокий)",24,"бытовая техника","есть просрочки платежей"
1,827,"домовладелец","надежный",53,"женщина",9,"новая машина","есть непогашенные кредиты"
1,651,"домовладелец","надежный",34,"женщина",9,"бытовая техника","есть непогашенные кредиты"
1,978,"домовладелец","надежный",22,"женщина",30,"бытовая техника","есть непогашенные кредиты"
1,7005,"домовладелец","надежный",28,"женщина",57,"бытовая техника","есть непогашенные кредиты"
1,5857,"домовладелец","надежный",66,"женщина",22,"новая машина","есть просрочки платежей"
2,12532,"без жилья","ненадежный",51,"женщина",95,"другое","все кредиты погашены"
1,8256,"домовладелец","ненадежный",25,"женщина",43,"мебель","есть непогашенные кредиты"
1,2344,"домовладелец","надежный",24,"женщина",21,"ремонт жилья","есть непогашенные кредиты"
1,2921,"домовладелец","ненадежный",27,"мужчина (одинокий)",26,"мебель","есть непогашенные кредиты"
1,10866,"домовладелец","надежный",51,"мужчина (одинокий)",24,"новая машина","есть непогашенные кредиты"
2,1455,"домовладелец","надежный",39,"мужчина (женатый или вдовец)",12,"бытовая техника","есть непогашенные кредиты"
1,1010,"домовладелец","ненадежный",35,"женщина",7,"новая машина","все кредиты погашены"
2,7057,"домовладелец","надежный",46,"мужчина (одинокий)",27,"подержанная машина","есть просрочки платежей"
2,1515,"домовладелец","надежный",26,"мужчина (одинокий)",17,"бытовая техника","есть просрочки платежей"
1,13707,"домовладелец","надежный",34,"мужчина (одинокий)",38,"подержанная машина","есть просрочки платежей"
1,624,"домовладелец","надежный",33,"мужчина (женатый или вдовец)",13,"бытовая техника","есть непогашенные кредиты"
2,9903,"без жилья","надежный",36,"мужчина (одинокий)",41,"подержанная машина","есть просрочки платежей"
2,2323,"без жилья","надежный",48,"мужчина (одинокий)",14,"мебель","есть непогашенные кредиты"
1,3934,"арендатор","ненадежный",21,"женщина",12,"мебель","не было кредитов"
3,1210,"домовладелец","ненадежный",31,"мужчина (женатый или вдовец)",17,"новая машина","есть просрочки платежей"
1,4653,"домовладелец","ненадежный",21,"женщина",19,"бытовая техника","есть непогашенные кредиты"
1,3016,"без жилья","ненадежный",33,"мужчина (одинокий)",17,"мебель","все кредиты погашены"
1,2555,"арендатор","надежный",45,"мужчина (одинокий)",20,"образование","есть непогашенные кредиты"
2,8851,"домовладелец","ненадежный",33,"мужчина (одинокий)",15,"новая машина","все кредиты погашены"
1,2011,"арендатор","надежный",29,"женщина",5,"мебель","есть непогашенные кредиты"
1,8835,"арендатор","ненадежный",42,"мужчина (одинокий)",38,"бизнес","есть непогашенные кредиты"
1,1164,"без жилья","надежный",50,"мужчина (одинокий)",10,"подержанная машина","есть непогашенные кредиты"
1,1322,"домовладелец","ненадежный",23,"мужчина (женатый или вдовец)",11,"новая машина","есть непогашенные кредиты"
1,1986,"домовладелец","ненадежный",40,"мужчина (одинокий)",10,"мебель","есть непогашенные кредиты"
2,3990,"арендатор","надежный",18,"мужчина (одинокий)",28,"мебель","есть просрочки платежей"
1,1525,"домовладелец","ненадежный",38,"женщина",36,"бытовая техника","есть непогашенные кредиты"
1,2847,"домовладелец","надежный",44,"мужчина (одинокий)",15,"бытовая техника","есть непогашенные кредиты"
1,2177,"домовладелец","надежный",33,"женщина",7,"новая машина","есть непогашенные кредиты"
1,612,"домовладелец","ненадежный",35,"мужчина (женатый или вдовец)",16,"бытовая техника","есть непогашенные кредиты"
2,3916,"домовладелец","ненадежный",31,"мужчина (одинокий)",19,"бизнес","не было кредитов"
1,805,"домовладелец","надежный",19,"женщина",12,"бизнес","есть непогашенные кредиты"
2,6096,"домовладелец","надежный",31,"мужчина (одинокий)",37,"подержанная машина","есть просрочки платежей"
2,971,"домовладелец","надежный",34,"женщина",25,"новая машина","есть просрочки платежей"
2,9697,"домовладелец","надежный",37,"мужчина (разведенный)",69,"бизнес","есть просрочки платежей"
1,1819,"арендатор","надежный",29,"женщина",21,"новая машина","есть непогашенные кредиты"
1,7369,"без жилья","надежный",35,"мужчина (одинокий)",57,"новая машина","есть непогашенные кредиты"
1,3910,"домовладелец","надежный",52,"мужчина (одинокий)",52,"бытовая техника","есть просрочки платежей"
2,1948,"домовладелец","надежный",22,"мужчина (женатый или вдовец)",17,"бизнес","есть просрочки платежей"
1,2502,"арендатор","ненадежный",20,"женщина",20,"новая машина","есть непогашенные кредиты"
2,9140,"без жилья","ненадежный",44,"мужчина (одинокий)",54,"подержанная машина","есть просрочки платежей"
1,3843,"домовладелец","надежный",41,"мужчина (разведенный)",11,"мебель","есть непогашенные кредиты"
1,2957,"домовладелец","ненадежный",29,"мужчина (одинокий)",59,"мебель","все кредиты погашены"
1,1122,"домовладелец","надежный",22,"мужчина (одинокий)",10,"новая машина","все кредиты погашены"
2,481,"домовладелец","надежный",47,"мужчина (одинокий)",6,"бытовая техника","есть просрочки платежей"
1,1937,"без жилья","надежный",35,"мужчина (одинокий)",14,"бытовая техника","есть непогашенные кредиты"
1,1354,"домовладелец","надежный",21,"мужчина (женатый или вдовец)",5,"бизнес","есть непогашенные кредиты"
1,1435,"домовладелец","надежный",39,"мужчина (одинокий)",24,"бытовая техника","есть непогашенные кредиты"
2,11449,"домовладелец","надежный",35,"мужчина (одинокий)",33,"подержанная машина","есть непогашенные кредиты"
2,2876,"арендатор","надежный",25,"женщина",8,"мебель","есть просрочки платежей"
2,1344,"арендатор","надежный",25,"женщина",5,"бытовая техника","есть просрочки платежей"
1,2538,"домовладелец","ненадежный",34,"мужчина (разведенный)",40,"мебель","есть непогашенные кредиты"
1,12698,"арендатор","ненадежный",32,"мужчина (женатый или вдовец)",58,"подержанная машина","есть непогашенные кредиты"
1,6272,"без жилья","надежный",32,"мужчина (одинокий)",54,"образование","есть просрочки платежей"
1,2245,"домовладелец","ненадежный",22,"женщина",12,"бытовая техника","есть непогашенные кредиты"
1,2493,"без жилья","ненадежный",44,"женщина",54,"бытовая техника","есть непогашенные кредиты"
1,2373,"домовладелец","ненадежный",31,"женщина",26,"новая машина","есть непогашенные кредиты"
1,1431,"арендатор","надежный",23,"мужчина (женатый или вдовец)",12,"бытовая техника","есть непогашенные кредиты"
1,2540,"домовладелец","надежный",30,"мужчина (одинокий)",19,"бизнес","есть непогашенные кредиты"
1,12560,"домовладелец","ненадежный",23,"мужчина (одинокий)",95,"новая машина","есть непогашенные кредиты"
1,6226,"без жилья","надежный",44,"мужчина (одинокий)",33,"подержанная машина","есть непогашенные кредиты"
2,1068,"без жилья","ненадежный",38,"мужчина (одинокий)",14,"образование","есть просрочки платежей"
1,1471,"домовладелец","надежный",47,"мужчина (одинокий)",13,"бытовая техника","все кредиты погашены"
1,2416,"домовладелец","надежный",24,"мужчина (одинокий)",20,"подержанная машина","есть непогашенные кредиты"
1,916,"домовладелец","ненадежный",28,"женщина",7,"мебель","есть непогашенные кредиты"
1,2171,"домовладелец","надежный",27,"мужчина (разведенный)",10,"мебель","есть непогашенные кредиты"
1,2278,"домовладелец","надежный",34,"мужчина (одинокий)",14,"подержанная машина","есть непогашенные кредиты"
1,4969,"домовладелец","надежный",42,"мужчина (одинокий)",26,"бытовая техника","есть просрочки платежей"
1,3109,"домовладелец","надежный",34,"мужчина (одинокий)",14,"подержанная машина","есть непогашенные кредиты"
1,1770,"домовладелец","надежный",38,"мужчина (женатый или вдовец)",21,"бизнес","есть непогашенные кредиты"
1,1228,"домовладелец","надежный",29,"мужчина (одинокий)",4,"другое","есть непогашенные кредиты"
1,518,"арендатор","ненадежный",20,"женщина",19,"бытовая техника","есть непогашенные кредиты"
3,12316,"без жилья","надежный",35,"мужчина (одинокий)",26,"подержанная машина","есть просрочки платежей"
1,3930,"без жилья","ненадежный",32,"мужчина (одинокий)",59,"бизнес","не было кредитов"
2,5383,"арендатор","ненадежный",21,"женщина",28,"бизнес","не было кредитов"
1,13118,"домовладелец","ненадежный",21,"мужчина (одинокий)",41,"новая машина","есть непогашенные кредиты"
1,2343,"домовладелец","надежный",30,"женщина",18,"новая машина","есть непогашенные кредиты"
2,931,"домовладелец","надежный",23,"мужчина (одинокий)",17,"бытовая техника","есть просрочки платежей"
1,3291,"без жилья","надежный",25,"мужчина (одинокий)",16,"мебель","есть непогашенные кредиты"
2,1533,"домовладелец","надежный",33,"мужчина (одинокий)",25,"ремонт жилья","есть непогашенные кредиты"
1,1237,"домовладелец","надежный",44,"женщина",16,"бытовая техника","есть просрочки платежей"
2,2227,"арендатор","ненадежный",36,"мужчина (женатый или вдовец)",16,"новая машина","есть просрочки платежей"
1,8633,"домовладелец","ненадежный",50,"мужчина (одинокий)",32,"мебель","есть просрочки платежей"
1,6688,"без жилья","надежный",29,"мужчина (одинокий)",31,"подержанная машина","есть непогашенные кредиты"
2,1458,"без жилья","надежный",65,"мужчина (одинокий)",9,"подержанная машина","есть просрочки платежей"
1,1219,"домовладелец","надежный",29,"мужчина (женатый или вдовец)",17,"бизнес","есть непогашенные кредиты"
1,4600,"домовладелец","надежный",32,"женщина",19,"бытовая техника","есть непогашенные кредиты"
1,3492,"домовладелец","надежный",30,"мужчина (одинокий)",24,"мебель","есть непогашенные кредиты"
2,5698,"арендатор","ненадежный",20,"мужчина (одинокий)",33,"мебель","не было кредитов"
2,1458,"домовладелец","надежный",42,"мужчина (одинокий)",16,"бытовая техника","есть просрочки платежей"
1,4796,"домовладелец","надежный",46,"женщина",34,"мебель","есть непогашенные кредиты"
2,3641,"домовладелец","надежный",35,"мужчина (одинокий)",17,"образование","есть просрочки платежей"
1,961,"домовладелец","надежный",24,"мужчина (женатый или вдовец)",11,"бытовая техника","есть непогашенные кредиты"
1,3892,"домовладелец","надежный",25,"мужчина (одинокий)",38,"мебель","есть непогашенные кредиты"
2,1156,"домовладелец","надежный",61,"женщина",25,"бытовая техника","есть просрочки платежей"
1,1534,"домовладелец","надежный",32,"женщина",18,"бытовая техника","есть непогашенные кредиты"
1,7702,"домовладелец","ненадежный",36,"мужчина (одинокий)",18,"новая машина","все кредиты погашены"
1,1749,"домовладелец","надежный",56,"мужчина (разведенный)",5,"другое","есть непогашенные кредиты"
2,9146,"домовладелец","ненадежный",25,"женщина",28,"образование","есть просрочки платежей"
2,3683,"домовладелец","надежный",38,"мужчина (одинокий)",58,"мебель","есть просрочки платежей"
2,3990,"домовладелец","надежный",34,"мужчина (одинокий)",8,"новая машина","есть просрочки платежей"
1,3443,"домовладелец","надежный",28,"мужчина (одинокий)",19,"мебель","все кредиты погашены"
2,3693,"домовладелец","надежный",38,"мужчина (женатый или вдовец)",31,"бытовая техника","есть просрочки платежей"
1,7645,"домовладелец","надежный",49,"мужчина (одинокий)",40,"подержанная машина","есть непогашенные кредиты"
1,1919,"домовладелец","надежный",30,"мужчина (женатый или вдовец)",29,"новая машина","есть непогашенные кредиты"
2,2656,"домовладелец","надежный",19,"женщина",20,"мебель","есть просрочки платежей"
1,2924,"без жилья","ненадежный",41,"мужчина (одинокий)",7,"подержанная машина","есть непогашенные кредиты"
2,1521,"без жилья","надежный",55,"мужчина (одинокий)",38,"образование","есть просрочки платежей"
2,827,"домовладелец","надежный",37,"мужчина (одинокий)",12,"другое","есть непогашенные кредиты"
2,2254,"домовладелец","надежный",32,"мужчина (одинокий)",38,"мебель","есть просрочки платежей"
2,1254,"домовладелец","надежный",25,"мужчина (одинокий)",10,"бытовая техника","есть просрочки платежей"
1,8456,"домовладелец","надежный",36,"мужчина (одинокий)",100,"новая машина","есть непогашенные кредиты"
2,6624,"домовладелец","надежный",34,"мужчина (одинокий)",16,"мебель","есть просрочки платежей"
2,2894,"домовладелец","надежный",24,"мужчина (одинокий)",32,"бытовая техника","есть непогашенные кредиты"
2,1145,"домовладелец","надежный",34,"мужчина (одинокий)",12,"бытовая техника","есть непогашенные кредиты"
3,2923,"арендатор","надежный",31,"мужчина (одинокий)",15,"мебель","есть просрочки платежей"
1,3973,"домовладелец","ненадежный",33,"мужчина (разведенный)",31,"бизнес","есть непогашенные кредиты"
2,885,"домовладелец","ненадежный",32,"мужчина (одинокий)",27,"новая машина","есть просрочки платежей"
2,8314,"домовладелец","надежный",30,"мужчина (одинокий)",55,"подержанная машина","есть просрочки платежей"
1,4277,"домовладелец","надежный",25,"мужчина (одинокий)",37,"подержанная машина","есть непогашенные кредиты"
1,2190,"арендатор","надежный",19,"мужчина (одинокий)",18,"мебель","есть непогашенные кредиты"
1,4636,"домовладелец","надежный",43,"женщина",59,"бытовая техника","есть непогашенные кредиты"
2,2083,"домовладелец","надежный",27,"женщина",11,"бытовая техника","есть просрочки платежей"
1,5484,"домовладелец","ненадежный",34,"женщина",44,"бытовая техника","не было кредитов"
1,1658,"домовладелец","надежный",37,"мужчина (одинокий)",17,"новая машина","есть непогашенные кредиты"
1,7036,"домовладелец","надежный",23,"мужчина (одинокий)",31,"бытовая техника","есть непогашенные кредиты"
1,4627,"домовладелец","надежный",31,"мужчина (одинокий)",47,"мебель","есть непогашенные кредиты"
2,808,"арендатор","надежный",40,"мужчина (одинокий)",11,"бытовая техника","есть просрочки платежей"
1,1822,"арендатор","надежный",36,"мужчина (женатый или вдовец)",28,"новая машина","есть непогашенные кредиты"
2,1907,"домовладелец","надежный",63,"мужчина (одинокий)",19,"бытовая техника","есть просрочки платежей"
3,4988,"домовладелец","надежный",38,"мужчина (женатый или вдовец)",25,"бизнес","есть просрочки платежей"
1,2007,"домовладелец","надежный",22,"женщина",18,"бытовая техника","есть непогашенные кредиты"
1,1838,"домовладелец","надежный",46,"женщина",34,"другое","есть непогашенные кредиты"
1,2970,"домовладелец","надежный",33,"мужчина (одинокий)",52,"бизнес","все кредиты погашены"
1,1247,"арендатор","надежный",40,"мужчина (одинокий)",6,"новая машина","не было кредитов"
3,4341,"арендатор","надежный",43,"мужчина (одинокий)",8,"новая машина","есть просрочки платежей"
1,3563,"домовладелец","надежный",28,"женщина",60,"другое","все кредиты погашены"
2,2648,"домовладелец","надежный",23,"мужчина (женатый или вдовец)",11,"мебель","есть просрочки платежей"
1,2162,"домовладелец","надежный",35,"женщина",15,"мебель","есть непогашенные кредиты"
2,629,"домовладелец","надежный",39,"женщина",4,"новая машина","есть просрочки платежей"
1,4303,"арендатор","надежный",24,"женщина",18,"подержанная машина","все кредиты погашены"
1,2950,"без жилья","надежный",52,"женщина",9,"мебель","есть непогашенные кредиты"
2,1851,"арендатор","ненадежный",21,"женщина",25,"бытовая техника","есть непогашенные кредиты"
2,3249,"домовладелец","надежный",21,"мужчина (одинокий)",13,"бизнес","есть просрочки платежей"
1,3199,"арендатор","надежный",30,"женщина",20,"мебель","есть непогашенные кредиты"
2,5475,"арендатор","ненадежный",36,"мужчина (одинокий)",15,"новая машина","есть просрочки платежей"
1,2072,"домовладелец","надежный",32,"мужчина (одинокий)",15,"мебель","есть непогашенные кредиты"
1,5724,"без жилья","надежный",27,"мужчина (одинокий)",32,"подержанная машина","есть непогашенные кредиты"
1,2102,"домовладелец","надежный",25,"женщина",11,"мебель","есть непогашенные кредиты"
1,914,"арендатор","надежный",18,"женщина",25,"бытовая техника","есть непогашенные кредиты"
1,2088,"домовладелец","надежный",55,"женщина",20,"мебель","есть непогашенные кредиты"
2,8802,"домовладелец","ненадежный",31,"женщина",28,"мебель","есть непогашенные кредиты"
1,2992,"домовладелец","надежный",44,"женщина",12,"мебель","есть просрочки платежей"
1,890,"домовладелец","надежный",41,"женщина",18,"новая машина","есть просрочки платежей"
1,699,"домовладелец","ненадежный",22,"мужчина (одинокий)",7,"новая машина","есть непогашенные кредиты"
2,1063,"домовладелец","надежный",25,"мужчина (женатый или вдовец)",31,"другое","есть непогашенные кредиты"
2,14273,"домовладелец","ненадежный",30,"мужчина (одинокий)",39,"бытовая техника","есть непогашенные кредиты"
1,5400,"домовладелец","ненадежный",26,"женщина",29,"мебель","есть просрочки платежей"
1,1003,"домовладелец","ненадежный",38,"женщина",11,"мебель","есть непогашенные кредиты"
2,6805,"домовладелец","надежный",38,"мужчина (одинокий)",32,"подержанная машина","есть просрочки платежей"
1,10557,"без жилья","ненадежный",47,"мужчина (одинокий)",68,"новая машина","есть непогашенные кредиты"
2,2245,"домовладелец","ненадежный",41,"мужчина (одинокий)",10,"бизнес","есть просрочки платежей"
2,272,"домовладелец","надежный",44,"женщина",8,"новая машина","есть просрочки платежей"
2,1271,"домовладелец","надежный",31,"женщина",19,"бизнес","есть просрочки платежей"
1,18682,"арендатор","ненадежный",59,"мужчина (одинокий)",82,"бизнес","не было кредитов"
1,5405,"домовладелец","ненадежный",47,"мужчина (одинокий)",13,"бытовая техника","есть непогашенные кредиты"
1,2704,"арендатор","надежный",32,"мужчина (одинокий)",6,"мебель","есть просрочки платежей"
2,3883,"домовладелец","надежный",32,"мужчина (разведенный)",25,"мебель","есть просрочки платежей"
1,2683,"без жилья","ненадежный",26,"мужчина (разведенный)",17,"бытовая техника","все кредиты погашены"
1,2478,"арендатор","ненадежный",25,"женщина",21,"мебель","есть непогашенные кредиты"
2,3097,"домовладелец","надежный",43,"мужчина (одинокий)",70,"подержанная машина","есть просрочки платежей"
1,663,"домовладелец","надежный",36,"мужчина (одинокий)",6,"новая машина","есть непогашенные кредиты"
1,3814,"домовладелец","надежный",55,"мужчина (одинокий)",11,"образование","есть непогашенные кредиты"
2,1894,"домовладелец","надежный",29,"мужчина (одинокий)",18,"бизнес","есть просрочки платежей"
2,1046,"домовладелец","ненадежный",54,"мужчина (одинокий)",20,"новая машина","не было кредитов"
1,1198,"арендатор","ненадежный",21,"женщина",40,"новая машина","есть непогашенные кредиты"
2,2367,"домовладелец","надежный",29,"мужчина (одинокий)",22,"образование","есть непогашенные кредиты"
2,650,"без жилья","надежный",60,"мужчина (одинокий)",13,"новая машина","есть просрочки платежей"
2,1282,"домовладелец","ненадежный",37,"мужчина (одинокий)",29,"новая машина","есть просрочки платежей"
2,2070,"домовладелец","надежный",53,"мужчина (одинокий)",11,"бытовая техника","есть просрочки платежей"
3,3587,"домовладелец","ненадежный",37,"мужчина (одинокий)",34,"бизнес","не было кредитов"
1,2552,"без жилья","надежный",52,"мужчина (одинокий)",32,"подержанная машина","есть непогашенные кредиты"
1,4541,"домовладелец","надежный",23,"мужчина (одинокий)",60,"бытовая техника","есть непогашенные кредиты"
1,2608,"домовладелец","надежный",18,"мужчина (одинокий)",19,"мебель","все кредиты погашены"
1,8989,"домовладелец","ненадежный",34,"женщина",34,"бытовая техника","есть непогашенные кредиты"
3,2086,"домовладелец","надежный",41,"мужчина (одинокий)",2,"новая машина","есть просрочки платежей"
2,3470,"домовладелец","надежный",44,"мужчина (одинокий)",12,"новая машина","есть просрочки платежей"
2,1915,"домовладелец","надежный",23,"женщина",12,"мебель","есть просрочки платежей"
1,1329,"домовладелец","надежный",42,"мужчина (разведенный)",15,"мебель","есть непогашенные кредиты"
1,1326,"без жилья","надежный",44,"женщина",35,"бытовая техника","есть непогашенные кредиты"
3,3503,"арендатор","ненадежный",33,"женщина",27,"новая машина","есть просрочки платежей"
1,937,"домовладелец","надежный",29,"женщина",18,"мебель","есть непогашенные кредиты"
2,5290,"домовладелец","надежный",31,"мужчина (одинокий)",29,"подержанная машина","есть просрочки платежей"
1,7189,"без жилья","ненадежный",45,"мужчина (одинокий)",17,"подержанная машина","есть непогашенные кредиты"
1,1945,"домовладелец","надежный",26,"мужчина (женатый или вдовец)",16,"бытовая техника","есть непогашенные кредиты"
2,1832,"домовладелец","ненадежный",32,"женщина",9,"образование","есть просрочки платежей"
1,1948,"арендатор","надежный",43,"женщина",12,"мебель","есть просрочки платежей"
2,1782,"домовладелец","надежный",28,"мужчина (одинокий)",29,"бизнес","есть просрочки платежей"
1,3159,"домовладелец","надежный",32,"мужчина (одинокий)",21,"подержанная машина","есть просрочки платежей"
1,2074,"домовладелец","надежный",22,"женщина",7,"мебель","есть непогашенные кредиты"
1,4494,"домовладелец","ненадежный",24,"женщина",21,"мебель","есть просрочки платежей"
1,2016,"домовладелец","надежный",51,"мужчина (одинокий)",16,"подержанная машина","есть просрочки платежей"
1,2623,"домовладелец","надежный",26,"мужчина (одинокий)",9,"мебель","есть просрочки платежей"
1,3350,"домовладелец","надежный",43,"мужчина (одинокий)",21,"подержанная машина","есть просрочки платежей"
2,2332,"арендатор","надежный",26,"женщина",11,"мебель","есть просрочки платежей"
1,4313,"домовладелец","надежный",37,"мужчина (одинокий)",48,"новая машина","есть непогашенные кредиты"
1,411,"домовладелец","надежный",44,"мужчина (женатый или вдовец)",18,"другое","все кредиты погашены"
1,1439,"арендатор","ненадежный",28,"женщина",23,"новая машина","есть непогашенные кредиты"
1,9042,"без жилья","надежный",63,"мужчина (одинокий)",55,"подержанная машина","все кредиты погашены"
1,3005,"домовладелец","надежный",26,"мужчина (одинокий)",27,"подержанная машина","есть непогашенные кредиты"
1,1187,"домовладелец","надежный",23,"мужчина (одинокий)",8,"бытовая техника","есть непогашенные кредиты"
1,10655,"домовладелец","ненадежный",50,"женщина",32,"подержанная машина","все кредиты погашены"
1,3175,"без жилья","надежный",36,"мужчина (одинокий)",19,"подержанная машина","есть непогашенные кредиты"
2,3674,"домовладелец","надежный",38,"мужчина (одинокий)",9,"мебель","не было кредитов"
1,576,"домовладелец","ненадежный",21,"женщина",8,"бизнес","все кредиты погашены"
3,8777,"домовладелец","надежный",26,"мужчина (одинокий)",42,"бизнес","не было кредитов"
1,2131,"домовладелец","надежный",33,"женщина",20,"образование","есть просрочки платежей"
1,1472,"домовладелец","ненадежный",20,"мужчина (одинокий)",33,"новая машина","есть непогашенные кредиты"
1,3315,"домовладелец","надежный",62,"мужчина (одинокий)",3,"бизнес","есть непогашенные кредиты"
2,19025,"домовладелец","надежный",27,"мужчина (одинокий)",29,"мебель","есть просрочки платежей"
2,1932,"домовладелец","надежный",55,"мужчина (одинокий)",16,"бытовая техника","есть просрочки платежей"
1,7562,"арендатор","надежный",30,"мужчина (женатый или вдовец)",37,"бытовая техника","есть непогашенные кредиты"
2,7168,"арендатор","ненадежный",23,"женщина",30,"мебель","есть просрочки платежей"
1,627,"домовладелец","ненадежный",25,"мужчина (одинокий)",15,"ремонт жилья","есть непогашенные кредиты"
1,1015,"арендатор","надежный",22,"женщина",20,"бизнес","есть непогашенные кредиты"
1,2348,"домовладелец","надежный",42,"мужчина (одинокий)",11,"бытовая техника","есть непогашенные кредиты"
2,2712,"арендатор","надежный",50,"мужчина (одинокий)",14,"новая машина","есть просрочки платежей"
1,4837,"домовладелец","надежный",34,"мужчина (одинокий)",22,"новая машина","есть непогашенные кредиты"
1,1814,"домовладелец","надежный",22,"мужчина (одинокий)",31,"мебель","есть непогашенные кредиты"
1,4091,"домовладелец","ненадежный",30,"мужчина (одинокий)",29,"бизнес","есть непогашенные кредиты"
3,1753,"домовладелец","надежный",81,"мужчина (одинокий)",5,"новая машина","есть просрочки платежей"
1,1452,"домовладелец","надежный",25,"мужчина (одинокий)",28,"новая машина","есть непогашенные кредиты"
1,1081,"домовладелец","ненадежный",32,"мужчина (одинокий)",9,"бытовая техника","есть непогашенные кредиты"
1,1001,"домовладелец","ненадежный",24,"женщина",13,"другое","есть непогашенные кредиты"
1,17564,"домовладелец","надежный",44,"мужчина (одинокий)",47,"бизнес","не было кредитов"
1,2694,"домовладелец","надежный",29,"женщина",17,"бытовая техника","есть непогашенные кредиты"
1,1346,"домовладелец","ненадежный",28,"женщина",15,"новая машина","есть непогашенные кредиты"
1,2286,"домовладелец","надежный",36,"женщина",35,"бизнес","есть непогашенные кредиты"
1,1372,"без жилья","ненадежный",40,"женщина",7,"новая машина","есть непогашенные кредиты"
2,13197,"арендатор","ненадежный",23,"мужчина (одинокий)",34,"бизнес","не было кредитов"
1,2645,"домовладелец","надежный",50,"мужчина (одинокий)",20,"бытовая техника","есть просрочки платежей"
2,965,"домовладелец","надежный",25,"мужчина (одинокий)",37,"бытовая техника","есть непогашенные кредиты"
2,1209,"арендатор","надежный",42,"женщина",9,"образование","есть просрочки платежей"
3,6871,"без жилья","надежный",53,"мужчина (женатый или вдовец)",21,"бытовая техника","есть просрочки платежей"
2,2100,"домовладелец","ненадежный",27,"мужчина (одинокий)",13,"мебель","есть просрочки платежей"
1,1896,"домовладелец","надежный",40,"мужчина (одинокий)",15,"бизнес","есть непогашенные кредиты"
1,2064,"домовладелец","ненадежный",29,"мужчина (разведенный)",38,"бытовая техника","есть непогашенные кредиты"
1,1929,"арендатор","надежный",27,"мужчина (одинокий)",8,"новая машина","есть непогашенные кредиты"
2,10467,"домовладелец","ненадежный",22,"женщина",42,"новая машина","есть просрочки платежей"
2,1039,"домовладелец","надежный",33,"мужчина (одинокий)",12,"образование","есть просрочки платежей"
1,1128,"без жилья","надежный",65,"мужчина (одинокий)",24,"образование","есть непогашенные кредиты"
2,3995,"домовладелец","ненадежный",28,"мужчина (одинокий)",25,"новая машина","есть просрочки платежей"
1,6848,"домовладелец","надежный",22,"мужчина (одинокий)",63,"подержанная машина","есть просрочки платежей"
1,7444,"без жилья","надежный",33,"женщина",18,"новая машина","есть непогашенные кредиты"
1,2344,"домовладелец","надежный",66,"мужчина (одинокий)",36,"бытовая техника","есть непогашенные кредиты"
1,5511,"арендатор","надежный",30,"женщина",31,"бытовая техника","есть просрочки платежей"
2,850,"домовладелец","надежный",20,"женщина",8,"ремонт жилья","есть просрочки платежей"
1,1106,"арендатор","надежный",57,"мужчина (одинокий)",16,"бизнес","есть просрочки платежей"
1,2925,"домовладелец","надежный",30,"мужчина (одинокий)",25,"бытовая техника","есть непогашенные кредиты"
1,2054,"домовладелец","надежный",18,"женщина",8,"бытовая техника","есть непогашенные кредиты"
1,18694,"без жилья","ненадежный",55,"мужчина (одинокий)",38,"образование","есть непогашенные кредиты"
2,7051,"домовладелец","надежный",46,"мужчина (одинокий)",7,"новая машина","есть просрочки платежей"
2,6199,"домовладелец","надежный",26,"мужчина (одинокий)",31,"бизнес","есть просрочки платежей"
1,3114,"без жилья","надежный",35,"мужчина (одинокий)",24,"подержанная машина","есть непогашенные кредиты"
1,2203,"домовладелец","надежный",26,"женщина",16,"бытовая техника","есть непогашенные кредиты"
1,3324,"домовладелец","ненадежный",29,"мужчина (одинокий)",27,"мебель","есть непогашенные кредиты"
2,998,"домовладелец","надежный",49,"мужчина (одинокий)",11,"новая машина","есть просрочки платежей"
2,3355,"домовладелец","надежный",41,"мужчина (одинокий)",21,"мебель","есть непогашенные кредиты"
2,10928,"домовладелец","надежный",31,"женщина",31,"новая машина","не было кредитов"
1,11624,"домовладелец","ненадежный",38,"мужчина (разведенный)",33,"ремонт жилья","есть непогашенные кредиты"
4,414,"домовладелец","надежный",62,"женщина",11,"бытовая техника","есть просрочки платежей"
1,2532,"домовладелец","ненадежный",28,"мужчина (разведенный)",34,"мебель","есть непогашенные кредиты"
1,5129,"арендатор","надежный",21,"женщина",24,"мебель","есть непогашенные кредиты"
2,9197,"арендатор","ненадежный",24,"мужчина (одинокий)",19,"бытовая техника","не было кредитов"
