"Year_end","Class","TeamSize","ShortName","Year_begin","Status","OlympiadType","Subject"
2016,11,4,"ГБОУ гимназия № 1567",2015,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2020,11,3,"ГБОУ школа № 1517",2019,"призёр","Всероссийская олимпиада","Обществознание"
2014,10,3,"ГБОУ школа № 1106",2013,"призёр","Районная олимпиада","Биология"
2017,5,5,"ГБОУ гимназия № 1637",2016,"победитель","Московская олимпиада","Изобразительное искусство"
2020,11,3,"ГБОУ школа № 1285",2019,"призёр","Всероссийская олимпиада","Биология"
2018,9,4,"ГБОУ школа № 1535",2017,"призёр","Районная олимпиада","География"
2017,10,3,"ГБОУ лицей № 1568",2016,"призёр","Московская олимпиада","Математика"
2019,7,5,"ОАНО «Школа «ЛЕТОВО»",2018,"призёр","Московская олимпиада","Физика"
2020,11,4,"ГБОУ школа им. А. Боровика",2019,"призёр","Всероссийская олимпиада","Право"
2016,7,5,"ГБОУ лицей «Вторая школа»",2015,"призёр","Московская олимпиада","Математика"
2014,11,5,"ГБОУ СОШ № 199",2013,"призёр","Всероссийская олимпиада","Биология"
2019,9,4,"ГБОУ школа № 1293",2018,"призёр","Всероссийская олимпиада","Обществознание"
2019,8,4,"ГБОУ школа № 1228 «Лефортово»",2018,"призёр","Московская олимпиада","Химия"
2018,11,5,"ГБОУ школа № 1409",2017,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2017,10,3,"ГБОУ гимназия № 1522",2016,"призёр","Всероссийская олимпиада","Русский язык"
2015,10,5,"ГБОУ школа № 1270",2014,"призёр","Всероссийская олимпиада","Русский язык"
2017,6,5,"ГБОУ гимназия № 491",2016,"призёр","Московская олимпиада","Технология"
2019,11,5,"ГБОУ школа № 1374",2018,"призёр","Всероссийская олимпиада","Русский язык"
2018,11,3,"ГБОУ школа № 1449",2017,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2016,9,4,"ГБОУ «Курчатовская школа»",2015,"призёр","Районная олимпиада","Экология"
2019,9,5,"ГБОУ «Лицей «Вторая школа»",2018,"победитель","Московская олимпиада","Математика"
2014,10,3,"ГБОУ лицей «Вторая школа»",2013,"призёр","Московская олимпиада","Математика"
2014,11,3,"ГБОУ гимназия № 1257",2013,"призёр","Всероссийская олимпиада","Экономика"
2020,10,5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2019,"призёр","Всероссийская олимпиада","Химия"
2020,8,5,"ГБОУ школа № 1252",2019,"призёр","Районная олимпиада","Физическая культура"
2018,11,5,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"призёр","Всероссийская олимпиада","Обществознание"
2020,10,4,"ГБОУ «Курчатовская школа»",2019,"призёр","Всероссийская олимпиада","Биология"
2015,11,5,"ГБОУ лицей № 1303",2014,"призёр","Районная олимпиада","История"
2019,11,3,"ГБОУ школа № 2054",2018,"призёр","Всероссийская олимпиада","История"
2016,10,3,"ГБОУ школа № 1353",2015,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2016,10,5,"ГБОУ школа № 1315",2015,"призёр","Всероссийская олимпиада","Русский язык"
2016,10,5,"ГБОУ лицей № 1535",2015,"призёр","Московская олимпиада","Химия"
2015,11,5,"ГБОУ гимназия № 1514",2014,"победитель","Всероссийская олимпиада","Литература"
2018,8,4,"ГБОУ школа № 1543",2017,"призёр","Московская олимпиада","География"
2015,11,4,"ГБОУ лицей № 1586",2014,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2016,7,3,"ГБОУ школа № 1000",2015,"призёр","Московская олимпиада","Математика"
2017,11,5,"ГБОУ школа № 1950",2016,"призёр","Всероссийская олимпиада","Биология"
2017,11,5,"ГБОУ Петровский кадетский корпус",2016,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2018,9,4,"ФГКОУ «МПКУ имени М.А. Шолохова войск национальной гвардии Российской Федерации»",2017,"призёр","Всероссийская олимпиада","Физическая культура"
2016,11,5,"ГБОУ школа № 727",2015,"призёр","Всероссийская олимпиада","Русский язык"
2014,8,3,"ГБОУ ЦО № 57",2013,"победитель","Московская олимпиада","Экономика"
2014,10,5,"ГБОУ СОШ № 1189",2013,"призёр","Всероссийская олимпиада","Литература"
2019,11,4,"ГБОУ школа № 2030",2018,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2020,10,4,"ОАНО «Школа «ЛЕТОВО»",2019,"победитель","Всероссийская олимпиада","Экология"
2018,8,5,"ГБОУ лицей «Вторая школа»",2017,"призёр","Московская олимпиада","Математика"
2014,8,3,"ГБОУ школа № 1492",2013,"призёр","Московская олимпиада","Изобразительное искусство"
2020,11,3,"ГБОУ «Лицей «Вторая школа»",2019,"призёр","Всероссийская олимпиада","астрономия"
2014,11,4,"ГБОУ ЦО № 1948 «Лингвист-М»",2013,"призёр","Районная олимпиада","Экономика"
2015,10,4,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,"призёр","Всероссийская олимпиада","Биология"
2013,10,4,"ГБОУ ЦО № 218",2012,"призёр","Районная олимпиада","Биология"
2013,9,3,"ГБОУ СОШ № 1237",2012,"призёр","Всероссийская олимпиада","История"
2019,9,4,"ГБОУ школа № 17",2018,"победитель","Московская олимпиада","Изобразительное искусство"
2018,10,4,"ГБОУ школа № 1282 «Сокольники»",2017,"призёр","Районная олимпиада","Иностранный язык (итальянский язык)"
2015,11,4,"ГБОУ ЦО № 57",2014,"призёр","Всероссийская олимпиада","Биология"
2017,11,4,"ГБОУ гимназия № 1520 им. Капцовых",2016,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2017,10,4,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"призёр","Всероссийская олимпиада","Информатика"
2018,11,4,"НОУ СОШ «Православная Свято-Петровская школа»",2017,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2014,5,3,"ГБОУ школа № 37",2013,"призёр","Московская олимпиада","Биология"
2016,11,3,"ГБОУ лицей № 86 имени М.Е. Катукова",2015,"призёр","Всероссийская олимпиада","Информатика"
2016,10,4,"ГБОУ школа № 618",2015,"призёр","Московская олимпиада","лингвистика"
2019,6,5,"ГБОУ школа № 2086",2018,"победитель","Московская олимпиада","Физика"
2016,11,5,"ГБОУ «Школа-интернат «Интеллектуал»",2015,"призёр","Районная олимпиада","Экономика"
2017,9,3,"ГБОУ школа № 2086",2016,"призёр","Всероссийская олимпиада","Информатика"
2015,10,4,"ГБОУ гимназия № 1588",2014,"призёр","Всероссийская олимпиада","Русский язык"
2019,8,5,"ГБОУ школа № 1563",2018,"победитель","Московская олимпиада","Иностранный язык (французский язык)"
2017,11,3,"ГБОУ школа № 1357",2016,"призёр","Всероссийская олимпиада","Физическая культура"
2014,9,3,"ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»",2013,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2019,11,4,"ГБОУ школа имени Маршала В.И. Чуйкова",2018,"призёр","Районная олимпиада","Русский язык"
2016,10,4,"ГБОУ лицей № 1564",2015,"призёр","Всероссийская олимпиада","Биология"
2016,10,5,"ГБОУ школа № 117",2015,"призёр","Районная олимпиада","Мировая Художественная Культура (МХК)"
2015,8,5,"ГБОУ лицей № 1564",2014,"призёр","Московская олимпиада","Изобразительное искусство"
2019,9,5,"ГБОУ «Лицей «Вторая школа»",2018,"призёр","Московская олимпиада","Физика"
2020,9,5,"ГБОУ школа № 853",2019,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2016,11,4,"ГБОУ гимназия № 1514",2015,"победитель","Районная олимпиада","Математика"
2015,11,4,"ГБОУ ЦО № 57",2014,"победитель","Районная олимпиада","Экономика"
2019,6,3,"ГБОУ школа № 1980",2018,"призёр","Московская олимпиада","филология"
2017,10,3,"ГБОУ школа № 962",2016,"призёр","Всероссийская олимпиада","Обществознание"
2019,7,3,"ГБОУ школа № 1619",2018,"призёр","Московская олимпиада","Технология"
2017,9,4,"ГБОУ школа № 896",2016,"призёр","Московская олимпиада","Изобразительное искусство"
2016,7,4,"ГАОУ «Гимназия № 1518»",2015,"призёр","Московская олимпиада","Экономика"
2016,11,5,"ГБОУ лицей № 1553",2015,"победитель","Районная олимпиада","Русский язык"
2013,11,5,"ГБОУ СОШ № 1231",2012,"призёр","Всероссийская олимпиада","Иностранный язык (французский язык)"
2014,10,4,"ГБОУ гимназия № 1306",2013,"призёр","Районная олимпиада","Обществознание"
2017,9,5,"ГБОУ гимназия № 1567",2016,"призёр","Московская олимпиада","Информатика"
2019,10,5,"ГБОУ школа № 2036",2018,"победитель","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2015,9,5,"ГБОУ лицей № 1580",2014,"призёр","Всероссийская олимпиада","Физика"
2018,9,3,"ГБОУ школа № 386",2017,"призёр","Всероссийская олимпиада","История"
2019,6,5,"ГБОУ школа № 648",2018,"призёр","Московская олимпиада","Изобразительное искусство"
2015,7,4,"ГБОУ гимназия № 402 имени Алии Молдагуловой",2014,"призёр","Московская олимпиада","Изобразительное искусство"
2016,8,5,"ГБОУ Физматшкола № 2007",2015,"призёр","Московская олимпиада","Математика"
2019,11,3,"ГБОУ школа № 1535",2018,"призёр","Районная олимпиада","Биология"
2017,7,3,"ГБОУ школа № 962",2016,"призёр","Московская олимпиада","Экономика"
2016,10,3,"ГБОУ гимназия № 1567",2015,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2013,11,5,"ГБОУ гимназия № 1534",2012,"призёр","Всероссийская олимпиада","Физика"
2015,9,4,"ГБОУ лицей № 1535",2014,"призёр","Всероссийская олимпиада","Обществознание"
2014,11,4,"ГБОУ Физматшкола 2007",2013,"призёр","Всероссийская олимпиада","Математика"
2020,9,5,"ГБОУ школа № 1575",2019,"призёр","Всероссийская олимпиада","Обществознание"
2017,11,3,"ГАОУ ВПО МИОО. СОШ № 179",2016,"призёр","Районная олимпиада","Биология"
2019,10,3,"СУНЦ МГУ",2018,"призёр","Московская олимпиада","Химия"
2016,10,5,"ГБОУ ЦО № 57",2015,"призёр","Всероссийская олимпиада","Физика"
2019,10,3,"ГБОУ школа № 625",2018,"призёр","Всероссийская олимпиада","Обществознание"
2015,6,5,"ГБОУ школа № 868",2014,"призёр","Московская олимпиада","Изобразительное искусство"
2017,10,5,"ГБОУ лицей «Вторая школа»",2016,"призёр","Районная олимпиада","Математика"
2014,10,4,"ГБОУ СОШ № 1275",2013,"призёр","Всероссийская олимпиада","Литература"
2019,9,3,"ГБОУ школа № 718",2018,"призёр","Районная олимпиада","Технология"
2017,8,3,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2016,"призёр","Московская олимпиада","филология"
2015,11,4,"ГБОУ лицей № 1564",2014,"призёр","Всероссийская олимпиада","Литература"
2013,9,3,"ГБОУ гимназия № 1290",2012,"призёр","Московская олимпиада","История"
2013,8,3,"ГБОУ школа № 49",2012,"призёр","Московская олимпиада","Математика"
2017,9,4,"ГБОУ гимназия № 1531",2016,"призёр","Районная олимпиада","Иностранный язык (французский язык)"
2014,10,3,"ГБОУ СОШ № 1237",2013,"призёр","Московская олимпиада","Иностранный язык (испанский язык)"
2013,11,5,"ГБОУ СОШ № 375",2012,"призёр","Районная олимпиада","Русский язык"
2017,9,3,"ГБОУ гимназия № 1531",2016,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2019,10,4,"ГБОУ школа № 1506",2018,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2020,11,5,"ГБОУ Шуваловская школа № 1448",2019,"победитель","Всероссийская олимпиада","Право"
2014,11,3,"ГБОУ Московская гимназия на Юго-Западе № 1543",2013,"призёр","Районная олимпиада","Экономика"
2014,11,5,"ГБОУ лицей № 1557",2013,"призёр","Всероссийская олимпиада","Физика"
2016,9,5,"ГБОУ школа № 1252 имени Сервантеса",2015,"призёр","Всероссийская олимпиада","Химия"
2019,7,3,"ГБОУ школа № 1568",2018,"призёр","Московская олимпиада","Физика"
2016,10,3,"ГБОУ школа № 171",2015,"призёр","Всероссийская олимпиада","Иностранный язык (итальянский язык)"
2018,10,3,"ГБОУ школа № 1238",2017,"победитель","Московская олимпиада","Обществознание"
2019,6,4,"ГБОУ школа № 1637",2018,"призёр","Московская олимпиада","Изобразительное искусство"
2016,11,3,"ГБОУ лицей № 138",2015,"победитель","Московская олимпиада","География"
2013,11,3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2012,"призёр","Всероссийская олимпиада","Информатика"
2014,10,5,"ГБОУ школа № 1353",2013,"призёр","Всероссийская олимпиада","Биология"
2017,6,4,"ГБОУ школа № 648",2016,"призёр","Московская олимпиада","Изобразительное искусство"
2016,10,4,"ГБОУ школа № 57",2015,"призёр","Всероссийская олимпиада","Информатика"
2015,11,5,"ГБОУ школа № 536",2014,"призёр","Всероссийская олимпиада","Экология"
2013,4,3,"ГБОУ гимназия № 1518",2012,"призёр","Московская олимпиада","Экономика"
2018,9,4,"ГБОУ школа № 1376",2017,"победитель","Всероссийская олимпиада","Литература"
2013,10,4,"ГБОУ СОШ № 1273",2012,"призёр","Всероссийская олимпиада","Обществознание"
2019,7,4,"ГБОУ школа № 1534",2018,"призёр","Московская олимпиада","Физика"
2019,11,4,"ГБОУ школа № 152",2018,"призёр","Всероссийская олимпиада","Иностранный язык (немецкий язык)"
2015,6,4,"ГБОУ ЦО № 57",2014,"призёр","Московская олимпиада","Математика"
2020,9,5,"ГБОУ школа № 1980",2019,"призёр","Всероссийская олимпиада","Право"
2020,11,4,"ГБОУ школа № 2121",2019,"призёр","Всероссийская олимпиада","Информатика"
2019,7,3,"ГБОУ школа № 14",2018,"призёр","Московская олимпиада","астрономия"
2018,10,3,"ГБОУ школа № 1514",2017,"призёр","Всероссийская олимпиада","Литература"
2020,9,4,"ГБОУ школа № 283",2019,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2018,10,5,"ГБОУ школа № 2200",2017,"призёр","Всероссийская олимпиада","Литература"
2016,10,3,"ГБОУ школа № 1234",2015,"призёр","Всероссийская олимпиада","Иностранный язык (немецкий язык)"
2017,10,3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"призёр","Всероссийская олимпиада","Математика"
2014,11,5,"ГБОУ СОШ № 1294",2013,"призёр","Всероссийская олимпиада","Обществознание"
2018,10,4,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2014,6,3,"ГБОУ Московская гимназия на Юго-Западе № 1543",2013,"призёр","Московская олимпиада","Математика"
2016,11,3,"ГБОУ «Школа № 597 «Новое Поколение»",2015,"призёр","Всероссийская олимпиада","Химия"
2018,9,5,"ГБОУ школа № 1534",2017,"призёр","Всероссийская олимпиада","Математика"
2016,9,4,"ГБОУ лицей № 1502 при МЭИ",2015,"призёр","Всероссийская олимпиада","Технология"
2013,11,5,"ГБОУ лицей № 1575",2012,"призёр","Московская олимпиада","предпринимательство"
2019,8,3,"ГБОУ школа № 1811",2018,"победитель","Московская олимпиада","Робототехника"
2018,9,4,"ГБОУ школа № 444",2017,"победитель","Московская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2018,11,4,"ГБОУ школа № 1877 «Люблино»",2017,"призёр","Всероссийская олимпиада","Литература"
2016,9,4,"Предуниверситарий НИЯУ МИФИ",2015,"призёр","Всероссийская олимпиада","Физика"
2015,10,4,"ГБОУ лицей № 1535",2014,"призёр","Всероссийская олимпиада","Обществознание"
2018,10,5,"ГБОУ школа № 1553 имени В.И. Вернадского",2017,"призёр","Московская олимпиада","филология"
2017,10,3,"ГБОУ школа № 1329",2016,"призёр","Всероссийская олимпиада","Информатика"
2020,10,3,"ГБОУ Шуваловская школа № 1448",2019,"призёр","Всероссийская олимпиада","Обществознание"
2015,5,4,"ГБОУ гимназия № 1637",2014,"призёр","Московская олимпиада","Изобразительное искусство"
2020,11,3,"ГБОУ школа № 283",2019,"призёр","Всероссийская олимпиада","Биология"
2019,11,5,"ГБОУ школа № 508",2018,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2013,7,3,"ГБОУ лицей № 1564",2012,"призёр","Московская олимпиада","Физика"
2019,9,4,"ГБОУ школа № 1253",2018,"призёр","Всероссийская олимпиада","Биология"
2013,8,3,"ГБОУ СОШ № 54",2012,"призёр","Московская олимпиада","Математика"
2019,10,3,"ГБОУ школа № 654 имени А.Д. Фридмана",2018,"победитель","Всероссийская олимпиада","Иностранный язык (испанский язык)"
2015,11,5,"ГБОУ гимназия № 1512",2014,"призёр","Московская олимпиада","Обществознание"
2017,9,5,"ГБОУ школа № 171",2016,"призёр","Всероссийская олимпиада","Биология"
2015,10,3,"ГБОУ школа № 2077",2014,"призёр","Всероссийская олимпиада","Физика"
2019,10,4,"ГБОУ «Лицей «Вторая школа»",2018,"призёр","Всероссийская олимпиада","Экономика"
2018,11,5,"ГБОУ школа «Тропарево»",2017,"победитель","Всероссийская олимпиада","Обществознание"
2016,10,4,"ГБОУ школа № 1944",2015,"призёр","Районная олимпиада","Физика"
2019,8,3,"ГБОУ школа № 179",2018,"призёр","Московская олимпиада","Математика"
2014,11,5,"ГБОУ СОШ № 1233",2013,"призёр","Всероссийская олимпиада","Биология"
2016,9,4,"ГБОУ лицей № 1575",2015,"призёр","Московская олимпиада","филология"
2014,10,4,"ГБОУ лицей № 1571",2013,"призёр","Всероссийская олимпиада","Право"
2020,10,4,"ГБОУ школа № 1502",2019,"призёр","Районная олимпиада","астрономия"
2018,10,5,"ГБОУ школа «Интеллектуал»",2017,"призёр","Московская олимпиада","Математика"
2016,10,5,"ГБОУ гимназия № 1514",2015,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2015,9,3,"ГБОУ СОШ № 1305",2014,"призёр","Всероссийская олимпиада","История"
2017,11,4,"НИУ ВШЭ. лицей",2016,"призёр","Всероссийская олимпиада","Литература"
2020,9,5,"ГБОУ школа № 1409",2019,"призёр","Районная олимпиада","Основы безопасности жизнедеятельности"
2013,9,5,"ГБОУ школа № 853",2012,"призёр","Всероссийская олимпиада","География"
2015,11,4,"ГБОУ школа № 1288",2014,"призёр","Всероссийская олимпиада","Физическая культура"
2014,8,3,"ГБОУ лицей № 1557",2013,"призёр","Московская олимпиада","Физика"
2018,11,4,"ГБОУ школа № 179",2017,"призёр","Всероссийская олимпиада","Математика"
2016,10,5,"ГБОУ «Школа на Яузе»",2015,"призёр","Всероссийская олимпиада","Иностранный язык (французский язык)"
2019,11,3,"ЧУ СОШ «СААШ «Марина»",2018,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2016,10,4,"ГБОУ лицей № 1303",2015,"призёр","Московская олимпиада","Химия"
2019,10,3,"ГБОУ школа № 554",2018,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2018,10,4,"ГБОУ школа № 1575",2017,"призёр","Московская олимпиада","филология"
2018,11,3,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2019,10,5,"ГБОУ школа № 1517",2018,"призёр","Всероссийская олимпиада","Русский язык"
2017,9,4,"ГБОУ школа № 1288",2016,"призёр","Районная олимпиада","Обществознание"
2014,10,3,"ГБОУ СОШ № 1388",2013,"призёр","Всероссийская олимпиада","Биология"
2015,10,4,"ГБОУ Многопрофильный лицей № 1799",2014,"призёр","Районная олимпиада","Мировая Художественная Культура (МХК)"
2019,6,3,"ГБОУ школа № 1530 «Школа Ломоносова»",2018,"победитель","Московская олимпиада","Технология"
2019,8,4,"ГБОУ школа № 1568",2018,"призёр","Московская олимпиада","Химия"
2014,10,5,"ГБОУ гимназия № 1562",2013,"призёр","Всероссийская олимпиада","Иностранный язык (немецкий язык)"
2019,11,5,"ГБОУ школа № 329",2018,"призёр","Районная олимпиада","Биология"
2019,5,3,"ГАОУ «Школа № 1518»",2018,"призёр","Московская олимпиада","Биология"
2019,7,5,"ГБОУ школа № 49",2018,"призёр","Московская олимпиада","филология"
2020,10,3,"лицей НИУ ВШЭ",2019,"призёр","Всероссийская олимпиада","Математика"
2019,11,5,"ГБОУ школа № 1288",2018,"призёр","Районная олимпиада","Иностранный язык (английский язык)"
2020,10,3,"ГБОУ школа № 1223",2019,"призёр","Всероссийская олимпиада","Обществознание"
2013,5,4,"ГБОУ СОШ № 1469",2012,"призёр","Московская олимпиада","Технология"
2013,11,3,"ГБОУ школа № 1286",2012,"победитель","Всероссийская олимпиада","Иностранный язык (французский язык)"
2019,11,3,"ГБОУ школа № 1504",2018,"призёр","Всероссийская олимпиада","Обществознание"
2019,10,3,"ГБОУ школа № 14",2018,"призёр","Всероссийская олимпиада","Литература"
2015,9,3,"ГБОУ СОШ № 1366",2014,"призёр","Всероссийская олимпиада","Русский язык"
2018,10,5,"ГБОУ гимназия № 1529",2017,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2016,9,4,"ГБОУ гимназия № 1514",2015,"победитель","Московская олимпиада","Информатика"
2019,10,5,"ГБОУ школа № 57",2018,"призёр","Районная олимпиада","Информатика"
2017,10,3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"победитель","Всероссийская олимпиада","Математика"
2020,10,5,"ГБОУ школа № 2009",2019,"призёр","Районная олимпиада","Литература"
2016,9,5,"ГБОУ школа № 1741",2015,"победитель","Московская олимпиада","Физика"
2015,10,5,"ГБОУ гимназия № 1599",2014,"призёр","Всероссийская олимпиада","Литература"
2015,11,5,"ГБОУ гимназия № 1573",2014,"победитель","Всероссийская олимпиада","Русский язык"
2015,9,3,"ГБОУ «Школа-интернат «Интеллектуал»",2014,"призёр","Всероссийская олимпиада","Право"
2013,11,5,"ГБОУ лицей № 1557",2012,"призёр","Всероссийская олимпиада","Физика"
2018,10,3,"ФГКОУ «МКК ПВ МО РФ»",2017,"победитель","Всероссийская олимпиада","Искусство (МХК)"
2019,11,5,"СУНЦ МГУ",2018,"призёр","Всероссийская олимпиада","Математика"
2019,11,5,"ГБОУ школа № 1247",2018,"призёр","Московская олимпиада","Изобразительное искусство"
2014,7,4,"ГБОУ гимназия № 1514",2013,"победитель","Московская олимпиада","лингвистика"
2016,11,5,"ГБОУ лицей «Вторая школа»",2015,"призёр","Всероссийская олимпиада","Математика"
2019,7,5,"ГБПОУ «Воробьевы горы»",2018,"призёр","Московская олимпиада","Изобразительное искусство"
2014,6,5,"ГБОУ СОШ № 1188",2013,"победитель","Московская олимпиада","Изобразительное искусство"
2015,9,3,"ГБОУ СОШ № 218",2014,"призёр","Московская олимпиада","Математика"
2015,10,5,"ГБОУ СОШ № 1190",2014,"призёр","Всероссийская олимпиада","Обществознание"
2019,10,3,"ГБОУ школа № 1543",2018,"призёр","Московская олимпиада","Математика"
2018,6,3,"ГБОУ школа № 1980",2017,"призёр","Московская олимпиада","филология"
2016,7,3,"ГБОУ школа № 1252 имени Сервантеса",2015,"призёр","Московская олимпиада","филология"
2017,9,4,"ГБОУ школа № 1440",2016,"победитель","Московская олимпиада","Право"
2013,8,5,"ГБОУ школа № 1944",2012,"призёр","Московская олимпиада","Изобразительное искусство"
2018,9,4,"ГБОУ школа № 2101",2017,"призёр","Московская олимпиада","Математика"
2017,7,4,"ГБОУ Физматшкола № 2007",2016,"призёр","Московская олимпиада","Математика"
2016,6,5,"ГБОУ школа № 853",2015,"призёр","Московская олимпиада","Математика"
2018,10,4,"ГБОУ школа № 1543",2017,"призёр","Всероссийская олимпиада","Математика"
2013,9,4,"ГБОУ школа № 1101",2012,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2019,9,5,"ГБОУ школа им. А. Боровика",2018,"призёр","Московская олимпиада","Право"
2014,9,3,"ГАОУ ВО МИОО. СОШ № 179",2013,"призёр","Всероссийская олимпиада","Биология"
2015,9,3,"МАОУ «Средняя школа № 6»",2014,"призёр","Всероссийская олимпиада","История"
2019,7,3,"ГБОУ школа № 2007 ФМШ",2018,"призёр","Московская олимпиада","Информатика"
2019,11,3,"СУНЦ МГУ",2018,"победитель","Московская олимпиада","Информатика"
2016,10,4,"ГБОУ гимназия № 1515",2015,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2013,10,3,"ГБОУ школа № 1220",2012,"призёр","Районная олимпиада","Иностранный язык (немецкий язык)"
2020,11,3,"ГБОУ школа № 1568",2019,"призёр","Всероссийская олимпиада","Химия"
2017,9,5,"ГБОУ школа «Интеллектуал»",2016,"победитель","Всероссийская олимпиада","Информатика"
2018,9,3,"ГБОУ школа № 609",2017,"победитель","Московская олимпиада","Изобразительное искусство"
2019,10,3,"лицей НИУ ВШЭ",2018,"призёр","Районная олимпиада","Русский язык"
2015,8,3,"ГБОУ «Школа-интернат «Интеллектуал»",2014,"призёр","Московская олимпиада","лингвистика"
2016,11,3,"ГБОУ гимназия Марьина Роща имени В.Ф. Орлова",2015,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2018,10,5,"НИУ ВШЭ. лицей",2017,"призёр","Московская олимпиада","Обществознание"
2016,9,3,"ГБОУ школа № 498",2015,"призёр","Районная олимпиада","Обществознание"
2019,10,3,"ГБОУ школа № 179",2018,"призёр","Всероссийская олимпиада","Литература"
2017,6,5,"ГБОУ лицей № 1557",2016,"призёр","Московская олимпиада","Математика"
2013,10,3,"ГБОУ СОШ № 9",2012,"призёр","Московская олимпиада","Экономика"
2015,9,5,"ГБОУ школа № 185",2014,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2017,5,3,"ГБОУ школа № 1466 имени Надежды Рушевой",2016,"победитель","Московская олимпиада","Изобразительное искусство"
2013,11,4,"ГАОУ ВО МИОО. СОШ № 179",2012,"призёр","Всероссийская олимпиада","Обществознание"
2020,10,5,"ГБОУ школа № 429",2019,"призёр","Всероссийская олимпиада","Русский язык"
2018,9,5,"ГБОУ школа № 2026",2017,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2018,9,3,"ГБОУ школа № 806",2017,"призёр","Всероссийская олимпиада","Литература"
2015,6,5,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,"призёр","Московская олимпиада","Математика"
2016,11,4,"НИУ ВШЭ. лицей",2015,"призёр","Всероссийская олимпиада","Обществознание"
2016,11,3,"ГБОУ СОШ № 1415",2015,"призёр","Всероссийская олимпиада","Литература"
2018,10,5,"ГБОУ школа № 86 имени М.Е. Катукова",2017,"призёр","Районная олимпиада","Основы безопасности жизнедеятельности"
2018,11,3,"ГБОУ школа № 1514",2017,"призёр","Всероссийская олимпиада","Искусство (МХК)"
2018,10,3,"ГБОУ школа № 179",2017,"призёр","Всероссийская олимпиада","Биология"
2016,11,3,"ГБОУ гимназия № 1584",2015,"призёр","Районная олимпиада","Право"
2018,11,5,"ГБОУ школа № 1329",2017,"призёр","Районная олимпиада","Искусство (МХК)"
2017,9,3,"ГБОУ школа № 2097",2016,"победитель","Всероссийская олимпиада","Русский язык"
2014,7,3,"ГБОУ школа № 853",2013,"победитель","Московская олимпиада","Физика"
2019,10,5,"ГБОУ школа в Капотне",2018,"призёр","Всероссийская олимпиада","Литература"
2014,11,3,"ГБОУ СОШ № 1216",2013,"призёр","Всероссийская олимпиада","Иностранный язык (французский язык)"
2020,9,3,"ГБОУ школа № 368 «Лосиный остров»",2019,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
