"Year_begin","OlympiadType","Year_end","ShortName","Class","Status","Subject","TeamSize"
2017,"Всероссийская олимпиада",2018,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",11,"призёр","Информатика и Информационно-коммуникационные технологии (ИКТ)",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 201",9,"призёр","Мировая Художественная Культура (МХК)",3
2015,"Всероссийская олимпиада",2016,"ГБОУ гимназия № 1409",10,"призёр","Обществознание",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1575",9,"победитель","Химия",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 57",11,"призёр","Физика",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 14",7,"призёр","Экология",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 1208",11,"призёр","Экономика",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1557",7,"призёр","Математика",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 491",9,"призёр","Обществознание",4
2015,"Всероссийская олимпиада",2016,"ГБОУ Московская гимназия на Юго-Западе № 1543",11,"призёр","Литература",4
2019,"Районная олимпиада",2020,"ГБОУ школа № 1637",9,"призёр","Русский язык",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1520 им. Капцовых",10,"призёр","Иностранный язык (английский язык)",5
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 2095",11,"призёр","История",4
2016,"Районная олимпиада",2017,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,"призёр","Физика",5
2013,"Всероссийская олимпиада",2014,"ГБОУ СОШ № 1216",11,"призёр","Иностранный язык (французский язык)",3
2012,"Районная олимпиада",2013,"ГБОУ лицей № 1535",11,"победитель","Право",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 853",8,"призёр","Химия",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1467",10,"призёр","Основы безопасности жизнедеятельности",5
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1381",11,"призёр","История",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 1329",6,"победитель","Математика",4
2017,"Районная олимпиада",2018,"ГБОУ школа № 1310",11,"призёр","Литература",5
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 1558",10,"призёр","Физическая культура",5
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 1521",11,"призёр","Мировая Художественная Культура (МХК)",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1210",11,"победитель","Иностранный язык (английский язык)",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1290",11,"победитель","Обществознание",5
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей № 1580",11,"призёр","Физика",3
2014,"Всероссийская олимпиада",2015,"НИУ ВШЭ. лицей",10,"призёр","Экономика",5
2018,"Всероссийская олимпиада",2019,"ГАОУ «Школа № 1518»",11,"призёр","Право",3
2012,"Московская олимпиада",2013,"ГБОУ СОШ № 996",7,"призёр","Изобразительное искусство",5
2012,"Московская олимпиада",2013,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,"победитель","Физика",4
2014,"Районная олимпиада",2015,"ГБОУ гимназия № 1518",10,"призёр","Биология",5
2012,"Московская олимпиада",2013,"ГБОУ гимназия № 1514",11,"призёр","Математика",3
2013,"Всероссийская олимпиада",2014,"ГБОУ Лингвистический лицей № 1555",9,"призёр","Литература",4
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1242",11,"призёр","Биология",4
2014,"Московская олимпиада",2015,"ГБОУ школа № 853",11,"призёр","астрономия",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 45",11,"призёр","Иностранный язык (английский язык)",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1357",9,"призёр","Обществознание",4
2017,"Районная олимпиада",2018,"ГБОУ школа № 2007 ФМШ",11,"призёр","Математика",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 2054",9,"призёр","Право",3
2013,"Всероссийская олимпиада",2014,"ГБОУ лицей № 1533",10,"призёр","Математика",5
2017,"Районная олимпиада",2018,"ГБОУ школа № 587",11,"призёр","История",5
2015,"Районная олимпиада",2016,"ГБОУ лицей № 1553",10,"призёр","Экономика",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 2123 им. М. Эрнандеса",8,"призёр","филология",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 1568",8,"призёр","Биология",3
2018,"Всероссийская олимпиада",2019,"ГАОУ школа № 548",9,"призёр","Мировая Художественная Культура (МХК)",4
2017,"Районная олимпиада",2018,"ГБОУ школа № 491",9,"призёр","Право",5
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 293",10,"победитель","Русский язык",3
2016,"Районная олимпиада",2017,"ГБОУ школа № 46",10,"призёр","Литература",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа «Бескудниково»",10,"призёр","Обществознание",5
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей № 1535",10,"призёр","Биология",4
2019,"Всероссийская олимпиада",2020,"лицей НИУ ВШЭ",11,"призёр","Экономика",5
2018,"Всероссийская олимпиада",2019,"лицей НИУ ВШЭ",11,"призёр","Обществознание",5
2013,"Всероссийская олимпиада",2014,"ГБОУ ЦО № 57",11,"призёр","Математика",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1955",11,"победитель","Изобразительное искусство",5
2014,"Московская олимпиада",2015,"ГБОУ лицей № 1574",8,"призёр","Право",3
2018,"Районная олимпиада",2019,"ГБОУ школа № 2200",10,"призёр","Иностранный язык (английский язык)",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 2089",6,"призёр","филология",3
2017,"Московская олимпиада",2018,"ГБОУ школа на проспекте Вернадского",8,"призёр","филология",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 1980",5,"призёр","филология",5
2016,"Всероссийская олимпиада",2017,"СУНЦ МГУ",11,"призёр","Химия",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1575",11,"победитель","Экология",4
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей № 1547",11,"призёр","Биология",5
2013,"Московская олимпиада",2014,"ГБОУ гимназия № 1518",3,"призёр","Экономика",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1467",10,"призёр","Основы безопасности жизнедеятельности",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1504",10,"призёр","Физическая культура",5
2014,"Московская олимпиада",2015,"ГБОУ СОШ № 939",6,"победитель","Технология",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1329",7,"призёр","астрономия",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 853",11,"призёр","Биология",5
2013,"Московская олимпиада",2014,"ГБОУ гимназия № 1558",9,"призёр","Иностранный язык (испанский язык)",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1535",10,"призёр","Искусство (МХК)",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1359",11,"победитель","Робототехника",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 2007 ФМШ",9,"призёр","Информатика",4
2018,"Районная олимпиада",2019,"ГБОУ школа № 1535",9,"призёр","Информатика",5
2014,"Всероссийская олимпиада",2015,"ГБОУ школа № 853",10,"призёр","Обществознание",3
2013,"Всероссийская олимпиада",2014,"НОУ ЦО «Школа Сотрудничества»",11,"призёр","Литература",5
2013,"Всероссийская олимпиада",2014,"ГБОУ ЦО № 218",11,"призёр","Обществознание",4
2016,"Районная олимпиада",2017,"ГКОУ КШИ № 1",11,"призёр","Основы безопасности жизнедеятельности",4
2016,"Всероссийская олимпиада",2017,"ГБОУ гимназия № 1507",11,"призёр","Обществознание",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 89",9,"призёр","География",4
2013,"Московская олимпиада",2014,"ГБОУ СОШ № 192",7,"призёр","Химия",5
2017,"Всероссийская олимпиада",2018,"НИУ ВШЭ. лицей",11,"призёр","Русский язык",4
2017,"Всероссийская олимпиада",2018,"ГБОУ лицей № 1580",9,"призёр","Информатика и Информационно-коммуникационные технологии (ИКТ)",4
2016,"Московская олимпиада",2017,"ГБОУ лицей «Вторая школа»",7,"победитель","Математика",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 57",10,"призёр","Физика",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 2089",10,"призёр","филология",4
2013,"Московская олимпиада",2014,"ГБОУ школа № 1400",6,"призёр","астрономия",3
2017,"Всероссийская олимпиада",2018,"ФГКОУ «Кадетский корпус Следственного комитета Российской Федерации имени Александра Невского» или «Кадетский корпус Следственного комитета»",11,"победитель","Основы безопасности жизнедеятельности",4
2019,"Районная олимпиада",2020,"ГБОУ школа «Интеллектуал»",9,"призёр","География",5
2017,"Московская олимпиада",2018,"ГАОУ «Школа № 1518»",11,"победитель","астрономия",5
2012,"Всероссийская олимпиада",2013,"ГБОУ ЦО № 1454",9,"призёр","Основы безопасности жизнедеятельности",5
2018,"Всероссийская олимпиада",2019,"ОАНО школа «Ника»",9,"призёр","История",5
2016,"Районная олимпиада",2017,"ГБОУ ЛГК на Юго-Востоке",10,"призёр","Химия",4
2015,"Районная олимпиада",2016,"ГБОУ гимназия № 1514",10,"призёр","Мировая Художественная Культура (МХК)",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1573",10,"призёр","филология",4
2013,"Всероссийская олимпиада",2014,"ГБОУ СОШ № 1249",9,"победитель","Русский язык",4
2015,"Московская олимпиада",2016,"ГБОУ школа № 1270",6,"призёр","Робототехника",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1284",11,"победитель","Иностранный язык (немецкий язык)",4
2014,"Всероссийская олимпиада",2015,"ГБОУ гимназия № 1558",11,"призёр","История",5
2017,"Всероссийская олимпиада",2018,"НИУ ВШЭ. лицей",10,"победитель","Русский язык",5
2015,"Всероссийская олимпиада",2016,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11,"призёр","Информатика",4
2013,"Московская олимпиада",2014,"ГБОУ ЦО № 1071",8,"победитель","Экономика",4
2017,"Районная олимпиада",2018,"ГБОУ школа № 1231",11,"призёр","Литература",5
2012,"Всероссийская олимпиада",2013,"ГБОУ лицей № 1560",11,"призёр","Основы безопасности жизнедеятельности",4
2013,"Всероссийская олимпиада",2014,"ГБОУ СОШ № 308",11,"призёр","Иностранный язык (немецкий язык)",4
2014,"Московская олимпиада",2015,"ГБОУ школа № 1847",9,"призёр","Мировая Художественная Культура (МХК)",3
2019,"Районная олимпиада",2020,"ГБОУ «Школа Новокосино»",9,"призёр","География",5
2015,"Районная олимпиада",2016,"ГБОУ школа № 218",11,"призёр","Математика",5
2018,"Районная олимпиада",2019,"ГБОУ школа № 1161",11,"призёр","Физическая культура",4
2016,"Всероссийская олимпиада",2017,"ГБОУ гимназия № 1529",10,"призёр","Обществознание",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1535",11,"призёр","Русский язык",5
2017,"Районная олимпиада",2018,"НИУ ВШЭ. лицей",11,"победитель","Иностранный язык (китайский язык)",5
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 57",10,"призёр","Литература",4
2013,"Московская олимпиада",2014,"ГБОУ Московская гимназия на Юго-Западе № 1543",10,"призёр","Математика",4
2015,"Всероссийская олимпиада",2016,"ГБОУ Физматшкола № 2007",10,"призёр","Математика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1799",10,"призёр","Литература",3
2012,"Всероссийская олимпиада",2013,"ГБОУ КШИ № 9",9,"призёр","Физическая культура",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1449",9,"призёр","Основы безопасности жизнедеятельности",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1582",11,"призёр","Русский язык",3
2013,"Всероссийская олимпиада",2014,"ГБОУ лицей № 1535",10,"призёр","Обществознание",5
2012,"Московская олимпиада",2013,"ГБОУ ЦО № 57",9,"призёр","Математика",3
2012,"Всероссийская олимпиада",2013,"ГБОУ гимназия № 1567",9,"призёр","Русский язык",4
2015,"Районная олимпиада",2016,"ГБОУ школа № 1285",9,"призёр","Обществознание",3
2017,"Московская олимпиада",2018,"ГБОУ школа № 1324",9,"победитель","Изобразительное искусство",4
2018,"Районная олимпиада",2019,"ГБОУ школа № 1290",11,"призёр","Литература",3
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 853",9,"призёр","Основы безопасности жизнедеятельности",4
2015,"Всероссийская олимпиада",2016,"ГАОУ ВО МИОО. СОШ № 179",10,"призёр","Иностранный язык (английский язык)",3
2017,"Районная олимпиада",2018,"ГБОУ школа № 1535",9,"призёр","Химия",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1542",9,"призёр","Обществознание",4
2017,"Московская олимпиада",2018,"ГАОУ школа № 548",6,"призёр","Изобразительное искусство",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1404 «Гамма»",11,"призёр","История",4
2015,"Московская олимпиада",2016,"ГБОУ Физматшкола № 2007",11,"победитель","Информатика",5
2014,"Всероссийская олимпиада",2015,"ГБОУ СОШ № 1249",11,"призёр","Иностранный язык (немецкий язык)",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 2097",5,"призёр","Биология",5
2017,"Московская олимпиада",2018,"ГБОУ школа им. А. Боровика",6,"призёр","Изобразительное искусство",4
2017,"Всероссийская олимпиада",2018,"АНО «Православная общеобразовательная школа-пансион «Плесково»",10,"призёр","Обществознание",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1535",9,"призёр","Экономика",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 1366",6,"призёр","Технология",5
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 1582",11,"победитель","Иностранный язык (немецкий язык)",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1533 «ЛИТ»",9,"призёр","Информатика",5
2013,"Московская олимпиада",2014,"ГБОУ школа № 853",7,"победитель","Физика",3
2019,"Районная олимпиада",2020,"ГБОУ школа № 1474",9,"призёр","Химия",4
2016,"Московская олимпиада",2017,"ГБОУ лицей № 504",7,"победитель","Изобразительное искусство",4
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1195",10,"призёр","Обществознание",3
2014,"Всероссийская олимпиада",2015,"ГАОУ ВО МИОО. СОШ № 179",10,"призёр","Экономика",5
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 1238",11,"призёр","Основы безопасности жизнедеятельности",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 171",10,"призёр","Химия",5
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей № 1535",10,"призёр","Русский язык",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 2031",6,"призёр","Технология",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 2097",5,"победитель","География",5
2014,"Всероссийская олимпиада",2015,"ГБОУ школа № 2114",10,"призёр","Физическая культура",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1507",10,"призёр","Экономика",3
2012,"Всероссийская олимпиада",2013,"ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»",11,"призёр","Основы безопасности жизнедеятельности",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 429",10,"призёр","Русский язык",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1568",8,"призёр","Физика",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 1248",5,"призёр","Технология",5
2014,"Московская олимпиада",2015,"ГБОУ СОШ № 1352",8,"призёр","Право",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 1955",10,"призёр","Изобразительное искусство",4
2012,"Московская олимпиада",2013,"ГБОУ школа-интернат № 58",8,"призёр","Технология",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 179",11,"призёр","Математика",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1543",9,"победитель","Биология",4
2018,"Районная олимпиада",2019,"ГБОУ школа № 1296",9,"призёр","История",3
2016,"Московская олимпиада",2017,"ГБОУ Физматшкола № 2007",11,"призёр","Математика",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1553 имени В.И. Вернадского",9,"призёр","Русский язык",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа в Капотне",11,"призёр","Русский язык",5
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей № 1501",11,"призёр","География",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 491",10,"призёр","Основы безопасности жизнедеятельности",5
2015,"Районная олимпиада",2016,"НИУ ВШЭ. лицей",11,"победитель","Обществознание",3
2019,"Районная олимпиада",2020,"ГБОУ школа № 2007 ФМШ",9,"призёр","Математика",3
2017,"Районная олимпиада",2018,"ФГБОУ ВО МГЛУ",10,"призёр","Литература",5
2014,"Всероссийская олимпиада",2015,"ГБОУ ЦО № 57",11,"призёр","Физика",4
2015,"Всероссийская олимпиада",2016,"ГБОУ гимназия № 1570",11,"призёр","Иностранный язык (английский язык)",4
2015,"Всероссийская олимпиада",2016,"ГАОУ ЦО № 548",9,"призёр","Мировая Художественная Культура (МХК)",3
2015,"Всероссийская олимпиада",2016,"ГБОУ ЛГК на Юго-Востоке",11,"призёр","Литература",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1583",9,"призёр","Физика",3
2012,"Всероссийская олимпиада",2013,"ГБОУ гимназия № 1257",10,"призёр","Биология",5
2012,"Всероссийская олимпиада",2013,"ГБОУ СОШ № 1959",10,"призёр","Биология",4
2016,"Московская олимпиада",2017,"ГБОУ гимназия № 1590",5,"призёр","География",4
2015,"Всероссийская олимпиада",2016,"ГБОУ гимназия № 1503",9,"призёр","Литература",5
2016,"Всероссийская олимпиада",2017,"ГБОУ ЦО № 1858",11,"призёр","Право",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1329",9,"призёр","Физика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1514",10,"призёр","Биология",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1568",10,"призёр","Физика",3
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей «Вторая школа»",9,"призёр","Физика",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 1000",6,"призёр","Технология",3
2013,"Всероссийская олимпиада",2014,"ГБОУ ЦО № 1948 «Лингвист-М»",11,"призёр","Иностранный язык (английский язык)",4
2014,"Московская олимпиада",2015,"ГБОУ СОШ № 2030",6,"призёр","Технология",4
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 1583",11,"призёр","Литература",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1347",7,"победитель","География",4
2014,"Московская олимпиада",2015,"МАОУ «Гимназия имени Н.В. Пушкова»",7,"призёр","Изобразительное искусство",3
2015,"Районная олимпиада",2016,"ГАОУ ВО МИОО. СОШ № 179",11,"победитель","Информатика",4
2014,"Московская олимпиада",2015,"ГБОУ Московская гимназия на Юго-Западе № 1543",10,"призёр","Физика",3
2013,"Московская олимпиада",2014,"ГБОУ гимназия № 1518",10,"призёр","предпринимательство",4
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 2110 «МОК «Марьино»",11,"призёр","Физическая культура",3
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 1306",11,"призёр","Иностранный язык (английский язык)",5
2012,"Московская олимпиада",2013,"МАОУ «Лицей города Троицка»",8,"призёр","Химия",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1367",9,"призёр","Химия",4
2019,"Всероссийская олимпиада",2020,"лицей НИУ ВШЭ",11,"призёр","Иностранный язык (английский язык)",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 641 имени С. Есенина",7,"призёр","Робототехника",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1535",10,"призёр","История",5
2013,"Всероссийская олимпиада",2014,"ГБОУ Московская гимназия на Юго-Западе № 1543",10,"призёр","Русский язык",5
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 2030",11,"призёр","Биология",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 323",10,"призёр","Технология",4
2013,"Районная олимпиада",2014,"ГБОУ гимназия № 1514",9,"призёр","Мировая Художественная Культура (МХК)",4
2015,"Районная олимпиада",2016,"ГБОУ ЛГК на Юго-Востоке",10,"победитель","Русский язык",5
2017,"Районная олимпиада",2018,"ГБОУ школа № 2026",9,"победитель","Основы безопасности жизнедеятельности",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 444",8,"призёр","Математика",3
2012,"Районная олимпиада",2013,"ГБОУ гимназия № 1530 «Школа Ломоносова»",11,"призёр","Право",5
2016,"Московская олимпиада",2017,"ГБОУ лицей № 138",11,"призёр","Изобразительное искусство",5
2014,"Всероссийская олимпиада",2015,"ГБОУ СОШ № 1352",10,"призёр","История",3
2017,"Районная олимпиада",2018,"ФГБОУ ВО МГЛУ",9,"призёр","Русский язык",4
2013,"Московская олимпиада",2014,"ГБОУ Физматшкола 2007",7,"призёр","Физика",5
2014,"Московская олимпиада",2015,"МАОУ «Лицей города Троицка»",8,"призёр","Физика",4
2016,"Всероссийская олимпиада",2017,"ГБОУ Московская гимназия на Юго-Западе № 1543",11,"победитель","Литература",3
2013,"Районная олимпиада",2014,"ГБОУ лицей № 1553 им. В. И. Вернадского",10,"призёр","Иностранный язык (английский язык)",4
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 1554",11,"призёр","Биология",4
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1507",9,"призёр","Технология",5
2019,"Районная олимпиада",2020,"ГБОУ школа № 1535",10,"призёр","Литература",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 179",9,"призёр","Физика",5
2016,"Всероссийская олимпиада",2017,"ГБОУ школа «Интеллектуал»",10,"призёр","Право",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 1637",6,"призёр","История",4
2018,"Районная олимпиада",2019,"СУНЦ МГУ",10,"призёр","Математика",5
2014,"Всероссийская олимпиада",2015,"ГБОУ «Школа-интернат «Интеллектуал»",9,"призёр","Информатика",3
2014,"Всероссийская олимпиада",2015,"ГБОУ СОШ № 2086",11,"призёр","Информатика",4
2016,"Районная олимпиада",2017,"ГБОУ школа № 630",11,"призёр","Иностранный язык (французский язык)",4
2016,"Московская олимпиада",2017,"ГАОУ гимназия № 1306",9,"призёр","филология",3
2016,"Московская олимпиада",2017,"ГБОУ школа № 1347",7,"призёр","Изобразительное искусство",5
2014,"Всероссийская олимпиада",2015,"ГБОУ школа № 1353",11,"призёр","Литература",3
2012,"Московская олимпиада",2013,"ГБОУ ЦО № 57",9,"призёр","Латынь",5
2019,"Районная олимпиада",2020,"ГБОУ школа имени Маршала В.И. Чуйкова",11,"призёр","Химия",3
2012,"Районная олимпиада",2013,"ГБОУ ЦО «Школа здоровья» № 1317",10,"призёр","История",3
2017,"Московская олимпиада",2018,"ГБОУ школа № 1374",7,"призёр","Изобразительное искусство",5
2015,"Районная олимпиада",2016,"ГБОУ школа № 1987",9,"призёр","Биология",3
2015,"Всероссийская олимпиада",2016,"ФГБОУ ВО МГЛУ",10,"призёр","Иностранный язык (французский язык)",4
2018,"Всероссийская олимпиада",2019,"ГБОУ «Лицей «Вторая школа»",9,"призёр","Математика",5
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей № 1535",11,"призёр","Иностранный язык (английский язык)",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1353",10,"призёр","Искусство (МХК)",4
2017,"Московская олимпиада",2018,"ГБОУ школа № 2097",7,"призёр","филология",3
2014,"Районная олимпиада",2015,"ГАОУ ВО МИОО. СОШ № 179",11,"призёр","Иностранный язык (английский язык)",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 2097",6,"призёр","филология",4
2015,"Районная олимпиада",2016,"ГБОУ ЛГК на Юго-Востоке",11,"победитель","Химия",4
2012,"Московская олимпиада",2013,"ГБОУ СОШ № 1384 им. А.А. Леманского",6,"призёр","Биология",3
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 183",11,"призёр","История",3
2016,"Всероссийская олимпиада",2017,"ГБОУ лицей № 1580",11,"призёр","Информатика",5
2015,"Московская олимпиада",2016,"ГБОУ школа № 57",10,"призёр","Математика",4
2013,"Московская олимпиада",2014,"ГБОУ СОШ № 554",11,"победитель","География",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа «Интеллектуал»",10,"призёр","Искусство (МХК)",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 1955",11,"призёр","Изобразительное искусство",3
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1535",9,"призёр","Русский язык",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1329",8,"призёр","Математика",3
2019,"Районная олимпиада",2020,"ГБОУ школа № 1252",9,"призёр","Литература",5
2014,"Всероссийская олимпиада",2015,"ГБОУ СОШ № 1493",10,"призёр","Литература",3
2018,"Московская олимпиада",2019,"ГБОУ школа № 1568",9,"призёр","Химия",3
2014,"Всероссийская олимпиада",2015,"ГБОУ СОШ № 1247",9,"призёр","Экология",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1329",8,"призёр","Бюджетная грамотность",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 152",10,"призёр","Обществознание",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1535",11,"призёр","Искусство (МХК)",4
2014,"Московская олимпиада",2015,"ГБОУ СОШ № 854",5,"призёр","Изобразительное искусство",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 1329",11,"призёр","Математика",3
2013,"Всероссийская олимпиада",2014,"ГБОУ гимназия № 625",10,"призёр","Обществознание",4
2015,"Всероссийская олимпиада",2016,"ГБОУ гимназия № 1558",11,"призёр","Иностранный язык (испанский язык)",4
2018,"Московская олимпиада",2019,"ГБОУ школа № 1797",8,"призёр","Изобразительное искусство",4
2014,"Всероссийская олимпиада",2015,"ГБОУ школа № 1329",11,"призёр","Иностранный язык (английский язык)",3
2017,"Московская олимпиада",2018,"ГБОУ «Курчатовская школа»",6,"призёр","Математика",3
2014,"Районная олимпиада",2015,"ННОУ СОШ «Классика»",11,"победитель","Право",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 2086",10,"победитель","Экономика",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1363",9,"призёр","Обществознание",4
2016,"Московская олимпиада",2017,"ГБОУ школа № 2033",5,"призёр","Биология",5
2015,"Районная олимпиада",2016,"ГБОУ школа № 1297",9,"призёр","Право",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1375",11,"призёр","Биология",4
2013,"Московская олимпиада",2014,"ГБОУ СОШ № 192",6,"призёр","Биология",4
2019,"Районная олимпиада",2020,"ФГБОУ ВО «РЭУ им. Г.В. Плеханова» , РЭУ им. Г.В. Плеханова. Экономический лицей",11,"призёр","Русский язык",5
2015,"Районная олимпиада",2016,"ГБОУ лицей «Вторая школа»",11,"победитель","География",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1535",9,"призёр","Литература",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1234",11,"призёр","Иностранный язык (немецкий язык)",4
2018,"Районная олимпиада",2019,"ГБОУ школа № 1568",11,"призёр","Экономика",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 57",6,"призёр","Математика",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1465",10,"призёр","Обществознание",5
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 2109",11,"призёр","Физическая культура",3
2015,"Московская олимпиада",2016,"ГБОУ гимназия № 1576",8,"победитель","География",4
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1543",11,"призёр","Биология",4
