"Year_begin","OlympiadType","Status","ShortName","TeamSize","Subject","Class","Year_end"
2014,"Московская олимпиада","призёр","ГБОУ школа № 827",3,"Изобразительное искусство",6,2015
2015,"Всероссийская олимпиада","призёр","ЧУ СОШ «Кладезь»",3,"История",9,2016
2013,"Московская олимпиада","призёр","ГБОУ гимназия № 1518",5,"Экономика",4,2014
2015,"Московская олимпиада","победитель","ГАОУ «Гимназия № 1518»",4,"Обществознание",9,2016
2019,"Всероссийская олимпиада","призёр","ФГБОУ ВО «РЭУ им. Г.В. Плеханова» , РЭУ им. Г.В. Плеханова. Экономический лицей",5,"Обществознание",11,2020
2013,"Московская олимпиада","призёр","«Свято-Владимирская школа»",5,"Изобразительное искусство",1,2014
2015,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1535",3,"Иностранный язык (английский язык)",11,2016
2013,"Московская олимпиада","призёр","ГБОУ гимназия № 1272",5,"География",11,2014
2017,"Московская олимпиада","призёр","ГБОУ школа имени Маяковского",3,"филология",6,2018
2013,"Московская олимпиада","победитель","ГБОУ СОШ № 86",5,"Изобразительное искусство",6,2014
2018,"Районная олимпиада","призёр","ГБОУ школа № 806",3,"Обществознание",10,2019
2013,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1568",5,"Информатика",9,2014
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 2110 «МОК «Марьино»",5,"Физическая культура",10,2017
2019,"Районная олимпиада","победитель","ГБОУ школа № 1517",4,"Основы безопасности жизнедеятельности",11,2020
2018,"Московская олимпиада","призёр","ГБОУ школа № 1329",4,"Физика",7,2019
2019,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"Математика",10,2020
2014,"Всероссийская олимпиада","победитель","ГБОУ школа № 1454 «Центр образования Тимирязевский»",4,"География",10,2015
2012,"Московская олимпиада","победитель","ГБОУ лицей «Вторая школа»",3,"Математика",7,2013
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1543",5,"Биология",10,2020
2012,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 81",4,"Обществознание",10,2013
2016,"Московская олимпиада","призёр","ГБОУ школа № 192",5,"Биология",8,2017
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 1543",5,"Русский язык",9,2020
2016,"Всероссийская олимпиада","победитель","ГБОУ школа «Интеллектуал»",4,"Мировая Художественная Культура (МХК)",10,2017
2017,"Районная олимпиада","призёр","ГБОУ школа «Интеллектуал»",5,"Биология",9,2018
2014,"Всероссийская олимпиада","призёр","ГБОУ школа № 856",3,"Основы безопасности жизнедеятельности",11,2015
2016,"Районная олимпиада","победитель","ГБОУ школа № 57",3,"Математика",10,2017
2018,"Всероссийская олимпиада","призёр","лицей НИУ ВШЭ",4,"Русский язык",10,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ школа имени Маршала В.И. Чуйкова",4,"Химия",9,2020
2018,"Районная олимпиада","призёр","ГБОУ школа № 1575",4,"Экология",9,2019
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 1950",5,"Биология",11,2017
2015,"Всероссийская олимпиада","призёр","ГБОУ лицей «Вторая школа»",3,"Математика",11,2016
2012,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 1250",5,"Обществознание",11,2013
2013,"Районная олимпиада","призёр","ГБОУ СОШ № 1237",4,"История",10,2014
2016,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1514",4,"История",10,2017
2018,"Московская олимпиада","победитель","ГБОУ школа № 185",3,"Технология",6,2019
2016,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1580",4,"Математика",10,2017
2016,"Московская олимпиада","призёр","ГБОУ лицей № 1568",4,"Химия",8,2017
2017,"Московская олимпиада","призёр","ГАОУ «Школа № 1518»",5,"География",7,2018
2017,"Московская олимпиада","призёр","ГБОУ школа «Интеллектуал»",3,"филология",11,2018
2015,"Всероссийская олимпиада","призёр","ГБОУ Многопрофильный лицей № 1799",3,"Иностранный язык (английский язык)",11,2016
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1538",5,"Право",11,2020
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1502 при МЭИ",5,"География",9,2019
2017,"Всероссийская олимпиада","призёр","ГБОУ школа им. А. Боровика",3,"Русский язык",11,2018
2016,"Московская олимпиада","призёр","ГБОУ гимназия № 1569 «Созвездие»",5,"Изобразительное искусство",5,2017
2019,"Районная олимпиада","призёр","ГБОУ школа № 1502",4,"Математика",11,2020
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1474",5,"Русский язык",9,2019
2017,"Районная олимпиада","победитель","ГБОУ школа № 1514",4,"Право",11,2018
2014,"Всероссийская олимпиада","победитель","НИУ ВШЭ. лицей",4,"Экономика",11,2015
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 1270",3,"Русский язык",9,2017
2015,"Всероссийская олимпиада","призёр","ЧУ СОШ «Потенциал»",3,"Литература",10,2016
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 853",3,"Физика",9,2017
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 641 имени С. Есенина",5,"Биология",11,2017
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1449",5,"Основы безопасности жизнедеятельности",11,2018
2018,"Всероссийская олимпиада","призёр","ГАОУ школа № 1306 - «Школа молодых политиков»",3,"Русский язык",10,2019
2013,"Всероссийская олимпиада","призёр","ГБОУ школа-интернат «Интеллектуал»",5,"Физика",10,2014
2017,"Московская олимпиада","победитель","ГБОУ школа № 2007 ФМШ",4,"Информатика и Информационно-коммуникационные технологии (ИКТ)",9,2018
2016,"Всероссийская олимпиада","победитель","ГБОУ школа № 444",5,"Экономика",9,2017
2018,"Московская олимпиада","призёр","ГБОУ школа № 1557",4,"Бюджетная грамотность",7,2019
2015,"Всероссийская олимпиада","победитель","ГБОУ школа № 109",3,"Литература",9,2016
2016,"Московская олимпиада","призёр","ГБОУ школа № 1288",5,"Изобразительное искусство",6,2017
2013,"Московская олимпиада","призёр","ГБОУ школа № 853",4,"Физика",10,2014
2014,"Московская олимпиада","победитель","ГБОУ школа № 2089",4,"История",9,2015
2016,"Московская олимпиада","призёр","ГБОУ школа № 1430",4,"Изобразительное искусство",8,2017
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1862",5,"Литература",9,2019
2012,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 1231",5,"Иностранный язык (французский язык)",11,2013
2018,"Московская олимпиада","призёр","ГБОУ школа № 1568",4,"Экология",6,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 57",4,"Биология",9,2020
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1210",3,"Иностранный язык (английский язык)",11,2020
2013,"Районная олимпиада","призёр","ГБОУ СОШ № 25",5,"Математика",10,2014
2014,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1568",4,"Информатика",10,2015
2016,"Московская олимпиада","призёр","ГБОУ школа № 1874",5,"Изобразительное искусство",9,2017
2018,"Районная олимпиада","призёр","ГБОУ школа № 1580",3,"Математика",11,2019
2017,"Московская олимпиада","призёр","ГБОУ школа № 1363",5,"Изобразительное искусство",6,2018
2016,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1580",5,"Математика",10,2017
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1613",5,"Литература",11,2019
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1793",4,"Обществознание",11,2018
2017,"Всероссийская олимпиада","победитель","ГБОУ школа № 179",5,"Информатика и Информационно-коммуникационные технологии (ИКТ)",9,2018
2016,"Районная олимпиада","призёр","ГАОУ ВО МИОО. СОШ № 179",5,"Русский язык",9,2017
2014,"Районная олимпиада","победитель","ГБОУ СОШ № 962",5,"Экология",10,2015
2017,"Районная олимпиада","призёр","ГАОУ школа № 548",5,"Физика",9,2018
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1540",3,"Основы безопасности жизнедеятельности",9,2019
2013,"Всероссийская олимпиада","призёр","ГБОУ ЦО № 57",3,"Математика",11,2014
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1238",3,"История",11,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ Цифровая школа",3,"Физика",8,2020
2016,"Всероссийская олимпиада","победитель","ГБОУ гимназия № 1573",5,"Русский язык",9,2017
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 2097",4,"Литература",11,2017
2019,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",4,"Физика",11,2020
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1506",4,"Физическая культура",11,2020
2018,"Московская олимпиада","призёр","ГБОУ школа № 1329",5,"Информатика",6,2019
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1980",4,"Русский язык",11,2018
2018,"Московская олимпиада","призёр","ГБОУ школа № 2107",5,"Иностранный язык (французский язык)",8,2019
2013,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1511 при НИЯУ «МИФИ»",5,"География",11,2014
2012,"Московская олимпиада","призёр","ГБОУ ЦО № 1601",3,"История",7,2013
2016,"Московская олимпиада","призёр","ГБОУ гимназия № 1637",5,"Изобразительное искусство",5,2017
2013,"Районная олимпиада","призёр","ГБОУ школа № 2082",4,"Обществознание",11,2014
2017,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1580",4,"Информатика и Информационно-коммуникационные технологии (ИКТ)",11,2018
2017,"Московская олимпиада","призёр","ГБОУ школа № 218",5,"Химия",10,2018
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1543",5,"Биология",11,2020
2015,"Всероссийская олимпиада","призёр","ФГКОУ «МСВУ МО РФ»",3,"Право",11,2016
2014,"Всероссийская олимпиада","победитель","ГБОУ школа № 1253",5,"Иностранный язык (немецкий язык)",11,2015
2013,"Московская олимпиада","призёр","ГБОУ школа № 2054",4,"Изобразительное искусство",9,2014
2014,"Московская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"Физика",10,2015
2014,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 654 имени А.Д. Фридмана",5,"Обществознание",10,2015
2019,"Районная олимпиада","призёр","ГБОУ «Курчатовская школа»",4,"Биология",10,2020
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 2101",4,"Информатика",10,2019
2015,"Московская олимпиада","призёр","ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",3,"Изобразительное искусство",11,2016
2012,"Всероссийская олимпиада","призёр","ГБОУ Физматшкола 2007",4,"Информатика",11,2013
2018,"Всероссийская олимпиада","призёр","лицей НИУ ВШЭ",5,"Обществознание",10,2019
2013,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 54",3,"Математика",10,2014
2012,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1581",5,"Физика",11,2013
2019,"Районная олимпиада","призёр","ОАНО «Школа «ЛЕТОВО»",5,"Химия",9,2020
2018,"Московская олимпиада","призёр","ГБОУ школа им. А. Боровика",4,"Бюджетная грамотность",9,2019
2014,"Московская олимпиада","призёр","ГБОУ ЦРР - детский сад № 563",4,"Технология",5,2015
2015,"Всероссийская олимпиада","призёр","ГБОУ ЛГК на Юго-Востоке",5,"Информатика",10,2016
2012,"Московская олимпиада","призёр","ГБОУ ЦО № 1421",4,"предпринимательство",11,2013
2016,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"Физика",11,2017
2013,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 485",5,"Обществознание",11,2014
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1231",4,"История",8,2020
2014,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 354 им. Д.М. Карбышева",4,"Обществознание",9,2015
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 1568",3,"Иностранный язык (испанский язык)",11,2020
2016,"Московская олимпиада","призёр","ГБОУ школа № 57",4,"Физика",7,2017
2017,"Московская олимпиада","призёр","ГБОУ школа № 1558 имени Росалии де Кастро",5,"География",8,2018
2014,"Московская олимпиада","призёр","ГБОУ СОШ № 2097",5,"Изобразительное искусство",6,2015
2017,"Всероссийская олимпиада","призёр","ФГАОУ ВО Первый МГМУ им И.М. Сеченова Минздрава России (Сеченовский университет)",5,"Литература",10,2018
2017,"Всероссийская олимпиада","победитель","ГБОУ школа № 1589",4,"Химия",10,2018
2018,"Всероссийская олимпиада","призёр","ГБОУ школа «Интеграл»",5,"Русский язык",9,2019
2017,"Районная олимпиада","призёр","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",5,"Информатика и Информационно-коммуникационные технологии (ИКТ)",10,2018
2017,"Московская олимпиада","победитель","ГБОУ школа № 504",3,"Изобразительное искусство",9,2018
2017,"Московская олимпиада","призёр","ГБОУ школа № 1359",5,"Право",9,2018
2012,"Московская олимпиада","призёр","ГБОУ ЦО № 1475",4,"Изобразительное искусство",8,2013
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1231",5,"История",11,2019
2013,"Московская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",4,"Химия",11,2014
2016,"Московская олимпиада","призёр","ГБОУ Физматшкола № 2007",4,"астрономия",5,2017
2014,"Всероссийская олимпиада","победитель","ГБОУ СОШ № 1249",5,"Иностранный язык (немецкий язык)",11,2015
2015,"Районная олимпиада","призёр","ГБОУ школа № 57",5,"Математика",10,2016
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 444",4,"Математика",11,2018
2013,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1514",3,"Математика",10,2014
2018,"Московская олимпиада","призёр","ГБОУ школа № 1501",3,"Биология",8,2019
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1440",3,"Иностранный язык (английский язык)",11,2016
2014,"Московская олимпиада","призёр","ГБОУ гимназия № 1518",3,"Изобразительное искусство",6,2015
2016,"Всероссийская олимпиада","призёр","МАОУ «Гимназия г. Троицка»",3,"Русский язык",10,2017
2013,"Московская олимпиада","призёр","ГБОУ СОШ № 654 имени А.Д. Фридмана",4,"История",11,2014
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 2036",4,"Технология",10,2020
2014,"Московская олимпиада","призёр","ГБОУ СОШ № 2030",4,"Технология",6,2015
2014,"Районная олимпиада","призёр","ГБОУ лицей № 1580",3,"Информатика",10,2015
2018,"Районная олимпиада","победитель","ГБОУ школа № 1535",4,"Иностранный язык (английский язык)",10,2019
2016,"Московская олимпиада","призёр","ГБОУ школа № 1980",3,"История",5,2017
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1234",5,"Право",9,2018
2014,"Районная олимпиада","призёр","ГБОУ школа № 2065",3,"Физическая культура",10,2015
2017,"Московская олимпиада","призёр","ГБОУ лицей № 2010",5,"Изобразительное искусство",6,2018
2014,"Всероссийская олимпиада","призёр","НОУ школа «Ника»",5,"Иностранный язык (английский язык)",9,2015
2017,"Московская олимпиада","призёр","ГБОУ школа № 641 имени С. Есенина",5,"Биология",5,2018
2018,"Всероссийская олимпиада","призёр","Российская академия государственной службы при Президенте Российской Федерации",5,"Обществознание",11,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 2009",3,"Русский язык",10,2020
2018,"Районная олимпиада","победитель","университетская гимназия",3,"Биология",10,2019
2013,"Московская олимпиада","призёр","ГБОУ ЦО № 57",5,"Математика",10,2014
2019,"Районная олимпиада","призёр","ГБОУ школа № 1797",5,"Иностранный язык (немецкий язык)",9,2020
2017,"Московская олимпиада","призёр","ГБОУ лицей «Вторая школа»",5,"Математика",7,2018
2016,"Московская олимпиада","призёр","ГБОУ лицей № 1598",4,"Изобразительное искусство",5,2017
2018,"Районная олимпиада","победитель","ГБОУ «Лицей «Вторая школа»",4,"Иностранный язык (английский язык)",10,2019
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 117",5,"Основы безопасности жизнедеятельности",10,2020
2018,"Всероссийская олимпиада","призёр","«Свято-Владимирская школа»",4,"Иностранный язык (немецкий язык)",9,2019
2013,"Всероссийская олимпиада","победитель","ГБОУ центр образования № 46",4,"География",11,2014
2013,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"Физика",11,2014
2017,"Всероссийская олимпиада","победитель","ГБОУ школа № 1501",5,"Иностранный язык (немецкий язык)",11,2018
2019,"Районная олимпиада","призёр","ГБОУ школа № 179",3,"Экономика",9,2020
2018,"Всероссийская олимпиада","победитель","ГБОУ школа № 1520 им. Капцовых",5,"Иностранный язык (английский язык)",10,2019
2018,"Московская олимпиада","призёр","ГБОУ школа № 444",5,"Математика",7,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1454 «Тимирязевская»",3,"Технология",10,2020
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 1234",3,"Иностранный язык (итальянский язык)",11,2020
2017,"Всероссийская олимпиада","победитель","ГБОУ школа «Интеллектуал»",4,"Русский язык",10,2018
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1515",4,"Основы безопасности жизнедеятельности",8,2019
2018,"Московская олимпиада","призёр","ГБОУ «Школа № 167 имени Маршала Л.А. Говорова»",5,"Технология",6,2019
2013,"Районная олимпиада","призёр","ГБОУ СОШ № 947",3,"Экология",11,2014
2016,"Московская олимпиада","призёр","ГБОУ школа № 199",4,"Робототехника",7,2017
2018,"Московская олимпиада","призёр","ГБОУ школа № 1557",4,"Математика",11,2019
2015,"Московская олимпиада","призёр","ГБОУ школа № 1208",3,"Химия",8,2016
2013,"Московская олимпиада","победитель","ГБОУ лицей «Вторая школа»",3,"Математика",9,2014
2017,"Московская олимпиада","призёр","ГБОУ школа № 763",3,"Право",8,2018
2014,"Всероссийская олимпиада","призёр","ФГКОУ «МКК ПВ МО РФ»",4,"Биология",10,2015
2015,"Московская олимпиада","победитель","ГБОУ школа № 1692",5,"Технология",5,2016
2013,"Всероссийская олимпиада","призёр","ГБОУ Пушкинский лицей № 1500",3,"Литература",10,2014
2014,"Всероссийская олимпиада","призёр","ГБОУ школа № 853",3,"Русский язык",10,2015
2019,"Районная олимпиада","призёр","ГБОУ школа № 1315",3,"Иностранный язык (английский язык)",10,2020
2012,"Московская олимпиада","победитель","ГБОУ лицей № 1535",3,"предпринимательство",10,2013
2013,"Московская олимпиада","призёр","ГБОУ лицей № 1535",3,"Химия",11,2014
2017,"Районная олимпиада","призёр","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",4,"Физика",11,2018
2013,"Московская олимпиада","призёр","НОУ гимназия «Московская экономическая школа»",5,"Экономика",10,2014
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 2006",3,"Экономика",11,2016
2012,"Всероссийская олимпиада","победитель","ГБОУ Физматшкола 2007",3,"Математика",10,2013
2017,"Московская олимпиада","призёр","ГБОУ школа № 996",3,"Изобразительное искусство",6,2018
2016,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"История",10,2017
2017,"Всероссийская олимпиада","призёр","ГБОУ Романовская школа",5,"Право",10,2018
2012,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 1298",4,"История",10,2013
2013,"Московская олимпиада","победитель","ГБОУ школа № 293",4,"Изобразительное искусство",3,2014
2016,"Московская олимпиада","призёр","ГБОУ школа № 2097",5,"филология",9,2017
2013,"Московская олимпиада","призёр","ГБОУ «Гимназия № 1528»",5,"Изобразительное искусство",11,2014
2014,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 629",3,"Обществознание",11,2015
2016,"Московская олимпиада","призёр","ГБОУ школа № 218",4,"Химия",8,2017
2013,"Московская олимпиада","призёр","ГБОУ ЦО № 1679",5,"Математика",8,2014
2014,"Московская олимпиада","победитель","ГБОУ гимназия № 1562",5,"История",7,2015
2016,"Московская олимпиада","победитель","ГБОУ школа № 1252 имени Сервантеса",5,"Изобразительное искусство",7,2017
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1574",3,"Экология",10,2018
2013,"Всероссийская олимпиада","призёр","ГБОУ лицей «Вторая школа»",3,"Математика",11,2014
2019,"Районная олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"Информатика",11,2020
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 171",3,"Иностранный язык (английский язык)",10,2016
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 171",3,"Экология",11,2017
2018,"Московская олимпиада","призёр","ГБОУ школа № 1980",5,"филология",7,2019
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1506",5,"Мировая Художественная Культура (МХК)",11,2020
2016,"Московская олимпиада","призёр","ГБОУ лицей № 1367",3,"Право",9,2017
2014,"Московская олимпиада","победитель","ГБОУ СОШ № 2098 имени Героя Советского Союза Л.М. Доватора",4,"География",8,2015
2015,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1558 имени Росалии де Кастро",4,"История",10,2016
2017,"Всероссийская олимпиада","призёр","ГБПОУ «Воробьевы горы»",4,"Иностранный язык (английский язык)",11,2018
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 627",5,"Иностранный язык (испанский язык)",10,2018
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 2089",4,"Основы безопасности жизнедеятельности",9,2017
2012,"Московская олимпиада","призёр","ГБОУ ЦО № 57",5,"Математика",11,2013
2013,"Московская олимпиада","призёр","ГБОУ школа № 520",5,"Химия",11,2014
2013,"Московская олимпиада","призёр","ГОУ СОШ № 91 Российской академии образования",3,"Математика",6,2014
2017,"Московская олимпиада","победитель","ГБОУ школа № 444",3,"Химия",9,2018
2017,"Всероссийская олимпиада","призёр","ГБОУ школа «Тропарево»",4,"Право",11,2018
2016,"Московская олимпиада","призёр","ГБОУ школа № 2033",5,"Технология",7,2017
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1568",4,"Экономика",9,2020
2013,"Московская олимпиада","призёр","ГБОУ школа «Спектр»",4,"Технология",5,2014
2014,"Московская олимпиада","призёр","ГБОУ СОШ № 1485",5,"филология",5,2015
2016,"Московская олимпиада","победитель","ГАОУ ВПО МИОО. СОШ № 179",4,"Математика",11,2017
2014,"Московская олимпиада","призёр","ГБОУ лицей № 1828 «Сабурово»",3,"Технология",8,2015
2014,"Московская олимпиада","призёр","ГБОУ «Школа-интернат «Интеллектуал»",5,"лингвистика",10,2015
2019,"Всероссийская олимпиада","призёр","ОАНО школа «Ника»",5,"астрономия",9,2020
2019,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"Химия",11,2020
2015,"Районная олимпиада","призёр","ГБОУ лицей № 429 «Соколиная гора»",3,"Русский язык",9,2016
2013,"Московская олимпиада","призёр","ГБОУ лицей № 1546 «Плехановец»",4,"предпринимательство",11,2014
2017,"Московская олимпиада","призёр","ГБОУ школа № 1543",5,"Математика",9,2018
2013,"Московская олимпиада","призёр","ГБОУ лицей «Вторая школа»",4,"Математика",9,2014
2019,"Районная олимпиада","призёр","лицей НИУ ВШЭ",4,"Обществознание",10,2020
2018,"Московская олимпиада","победитель","ГАОУ школа № 1306 - «Школа молодых политиков»",3,"филология",11,2019
2013,"Московская олимпиада","призёр","ГБОУ СОШ № 1188",5,"Изобразительное искусство",2,2014
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 2030",5,"Мировая Художественная Культура (МХК)",11,2019
2014,"Районная олимпиада","призёр","ГБОУ гимназия № 1538",5,"Обществознание",9,2015
2018,"Московская олимпиада","призёр","ГБОУ школа № 1252",5,"филология",6,2019
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 1501",4,"Обществознание",10,2018
2017,"Всероссийская олимпиада","призёр","НИУ ВШЭ. лицей",4,"Искусство (МХК)",11,2018
2018,"Всероссийская олимпиада","призёр","ГБОУ «Школа № 354 им. Д.М. Карбышева»",5,"Литература",9,2019
2018,"Всероссийская олимпиада","победитель","ГБОУ «Лицей «Вторая школа»",4,"Математика",11,2019
2018,"Районная олимпиада","победитель","ГБОУ школа № 1589",4,"Химия",11,2019
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 192",5,"Химия",10,2016
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 117",5,"Иностранный язык (английский язык)",11,2016
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1329",4,"Физика",9,2019
2019,"Всероссийская олимпиада","призёр","ФГКОУ «МПКУ имени М.А. Шолохова войск национальной гвардии Российской Федерации»",5,"Физическая культура",11,2020
2017,"Московская олимпиада","призёр","ГБОУ школа № 2101",4,"Математика",9,2018
2012,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1535",3,"Иностранный язык (английский язык)",11,2013
2014,"Всероссийская олимпиада","призёр","ГБОУ лицей «Вторая школа»",3,"Математика",10,2015
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1474",5,"Русский язык",11,2020
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1534 «Академическая»",5,"Русский язык",9,2020
2014,"Районная олимпиада","призёр","ГБОУ Московская гимназия на Юго-Западе № 1543",4,"Русский язык",11,2015
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 9",4,"Физическая культура",10,2017
2013,"Всероссийская олимпиада","призёр","ГБОУ Московская гимназия на Юго-Западе № 1543",3,"Физика",10,2014
2018,"Всероссийская олимпиада","призёр","ГБОУ школа имени Маршала В.И. Чуйкова",5,"География",10,2019
2015,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1514",4,"Мировая Художественная Культура (МХК)",10,2016
2012,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1257",5,"Обществознание",11,2013
2018,"Московская олимпиада","призёр","ГБОУ школа № 179",5,"лингвистика",9,2019
2019,"Районная олимпиада","призёр","ГБОУ школа № 1535",4,"Биология",10,2020
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 171",4,"Экология",11,2017
2018,"Всероссийская олимпиада","призёр","ГБОУ школа «Интеллектуал»",5,"Экономика",9,2019
2016,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1409",3,"Обществознание",11,2017
2015,"Московская олимпиада","призёр","ГБОУ лицей № 429 «Соколиная гора»",4,"Технология",5,2016
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1357",5,"Иностранный язык (английский язык)",11,2019
2013,"Московская олимпиада","призёр","ГБОУ лицей № 1303",5,"Химия",9,2014
2018,"Московская олимпиада","призёр","ГБОУ школа № 236",4,"Основы безопасности жизнедеятельности",8,2019
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1530 «Школа Ломоносова»",5,"Литература",10,2019
2018,"Московская олимпиада","победитель","ГБОУ школа № 152",3,"Технология",5,2019
2017,"Московская олимпиада","призёр","ГБОУ школа № 2086",5,"Биология",8,2018
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1535",5,"История",11,2020
2018,"Московская олимпиада","призёр","ГБОУ школа № 1228 «Лефортово»",3,"География",7,2019
2013,"Всероссийская олимпиада","призёр","ГБОУ школа-интернат «Интеллектуал»",5,"Биология",9,2014
2017,"Московская олимпиада","призёр","ГБОУ школа № 179",5,"Математика",10,2018
2016,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1571",5,"Физика",9,2017
2013,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1502 при МЭИ",4,"Физика",10,2014
2017,"Московская олимпиада","призёр","ГБОУ школа № 1366",3,"филология",9,2018
