"Status","Year_begin","TeamSize","Subject","Year_end","OlympiadType","ShortName","Class"
"победитель",2016,5,"Физическая культура",2017,"Всероссийская олимпиада","ГБОУ лицей № 1502 при МЭИ",11
"призёр",2016,4,"Информатика",2017,"Всероссийская олимпиада","ГАОУ ВО МИОО. СОШ № 179",11
"призёр",2019,3,"Математика",2020,"Всероссийская олимпиада","ГБОУ «Лицей «Вторая школа»",10
"призёр",2016,5,"Экономика",2017,"Всероссийская олимпиада","ГБОУ лицей «Вторая школа»",10
"призёр",2018,4,"Обществознание",2019,"Всероссийская олимпиада","ФГКОУ «МКК ПВ МО РФ»",9
"призёр",2018,4,"Иностранный язык (немецкий язык)",2019,"Всероссийская олимпиада","ГБОУ школа № 1234",10
"призёр",2017,4,"Иностранный язык (английский язык)",2018,"Всероссийская олимпиада","ГБОУ школа № 1238",11
"призёр",2019,3,"Экономика",2020,"Районная олимпиада","ГБОУ школа № 1557",9
"призёр",2013,4,"Литература",2014,"Всероссийская олимпиада","ГБОУ СОШ № 1199 «Лига Школ»",11
"победитель",2016,3,"филология",2017,"Московская олимпиада","ГБОУ школа № 218",9
"призёр",2016,4,"Физическая культура",2017,"Всероссийская олимпиада","ГБОУ школа № 554",11
"призёр",2012,3,"Химия",2013,"Московская олимпиада","ГБОУ школа № 520",10
"призёр",2017,4,"Химия",2018,"Московская олимпиада","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",10
"победитель",2014,3,"Основы безопасности жизнедеятельности",2015,"Всероссийская олимпиада","ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»",10
"призёр",2012,5,"Обществознание",2013,"Всероссийская олимпиада","ЧОУ СОШ Ломоносовская школа",10
"призёр",2012,4,"Математика",2013,"Московская олимпиада","ГБОУ школа-интернат «Интеллектуал»",8
"призёр",2016,3,"Технология",2017,"Московская олимпиада","ГБОУ школа № 1980",5
"победитель",2018,4,"Иностранный язык (английский язык)",2019,"Всероссийская олимпиада","ГБОУ школа № 1310",11
"призёр",2013,3,"Обществознание",2014,"Всероссийская олимпиада","ГБОУ СОШ № 167 имени Маршала Л.А. Говорова",11
"призёр",2014,5,"Технология",2015,"Московская олимпиада","ГБОУ СОШ № 1980",6
"призёр",2014,3,"Химия",2015,"Всероссийская олимпиада","ГАОУ ВО МИОО. СОШ № 179",10
"победитель",2017,3,"Робототехника",2018,"Московская олимпиада","ГБОУ школа № 1583",9
"призёр",2016,5,"Экономика",2017,"Московская олимпиада","ГБОУ гимназия № 1274",6
"призёр",2017,3,"Математика",2018,"Московская олимпиада","ГБОУ школа № 185",6
"призёр",2019,3,"Физика",2020,"Всероссийская олимпиада","ГБОУ «Лицей «Вторая школа»",10
"призёр",2019,5,"История",2020,"Всероссийская олимпиада","ГБОУ школа № 2086",10
"призёр",2016,3,"История",2017,"Всероссийская олимпиада","ГБОУ «ЦО № 654 имени А.Д. Фридмана»",11
"призёр",2019,3,"Литература",2020,"Всероссийская олимпиада","ГБОУ школа № 1508",11
"призёр",2014,4,"Мировая Художественная Культура (МХК)",2015,"Всероссийская олимпиада","ГБОУ школа № 1095",11
"призёр",2016,4,"Математика",2017,"Московская олимпиада","ГБОУ лицей «Вторая школа»",6
"призёр",2017,4,"Обществознание",2018,"Московская олимпиада","ГБОУ школа № 1288",8
"победитель",2016,5,"Обществознание",2017,"Всероссийская олимпиада","ГБОУ гимназия № 1290",11
"призёр",2017,4,"Иностранный язык (английский язык)",2018,"Всероссийская олимпиада","ГБОУ школа № 1540",10
"призёр",2015,3,"филология",2016,"Московская олимпиада","ГБОУ гимназия № 1748 «Вертикаль»",6
"призёр",2012,4,"Мировая Художественная Культура (МХК)",2013,"Районная олимпиада","ГБОУ гимназия № 1514",11
"призёр",2019,5,"Биология",2020,"Всероссийская олимпиада","ГБОУ школа № 1948",9
"призёр",2015,4,"Иностранный язык (китайский язык)",2016,"Всероссийская олимпиада","ГБОУ гимназия № 1517",11
"призёр",2015,5,"астрономия",2016,"Районная олимпиада","ГБОУ школа № 1329",10
"призёр",2017,5,"Биология",2018,"Районная олимпиада","ГБОУ школа «Интеллектуал»",9
"призёр",2018,5,"Химия",2019,"Московская олимпиада","ГБОУ школа № 1329",9
"призёр",2018,5,"География",2019,"Всероссийская олимпиада","ГБОУ школа № 2086",10
"призёр",2017,3,"История",2018,"Всероссийская олимпиада","ГБОУ школа № 2088",11
"победитель",2013,4,"Изобразительное искусство",2014,"Московская олимпиада","ГБОУ СОШ № 1825",4
"призёр",2017,4,"Основы безопасности жизнедеятельности",2018,"Всероссийская олимпиада","ГКОУ КШИ № 1",9
"призёр",2012,5,"Биология",2013,"Московская олимпиада","ГБОУ СОШ № 1250",8
"призёр",2015,3,"Изобразительное искусство",2016,"Московская олимпиада","ГБОУ лицей № 1575",7
"призёр",2013,4,"Биология",2014,"Всероссийская олимпиада","ГБОУ гимназия № 1591",10
"победитель",2017,4,"Экономика",2018,"Районная олимпиада","ГБОУ школа № 179",11
"призёр",2017,3,"Химия",2018,"Московская олимпиада","ГБОУ школа № 192",8
"призёр",2017,5,"Обществознание",2018,"Всероссийская олимпиада","ГБОУ школа № 444",9
"призёр",2014,4,"Изобразительное искусство",2015,"Московская олимпиада","ГБОУ СОШ № 1018",11
"призёр",2014,4,"Изобразительное искусство",2015,"Московская олимпиада","ГБОУ СОШ № 1943",7
"призёр",2018,3,"Химия",2019,"Всероссийская олимпиада","ГБОУ школа имени Маршала В.И. Чуйкова",10
"призёр",2017,5,"Математика",2018,"Всероссийская олимпиада","ГБОУ школа № 179",11
"призёр",2014,5,"Физика",2015,"Всероссийская олимпиада","ГБОУ школа № 1329",9
"призёр",2017,5,"Право",2018,"Всероссийская олимпиада","ГБОУ школа № 2005",10
"призёр",2016,3,"Право",2017,"Всероссийская олимпиада","ГБОУ Многопрофильный лицей № 1799",9
"призёр",2014,3,"Экономика",2015,"Всероссийская олимпиада","ГБОУ гимназия № 1257",11
"призёр",2015,5,"Обществознание",2016,"Районная олимпиада","ГБОУ школа № 1293",11
"призёр",2017,5,"Экология",2018,"Всероссийская олимпиада","ГБОУ школа № 14",9
"призёр",2019,4,"География",2020,"Районная олимпиада","ГБОУ школа № 109",11
"призёр",2012,5,"Право",2013,"Всероссийская олимпиада","ГБОУ ЦО 1927",10
"призёр",2016,5,"Иностранный язык (французский язык)",2017,"Районная олимпиада","ГБОУ школа № 1265",10
"призёр",2018,4,"Физика",2019,"Всероссийская олимпиада","СУНЦ МГУ",10
"призёр",2015,3,"Мировая Художественная Культура (МХК)",2016,"Всероссийская олимпиада","ГБОУ школа № 1143",11
"победитель",2018,3,"Мировая Художественная Культура (МХК)",2019,"Всероссийская олимпиада","ГБОУ школа № 1535",10
"призёр",2017,3,"Право",2018,"Московская олимпиада","ГБОУ школа № 763",8
"победитель",2013,3,"Изобразительное искусство",2014,"Московская олимпиада","ГБОУ ЦО № 1470",4
"призёр",2012,5,"Физика",2013,"Районная олимпиада","ГБОУ ЦО № 57",11
"призёр",2017,4,"Искусство (МХК)",2018,"Всероссийская олимпиада","ГБОУ школа № 45",11
"призёр",2018,5,"Химия",2019,"Районная олимпиада","ГБОУ школа имени Маршала В.И. Чуйкова",10
"призёр",2013,5,"Математика",2014,"Всероссийская олимпиада","ГБОУ лицей «Вторая школа»",9
"призёр",2015,3,"Экономика",2016,"Всероссийская олимпиада","ГБОУ школа № 2006",11
"призёр",2018,3,"Иностранный язык (французский язык)",2019,"Московская олимпиада","ГБОУ школа № 1798",7
"призёр",2014,5,"Изобразительное искусство",2015,"Московская олимпиада","ГБОУ детский сад № 1976",5
"призёр",2014,3,"Технология",2015,"Московская олимпиада","ГБОУ школа № 1223",5
"призёр",2016,4,"Мировая Художественная Культура (МХК)",2017,"Районная олимпиада","ФГКОУ «МСВУ МО РФ»",9
"призёр",2013,4,"Основы безопасности жизнедеятельности",2014,"Всероссийская олимпиада","ГБОУ кадетская школа № 1702 «Петровский кадетский корпус»",9
"призёр",2019,5,"Экономика",2020,"Районная олимпиада","лицей НИУ ВШЭ",11
"победитель",2016,3,"Литература",2017,"Всероссийская олимпиада","ГБОУ Московская гимназия на Юго-Западе № 1543",9
"призёр",2016,5,"Математика",2017,"Московская олимпиада","ГАОУ ВПО МИОО. СОШ № 179",6
"призёр",2015,3,"История",2016,"Московская олимпиада","ГБОУ школа № 962",8
"призёр",2018,3,"Русский язык",2019,"Всероссийская олимпиада","ГБОУ школа № 1726",11
"призёр",2016,4,"Математика",2017,"Московская олимпиада","ГБОУ школа № 57",10
"призёр",2015,3,"Обществознание",2016,"Всероссийская олимпиада","ГБОУ школа № 1400",11
"призёр",2012,3,"Литература",2013,"Всероссийская олимпиада","ГБОУ СОШ № 1245",10
"призёр",2012,5,"Биология",2013,"Всероссийская олимпиада","ГБОУ СОШ № 81",10
"призёр",2019,4,"Обществознание",2020,"Районная олимпиада","ГБОУ Шуваловская школа № 1448",10
"призёр",2016,5,"Физика",2017,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11
"призёр",2016,4,"Физика",2017,"Районная олимпиада","ГБОУ школа «Интеллектуал»",9
"призёр",2018,3,"Экономика",2019,"Районная олимпиада","ГБОУ школа № 179",9
"призёр",2019,3,"История",2020,"Районная олимпиада","ГБОУ школа № 1208",9
"призёр",2015,5,"Информатика",2016,"Всероссийская олимпиада","ГАОУ ВО МИОО. СОШ № 179",9
"призёр",2019,4,"Иностранный язык (английский язык)",2020,"Всероссийская олимпиада","ГБОУ Романовская школа",11
"победитель",2018,5,"Химия",2019,"Московская олимпиада","ГБОУ школа № 1575",8
"призёр",2018,5,"Биология",2019,"Всероссийская олимпиада","ГБОУ школа «Интеллектуал»",10
"призёр",2018,3,"Иностранный язык (английский язык)",2019,"Всероссийская олимпиада","ГБОУ школа № 2089",11
"призёр",2014,4,"Химия",2015,"Всероссийская олимпиада","ГБОУ СОШ № 1955",10
"призёр",2013,4,"Русский язык",2014,"Всероссийская олимпиада","ГБОУ Московская гимназия на Юго-Западе № 1543",10
"призёр",2017,5,"Биология",2018,"Московская олимпиада","ГБОУ школа № 1501",8
"победитель",2017,4,"География",2018,"Московская олимпиада","ГБОУ школа № 2070",5
"призёр",2019,5,"Иностранный язык (немецкий язык)",2020,"Всероссийская олимпиада","ГБОУ школа № 2086",11
"призёр",2018,4,"Русский язык",2019,"Всероссийская олимпиада","ГБОУ школа № 1252",11
"призёр",2015,3,"Литература",2016,"Районная олимпиада","ГБОУ школа № 57",9
"призёр",2018,5,"Русский язык",2019,"Всероссийская олимпиада","ГБОУ школа № 1575",9
"призёр",2015,5,"Физика",2016,"Районная олимпиада","ГБОУ лицей «Вторая школа»",11
"призёр",2016,3,"Математика",2017,"Московская олимпиада","ГБОУ лицей «Вторая школа»",11
"призёр",2019,5,"Экономика",2020,"Всероссийская олимпиада","ГБОУ «Лицей «Вторая школа»",9
"призёр",2018,4,"Математика",2019,"Московская олимпиада","ГБОУ школа № 853",11
"призёр",2016,3,"Русский язык",2017,"Всероссийская олимпиада","ГБОУ гимназия № 1573",9
"призёр",2019,4,"Иностранный язык (английский язык)",2020,"Всероссийская олимпиада","ГБОУ школа № 14",11
"призёр",2015,3,"География",2016,"Всероссийская олимпиада","ГБОУ гимназия № 1534",11
"призёр",2015,3,"Математика",2016,"Московская олимпиада","ГАОУ ВО МИОО. СОШ № 179",9
"победитель",2017,5,"Обществознание",2018,"Всероссийская олимпиада","ГБОУ школа № 1514",10
"призёр",2019,3,"Мировая Художественная Культура (МХК)",2020,"Всероссийская олимпиада","ГБОУ школа № 1234",11
"призёр",2018,4,"Иностранный язык (английский язык)",2019,"Всероссийская олимпиада","ГБОУ школа № 1533 «ЛИТ»",10
"победитель",2012,5,"Иностранный язык (французский язык)",2013,"Всероссийская олимпиада","ГБОУ ЦО № 1641",11
"призёр",2016,5,"Русский язык",2017,"Районная олимпиада","ГБОУ школа № 1374",11
"призёр",2012,4,"Изобразительное искусство",2013,"Московская олимпиада","ГБОУ лицей № 1564",8
"призёр",2012,4,"филология",2013,"Московская олимпиада","ГБОУ СОШ № 706",6
"призёр",2013,5,"Русский язык",2014,"Всероссийская олимпиада","ГБОУ гимназия № 1563",10
"призёр",2012,4,"Химия",2013,"Всероссийская олимпиада","ГБОУ ЦО № 1865",11
"призёр",2013,3,"Иностранный язык (английский язык)",2014,"Всероссийская олимпиада","НОЧУ СОШ Ювенес",10
"призёр",2017,5,"астрономия",2018,"Московская олимпиада","ГБОУ школа № 179",11
"призёр",2017,4,"Экономика",2018,"Всероссийская олимпиада","НИУ ВШЭ. лицей",11
"призёр",2019,4,"Иностранный язык (английский язык)",2020,"Всероссийская олимпиада","ГБОУ школа № 218",11
"призёр",2014,4,"Математика",2015,"Всероссийская олимпиада","ГАОУ ВО МИОО. СОШ № 179",9
"призёр",2015,4,"Обществознание",2016,"Всероссийская олимпиада","ГБОУ школа № 1259 с углубленным изучением иностранных языков",11
"победитель",2014,5,"Русский язык",2015,"Всероссийская олимпиада","ГБОУ школа № 1253",9
"призёр",2017,3,"Биология",2018,"Всероссийская олимпиада","ГБОУ школа № 171",10
"призёр",2016,3,"Мировая Художественная Культура (МХК)",2017,"Районная олимпиада","ГБОУ ГСГ",10
"призёр",2016,4,"Иностранный язык (английский язык)",2017,"Всероссийская олимпиада","ГБОУ школа № 57",10
"призёр",2018,3,"Обществознание",2019,"Всероссийская олимпиада","Финансовый университет",10
"призёр",2016,3,"Информатика",2017,"Районная олимпиада","ГБОУ лицей № 1557",10
"призёр",2019,3,"Обществознание",2020,"Всероссийская олимпиада","ГБОУ школа № 1811",10
"победитель",2018,5,"Русский язык",2019,"Всероссийская олимпиада","ГБОУ школа № 1535",11
"победитель",2016,3,"Физика",2017,"Московская олимпиада","ГБОУ лицей № 1568",8
"призёр",2012,3,"История",2013,"Всероссийская олимпиада","ГБОУ СОШ № 1716 «Эврика-Огонек»",10
"призёр",2018,4,"Обществознание",2019,"Всероссийская олимпиада","ГБОУ школа № 37",9
"призёр",2016,5,"Химия",2017,"Всероссийская олимпиада","ГБОУ школа № 218",10
"призёр",2018,5,"Математика",2019,"Московская олимпиада","ГБОУ школа № 1568",7
"призёр",2017,3,"Русский язык",2018,"Всероссийская олимпиада","ГБОУ школа № 1573",11
"призёр",2019,5,"Физическая культура",2020,"Всероссийская олимпиада","ГКОУ КШИ № 1",9
"призёр",2014,5,"Изобразительное искусство",2015,"Московская олимпиада","ГБОУ СОШ № 1436",9
"призёр",2017,5,"Математика",2018,"Московская олимпиада","ГБОУ школа № 2007 ФМШ",11
"победитель",2015,4,"Изобразительное искусство",2016,"Московская олимпиада","ГБОУ школа № 2097",7
"призёр",2016,5,"Русский язык",2017,"Районная олимпиада","ГАОУ гимназия № 1306",9
"призёр",2013,4,"Биология",2014,"Московская олимпиада","ГБОУ СОШ № 199",5
"призёр",2019,4,"Иностранный язык (английский язык)",2020,"Всероссийская олимпиада","ГБОУ школа № 57",9
"призёр",2013,5,"Физика",2014,"Московская олимпиада","ГАОУ ВО МИОО. СОШ № 179",11
"призёр",2017,5,"Технология",2018,"Московская олимпиада","ГБОУ школа № 878",5
"призёр",2016,5,"Информатика",2017,"Московская олимпиада","ГБОУ Московская гимназия на Юго-Западе № 1543",10
"призёр",2017,5,"Изобразительное искусство",2018,"Московская олимпиада","ГБОУ школа № 504",6
"призёр",2014,3,"Химия",2015,"Московская олимпиада","ГБОУ СОШ № 1950",11
"победитель",2017,4,"География",2018,"Всероссийская олимпиада","ГБОУ школа № 1520 им. Капцовых",10
"победитель",2018,3,"Технология",2019,"Всероссийская олимпиада","ГБОУ школа № 444",9
"призёр",2018,5,"Экология",2019,"Районная олимпиада","ГБОУ школа № 14",8
"призёр",2017,5,"филология",2018,"Московская олимпиада","ГБОУ школа № 1474",6
"призёр",2012,5,"История",2013,"Всероссийская олимпиада","ГБОУ ЦО № 2006",11
"призёр",2013,5,"Право",2014,"Всероссийская олимпиада","ГБОУ школа № 536",10
"призёр",2013,4,"География",2014,"Московская олимпиада","ГБОУ школа-интернат «Интеллектуал»",7
"призёр",2014,5,"Право",2015,"Всероссийская олимпиада","ГБОУ школа № 1319",10
"призёр",2019,3,"Обществознание",2020,"Районная олимпиада","ГБОУ школа № 2097",9
"призёр",2016,4,"Мировая Художественная Культура (МХК)",2017,"Всероссийская олимпиада","МАОУ «Гимназия г. Троицка»",9
"призёр",2018,4,"История",2019,"Всероссийская олимпиада","ГБОУ школа № 1563",9
"призёр",2013,4,"История",2014,"Районная олимпиада","ГБОУ ЦО № 1480",9
"призёр",2014,4,"Иностранный язык (испанский язык)",2015,"Московская олимпиада","ГБОУ школа № 1252 имени Сервантеса",10
"победитель",2017,5,"Технология",2018,"Московская олимпиада","ГБОУ школа № 293",8
"призёр",2015,4,"Изобразительное искусство",2016,"Московская олимпиада","ГБОУ школа № 508",5
"призёр",2017,5,"Искусство (МХК)",2018,"Всероссийская олимпиада","ГБОУ школа № 2054",10
"призёр",2015,4,"Робототехника",2016,"Московская олимпиада","ГБОУ школа № 1210",6
"победитель",2013,3,"Изобразительное искусство",2014,"Московская олимпиада","ГБОУ СОШ № 1188",2
"призёр",2019,4,"Русский язык",2020,"Всероссийская олимпиада","ГБОУ школа № 2033",9
"призёр",2017,3,"Физика",2018,"Московская олимпиада","ГБОУ школа № 1329",7
"призёр",2013,4,"Мировая Художественная Культура (МХК)",2014,"Всероссийская олимпиада","ГБОУ гимназия № 1507",11
"призёр",2019,3,"Мировая Художественная Культура (МХК)",2020,"Всероссийская олимпиада","ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",9
"победитель",2013,3,"Экономика",2014,"Московская олимпиада","ГБОУ СОШ № 1384 им. А.А. Леманского",4
"призёр",2013,4,"География",2014,"Всероссийская олимпиада","ГБОУ гимназия № 1518",9
"призёр",2018,4,"Иностранный язык (французский язык)",2019,"Районная олимпиада","ГБОУ школа № 1501",10
"призёр",2015,4,"филология",2016,"Московская олимпиада","ГБОУ гимназия № 1409",5
"призёр",2013,5,"Биология",2014,"Всероссийская олимпиада","ГБОУ СОШ № 64",11
"победитель",2018,3,"География",2019,"Московская олимпиада","ГБОУ школа Марьина Роща имени В.Ф. Орлова",8
"призёр",2017,5,"История",2018,"Московская олимпиада","ГБОУ школа № 14",7
"призёр",2013,4,"Экономика",2014,"Московская олимпиада","ГБОУ СОШ № 1285",9
"призёр",2016,4,"Обществознание",2017,"Всероссийская олимпиада","ГБОУ школа № 1944",11
"победитель",2017,3,"Химия",2018,"Московская олимпиада","ГБОУ школа № 1575",8
"призёр",2012,3,"Математика",2013,"Московская олимпиада","ГБОУ лицей «Вторая школа»",7
"победитель",2013,4,"Изобразительное искусство",2014,"Московская олимпиада","ГБОУ СОШ № 1426",6
"призёр",2013,4,"Обществознание",2014,"Всероссийская олимпиада","НИУ ВШЭ. лицей",10
"победитель",2017,5,"Изобразительное искусство",2018,"Московская олимпиада","ГБОУ школа № 2107",7
"призёр",2012,4,"Биология",2013,"Районная олимпиада","ГБОУ СОШ № 1740",11
"победитель",2015,4,"Информатика",2016,"Московская олимпиада","ГАОУ ВО МИОО. СОШ № 179",9
"призёр",2018,3,"Литература",2019,"Всероссийская олимпиада","ГБОУ школа № 2097",11
"призёр",2019,4,"Иностранный язык (итальянский язык)",2020,"Всероссийская олимпиада","ГБОУ школа № 338",9
"призёр",2018,5,"Химия",2019,"Московская олимпиада","ГБОУ школа № 1363",9
"победитель",2017,4,"Иностранный язык (испанский язык)",2018,"Всероссийская олимпиада","ГБОУ школа № 1252",11
"призёр",2012,5,"Экономика",2013,"Всероссийская олимпиада","ГБОУ гимназия № 1514",11
"призёр",2016,3,"Математика",2017,"Московская олимпиада","ГБОУ лицей «Вторая школа»",10
"победитель",2018,5,"Экология",2019,"Московская олимпиада","ГБОУ школа № 14",5
"призёр",2017,4,"Технология",2018,"Московская олимпиада","ГБОУ школа № 1748",5
"призёр",2019,3,"Математика",2020,"Всероссийская олимпиада","ГБОУ школа № 2007 ФМШ",11
"призёр",2014,4,"Русский язык",2015,"Всероссийская олимпиада","ГБОУ лицей № 1568",9
"призёр",2019,3,"Физика",2020,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10
"призёр",2018,5,"Математика",2019,"Всероссийская олимпиада","ГБОУ «Лицей «Вторая школа»",9
"призёр",2018,4,"Литература",2019,"Всероссийская олимпиада","ГБОУ школа № 1576",11
"призёр",2018,3,"Химия",2019,"Московская олимпиада","ГБОУ школа № 1525",11
"призёр",2019,4,"Право",2020,"Всероссийская олимпиада","ГБОУ школа № 1357",9
"призёр",2018,5,"Русский язык",2019,"Всероссийская олимпиада","ГБОУ школа имени Маршала В.И. Чуйкова",9
"призёр",2016,4,"Математика",2017,"Московская олимпиада","ГБОУ лицей «Вторая школа»",6
"призёр",2016,3,"филология",2017,"Московская олимпиада","ГБОУ школа № 199",7
"призёр",2013,5,"Информатика",2014,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10
"призёр",2016,3,"Литература",2017,"Всероссийская олимпиада","ГБОУ школа № 2114",11
"призёр",2014,3,"Математика",2015,"Московская олимпиада","ГБОУ Физматшкола 2007",9
"призёр",2012,4,"Экономика",2013,"Всероссийская олимпиада","ГБОУ школа-интернат «Интеллектуал»",11
"победитель",2016,4,"География",2017,"Московская олимпиада","ГБОУ гимназия № 1562",5
"призёр",2019,3,"Обществознание",2020,"Всероссийская олимпиада","лицей НИУ ВШЭ",11
"призёр",2016,3,"География",2017,"Всероссийская олимпиада","ГАОУ «Гимназия № 1518»",11
"победитель",2018,3,"Экономика",2019,"Московская олимпиада","лицей НИУ ВШЭ",10
"призёр",2019,5,"Иностранный язык (английский язык)",2020,"Всероссийская олимпиада","ГБОУ школа № 1580",11
"призёр",2014,5,"Изобразительное искусство",2015,"Московская олимпиада","МАОУ «Лицей города Троицка»",9
"призёр",2017,4,"астрономия",2018,"Всероссийская олимпиада","ГБОУ школа № 853",11
"призёр",2015,4,"Мировая Художественная Культура (МХК)",2016,"Всероссийская олимпиада","ГБОУ лицей № 138",11
"призёр",2018,4,"Иностранный язык (испанский язык)",2019,"Всероссийская олимпиада","ГБОУ школа № 1558 имени Росалии де Кастро",9
"призёр",2017,5,"Литература",2018,"Всероссийская олимпиада","ГБОУ школа № 1253",11
"призёр",2013,5,"Право",2014,"Всероссийская олимпиада","ГБОУ СОШ № 1098",9
"призёр",2013,5,"Русский язык",2014,"Всероссийская олимпиада","МГУПС (МИИТ)",10
"призёр",2018,5,"Обществознание",2019,"Московская олимпиада","ГБОУ школа № 1355",9
"призёр",2015,4,"Физика",2016,"Московская олимпиада","ГБОУ лицей № 1557",11
"победитель",2017,5,"Основы безопасности жизнедеятельности",2018,"Всероссийская олимпиада","ГБОУ школа № 1449",11
"призёр",2017,4,"Русский язык",2018,"Районная олимпиада","ФГБОУ ВО МГЛУ",11
"победитель",2014,5,"Иностранный язык (английский язык)",2015,"Всероссийская олимпиада","ГБОУ гимназия № 1517",11
"призёр",2014,3,"География",2015,"Московская олимпиада","ГБОУ гимназия № 491 «Марьино»",11
"призёр",2014,5,"Биология",2015,"Всероссийская олимпиада","ГБОУ СОШ № 1259",10
"призёр",2019,5,"Основы безопасности жизнедеятельности",2020,"Всероссийская олимпиада","ГБОУ школа № 491",10
"призёр",2013,3,"Математика",2014,"Всероссийская олимпиада","ГБОУ СОШ № 25",10
"призёр",2018,4,"Технология",2019,"Московская олимпиада","ГБОУ Образовательный центр «Протон»",5
"призёр",2019,3,"Литература",2020,"Всероссийская олимпиада","ГБОУ школа № 1505",10
"победитель",2018,3,"Изобразительное искусство",2019,"Московская олимпиада","ГАОУ школа № 548",7
"призёр",2018,4,"Мировая Художественная Культура (МХК)",2019,"Московская олимпиада","ГБОУ школа № 117",10
"призёр",2013,5,"Физическая культура",2014,"Районная олимпиада","ГБОУ гимназия № 1526",9
"призёр",2016,5,"История",2017,"Районная олимпиада","ГБОУ гимназия № 1507",11
"призёр",2019,3,"Иностранный язык (английский язык)",2020,"Всероссийская олимпиада","МАОУ «Гимназия имени Н.В. Пушкова»",10
"призёр",2018,5,"Обществознание",2019,"Всероссийская олимпиада","ГБОУ школа № 1315",9
"призёр",2015,5,"Мировая Художественная Культура (МХК)",2016,"Всероссийская олимпиада","ГБОУ гимназия № 1576",10
"призёр",2017,4,"Экономика",2018,"Всероссийская олимпиада","ГАОУ «Школа № 1518»",11
"призёр",2016,4,"Технология",2017,"Московская олимпиада","ГБОУ школа № 2036",6
"призёр",2019,5,"Экономика",2020,"Районная олимпиада","лицей НИУ ВШЭ",11
"победитель",2018,4,"Технология",2019,"Московская олимпиада","ГБОУ школа № 293",5
"призёр",2013,3,"Математика",2014,"Московская олимпиада","ГБОУ Физматшкола 2007",7
"призёр",2018,5,"Литература",2019,"Всероссийская олимпиада","ГБОУ школа № 91",11
"призёр",2016,3,"Мировая Художественная Культура (МХК)",2017,"Всероссийская олимпиада","ГБОУ школа № 1950",11
"призёр",2018,5,"Математика",2019,"Всероссийская олимпиада","ГБОУ школа № 1329",8
"призёр",2018,3,"Математика",2019,"Московская олимпиада","ГБОУ школа № 179",7
"призёр",2019,3,"Литература",2020,"Всероссийская олимпиада","ГБОУ школа № 648",9
"призёр",2013,3,"Русский язык",2014,"Всероссийская олимпиада","ГБОУ школа № 2026",9
"призёр",2013,4,"Литература",2014,"Всероссийская олимпиада","ГБОУ ЦО № 57",11
"призёр",2018,5,"филология",2019,"Московская олимпиада","ГБОУ школа № 1987",10
"призёр",2012,3,"Технология",2013,"Всероссийская олимпиада","ГБОУ СОШ № 1359",11
"призёр",2015,4,"Физика",2016,"Московская олимпиада","ГБОУ лицей № 1568",7
"призёр",2017,3,"Химия",2018,"Московская олимпиада","ГБОУ школа № 2007 ФМШ",9
"призёр",2018,4,"астрономия",2019,"Районная олимпиада","ГБОУ «Лицей «Вторая школа»",9
"призёр",2019,5,"Иностранный язык (немецкий язык)",2020,"Районная олимпиада","ФГБОУ ВО МГЛУ",11
"победитель",2012,4,"Технология",2013,"Всероссийская олимпиада","ГБОУ школа № 1000",11
"призёр",2012,5,"Обществознание",2013,"Всероссийская олимпиада","ГБОУ гимназия № 1257",10
"призёр",2019,4,"Обществознание",2020,"Всероссийская олимпиада","ГБОУ школа № 185",10
"призёр",2014,5,"Химия",2015,"Районная олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11
"призёр",2015,3,"Литература",2016,"Всероссийская олимпиада","ГБОУ гимназия № 45",9
"призёр",2012,4,"История",2013,"Всероссийская олимпиада","ГБОУ ЦО № 218",10
"призёр",2013,4,"Математика",2014,"Московская олимпиада","ГБОУ лицей «Вторая школа»",9
"победитель",2013,5,"Информатика",2014,"Московская олимпиада","ГАОУ ВО МИОО. СОШ № 179",11
"призёр",2015,5,"Биология",2016,"Московская олимпиада","ГБОУ школа № 1363",6
"призёр",2018,5,"Экология",2019,"Московская олимпиада","ГБОУ школа № 97",5
"призёр",2014,3,"Физика",2015,"Всероссийская олимпиада","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",11
"призёр",2016,5,"Мировая Художественная Культура (МХК)",2017,"Районная олимпиада","ГБОУ школа «Интеллектуал»",9
"победитель",2019,4,"Русский язык",2020,"Всероссийская олимпиада","Предуниверситарий НИЯУ МИФИ",9
"призёр",2012,5,"Математика",2013,"Московская олимпиада","ГБОУ СОШ № 25",9
"призёр",2014,5,"Изобразительное искусство",2015,"Московская олимпиада","ГБОУ СОШ № 1210",6
