"age","housing","personal_status","credit_amount","credit_history","duration","purpose","type","existing_credits"
28,"арендатор","женщина",1602,"есть непогашенные кредиты",17,"мебель","ненадежный",1
38,"домовладелец","мужчина (одинокий)",807,"есть просрочки платежей",20,"бытовая техника","надежный",2
45,"домовладелец","мужчина (одинокий)",2231,"есть непогашенные кредиты",17,"мебель","надежный",1
23,"домовладелец","женщина",1865,"есть просрочки платежей",19,"бытовая техника","надежный",2
32,"домовладелец","мужчина (одинокий)",8860,"все кредиты погашены",28,"новая машина","ненадежный",2
33,"арендатор","мужчина (одинокий)",4995,"есть непогашенные кредиты",33,"мебель","ненадежный",1
24,"домовладелец","мужчина (разведенный)",3842,"есть непогашенные кредиты",21,"бытовая техника","надежный",1
52,"арендатор","женщина",3759,"есть непогашенные кредиты",16,"бытовая техника","надежный",1
26,"домовладелец","мужчина (одинокий)",3534,"есть непогашенные кредиты",35,"бытовая техника","ненадежный",2
57,"арендатор","мужчина (одинокий)",9648,"есть непогашенные кредиты",11,"новая машина","ненадежный",2
73,"домовладелец","мужчина (одинокий)",1900,"есть просрочки платежей",13,"мебель","надежный",1
33,"домовладелец","мужчина (одинокий)",2565,"есть непогашенные кредиты",10,"бытовая техника","надежный",1
42,"арендатор","мужчина (одинокий)",4796,"есть просрочки платежей",12,"новая машина","ненадежный",2
35,"домовладелец","мужчина (женатый или вдовец)",2660,"есть просрочки платежей",26,"бытовая техника","надежный",2
35,"домовладелец","мужчина (женатый или вдовец)",2847,"есть непогашенные кредиты",15,"бизнес","надежный",1
20,"домовладелец","мужчина (одинокий)",2112,"есть непогашенные кредиты",10,"ремонт жилья","надежный",1
24,"домовладелец","мужчина (одинокий)",4794,"есть просрочки платежей",52,"бытовая техника","ненадежный",2
23,"арендатор","женщина",1278,"есть непогашенные кредиты",15,"новая машина","ненадежный",1
19,"арендатор","мужчина (женатый или вдовец)",622,"есть непогашенные кредиты",5,"ремонт жилья","надежный",1
25,"домовладелец","мужчина (одинокий)",15306,"есть просрочки платежей",60,"мебель","надежный",2
39,"домовладелец","мужчина (одинокий)",3784,"есть непогашенные кредиты",46,"мебель","ненадежный",1
35,"домовладелец","мужчина (одинокий)",6329,"есть непогашенные кредиты",28,"бизнес","надежный",2
27,"арендатор","женщина",4816,"есть непогашенные кредиты",31,"бытовая техника","надежный",1
28,"домовладелец","мужчина (одинокий)",3840,"есть непогашенные кредиты",7,"бытовая техника","надежный",1
26,"домовладелец","мужчина (одинокий)",1071,"есть просрочки платежей",28,"новая машина","ненадежный",2
31,"домовладелец","женщина",12124,"не было кредитов",78,"новая машина","надежный",2
45,"домовладелец","женщина",4902,"есть непогашенные кредиты",30,"бытовая техника","ненадежный",2
22,"домовладелец","женщина",1258,"есть просрочки платежей",25,"мебель","надежный",2
39,"домовладелец","мужчина (одинокий)",2168,"есть просрочки платежей",17,"подержанная машина","надежный",1
33,"домовладелец","женщина",1127,"есть непогашенные кредиты",19,"бизнес","ненадежный",1
34,"домовладелец","мужчина (одинокий)",1738,"есть непогашенные кредиты",10,"новая машина","надежный",1
32,"домовладелец","женщина",3487,"есть непогашенные кредиты",15,"бытовая техника","ненадежный",1
33,"домовладелец","мужчина (разведенный)",2339,"есть просрочки платежей",23,"бизнес","ненадежный",2
33,"домовладелец","женщина",760,"есть просрочки платежей",12,"новая машина","надежный",1
28,"домовладелец","мужчина (одинокий)",1305,"не было кредитов",16,"ремонт жилья","ненадежный",2
25,"арендатор","мужчина (одинокий)",12326,"есть непогашенные кредиты",32,"мебель","ненадежный",1
25,"домовладелец","мужчина (разведенный)",1132,"есть просрочки платежей",14,"мебель","надежный",2
27,"домовладелец","мужчина (женатый или вдовец)",975,"есть непогашенные кредиты",17,"новая машина","ненадежный",1
33,"домовладелец","женщина",439,"есть непогашенные кредиты",8,"бытовая техника","надежный",1
45,"домовладелец","мужчина (одинокий)",2621,"есть непогашенные кредиты",36,"новая машина","ненадежный",1
34,"арендатор","мужчина (одинокий)",3583,"есть просрочки платежей",10,"новая машина","надежный",2
22,"домовладелец","мужчина (женатый или вдовец)",3512,"есть непогашенные кредиты",20,"мебель","надежный",1
54,"арендатор","мужчина (одинокий)",734,"есть просрочки платежей",5,"бытовая техника","надежный",2
57,"без жилья","мужчина (одинокий)",4287,"есть непогашенные кредиты",38,"подержанная машина","надежный",1
27,"домовладелец","мужчина (одинокий)",2458,"есть непогашенные кредиты",33,"бытовая техника","ненадежный",1
26,"домовладелец","мужчина (одинокий)",1755,"есть просрочки платежей",7,"другое","надежный",1
19,"арендатор","женщина",16553,"есть непогашенные кредиты",29,"подержанная машина","ненадежный",2
26,"домовладелец","женщина",4220,"есть непогашенные кредиты",8,"мебель","ненадежный",1
29,"домовладелец","мужчина (женатый или вдовец)",1930,"есть непогашенные кредиты",27,"бытовая техника","надежный",1
35,"домовладелец","женщина",1181,"есть просрочки платежей",18,"бытовая техника","надежный",1
53,"домовладелец","мужчина (разведенный)",1356,"есть непогашенные кредиты",8,"другое","надежный",1
58,"домовладелец","мужчина (одинокий)",908,"есть непогашенные кредиты",8,"бытовая техника","ненадежный",1
33,"домовладелец","мужчина (одинокий)",1501,"есть непогашенные кредиты",11,"бизнес","надежный",1
28,"домовладелец","женщина",1247,"есть непогашенные кредиты",14,"мебель","ненадежный",1
32,"домовладелец","мужчина (одинокий)",7872,"есть непогашенные кредиты",36,"подержанная машина","надежный",2
25,"арендатор","женщина",1388,"есть непогашенные кредиты",13,"бытовая техника","ненадежный",1
26,"домовладелец","мужчина (женатый или вдовец)",4411,"есть просрочки платежей",35,"новая машина","ненадежный",2
60,"без жилья","мужчина (одинокий)",1386,"есть просрочки платежей",24,"новая машина","надежный",3
29,"домовладелец","мужчина (одинокий)",3055,"есть просрочки платежей",17,"образование","надежный",2
28,"домовладелец","мужчина (одинокий)",1820,"есть просрочки платежей",17,"мебель","ненадежный",2
29,"домовладелец","мужчина (одинокий)",1637,"есть непогашенные кредиты",9,"новая машина","надежный",1
22,"арендатор","мужчина (женатый или вдовец)",1600,"есть непогашенные кредиты",13,"бытовая техника","надежный",2
21,"домовладелец","мужчина (женатый или вдовец)",952,"есть непогашенные кредиты",11,"новая машина","ненадежный",1
22,"домовладелец","женщина",939,"есть непогашенные кредиты",18,"другое","ненадежный",1
22,"домовладелец","мужчина (одинокий)",3817,"есть просрочки платежей",11,"подержанная машина","надежный",2
29,"домовладелец","мужчина (одинокий)",7144,"есть просрочки платежей",30,"подержанная машина","надежный",2
44,"домовладелец","мужчина (одинокий)",1907,"есть непогашенные кредиты",6,"новая машина","надежный",1
18,"домовладелец","женщина",880,"есть непогашенные кредиты",15,"бытовая техника","надежный",1
21,"арендатор","женщина",1387,"есть непогашенные кредиты",7,"подержанная машина","надежный",1
25,"домовладелец","мужчина (одинокий)",1225,"есть непогашенные кредиты",33,"новая машина","надежный",1
18,"арендатор","женщина",1076,"есть просрочки платежей",15,"мебель","надежный",1
46,"домовладелец","мужчина (женатый или вдовец)",3308,"есть просрочки платежей",39,"мебель","надежный",2
51,"домовладелец","мужчина (одинокий)",1643,"есть просрочки платежей",11,"бытовая техника","надежный",2
29,"домовладелец","мужчина (одинокий)",8824,"есть непогашенные кредиты",49,"мебель","ненадежный",1
23,"домовладелец","мужчина (одинокий)",2887,"есть непогашенные кредиты",20,"новая машина","надежный",1
31,"домовладелец","мужчина (одинокий)",4766,"есть непогашенные кредиты",28,"бытовая техника","надежный",1
63,"домовладелец","мужчина (одинокий)",3091,"есть непогашенные кредиты",15,"новая машина","надежный",1
22,"арендатор","мужчина (женатый или вдовец)",253,"есть непогашенные кредиты",6,"новая машина","надежный",1
22,"домовладелец","женщина",12069,"есть просрочки платежей",43,"образование","ненадежный",2
24,"домовладелец","мужчина (разведенный)",1572,"есть просрочки платежей",5,"новая машина","надежный",2
42,"домовладелец","женщина",2621,"есть просрочки платежей",14,"новая машина","надежный",1
51,"домовладелец","мужчина (разведенный)",10241,"все кредиты погашены",16,"мебель","ненадежный",1
31,"домовладелец","мужчина (женатый или вдовец)",1575,"есть непогашенные кредиты",24,"бытовая техника","надежный",1
32,"домовладелец","мужчина (разведенный)",1302,"есть непогашенные кредиты",16,"новая машина","ненадежный",1
43,"без жилья","мужчина (одинокий)",10025,"есть непогашенные кредиты",47,"новая машина","ненадежный",1
26,"арендатор","мужчина (одинокий)",5784,"не было кредитов",19,"бытовая техника","ненадежный",2
37,"без жилья","женщина",1580,"есть непогашенные кредиты",36,"бытовая техника","надежный",1
37,"домовладелец","мужчина (одинокий)",2980,"есть просрочки платежей",32,"новая машина","надежный",2
34,"домовладелец","мужчина (одинокий)",3187,"есть просрочки платежей",6,"новая машина","надежный",2
25,"домовладелец","женщина",4459,"есть непогашенные кредиты",29,"бытовая техника","надежный",1
41,"домовладелец","мужчина (одинокий)",1645,"есть просрочки платежей",25,"бытовая техника","надежный",2
20,"домовладелец","женщина",1974,"есть непогашенные кредиты",15,"ремонт жилья","ненадежный",1
23,"без жилья","мужчина (одинокий)",1887,"есть непогашенные кредиты",11,"новая машина","ненадежный",1
48,"домовладелец","мужчина (одинокий)",8197,"есть просрочки платежей",8,"новая машина","надежный",2
31,"домовладелец","мужчина (разведенный)",4149,"есть просрочки платежей",57,"новая машина","ненадежный",2
47,"домовладелец","женщина",1426,"есть просрочки платежей",7,"бытовая техника","надежный",3
23,"арендатор","женщина",5409,"есть непогашенные кредиты",15,"мебель","надежный",1
27,"арендатор","женщина",1800,"есть непогашенные кредиты",29,"бытовая техника","ненадежный",2
31,"без жилья","мужчина (одинокий)",8373,"есть просрочки платежей",39,"образование","надежный",1
34,"арендатор","мужчина (женатый или вдовец)",2179,"есть непогашенные кредиты",16,"новая машина","надежный",1
40,"домовладелец","женщина",903,"есть непогашенные кредиты",9,"другое","надежный",1
29,"домовладелец","мужчина (одинокий)",2452,"не было кредитов",60,"ремонт жилья","надежный",2
38,"домовладелец","мужчина (разведенный)",2065,"есть просрочки платежей",19,"ремонт жилья","надежный",2
55,"без жилья","мужчина (одинокий)",2149,"есть просрочки платежей",8,"новая машина","надежный",3
25,"домовладелец","женщина",1770,"есть непогашенные кредиты",19,"мебель","надежный",1
55,"без жилья","женщина",1688,"есть непогашенные кредиты",11,"новая машина","ненадежный",1
39,"домовладелец","мужчина (одинокий)",6076,"есть непогашенные кредиты",28,"подержанная машина","надежный",1
27,"арендатор","женщина",5041,"есть непогашенные кредиты",16,"подержанная машина","ненадежный",1
28,"домовладелец","мужчина (женатый или вдовец)",1835,"есть непогашенные кредиты",11,"бытовая техника","ненадежный",1
34,"домовладелец","женщина",5002,"есть непогашенные кредиты",44,"бытовая техника","надежный",1
43,"домовладелец","мужчина (разведенный)",21691,"есть непогашенные кредиты",33,"другое","надежный",1
28,"домовладелец","мужчина (женатый или вдовец)",3434,"есть непогашенные кредиты",11,"бытовая техника","надежный",1
30,"домовладелец","мужчина (одинокий)",3574,"есть непогашенные кредиты",9,"мебель","надежный",1
19,"домовладелец","мужчина (одинокий)",1561,"есть непогашенные кредиты",14,"мебель","надежный",1
65,"без жилья","женщина",7072,"есть просрочки платежей",34,"подержанная машина","ненадежный",2
24,"домовладелец","женщина",4594,"есть просрочки платежей",18,"мебель","надежный",2
85,"домовладелец","мужчина (одинокий)",1109,"есть просрочки платежей",4,"новая машина","надежный",3
37,"домовладелец","мужчина (одинокий)",3604,"есть непогашенные кредиты",10,"бизнес","надежный",1
35,"домовладелец","мужчина (одинокий)",1939,"есть просрочки платежей",8,"новая машина","надежный",2
34,"без жилья","женщина",11540,"не было кредитов",43,"бизнес","ненадежный",2
38,"без жилья","мужчина (одинокий)",2827,"есть непогашенные кредиты",30,"подержанная машина","надежный",1
20,"арендатор","женщина",1370,"есть непогашенные кредиты",25,"новая машина","ненадежный",2
30,"домовладелец","женщина",1738,"есть непогашенные кредиты",17,"бытовая техника","надежный",1
26,"домовладелец","женщина",8216,"есть непогашенные кредиты",22,"мебель","надежный",1
29,"домовладелец","мужчина (женатый или вдовец)",1898,"есть просрочки платежей",29,"бизнес","надежный",2
56,"домовладелец","женщина",1834,"есть непогашенные кредиты",19,"мебель","надежный",1
40,"домовладелец","мужчина (одинокий)",1648,"есть просрочки платежей",21,"мебель","надежный",2
40,"домовладелец","мужчина (одинокий)",3632,"есть непогашенные кредиты",12,"мебель","надежный",3
27,"домовладелец","мужчина (женатый или вдовец)",500,"есть непогашенные кредиты",3,"бытовая техника","надежный",1
32,"домовладелец","мужчина (одинокий)",10190,"не было кредитов",36,"подержанная машина","надежный",1
23,"домовладелец","женщина",586,"есть непогашенные кредиты",7,"образование","ненадежный",1
20,"арендатор","женщина",3287,"есть непогашенные кредиты",13,"мебель","надежный",1
37,"арендатор","мужчина (одинокий)",7583,"все кредиты погашены",20,"подержанная машина","надежный",2
66,"без жилья","мужчина (одинокий)",1645,"есть просрочки платежей",20,"подержанная машина","надежный",2
26,"домовладелец","мужчина (женатый или вдовец)",2493,"есть непогашенные кредиты",28,"новая машина","надежный",1
44,"без жилья","мужчина (одинокий)",1557,"есть просрочки платежей",5,"другое","надежный",2
26,"домовладелец","мужчина (одинокий)",1681,"есть просрочки платежей",24,"бытовая техника","надежный",2
24,"домовладелец","мужчина (женатый или вдовец)",1398,"есть непогашенные кредиты",14,"другое","надежный",2
35,"домовладелец","женщина",4293,"не было кредитов",49,"бытовая техника","ненадежный",1
27,"домовладелец","женщина",1014,"есть непогашенные кредиты",14,"другое","надежный",1
25,"домовладелец","мужчина (одинокий)",1915,"есть просрочки платежей",18,"новая машина","надежный",1
42,"домовладелец","мужчина (одинокий)",1732,"есть непогашенные кредиты",13,"бизнес","надежный",1
24,"домовладелец","женщина",3508,"есть непогашенные кредиты",34,"мебель","ненадежный",1
37,"домовладелец","мужчина (женатый или вдовец)",2171,"есть непогашенные кредиты",33,"новая машина","надежный",1
49,"домовладелец","мужчина (одинокий)",1495,"есть просрочки платежей",11,"бытовая техника","надежный",2
29,"арендатор","женщина",3355,"есть непогашенные кредиты",24,"новая машина","ненадежный",2
18,"домовладелец","мужчина (одинокий)",2806,"есть просрочки платежей",20,"бытовая техника","ненадежный",2
22,"арендатор","женщина",2540,"есть непогашенные кредиты",38,"мебель","ненадежный",1
21,"домовладелец","мужчина (женатый или вдовец)",847,"есть непогашенные кредиты",10,"бытовая техника","ненадежный",1
35,"домовладелец","мужчина (одинокий)",768,"есть просрочки платежей",26,"новая машина","ненадежный",1
21,"арендатор","женщина",5613,"есть просрочки платежей",59,"мебель","ненадежный",2
35,"домовладелец","мужчина (разведенный)",5651,"есть непогашенные кредиты",49,"подержанная машина","надежный",1
33,"домовладелец","мужчина (одинокий)",1843,"все кредиты погашены",23,"бытовая техника","надежный",1
64,"домовладелец","мужчина (одинокий)",1796,"есть просрочки платежей",39,"новая машина","ненадежный",2
18,"домовладелец","женщина",1008,"есть непогашенные кредиты",12,"новая машина","ненадежный",1
27,"домовладелец","мужчина (одинокий)",2782,"есть непогашенные кредиты",20,"подержанная машина","надежный",1
41,"домовладелец","мужчина (одинокий)",5852,"есть непогашенные кредиты",35,"бизнес","ненадежный",1
42,"без жилья","мужчина (одинокий)",6905,"есть непогашенные кредиты",51,"подержанная машина","надежный",1
21,"домовладелец","мужчина (одинокий)",8473,"есть непогашенные кредиты",45,"новая машина","ненадежный",1
25,"арендатор","женщина",5235,"есть непогашенные кредиты",25,"мебель","надежный",1
40,"домовладелец","мужчина (одинокий)",6689,"есть просрочки платежей",20,"бытовая техника","надежный",2
30,"домовладелец","мужчина (одинокий)",3278,"все кредиты погашены",39,"новая машина","надежный",1
53,"домовладелец","женщина",568,"есть непогашенные кредиты",5,"мебель","надежный",1
46,"домовладелец","мужчина (одинокий)",792,"все кредиты погашены",9,"новая машина","ненадежный",2
44,"домовладелец","женщина",309,"есть просрочки платежей",7,"новая машина","надежный",2
31,"домовладелец","мужчина (одинокий)",10638,"есть непогашенные кредиты",58,"бытовая техника","надежный",1
48,"арендатор","мужчина (одинокий)",5705,"есть просрочки платежей",14,"мебель","надежный",1
31,"домовладелец","мужчина (одинокий)",6969,"есть просрочки платежей",39,"мебель","надежный",2
33,"домовладелец","женщина",875,"есть просрочки платежей",29,"новая машина","надежный",2
37,"домовладелец","мужчина (женатый или вдовец)",8655,"есть непогашенные кредиты",80,"бытовая техника","ненадежный",2
48,"домовладелец","мужчина (одинокий)",1245,"не было кредитов",20,"новая машина","ненадежный",2
33,"без жилья","мужчина (одинокий)",7498,"есть непогашенные кредиты",95,"новая машина","надежный",1
27,"домовладелец","женщина",686,"все кредиты погашены",13,"бытовая техника","ненадежный",1
32,"домовладелец","мужчина (женатый или вдовец)",460,"не было кредитов",9,"бытовая техника","надежный",1
33,"домовладелец","мужчина (одинокий)",2969,"есть просрочки платежей",20,"бытовая техника","надежный",1
40,"домовладелец","мужчина (одинокий)",9822,"не было кредитов",61,"бизнес","надежный",1
26,"без жилья","мужчина (разведенный)",2067,"все кредиты погашены",13,"бытовая техника","ненадежный",1
30,"домовладелец","мужчина (одинокий)",5778,"есть непогашенные кредиты",25,"бизнес","надежный",2
22,"арендатор","мужчина (женатый или вдовец)",2305,"есть непогашенные кредиты",29,"подержанная машина","надежный",1
32,"домовладелец","мужчина (одинокий)",3923,"есть просрочки платежей",22,"подержанная машина","надежный",1
48,"домовладелец","мужчина (одинокий)",10030,"есть непогашенные кредиты",36,"подержанная машина","надежный",1
36,"домовладелец","мужчина (разведенный)",4492,"есть непогашенные кредиты",61,"бизнес","ненадежный",1
30,"домовладелец","мужчина (одинокий)",3094,"есть непогашенные кредиты",24,"мебель","надежный",1
26,"арендатор","женщина",939,"есть непогашенные кредиты",17,"мебель","надежный",1
20,"домовладелец","женщина",11770,"есть непогашенные кредиты",52,"мебель","ненадежный",1
30,"домовладелец","женщина",1322,"есть непогашенные кредиты",13,"бытовая техника","надежный",1
35,"домовладелец","мужчина (разведенный)",3367,"есть непогашенные кредиты",28,"мебель","ненадежный",1
29,"арендатор","мужчина (одинокий)",2928,"есть непогашенные кредиты",14,"новая машина","надежный",1
37,"домовладелец","мужчина (одинокий)",1913,"все кредиты погашены",16,"новая машина","ненадежный",2
20,"домовладелец","мужчина (одинокий)",1836,"есть непогашенные кредиты",17,"бытовая техника","надежный",1
26,"домовладелец","мужчина (одинокий)",4972,"есть непогашенные кредиты",45,"бытовая техника","ненадежный",1
21,"домовладелец","мужчина (женатый или вдовец)",1273,"есть непогашенные кредиты",26,"бытовая техника","надежный",1
62,"без жилья","мужчина (одинокий)",4921,"есть просрочки платежей",52,"подержанная машина","надежный",1
73,"без жилья","женщина",5512,"есть непогашенные кредиты",36,"новая машина","надежный",1
49,"домовладелец","мужчина (одинокий)",1721,"есть просрочки платежей",8,"ремонт жилья","надежный",2
49,"домовладелец","мужчина (одинокий)",4756,"есть непогашенные кредиты",33,"бизнес","ненадежный",3
40,"домовладелец","мужчина (женатый или вдовец)",2611,"есть просрочки платежей",34,"бытовая техника","надежный",2
51,"без жилья","мужчина (одинокий)",5890,"есть просрочки платежей",19,"ремонт жилья","надежный",2
34,"без жилья","мужчина (одинокий)",1742,"есть просрочки платежей",4,"мебель","надежный",3
31,"без жилья","мужчина (одинокий)",1934,"все кредиты погашены",23,"новая машина","ненадежный",2
22,"домовладелец","мужчина (одинокий)",7203,"не было кредитов",45,"бизнес","надежный",3
58,"арендатор","женщина",3110,"есть непогашенные кредиты",21,"мебель","надежный",2
32,"без жилья","мужчина (одинокий)",11283,"есть просрочки платежей",21,"новая машина","ненадежный",1
20,"арендатор","женщина",1058,"есть непогашенные кредиты",9,"бизнес","надежный",1
55,"без жилья","мужчина (разведенный)",9579,"есть непогашенные кредиты",36,"подержанная машина","надежный",1
61,"домовладелец","мужчина (одинокий)",2552,"есть просрочки платежей",35,"бытовая техника","надежный",2
31,"домовладелец","мужчина (одинокий)",13406,"есть непогашенные кредиты",59,"бытовая техника","ненадежный",2
42,"домовладелец","мужчина (женатый или вдовец)",1619,"есть непогашенные кредиты",16,"другое","ненадежный",1
18,"домовладелец","женщина",2167,"есть непогашенные кредиты",8,"мебель","надежный",1
52,"арендатор","мужчина (одинокий)",1825,"есть непогашенные кредиты",4,"подержанная машина","надежный",1
34,"домовладелец","мужчина (одинокий)",3420,"есть просрочки платежей",30,"бизнес","надежный",4
49,"домовладелец","женщина",329,"есть просрочки платежей",5,"новая машина","надежный",2
32,"домовладелец","женщина",2743,"есть непогашенные кредиты",19,"новая машина","надежный",1
31,"домовладелец","женщина",856,"есть просрочки платежей",29,"новая машина","надежный",2
34,"домовладелец","мужчина (женатый или вдовец)",620,"есть непогашенные кредиты",8,"бытовая техника","ненадежный",1
25,"домовладелец","мужчина (одинокий)",1671,"есть просрочки платежей",7,"новая машина","надежный",2
39,"без жилья","мужчина (одинокий)",13048,"есть просрочки платежей",69,"подержанная машина","надежный",2
37,"арендатор","мужчина (одинокий)",5368,"есть просрочки платежей",8,"новая машина","надежный",2
29,"домовладелец","мужчина (одинокий)",1951,"есть просрочки платежей",7,"мебель","надежный",1
24,"домовладелец","мужчина (одинокий)",1936,"есть непогашенные кредиты",26,"бытовая техника","надежный",1
30,"арендатор","женщина",1770,"есть непогашенные кредиты",5,"мебель","надежный",1
48,"домовладелец","мужчина (одинокий)",1787,"есть непогашенные кредиты",16,"бытовая техника","надежный",1
38,"домовладелец","женщина",948,"есть непогашенные кредиты",13,"мебель","ненадежный",1
25,"арендатор","женщина",628,"есть непогашенные кредиты",4,"мебель","надежный",1
25,"домовладелец","мужчина (одинокий)",1368,"есть просрочки платежей",11,"бытовая техника","надежный",2
33,"домовладелец","мужчина (одинокий)",5112,"есть непогашенные кредиты",35,"бытовая техника","надежный",1
30,"домовладелец","мужчина (женатый или вдовец)",768,"есть непогашенные кредиты",10,"бытовая техника","надежный",1
18,"арендатор","женщина",3508,"есть непогашенные кредиты",38,"новая машина","ненадежный",1
22,"домовладелец","женщина",2714,"есть непогашенные кредиты",23,"новая машина","надежный",1
27,"арендатор","женщина",1716,"есть непогашенные кредиты",17,"новая машина","ненадежный",1
30,"домовладелец","мужчина (одинокий)",2227,"есть непогашенные кредиты",11,"бытовая техника","надежный",1
52,"домовладелец","женщина",10535,"все кредиты погашены",38,"подержанная машина","ненадежный",1
40,"домовладелец","мужчина (одинокий)",1713,"есть непогашенные кредиты",8,"бытовая техника","надежный",1
51,"домовладелец","мужчина (одинокий)",5114,"не было кредитов",16,"бизнес","ненадежный",2
71,"без жилья","мужчина (одинокий)",2692,"не было кредитов",56,"бизнес","ненадежный",1
51,"домовладелец","мужчина (одинокий)",8857,"есть непогашенные кредиты",27,"новая машина","надежный",1
31,"домовладелец","мужчина (одинокий)",13701,"есть непогашенные кредиты",14,"другое","ненадежный",2
24,"домовладелец","мужчина (одинокий)",1723,"есть непогашенные кредиты",24,"мебель","надежный",1
28,"домовладелец","мужчина (женатый или вдовец)",1816,"есть непогашенные кредиты",27,"бытовая техника","ненадежный",1
32,"домовладелец","мужчина (одинокий)",3215,"есть просрочки платежей",32,"бытовая техника","надежный",2
27,"домовладелец","женщина",8791,"есть просрочки платежей",41,"бытовая техника","надежный",2
20,"арендатор","женщина",1867,"есть непогашенные кредиты",22,"новая машина","ненадежный",1
44,"домовладелец","мужчина (разведенный)",2992,"есть непогашенные кредиты",19,"мебель","надежный",1
25,"домовладелец","мужчина (одинокий)",837,"есть непогашенные кредиты",25,"бытовая техника","надежный",2
35,"без жилья","женщина",6993,"есть непогашенные кредиты",24,"новая машина","надежный",1
33,"арендатор","мужчина (одинокий)",1618,"есть непогашенные кредиты",40,"бытовая техника","надежный",1
25,"домовладелец","мужчина (одинокий)",3245,"есть непогашенные кредиты",25,"новая машина","надежный",1
29,"домовладелец","мужчина (одинокий)",741,"все кредиты погашены",7,"новая машина","надежный",1
40,"домовладелец","мужчина (одинокий)",5406,"есть непогашенные кредиты",38,"мебель","надежный",1
25,"арендатор","женщина",1305,"есть непогашенные кредиты",14,"другое","ненадежный",1
74,"без жилья","мужчина (одинокий)",2954,"есть непогашенные кредиты",14,"бытовая техника","ненадежный",2
41,"домовладелец","мужчина (одинокий)",2509,"есть непогашенные кредиты",27,"образование","ненадежный",1
70,"арендатор","мужчина (разведенный)",2253,"есть непогашенные кредиты",14,"бизнес","ненадежный",2
29,"без жилья","мужчина (одинокий)",7279,"есть непогашенные кредиты",37,"подержанная машина","надежный",1
50,"арендатор","женщина",1650,"есть просрочки платежей",35,"бытовая техника","надежный",2
34,"без жилья","мужчина (одинокий)",14434,"есть просрочки платежей",30,"подержанная машина","надежный",3
22,"домовладелец","мужчина (одинокий)",4821,"есть непогашенные кредиты",15,"мебель","надежный",1
26,"домовладелец","женщина",2340,"есть непогашенные кредиты",27,"новая машина","надежный",1
39,"арендатор","женщина",2948,"есть непогашенные кредиты",13,"мебель","надежный",1
33,"без жилья","мужчина (одинокий)",14073,"есть просрочки платежей",35,"подержанная машина","надежный",2
25,"домовладелец","мужчина (одинокий)",2514,"есть просрочки платежей",7,"новая машина","надежный",2
22,"арендатор","мужчина (одинокий)",1550,"есть непогашенные кредиты",18,"бытовая техника","надежный",1
38,"домовладелец","мужчина (одинокий)",2306,"есть непогашенные кредиты",25,"мебель","ненадежный",1
20,"домовладелец","женщина",4853,"есть непогашенные кредиты",14,"подержанная машина","надежный",1
35,"домовладелец","женщина",4562,"все кредиты погашены",17,"другое","надежный",1
50,"домовладелец","мужчина (одинокий)",2551,"есть просрочки платежей",28,"бытовая техника","надежный",2
35,"арендатор","мужчина (женатый или вдовец)",1246,"есть непогашенные кредиты",11,"бытовая техника","надежный",1
18,"без жилья","мужчина (одинокий)",2667,"есть непогашенные кредиты",32,"мебель","надежный",1
33,"домовладелец","мужчина (одинокий)",1659,"есть непогашенные кредиты",12,"новая машина","надежный",1
18,"домовладелец","женщина",2356,"есть непогашенные кредиты",22,"новая машина","надежный",1
31,"домовладелец","женщина",15963,"не было кредитов",74,"другое","ненадежный",1
23,"арендатор","женщина",2852,"есть непогашенные кредиты",23,"новая машина","надежный",1
27,"домовладелец","женщина",4452,"есть просрочки платежей",34,"мебель","ненадежный",2
20,"арендатор","женщина",2536,"есть непогашенные кредиты",27,"мебель","ненадежный",1
45,"домовладелец","мужчина (одинокий)",2419,"есть непогашенные кредиты",8,"бытовая техника","надежный",1
44,"домовладелец","мужчина (одинокий)",6452,"есть просрочки платежей",11,"мебель","надежный",2
32,"домовладелец","мужчина (одинокий)",1445,"есть непогашенные кредиты",15,"другое","надежный",2
42,"домовладелец","мужчина (женатый или вдовец)",5224,"есть просрочки платежей",16,"бизнес","надежный",3
34,"домовладелец","мужчина (одинокий)",699,"есть непогашенные кредиты",16,"бытовая техника","надежный",2
24,"арендатор","женщина",3803,"есть непогашенные кредиты",19,"подержанная машина","надежный",1
29,"арендатор","мужчина (одинокий)",1855,"есть непогашенные кредиты",11,"мебель","ненадежный",1
33,"домовладелец","мужчина (женатый или вдовец)",638,"есть непогашенные кредиты",19,"бытовая техника","надежный",1
44,"домовладелец","мужчина (одинокий)",4336,"есть непогашенные кредиты",72,"другое","ненадежный",1
58,"домовладелец","мужчина (одинокий)",1240,"есть просрочки платежей",16,"новая машина","надежный",2
43,"домовладелец","мужчина (одинокий)",2156,"есть просрочки платежей",11,"новая машина","надежный",3
24,"арендатор","женщина",2252,"есть непогашенные кредиты",26,"бизнес","надежный",1
26,"домовладелец","мужчина (женатый или вдовец)",3767,"есть непогашенные кредиты",28,"образование","надежный",1
72,"домовладелец","мужчина (одинокий)",1345,"есть просрочки платежей",4,"бытовая техника","надежный",2
44,"домовладелец","мужчина (одинокий)",2302,"все кредиты погашены",39,"бизнес","надежный",1
28,"домовладелец","женщина",2520,"есть непогашенные кредиты",29,"новая машина","ненадежный",1
