"Class","Year_begin","Year_end","Subject","ShortName","TeamSize","Status","OlympiadType"
10,2018,2019,"Биология","СУНЦ МГУ",4,"призёр","Всероссийская олимпиада"
9,2018,2019,"Литература","ГБОУ школа № 1173",4,"призёр","Районная олимпиада"
9,2016,2017,"Экология","ГБОУ школа № 171",5,"победитель","Всероссийская олимпиада"
11,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 37",4,"призёр","Всероссийская олимпиада"
10,2019,2020,"Литература","ГБОУ школа № 1980",5,"призёр","Всероссийская олимпиада"
9,2019,2020,"Физика","ГБОУ школа № 1580",3,"призёр","Всероссийская олимпиада"
11,2018,2019,"Иностранный язык (немецкий язык)","ГБОУ школа № 625",5,"призёр","Всероссийская олимпиада"
10,2019,2020,"Технология","ГБОУ школа № 69",4,"призёр","Всероссийская олимпиада"
6,2016,2017,"Математика","ГБОУ гимназия № 1534",5,"призёр","Московская олимпиада"
10,2018,2019,"Математика","ГБОУ школа № 179",3,"призёр","Всероссийская олимпиада"
10,2016,2017,"Литература","ГБОУ гимназия № 1582",4,"призёр","Всероссийская олимпиада"
11,2017,2018,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",4,"призёр","Всероссийская олимпиада"
9,2016,2017,"Русский язык","ГБОУ школа № 1474",4,"призёр","Всероссийская олимпиада"
10,2015,2016,"Право","НИУ ВШЭ. лицей",3,"призёр","Районная олимпиада"
11,2015,2016,"Право","ФГБОУ ВО МГЛУ",3,"призёр","Всероссийская олимпиада"
10,2014,2015,"Обществознание","ГБОУ лицей № 138",5,"призёр","Районная олимпиада"
6,2012,2013,"Биология","ГБОУ школа-интернат «Интеллектуал»",3,"призёр","Московская олимпиада"
10,2018,2019,"Экология","ГБОУ школа № 1517",3,"победитель","Всероссийская олимпиада"
8,2016,2017,"История","ГБОУ школа № 1287",4,"призёр","Московская олимпиада"
10,2016,2017,"Мировая Художественная Культура (МХК)","НИУ ВШЭ. лицей",3,"призёр","Всероссийская олимпиада"
11,2017,2018,"Право","ГБОУ школа № 1985",5,"призёр","Всероссийская олимпиада"
9,2019,2020,"Русский язык","ГБОУ школа № 1286",5,"призёр","Всероссийская олимпиада"
11,2017,2018,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",3,"призёр","Всероссийская олимпиада"
11,2019,2020,"Химия","ГБОУ школа № 1253",4,"призёр","Районная олимпиада"
10,2013,2014,"Обществознание","ГБОУ СОШ № 1234",3,"призёр","Всероссийская олимпиада"
4,2013,2014,"Экономика","ГБОУ ЦО № 1637",5,"призёр","Московская олимпиада"
9,2012,2013,"Математика","ГБОУ ЦО № 1329",3,"призёр","Всероссийская олимпиада"
9,2016,2017,"Математика","МАОУ «Лицей города Троицка»",3,"призёр","Всероссийская олимпиада"
11,2013,2014,"Обществознание","ГБОУ ЦО № 218",5,"призёр","Всероссийская олимпиада"
5,2016,2017,"астрономия","ГБОУ лицей № 1367",3,"призёр","Московская олимпиада"
11,2017,2018,"Основы безопасности жизнедеятельности","ФГКОУ «Кадетский корпус Следственного комитета Российской Федерации имени Александра Невского» или «Кадетский корпус Следственного комитета»",3,"призёр","Районная олимпиада"
11,2019,2020,"Право","Финансовый университет",3,"призёр","Районная олимпиада"
10,2016,2017,"Обществознание","ГБОУ «Образовательный центр на проспекте Вернадского»",4,"призёр","Районная олимпиада"
10,2016,2017,"Право","ГБОУ Многопрофильный лицей № 1799",5,"призёр","Всероссийская олимпиада"
11,2016,2017,"Физическая культура","ГБОУ школа № 1252 имени Сервантеса",5,"победитель","Всероссийская олимпиада"
11,2017,2018,"Биология","ГБОУ школа № 1944",5,"призёр","Всероссийская олимпиада"
11,2019,2020,"Обществознание","ГБПОУ «Воробьевы горы»",5,"призёр","Всероссийская олимпиада"
10,2018,2019,"Право","лицей НИУ ВШЭ",4,"призёр","Всероссийская олимпиада"
9,2014,2015,"Физика","ГБОУ гимназия № 1519",3,"призёр","Всероссийская олимпиада"
7,2012,2013,"Математика","ГБОУ Физматшкола 2007",4,"призёр","Московская олимпиада"
11,2018,2019,"Литература","ГБОУ школа № 2089",3,"призёр","Районная олимпиада"
11,2019,2020,"Экология","Московский педагогический государственный университет ФГБОУ ВО «МПГУ» МПГУ (ЛГТ МПГУ)",5,"призёр","Районная олимпиада"
11,2018,2019,"Биология","ФГАОУ ВО Первый МГМУ им И.М. Сеченова Минздрава России (Сеченовский университет)",4,"призёр","Всероссийская олимпиада"
9,2019,2020,"Литература","ГБОУ школа № 117",5,"призёр","Всероссийская олимпиада"
11,2013,2014,"Обществознание","ГБОУ СОШ № 1465 имени Н.Г. Кузнецова",5,"призёр","Всероссийская олимпиада"
10,2019,2020,"Русский язык","ГБОУ школа № 1440",5,"призёр","Всероссийская олимпиада"
10,2013,2014,"Иностранный язык (английский язык)","ГБОУ лицей № 1580",4,"призёр","Всероссийская олимпиада"
9,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 1580",5,"призёр","Всероссийская олимпиада"
10,2012,2013,"Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"призёр","Всероссийская олимпиада"
11,2013,2014,"Иностранный язык (французский язык)","ГБОУ СОШ № 1265",4,"призёр","Всероссийская олимпиада"
7,2015,2016,"Математика","ГБОУ школа № 2097",5,"призёр","Московская олимпиада"
9,2013,2014,"Литература","ГБОУ гимназия № 1514",3,"призёр","Всероссийская олимпиада"
9,2018,2019,"Математика","ГБОУ «Лицей «Вторая школа»",3,"победитель","Всероссийская олимпиада"
11,2019,2020,"История","ГБОУ школа № 1582",3,"призёр","Всероссийская олимпиада"
11,2016,2017,"Обществознание","ФГБОУ ВО МГЛУ",3,"призёр","Всероссийская олимпиада"
11,2015,2016,"Информатика","ГБОУ ЛГК на Юго-Востоке",5,"призёр","Всероссийская олимпиада"
5,2012,2013,"Изобразительное искусство","ГБОУ школа № 1741",5,"победитель","Московская олимпиада"
10,2016,2017,"Литература","ГБОУ школа № 1353",3,"призёр","Всероссийская олимпиада"
5,2016,2017,"Робототехника","ГБОУ школа № 641 имени С. Есенина",4,"призёр","Московская олимпиада"
11,2015,2016,"Изобразительное искусство","ГБОУ школа № 236",5,"победитель","Московская олимпиада"
11,2015,2016,"История","ГБОУ СОШ № 654 имени А.Д. Фридмана",3,"победитель","Всероссийская олимпиада"
9,2013,2014,"География","ГБОУ ЦО № 1694 «Ясенево»",4,"призёр","Районная олимпиада"
9,2018,2019,"Математика","ГБОУ «Лицей «Вторая школа»",5,"победитель","Всероссийская олимпиада"
9,2018,2019,"Право","ГБПОУ «Воробьевы горы»",4,"призёр","Районная олимпиада"
10,2016,2017,"Математика","ГАОУ ВПО МИОО. СОШ № 179",3,"победитель","Московская олимпиада"
10,2019,2020,"Технология","ГБОУ школа «Дмитровский»",3,"призёр","Районная олимпиада"
11,2015,2016,"Математика","ГБОУ лицей «Вторая школа»",4,"призёр","Районная олимпиада"
10,2016,2017,"Право","ГБОУ гимназия № 1519",5,"призёр","Всероссийская олимпиада"
5,2012,2013,"Изобразительное искусство","ГБОУ СОШ № 305",3,"призёр","Московская олимпиада"
11,2017,2018,"Математика","ГБОУ школа № 2007 ФМШ",4,"призёр","Всероссийская олимпиада"
5,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 1238",5,"призёр","Московская олимпиада"
9,2017,2018,"Литература","ГБОУ школа № 1246",3,"призёр","Всероссийская олимпиада"
11,2014,2015,"Литература","ГБОУ школа № 2077",3,"призёр","Всероссийская олимпиада"
9,2019,2020,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",5,"победитель","Всероссийская олимпиада"
11,2016,2017,"Биология","ГБОУ «Курчатовская школа»",5,"призёр","Всероссийская олимпиада"
9,2018,2019,"Основы безопасности жизнедеятельности","ФГКОУ «МСВУ МО РФ»",4,"призёр","Всероссийская олимпиада"
9,2012,2013,"География","ГБОУ гимназия № 1565 «Свиблово»",3,"призёр","Районная олимпиада"
11,2014,2015,"Право","ГБОУ школа № 2111",5,"призёр","Всероссийская олимпиада"
9,2017,2018,"Иностранный язык (испанский язык)","ГБОУ школа № 1252",5,"призёр","Всероссийская олимпиада"
11,2014,2015,"Иностранный язык (английский язык)","ГБОУ школа № 1947",5,"призёр","Районная олимпиада"
9,2015,2016,"Основы безопасности жизнедеятельности","ГБОУ Петровский кадетский корпус",4,"призёр","Районная олимпиада"
9,2017,2018,"Биология","ГБОУ школа № 1543",4,"победитель","Всероссийская олимпиада"
11,2018,2019,"Иностранный язык (испанский язык)","ГБОУ школа № 1568",5,"призёр","Районная олимпиада"
11,2014,2015,"Иностранный язык (английский язык)","ГБОУ Пушкинский лицей № 1500",5,"призёр","Всероссийская олимпиада"
7,2015,2016,"Изобразительное искусство","ГБОУ школа № 1324",3,"призёр","Московская олимпиада"
9,2018,2019,"Физика","ГБОУ «Лицей «Вторая школа»",5,"победитель","Всероссийская олимпиада"
11,2014,2015,"Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",3,"призёр","Московская олимпиада"
11,2019,2020,"Экономика","лицей НИУ ВШЭ",3,"призёр","Всероссийская олимпиада"
9,2017,2018,"Обществознание","ГБОУ школа № 1359",4,"призёр","Районная олимпиада"
11,2015,2016,"География","ГБОУ школа № 1273",3,"призёр","Всероссийская олимпиада"
10,2014,2015,"Иностранный язык (немецкий язык)","ГБОУ СОШ № 1222",4,"призёр","Всероссийская олимпиада"
6,2014,2015,"Математика","ГБОУ Государственная столичная гимназия",5,"призёр","Московская олимпиада"
9,2018,2019,"Математика","ГБОУ «Курчатовская школа»",4,"призёр","Районная олимпиада"
9,2016,2017,"Литература","ГБОУ гимназия № 1257",5,"призёр","Всероссийская олимпиада"
11,2017,2018,"История","ГБОУ школа № 1522 имени В.И. Чуркина",5,"призёр","Всероссийская олимпиада"
8,2015,2016,"филология","ГБОУ лицей № 429 «Соколиная гора»",4,"призёр","Московская олимпиада"
7,2015,2016,"Математика","ГАОУ ВО МИОО. СОШ № 179",3,"призёр","Московская олимпиада"
9,2018,2019,"Физика","ГБОУ школа № 1580",4,"призёр","Районная олимпиада"
10,2017,2018,"Иностранный язык (итальянский язык)","ГБОУ школа № 444",4,"призёр","Всероссийская олимпиада"
11,2015,2016,"Обществознание","ГБОУ школа № 1130",4,"призёр","Всероссийская олимпиада"
9,2012,2013,"История","ГБОУ гимназия № 1569",4,"призёр","Московская олимпиада"
7,2016,2017,"Математика","ГАОУ ВПО МИОО. СОШ № 179",4,"призёр","Московская олимпиада"
11,2017,2018,"Физика","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",4,"призёр","Всероссийская олимпиада"
10,2015,2016,"Обществознание","ГБОУ лицей № 1535",3,"призёр","Всероссийская олимпиада"
11,2015,2016,"Химия","ГБОУ лицей № 1535",5,"призёр","Московская олимпиада"
3,2013,2014,"Экономика","ГБОУ СОШ № 962",5,"победитель","Московская олимпиада"
11,2018,2019,"Литература","ГБОУ школа № 1474",3,"призёр","Всероссийская олимпиада"
9,2012,2013,"Литература","ГБОУ Московская гимназия на Юго-Западе № 1543",5,"победитель","Всероссийская олимпиада"
11,2012,2013,"Право","НОУ ЦО «Школа Сотрудничества»",3,"призёр","Всероссийская олимпиада"
9,2017,2018,"История","ГБОУ школа № 2114",3,"призёр","Всероссийская олимпиада"
11,2016,2017,"Основы безопасности жизнедеятельности","ФГКОУ «МСВУ МО РФ»",3,"призёр","Всероссийская олимпиада"
10,2018,2019,"астрономия","ГБОУ школа № 179",3,"призёр","Московская олимпиада"
11,2014,2015,"Литература","ГБОУ школа № 1741",3,"призёр","Всероссийская олимпиада"
9,2015,2016,"География","ГБОУ гимназия № 1584",4,"призёр","Районная олимпиада"
11,2015,2016,"История","ГБОУ школа № 2005",3,"призёр","Всероссийская олимпиада"
7,2015,2016,"Физика","ГБОУ школа № 1286",4,"призёр","Московская олимпиада"
10,2015,2016,"Биология","ГБОУ гимназия № 1567",5,"победитель","Всероссийская олимпиада"
10,2015,2016,"Химия","ГБОУ «Школа-интернат «Интеллектуал»",5,"призёр","Московская олимпиада"
8,2014,2015,"Информатика","ГАОУ ВО МИОО. СОШ № 179",5,"призёр","Московская олимпиада"
11,2017,2018,"Основы безопасности жизнедеятельности","ФГКОУ «Кадетский корпус Следственного комитета Российской Федерации имени Александра Невского» или «Кадетский корпус Следственного комитета»",4,"победитель","Районная олимпиада"
11,2014,2015,"Основы безопасности жизнедеятельности","ГБОУ гимназия № 1540",4,"призёр","Всероссийская олимпиада"
6,2015,2016,"Математика","ГБОУ школа № 444",4,"победитель","Московская олимпиада"
10,2016,2017,"Физика","ГБОУ лицей № 1568",4,"призёр","Всероссийская олимпиада"
10,2016,2017,"Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"призёр","Всероссийская олимпиада"
10,2014,2015,"Иностранный язык (испанский язык)","ГБОУ школа № 2123 им. М. Эрнандеса",3,"призёр","Московская олимпиада"
8,2015,2016,"Изобразительное искусство","ГБОУ школа № 1955",4,"победитель","Московская олимпиада"
11,2018,2019,"Биология","ГБОУ школа № 57",5,"призёр","Всероссийская олимпиада"
11,2015,2016,"Химия","ГБОУ лицей № 1535",5,"призёр","Всероссийская олимпиада"
10,2015,2016,"Основы безопасности жизнедеятельности","ГБОУ школа № 1302",5,"призёр","Всероссийская олимпиада"
9,2017,2018,"Биология","ГБОУ школа № 192",5,"призёр","Районная олимпиада"
5,2017,2018,"История","ГБОУ школа № 1590",3,"призёр","Московская олимпиада"
9,2015,2016,"Физика","ГБОУ школа № 1329",4,"призёр","Всероссийская олимпиада"
11,2016,2017,"Экология","ГБОУ школа № 171",4,"призёр","Всероссийская олимпиада"
7,2016,2017,"Математика","ГБОУ Физматшкола № 2007",4,"призёр","Московская олимпиада"
7,2012,2013,"Технология","ГБОУ школа № 1492",5,"призёр","Московская олимпиада"
4,2013,2014,"предпринимательство","ГБОУ гимназия № 45",5,"победитель","Московская олимпиада"
7,2017,2018,"Математика","ГБОУ школа № 57",3,"призёр","Московская олимпиада"
6,2018,2019,"Биология","ГБОУ школа № 1601",5,"призёр","Московская олимпиада"
5,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 799",3,"призёр","Московская олимпиада"
10,2019,2020,"Мировая Художественная Культура (МХК)","ГБОУ школа № 508",3,"призёр","Всероссийская олимпиада"
9,2015,2016,"астрономия","ГАОУ «Гимназия № 1518»",3,"победитель","Московская олимпиада"
11,2018,2019,"История","ГБОУ школа № 1270",5,"призёр","Всероссийская олимпиада"
11,2013,2014,"География","ГБОУ СОШ № 651",3,"призёр","Московская олимпиада"
11,2015,2016,"Математика","ГБОУ Физматшкола № 2007",3,"призёр","Московская олимпиада"
9,2018,2019,"Иностранный язык (французский язык)","ГБОУ школа № 1517",5,"призёр","Всероссийская олимпиада"
10,2017,2018,"Обществознание","ГБОУ школа № 1297",4,"призёр","Всероссийская олимпиада"
11,2019,2020,"Обществознание","ГБОУ школа № 625",5,"призёр","Всероссийская олимпиада"
10,2016,2017,"Информатика","ГБОУ школа № 57",3,"призёр","Всероссийская олимпиада"
10,2013,2014,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1319",5,"призёр","Районная олимпиада"
10,2015,2016,"Физическая культура","ГБОУ школа № 2006",4,"победитель","Районная олимпиада"
11,2015,2016,"Литература","ГБОУ школа № 183",5,"призёр","Районная олимпиада"
11,2013,2014,"Информатика","ГБОУ Физматшкола 2007",5,"призёр","Московская олимпиада"
9,2016,2017,"Физика","ГБОУ школа № 1212",3,"призёр","Районная олимпиада"
11,2018,2019,"Иностранный язык (английский язык)","ГБОУ школа № 1273",5,"призёр","Всероссийская олимпиада"
10,2014,2015,"Литература","ГБОУ СОШ № 2030",4,"призёр","Районная олимпиада"
10,2016,2017,"Основы безопасности жизнедеятельности","ГБОУ школа № 554",5,"призёр","Всероссийская олимпиада"
11,2018,2019,"Математика","ГБОУ школа № 2007 ФМШ",4,"призёр","Московская олимпиада"
9,2017,2018,"Математика","ГБОУ лицей «Вторая школа»",3,"победитель","Всероссийская олимпиада"
7,2015,2016,"Технология","ГБОУ школа № 1492",5,"победитель","Московская олимпиада"
8,2019,2020,"Биология","ГБОУ школа № 57",5,"призёр","Всероссийская олимпиада"
6,2018,2019,"Бюджетная грамотность","ГБОУ школа № 1568",5,"призёр","Московская олимпиада"
11,2019,2020,"Экология","ГБОУ школа № 1095",3,"призёр","Всероссийская олимпиада"
10,2016,2017,"Право","ГБОУ лицей № 1535",4,"призёр","Всероссийская олимпиада"
9,2013,2014,"Литература","ГБОУ Лингвистический лицей № 1555",4,"призёр","Всероссийская олимпиада"
11,2015,2016,"Литература","ГБОУ лицей № 1547",4,"призёр","Всероссийская олимпиада"
10,2018,2019,"История","ГБОУ «Курчатовская школа»",3,"призёр","Районная олимпиада"
6,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 1914",4,"призёр","Московская олимпиада"
4,2013,2014,"Изобразительное искусство","ГБОУ ЦО № 1601",4,"победитель","Московская олимпиада"
9,2015,2016,"Основы безопасности жизнедеятельности","ГБОУ школа № 1252 имени Сервантеса",5,"призёр","Всероссийская олимпиада"
9,2015,2016,"Литература","ГБОУ гимназия № 1531",5,"призёр","Всероссийская олимпиада"
11,2012,2013,"Обществознание","ГБОУ СОШ № 368 «Лосиный остров»",5,"призёр","Районная олимпиада"
11,2013,2014,"Мировая Художественная Культура (МХК)","ФГКОУ «МКК ПВ МО РФ»",3,"призёр","Всероссийская олимпиада"
11,2017,2018,"Экономика","НИУ ВШЭ. лицей",5,"призёр","Всероссийская олимпиада"
10,2018,2019,"Иностранный язык (английский язык)","лицей НИУ ВШЭ",5,"призёр","Всероссийская олимпиада"
11,2016,2017,"История","ГБОУ школа № 15",4,"призёр","Районная олимпиада"
9,2016,2017,"Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1520 им. Капцовых",5,"призёр","Районная олимпиада"
11,2015,2016,"История","НИУ ВШЭ. лицей",5,"призёр","Районная олимпиада"
11,2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",3,"призёр","Районная олимпиада"
9,2019,2020,"Физика","ОАНО «Школа «ЛЕТОВО»",3,"призёр","Всероссийская олимпиада"
9,2014,2015,"Физическая культура","ГБОУ гимназия № 1619",5,"призёр","Всероссийская олимпиада"
7,2013,2014,"Математика","ГБОУ школа-интернат «Интеллектуал»",4,"призёр","Московская олимпиада"
11,2018,2019,"Химия","ГБОУ школа № 218",5,"призёр","Московская олимпиада"
10,2018,2019,"Иностранный язык (китайский язык)","лицей НИУ ВШЭ",3,"призёр","Всероссийская олимпиада"
11,2014,2015,"Экономика","НИУ ВШЭ. лицей",3,"призёр","Всероссийская олимпиада"
10,2014,2015,"География","ГБОУ гимназия № 1619",3,"призёр","Московская олимпиада"
11,2012,2013,"Русский язык","НОЧУ «ШКОЛА «МУМИ-ТРОЛЛЬ»",5,"призёр","Всероссийская олимпиада"
9,2012,2013,"История","ГБОУ гимназия № 1534",4,"призёр","Районная олимпиада"
9,2019,2020,"Технология","ГБОУ школа № 2051",4,"призёр","Всероссийская олимпиада"
11,2018,2019,"Математика","ГБОУ школа № 179",3,"призёр","Всероссийская олимпиада"
11,2016,2017,"Право","ГБОУ школа № 38",5,"призёр","Всероссийская олимпиада"
11,2018,2019,"Мировая Художественная Культура (МХК)","ФГКОУ «МКК ПВ МО РФ»",4,"победитель","Всероссийская олимпиада"
10,2014,2015,"Иностранный язык (немецкий язык)","ГБОУ СОШ № 1308",5,"призёр","Всероссийская олимпиада"
10,2012,2013,"Химия","ГБОУ Московская гимназия на Юго-Западе № 1543",4,"призёр","Всероссийская олимпиада"
9,2018,2019,"Русский язык","ГБОУ Инженерно-техническая школа",3,"призёр","Всероссийская олимпиада"
10,2018,2019,"Физика","ГБПОУ «Воробьевы горы»",5,"призёр","Московская олимпиада"
11,2017,2018,"География","ГБОУ школа № 1547",3,"призёр","Всероссийская олимпиада"
10,2015,2016,"Физика","ГБОУ лицей № 1557",3,"победитель","Московская олимпиада"
9,2018,2019,"Химия","ГБОУ школа № 1474",3,"призёр","Всероссийская олимпиада"
9,2016,2017,"Литература","ГБОУ Многопрофильная школа № 1220",5,"призёр","Районная олимпиада"
11,2018,2019,"Иностранный язык (немецкий язык)","ГБОУ школа № 1501",4,"призёр","Районная олимпиада"
9,2019,2020,"Биология","ГБОУ «Школа № 448»",4,"призёр","Всероссийская олимпиада"
10,2018,2019,"География","ГБОУ школа № 962",4,"призёр","Московская олимпиада"
9,2012,2013,"География","ГБОУ лицей № 1303",4,"призёр","Всероссийская олимпиада"
10,2016,2017,"Физика","ГБОУ лицей «Вторая школа»",3,"победитель","Московская олимпиада"
9,2019,2020,"География","ГБОУ «Школа Новокосино»",5,"призёр","Районная олимпиада"
10,2017,2018,"Искусство (МХК)","ГБОУ школа № 1310",3,"победитель","Всероссийская олимпиада"
10,2015,2016,"Математика","ГБОУ школа № 57",4,"призёр","Всероссийская олимпиада"
4,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 1188",3,"победитель","Московская олимпиада"
9,2015,2016,"География","ГБОУ Многопрофильный лицей № 1799",3,"призёр","Всероссийская олимпиада"
9,2016,2017,"Технология","ГБОУ лицей № 1502 при МЭИ",5,"призёр","Всероссийская олимпиада"
9,2016,2017,"Физика","ГБОУ лицей № 1571",5,"призёр","Всероссийская олимпиада"
11,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 1034",4,"призёр","Всероссийская олимпиада"
9,2018,2019,"Право","ГБОУ школа № 2089",5,"призёр","Всероссийская олимпиада"
10,2012,2013,"Литература","ГБОУ ЦО № 57",3,"призёр","Всероссийская олимпиада"
10,2017,2018,"Экология","ГБОУ школа «Покровский квартал»",5,"призёр","Районная олимпиада"
10,2015,2016,"Мировая Художественная Культура (МХК)","НИУ ВШЭ. лицей",3,"призёр","Всероссийская олимпиада"
7,2013,2014,"филология","ГБОУ ЦО № 218",5,"призёр","Московская олимпиада"
9,2018,2019,"Литература","ГБОУ школа № 1252",4,"призёр","Всероссийская олимпиада"
10,2019,2020,"Экология","ГБОУ школа № 1347",3,"победитель","Всероссийская олимпиада"
11,2017,2018,"Русский язык","ГБОУ школа на проспекте Вернадского",4,"призёр","Всероссийская олимпиада"
10,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 2090",5,"призёр","Всероссийская олимпиада"
11,2018,2019,"Биология","ГБОУ школа № 1387",3,"призёр","Районная олимпиада"
11,2018,2019,"Обществознание","ГБОУ школа № 1302",5,"призёр","Всероссийская олимпиада"
7,2018,2019,"Биология","ГБОУ «Лицей «Вторая школа»",5,"призёр","Московская олимпиада"
6,2018,2019,"География","ГБОУ Инженерно-техническая школа",4,"призёр","Московская олимпиада"
11,2015,2016,"Литература","ГБОУ Пушкинский лицей № 1500",4,"призёр","Всероссийская олимпиада"
8,2013,2014,"Экономика","ОЧУ СОШ «Финансово-экономическая школа»",5,"победитель","Московская олимпиада"
10,2015,2016,"Математика","ГБОУ лицей «Вторая школа»",4,"призёр","Московская олимпиада"
6,2013,2014,"филология","ГБОУ гимназия № 1562",5,"победитель","Московская олимпиада"
9,2019,2020,"Физика","ОАНО «Школа «ЛЕТОВО»",3,"призёр","Всероссийская олимпиада"
10,2013,2014,"Литература","ГБОУ Московская гимназия на Юго-Западе № 1543",5,"призёр","Всероссийская олимпиада"
8,2012,2013,"Биология","ГБОУ СОШ № 1199 «Лига Школ»",4,"призёр","Московская олимпиада"
11,2014,2015,"Иностранный язык (английский язык)","ГБОУ Многопрофильный лицей № 1799",4,"призёр","Всероссийская олимпиада"
9,2012,2013,"Физика","ГБОУ лицей № 1501",5,"призёр","Всероссийская олимпиада"
6,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 1188",5,"победитель","Московская олимпиада"
5,2013,2014,"Изобразительное искусство","МАОУ «Гимназия имени Н.В. Пушкова»",5,"призёр","Московская олимпиада"
6,2017,2018,"География","ГБОУ школа № 1619",5,"призёр","Московская олимпиада"
5,2016,2017,"филология","ГБОУ школа № 1270",5,"призёр","Московская олимпиада"
11,2015,2016,"Литература","ГБОУ школа № 345",5,"призёр","Всероссийская олимпиада"
9,2019,2020,"Русский язык","ГБОУ школа № 2033",4,"призёр","Всероссийская олимпиада"
11,2018,2019,"Иностранный язык (немецкий язык)","ГБОУ школа № 1231",5,"призёр","Всероссийская олимпиада"
8,2014,2015,"Информатика","ГБОУ школа № 171",3,"призёр","Московская олимпиада"
6,2017,2018,"Математика","ГБОУ школа № 1288",3,"призёр","Московская олимпиада"
9,2018,2019,"Иностранный язык (английский язык)","ГБОУ школа № 1535",5,"призёр","Всероссийская олимпиада"
8,2013,2014,"Изобразительное искусство","ГБОУ СОШ № 1739",3,"призёр","Московская олимпиада"
5,2015,2016,"Изобразительное искусство","ГБОУ школа № 444",4,"победитель","Московская олимпиада"
11,2019,2020,"Экономика","ГБОУ «Лицей «Вторая школа»",4,"призёр","Всероссийская олимпиада"
10,2012,2013,"Экономика","ГБОУ лицей № 1303",5,"призёр","Московская олимпиада"
10,2016,2017,"Русский язык","ГБОУ школа № 1270",3,"призёр","Всероссийская олимпиада"
9,2016,2017,"Информатика","ГБОУ лицей № 1367",5,"призёр","Московская олимпиада"
9,2016,2017,"Иностранный язык (французский язык)","ГБОУ гимназия № 1576",3,"призёр","Всероссийская олимпиада"
10,2014,2015,"Иностранный язык (немецкий язык)","ГБОУ Московская гимназия на Юго-Западе № 1543",4,"призёр","Всероссийская олимпиада"
11,2018,2019,"Иностранный язык (английский язык)","ГБОУ школа № 2031",4,"призёр","Всероссийская олимпиада"
10,2014,2015,"Иностранный язык (английский язык)","ГБОУ гимназия № 1567",4,"призёр","Всероссийская олимпиада"
11,2019,2020,"Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"призёр","Районная олимпиада"
9,2012,2013,"лингвистика","ГБОУ ЦО № 1409",4,"призёр","Московская олимпиада"
9,2017,2018,"История","ГБОУ школа № 1310",4,"призёр","Районная олимпиада"
10,2017,2018,"История","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",4,"призёр","Районная олимпиада"
10,2017,2018,"Обществознание","ГБОУ школа № 1290",4,"призёр","Районная олимпиада"
11,2019,2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 2036",3,"призёр","Всероссийская олимпиада"
7,2018,2019,"Физика","ГБОУ школа № 1056",5,"победитель","Московская олимпиада"
10,2019,2020,"История","лицей НИУ ВШЭ",5,"призёр","Всероссийская олимпиада"
10,2019,2020,"Обществознание","лицей НИУ ВШЭ",5,"призёр","Всероссийская олимпиада"
11,2016,2017,"Литература","ГБОУ школа № 15",5,"призёр","Районная олимпиада"
11,2015,2016,"Литература","ГБОУ школа № 1256",5,"призёр","Всероссийская олимпиада"
11,2019,2020,"Обществознание","Российская академия государственной службы при Президенте Российской Федерации",4,"призёр","Районная олимпиада"
10,2014,2015,"Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"призёр","Районная олимпиада"
6,2015,2016,"Математика","ГБОУ Физматшкола № 2007",5,"призёр","Московская олимпиада"
5,2015,2016,"История","ГБОУ гимназия № 1591",4,"победитель","Московская олимпиада"
9,2015,2016,"Информатика","ГБОУ школа № 57",5,"призёр","Всероссийская олимпиада"
10,2015,2016,"География","ГБОУ лицей «Вторая школа»",5,"призёр","Районная олимпиада"
10,2015,2016,"Обществознание","ГАОУ «Гимназия № 1518»",4,"призёр","Всероссийская олимпиада"
