"housing","credit_amount","duration","personal_status","age","credit_history","existing_credits","purpose","type"
"домовладелец",3997,37,"мужчина (разведенный)",25,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",4963,19,"мужчина (одинокий)",18,"не было кредитов",2,"мебель","ненадежный"
"домовладелец",1312,29,"мужчина (женатый или вдовец)",31,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",2118,4,"мужчина (женатый или вдовец)",30,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",3121,12,"мужчина (одинокий)",35,"есть просрочки платежей",2,"новая машина","ненадежный"
"арендатор",3052,30,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",1328,20,"мужчина (женатый или вдовец)",28,"есть просрочки платежей",3,"новая машина","ненадежный"
"арендатор",3326,12,"женщина",32,"есть непогашенные кредиты",2,"новая машина","ненадежный"
"домовладелец",1584,9,"женщина",49,"есть непогашенные кредиты",1,"образование","надежный"
"домовладелец",592,28,"мужчина (одинокий)",26,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",3997,80,"мужчина (одинокий)",27,"есть непогашенные кредиты",1,"бизнес","ненадежный"
"домовладелец",3164,37,"мужчина (одинокий)",55,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",2462,10,"мужчина (одинокий)",29,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",694,8,"женщина",36,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1601,15,"мужчина (женатый или вдовец)",27,"есть непогашенные кредиты",1,"бизнес","надежный"
"домовладелец",5241,36,"мужчина (одинокий)",37,"не было кредитов",3,"бизнес","ненадежный"
"домовладелец",3147,22,"женщина",28,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",16816,71,"женщина",25,"есть просрочки платежей",2,"подержанная машина","ненадежный"
"домовладелец",3468,50,"мужчина (одинокий)",27,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2402,25,"женщина",28,"есть просрочки платежей",2,"образование","ненадежный"
"домовладелец",4845,29,"мужчина (разведенный)",32,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1645,10,"мужчина (женатый или вдовец)",31,"есть непогашенные кредиты",1,"новая машина","надежный"
"арендатор",1363,8,"женщина",18,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",1951,7,"мужчина (одинокий)",56,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",4247,36,"женщина",43,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2427,22,"мужчина (одинокий)",27,"есть просрочки платежей",1,"бизнес","надежный"
"домовладелец",1269,11,"мужчина (одинокий)",26,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2709,15,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",2458,28,"мужчина (одинокий)",34,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",838,17,"мужчина (одинокий)",28,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"без жилья",7822,12,"мужчина (одинокий)",58,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",678,7,"мужчина (одинокий)",35,"есть просрочки платежей",2,"образование","надежный"
"арендатор",507,23,"женщина",24,"есть непогашенные кредиты",1,"образование","надежный"
"домовладелец",8662,57,"женщина",26,"не было кредитов",2,"новая машина","надежный"
"домовладелец",3346,15,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1943,15,"мужчина (одинокий)",40,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1670,20,"женщина",24,"есть просрочки платежей",2,"мебель","надежный"
"без жилья",4560,21,"мужчина (одинокий)",45,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",16621,18,"мужчина (одинокий)",30,"есть непогашенные кредиты",2,"другое","ненадежный"
"без жилья",1774,9,"мужчина (одинокий)",46,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2778,11,"мужчина (разведенный)",68,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"без жилья",4481,31,"мужчина (одинокий)",42,"есть просрочки платежей",2,"ремонт жилья","надежный"
"домовладелец",3555,23,"мужчина (одинокий)",21,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",3764,7,"женщина",23,"есть просрочки платежей",2,"новая машина","ненадежный"
"домовладелец",2747,9,"мужчина (одинокий)",27,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",3286,51,"мужчина (одинокий)",52,"есть просрочки платежей",1,"бытовая техника","надежный"
"без жилья",5352,20,"женщина",20,"есть просрочки платежей",2,"образование","надежный"
"домовладелец",679,11,"мужчина (разведенный)",50,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",4211,19,"мужчина (одинокий)",36,"есть просрочки платежей",1,"мебель","надежный"
"арендатор",1071,7,"мужчина (одинокий)",18,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",9250,14,"мужчина (одинокий)",30,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",999,7,"мужчина (одинокий)",35,"есть просрочки платежей",3,"бытовая техника","надежный"
"домовладелец",771,19,"мужчина (женатый или вдовец)",46,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1182,12,"женщина",35,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",524,8,"мужчина (женатый или вдовец)",19,"есть непогашенные кредиты",1,"ремонт жилья","надежный"
"домовладелец",7327,9,"женщина",63,"есть просрочки платежей",1,"новая машина","надежный"
"арендатор",2107,20,"мужчина (одинокий)",42,"есть непогашенные кредиты",1,"образование","надежный"
"домовладелец",13575,67,"мужчина (одинокий)",43,"не было кредитов",1,"подержанная машина","надежный"
"домовладелец",808,12,"мужчина (одинокий)",64,"есть просрочки платежей",1,"бытовая техника","надежный"
"домовладелец",3975,19,"мужчина (одинокий)",45,"есть просрочки платежей",1,"мебель","надежный"
"арендатор",887,17,"мужчина (одинокий)",40,"есть непогашенные кредиты",1,"образование","ненадежный"
"без жилья",9246,22,"женщина",35,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",4490,28,"женщина",28,"все кредиты погашены",1,"другое","надежный"
"без жилья",1026,12,"мужчина (одинокий)",43,"есть непогашенные кредиты",1,"образование","надежный"
"домовладелец",1005,17,"мужчина (одинокий)",55,"не было кредитов",2,"новая машина","ненадежный"
"домовладелец",2884,19,"мужчина (одинокий)",48,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1630,19,"мужчина (одинокий)",32,"есть непогашенные кредиты",2,"другое","надежный"
"арендатор",4150,20,"женщина",25,"есть просрочки платежей",1,"бытовая техника","надежный"
"без жилья",6486,35,"мужчина (одинокий)",28,"есть просрочки платежей",1,"образование","надежный"
"домовладелец",1352,18,"мужчина (разведенный)",42,"есть просрочки платежей",2,"бизнес","надежный"
"домовладелец",1531,15,"женщина",31,"есть просрочки платежей",2,"новая машина","надежный"
"без жилья",10538,58,"мужчина (одинокий)",55,"есть непогашенные кредиты",1,"подержанная машина","ненадежный"
"домовладелец",964,7,"мужчина (одинокий)",76,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",2769,28,"женщина",23,"есть непогашенные кредиты",2,"бытовая техника","ненадежный"
"домовладелец",4935,26,"мужчина (одинокий)",51,"есть просрочки платежей",1,"мебель","надежный"
"домовладелец",2851,40,"мужчина (одинокий)",42,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2612,19,"мужчина (одинокий)",52,"есть непогашенные кредиты",1,"новая машина","надежный"
"без жилья",10255,34,"мужчина (одинокий)",30,"есть просрочки платежей",3,"подержанная машина","надежный"
"домовладелец",5674,38,"мужчина (одинокий)",64,"есть просрочки платежей",1,"бизнес","надежный"
"домовладелец",6815,45,"женщина",31,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",2915,11,"женщина",36,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",7983,36,"мужчина (одинокий)",37,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",5218,30,"мужчина (разведенный)",44,"есть непогашенные кредиты",1,"бизнес","ненадежный"
"домовладелец",2792,26,"мужчина (одинокий)",34,"не было кредитов",1,"бизнес","надежный"
"домовладелец",1185,19,"мужчина (одинокий)",18,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",1101,12,"мужчина (одинокий)",31,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",1536,11,"мужчина (одинокий)",56,"есть просрочки платежей",1,"подержанная машина","надежный"
"домовладелец",2491,21,"женщина",25,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",4837,29,"мужчина (женатый или вдовец)",44,"есть просрочки платежей",3,"бизнес","надежный"
"домовладелец",2783,23,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",3063,9,"мужчина (одинокий)",38,"есть просрочки платежей",2,"бытовая техника","надежный"
"без жилья",12575,23,"женщина",38,"есть непогашенные кредиты",1,"подержанная машина","ненадежный"
"домовладелец",351,7,"мужчина (одинокий)",35,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",3229,13,"женщина",31,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",4208,21,"мужчина (разведенный)",36,"есть просрочки платежей",1,"новая машина","надежный"
"домовладелец",3116,30,"мужчина (одинокий)",30,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",3037,38,"мужчина (женатый или вдовец)",24,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",4794,33,"мужчина (женатый или вдовец)",31,"есть непогашенные кредиты",1,"образование","надежный"
"арендатор",2622,18,"женщина",18,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",7851,24,"мужчина (одинокий)",35,"есть непогашенные кредиты",2,"новая машина","надежный"
"домовладелец",2043,14,"мужчина (разведенный)",23,"есть непогашенные кредиты",1,"бизнес","надежный"
"арендатор",4185,16,"женщина",27,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",11008,31,"мужчина (одинокий)",23,"есть просрочки платежей",2,"подержанная машина","ненадежный"
"домовладелец",1605,23,"мужчина (одинокий)",52,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",3498,7,"мужчина (одинокий)",37,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1383,3,"женщина",40,"есть просрочки платежей",1,"образование","надежный"
"арендатор",4186,14,"женщина",23,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"арендатор",3121,13,"мужчина (одинокий)",31,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",6814,29,"мужчина (одинокий)",40,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",4998,22,"мужчина (одинокий)",38,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",17285,19,"мужчина (разведенный)",27,"есть непогашенные кредиты",1,"ремонт жилья","ненадежный"
"арендатор",1309,14,"мужчина (одинокий)",46,"есть просрочки платежей",1,"бизнес","надежный"
"домовладелец",2760,15,"мужчина (одинокий)",37,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2651,11,"женщина",23,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",1101,8,"мужчина (женатый или вдовец)",29,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",1551,13,"женщина",59,"есть непогашенные кредиты",2,"образование","надежный"
"без жилья",3445,38,"мужчина (одинокий)",57,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1060,10,"мужчина (одинокий)",29,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",5058,60,"мужчина (одинокий)",35,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",15779,61,"мужчина (одинокий)",21,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"арендатор",1794,9,"женщина",24,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",9527,27,"мужчина (разведенный)",61,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",2243,19,"мужчина (одинокий)",49,"есть просрочки платежей",1,"подержанная машина","надежный"
"домовладелец",1206,27,"женщина",34,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",848,11,"мужчина (одинокий)",42,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",1057,8,"мужчина (одинокий)",48,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",1789,36,"женщина",52,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",3134,23,"мужчина (одинокий)",22,"все кредиты погашены",1,"мебель","ненадежный"
"домовладелец",1677,14,"мужчина (одинокий)",20,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1650,9,"женщина",22,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",1219,7,"мужчина (одинокий)",47,"есть просрочки платежей",2,"новая машина","надежный"
"арендатор",2477,13,"мужчина (одинокий)",39,"есть просрочки платежей",1,"мебель","надежный"
"домовладелец",1288,7,"мужчина (женатый или вдовец)",25,"есть непогашенные кредиты",1,"новая машина","надежный"
"арендатор",6257,10,"мужчина (одинокий)",39,"есть просрочки платежей",1,"мебель","надежный"
"домовладелец",449,3,"женщина",20,"есть непогашенные кредиты",1,"образование","ненадежный"
"арендатор",3798,19,"женщина",23,"не было кредитов",2,"мебель","ненадежный"
"домовладелец",675,7,"мужчина (одинокий)",35,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1324,15,"мужчина (женатый или вдовец)",29,"есть непогашенные кредиты",1,"новая машина","надежный"
"без жилья",1558,15,"мужчина (одинокий)",31,"есть просрочки платежей",2,"бытовая техника","ненадежный"
"домовладелец",1997,15,"мужчина (одинокий)",71,"есть просрочки платежей",2,"мебель","ненадежный"
"без жилья",18723,39,"мужчина (одинокий)",54,"есть просрочки платежей",1,"новая машина","надежный"
"домовладелец",4500,56,"женщина",24,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",2107,27,"мужчина (одинокий)",46,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",2278,16,"женщина",31,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",3764,16,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",6005,35,"женщина",49,"все кредиты погашены",1,"подержанная машина","ненадежный"
"домовладелец",10328,48,"женщина",32,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",2551,7,"мужчина (одинокий)",29,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",4786,5,"мужчина (одинокий)",33,"есть просрочки платежей",3,"новая машина","надежный"
"арендатор",508,17,"женщина",19,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",3673,39,"мужчина (одинокий)",35,"есть непогашенные кредиты",2,"бытовая техника","ненадежный"
"домовладелец",1226,26,"мужчина (одинокий)",24,"есть просрочки платежей",2,"новая машина","ненадежный"
"домовладелец",7037,37,"мужчина (одинокий)",28,"есть просрочки платежей",2,"бытовая техника","ненадежный"
"домовладелец",1210,14,"мужчина (одинокий)",42,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",9079,18,"мужчина (одинокий)",47,"есть просрочки платежей",1,"мебель","ненадежный"
"без жилья",3256,20,"мужчина (одинокий)",29,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",14686,72,"мужчина (одинокий)",43,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",4570,30,"женщина",24,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"арендатор",5561,76,"женщина",28,"есть непогашенные кредиты",1,"бизнес","ненадежный"
"домовладелец",607,9,"женщина",46,"есть непогашенные кредиты",1,"мебель","надежный"
"без жилья",10358,41,"мужчина (одинокий)",42,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",3533,15,"мужчина (одинокий)",36,"есть непогашенные кредиты",1,"новая машина","надежный"
"без жилья",844,6,"мужчина (одинокий)",36,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",2901,21,"мужчина (одинокий)",35,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",1181,14,"мужчина (женатый или вдовец)",26,"все кредиты погашены",1,"новая машина","ненадежный"
"арендатор",1989,5,"мужчина (женатый или вдовец)",34,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",891,16,"мужчина (одинокий)",26,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"домовладелец",4490,20,"мужчина (одинокий)",47,"есть непогашенные кредиты",1,"образование","ненадежный"
"домовладелец",1812,10,"женщина",29,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",3492,7,"мужчина (одинокий)",36,"не было кредитов",2,"мебель","надежный"
"домовладелец",3626,21,"мужчина (женатый или вдовец)",20,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",2277,19,"женщина",37,"есть просрочки платежей",1,"образование","надежный"
"домовладелец",1730,36,"женщина",48,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",2062,12,"мужчина (одинокий)",36,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",4026,41,"мужчина (женатый или вдовец)",23,"есть просрочки платежей",2,"новая машина","ненадежный"
"домовладелец",4436,25,"женщина",34,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2414,18,"женщина",23,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"арендатор",1047,7,"женщина",27,"есть непогашенные кредиты",4,"мебель","ненадежный"
"домовладелец",1970,27,"мужчина (одинокий)",30,"есть просрочки платежей",2,"бизнес","надежный"
"домовладелец",882,11,"мужчина (женатый или вдовец)",34,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",1502,18,"мужчина (одинокий)",27,"не было кредитов",1,"другое","надежный"
"домовладелец",2061,18,"женщина",27,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",3456,19,"женщина",22,"не было кредитов",1,"мебель","ненадежный"
"домовладелец",10373,26,"мужчина (одинокий)",27,"есть непогашенные кредиты",2,"подержанная машина","надежный"
"домовладелец",2895,31,"мужчина (одинокий)",36,"есть непогашенные кредиты",1,"мебель","ненадежный"
"арендатор",5524,19,"женщина",37,"есть просрочки платежей",3,"новая машина","ненадежный"
"домовладелец",2566,18,"мужчина (одинокий)",37,"есть просрочки платежей",3,"бытовая техника","надежный"
"домовладелец",2733,12,"мужчина (женатый или вдовец)",22,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",8121,38,"мужчина (одинокий)",31,"есть просрочки платежей",2,"новая машина","надежный"
"арендатор",528,11,"женщина",47,"все кредиты погашены",2,"бытовая техника","надежный"
"домовладелец",4989,35,"мужчина (одинокий)",43,"есть просрочки платежей",2,"новая машина","надежный"
"арендатор",1686,23,"мужчина (одинокий)",20,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"арендатор",8334,12,"мужчина (одинокий)",64,"есть непогашенные кредиты",2,"новая машина","ненадежный"
"домовладелец",843,7,"женщина",24,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",5772,14,"мужчина (одинокий)",22,"есть просрочки платежей",2,"подержанная машина","надежный"
"домовладелец",7624,38,"мужчина (разведенный)",53,"все кредиты погашены",1,"мебель","ненадежный"
"без жилья",3582,18,"мужчина (одинокий)",39,"есть непогашенные кредиты",1,"подержанная машина","ненадежный"
"домовладелец",7215,27,"мужчина (одинокий)",45,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",2306,18,"мужчина (одинокий)",34,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",6287,45,"мужчина (разведенный)",35,"не было кредитов",2,"мебель","надежный"
"домовладелец",8682,41,"мужчина (разведенный)",37,"есть просрочки платежей",2,"бизнес","надежный"
"домовладелец",6230,37,"мужчина (разведенный)",29,"не было кредитов",2,"бизнес","надежный"
"арендатор",2493,25,"мужчина (одинокий)",38,"есть просрочки платежей",1,"новая машина","ненадежный"
"домовладелец",9540,33,"женщина",32,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"арендатор",3591,18,"женщина",28,"есть непогашенные кредиты",1,"мебель","надежный"
"арендатор",1755,12,"женщина",25,"есть просрочки платежей",2,"мебель","ненадежный"
"домовладелец",4512,18,"мужчина (одинокий)",27,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"арендатор",1676,21,"женщина",18,"есть непогашенные кредиты",2,"новая машина","ненадежный"
"домовладелец",2229,16,"мужчина (одинокий)",41,"есть непогашенные кредиты",2,"бытовая техника","ненадежный"
"домовладелец",3027,9,"мужчина (одинокий)",28,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"арендатор",6754,37,"мужчина (одинокий)",31,"есть непогашенные кредиты",1,"бизнес","ненадежный"
"домовладелец",6806,44,"мужчина (одинокий)",58,"не было кредитов",2,"бизнес","ненадежный"
"домовладелец",775,15,"мужчина (одинокий)",36,"есть непогашенные кредиты",1,"образование","ненадежный"
"арендатор",720,9,"мужчина (женатый или вдовец)",25,"есть непогашенные кредиты",1,"ремонт жилья","надежный"
"арендатор",2161,29,"женщина",33,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",3192,8,"мужчина (одинокий)",33,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",2408,31,"мужчина (одинокий)",18,"все кредиты погашены",1,"мебель","надежный"
"домовладелец",6388,23,"мужчина (одинокий)",38,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1701,4,"мужчина (одинокий)",43,"есть просрочки платежей",3,"бытовая техника","надежный"
"арендатор",1813,17,"женщина",44,"есть непогашенные кредиты",1,"мебель","надежный"
"без жилья",1724,24,"мужчина (одинокий)",30,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",2560,15,"женщина",32,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",12457,43,"женщина",19,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",3977,22,"мужчина (одинокий)",37,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"арендатор",1473,28,"женщина",49,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",3853,41,"женщина",44,"не было кредитов",1,"бытовая техника","ненадежный"
"домовладелец",1291,30,"женщина",20,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"арендатор",1119,19,"мужчина (одинокий)",37,"не было кредитов",2,"новая машина","ненадежный"
"домовладелец",1622,13,"женщина",30,"есть просрочки платежей",2,"образование","ненадежный"
"домовладелец",1224,17,"женщина",33,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",2058,11,"мужчина (одинокий)",28,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"домовладелец",595,8,"женщина",31,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",1899,8,"женщина",24,"есть непогашенные кредиты",2,"бизнес","надежный"
"арендатор",5757,47,"женщина",24,"есть просрочки платежей",2,"мебель","ненадежный"
"домовладелец",1502,23,"мужчина (одинокий)",27,"есть непогашенные кредиты",1,"новая машина","надежный"
"без жилья",3789,17,"мужчина (одинокий)",18,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",8287,8,"мужчина (одинокий)",46,"есть просрочки платежей",2,"новая машина","надежный"
"домовладелец",723,14,"мужчина (женатый или вдовец)",18,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",2567,30,"мужчина (женатый или вдовец)",27,"есть просрочки платежей",2,"бытовая техника","надежный"
"без жилья",4073,16,"мужчина (одинокий)",28,"есть просрочки платежей",1,"мебель","надежный"
"арендатор",1874,7,"мужчина (одинокий)",53,"есть просрочки платежей",2,"новая машина","надежный"
"без жилья",1942,39,"женщина",55,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",908,20,"мужчина (женатый или вдовец)",19,"есть непогашенные кредиты",1,"другое","ненадежный"
"домовладелец",4035,38,"мужчина (одинокий)",56,"есть просрочки платежей",2,"подержанная машина","надежный"
