"purpose","housing","duration","personal_status","credit_amount","age","existing_credits","credit_history","type"
"бытовая техника","домовладелец",22,"мужчина (одинокий)",4044,32,2,"есть просрочки платежей","надежный"
"ремонт жилья","без жилья",12,"женщина",1172,59,3,"есть просрочки платежей","ненадежный"
"новая машина","домовладелец",35,"женщина",5994,27,2,"не было кредитов","ненадежный"
"бытовая техника","домовладелец",42,"мужчина (одинокий)",5062,34,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",7,"женщина",1805,28,2,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",18,"женщина",438,38,2,"все кредиты погашены","надежный"
"мебель","домовладелец",17,"женщина",2405,26,2,"есть просрочки платежей","надежный"
"мебель","арендатор",18,"мужчина (разведенный)",4424,25,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",19,"мужчина (разведенный)",824,52,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",14,"мужчина (одинокий)",4424,39,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",18,"женщина",1469,33,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",30,"мужчина (женатый или вдовец)",1558,24,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",14,"мужчина (разведенный)",1603,35,2,"есть просрочки платежей","надежный"
"образование","домовладелец",4,"женщина",600,22,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",23,"мужчина (одинокий)",2308,24,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",9,"женщина",1336,53,2,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",78,"мужчина (одинокий)",15005,26,1,"не было кредитов","ненадежный"
"бытовая техника","арендатор",8,"женщина",1609,18,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",12,"мужчина (женатый или вдовец)",1089,25,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",19,"мужчина (одинокий)",3290,40,2,"не было кредитов","надежный"
"мебель","домовладелец",30,"мужчина (одинокий)",2081,41,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",38,"мужчина (женатый или вдовец)",3442,50,2,"есть просрочки платежей","надежный"
"бизнес","домовладелец",14,"мужчина (женатый или вдовец)",1368,22,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",6,"мужчина (одинокий)",698,26,1,"есть непогашенные кредиты","ненадежный"
"мебель","арендатор",19,"женщина",2583,34,1,"есть непогашенные кредиты","надежный"
"мебель","без жилья",4,"мужчина (одинокий)",1894,40,3,"есть просрочки платежей","надежный"
"мебель","домовладелец",26,"женщина",6949,29,1,"есть просрочки платежей","ненадежный"
"бизнес","домовладелец",43,"женщина",3783,25,2,"не было кредитов","надежный"
"новая машина","домовладелец",8,"мужчина (разведенный)",1983,29,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",9,"мужчина (одинокий)",3723,41,2,"есть просрочки платежей","надежный"
"другое","домовладелец",17,"женщина",4263,29,1,"все кредиты погашены","надежный"
"подержанная машина","домовладелец",31,"мужчина (одинокий)",3222,42,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",12,"мужчина (одинокий)",671,40,2,"есть просрочки платежей","ненадежный"
"бытовая техника","домовладелец",32,"мужчина (женатый или вдовец)",2595,26,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",48,"мужчина (одинокий)",6251,35,2,"есть непогашенные кредиты","надежный"
"подержанная машина","арендатор",33,"женщина",2979,30,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",23,"мужчина (одинокий)",2522,47,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",9,"мужчина (одинокий)",1545,48,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",12,"мужчина (одинокий)",3499,29,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","домовладелец",7,"мужчина (одинокий)",1705,43,1,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",37,"женщина",3750,27,1,"есть просрочки платежей","надежный"
"новая машина","домовладелец",6,"мужчина (одинокий)",20990,25,1,"есть непогашенные кредиты","ненадежный"
"мебель","без жилья",18,"мужчина (одинокий)",11113,46,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",6,"мужчина (одинокий)",652,26,1,"все кредиты погашены","надежный"
"новая машина","домовладелец",29,"мужчина (одинокий)",2011,53,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","домовладелец",25,"мужчина (одинокий)",3207,36,1,"есть просрочки платежей","надежный"
"мебель","арендатор",8,"женщина",1959,18,2,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",6,"женщина",2092,25,2,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",37,"мужчина (одинокий)",4470,42,2,"есть просрочки платежей","надежный"
"бизнес","арендатор",8,"мужчина (одинокий)",1497,54,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",35,"женщина",12861,27,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",7,"мужчина (одинокий)",1461,33,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",31,"женщина",2652,22,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",24,"женщина",3416,24,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",28,"мужчина (одинокий)",3739,38,3,"не было кредитов","ненадежный"
"бытовая техника","домовладелец",6,"мужчина (одинокий)",907,25,1,"все кредиты погашены","надежный"
"бытовая техника","без жилья",42,"женщина",3026,58,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",19,"мужчина (женатый или вдовец)",752,22,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",14,"мужчина (одинокий)",5194,29,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",5,"мужчина (женатый или вдовец)",2334,29,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",18,"женщина",2739,26,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",5,"мужчина (одинокий)",5650,36,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",16,"мужчина (одинокий)",1417,41,2,"есть просрочки платежей","надежный"
"подержанная машина","арендатор",75,"женщина",10468,28,2,"есть просрочки платежей","ненадежный"
"образование","без жилья",23,"мужчина (одинокий)",1465,70,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",7,"женщина",2164,25,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",26,"мужчина (одинокий)",2200,28,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",12,"мужчина (одинокий)",826,37,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",8,"мужчина (одинокий)",1622,33,1,"все кредиты погашены","ненадежный"
"мебель","арендатор",16,"женщина",1481,33,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",7,"мужчина (разведенный)",1544,33,1,"есть непогашенные кредиты","надежный"
"бытовая техника","без жилья",56,"мужчина (одинокий)",1979,21,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",33,"мужчина (одинокий)",4773,31,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",13,"мужчина (одинокий)",592,47,1,"есть непогашенные кредиты","ненадежный"
"другое","домовладелец",9,"мужчина (одинокий)",1597,23,1,"есть просрочки платежей","надежный"
"бизнес","домовладелец",13,"женщина",1426,30,2,"есть просрочки платежей","надежный"
"подержанная машина","без жилья",51,"мужчина (одинокий)",6960,50,2,"есть просрочки платежей","ненадежный"
"новая машина","домовладелец",10,"мужчина (одинокий)",2134,40,3,"есть просрочки платежей","надежный"
"другое","домовладелец",11,"женщина",779,36,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",31,"женщина",2842,23,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",28,"мужчина (одинокий)",1447,32,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",38,"мужчина (одинокий)",3422,36,1,"есть просрочки платежей","надежный"
"бытовая техника","без жилья",9,"мужчина (одинокий)",1339,36,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",10,"мужчина (одинокий)",1420,77,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",25,"мужчина (одинокий)",7782,25,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","домовладелец",17,"мужчина (разведенный)",9685,61,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",21,"женщина",1373,22,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",23,"женщина",3055,23,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",44,"мужчина (одинокий)",10047,37,2,"есть просрочки платежей","надежный"
"мебель","арендатор",48,"женщина",7693,24,2,"есть просрочки платежей","ненадежный"
"мебель","домовладелец",34,"мужчина (одинокий)",1916,53,2,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",28,"мужчина (одинокий)",2460,29,2,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",27,"мужчина (женатый или вдовец)",1817,26,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",23,"женщина",2906,23,1,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",9,"мужчина (одинокий)",702,56,3,"есть просрочки платежей","надежный"
"новая машина","домовладелец",13,"мужчина (одинокий)",6569,33,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",4,"женщина",497,25,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",31,"женщина",2419,56,1,"есть непогашенные кредиты","надежный"
"подержанная машина","без жилья",19,"мужчина (одинокий)",9631,79,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",39,"женщина",3710,50,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",19,"мужчина (одинокий)",6279,29,1,"все кредиты погашены","ненадежный"
"новая машина","домовладелец",27,"женщина",1768,44,2,"есть просрочки платежей","надежный"
"подержанная машина","без жилья",40,"мужчина (одинокий)",12447,41,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","арендатор",34,"мужчина (одинокий)",1288,19,1,"все кредиты погашены","ненадежный"
"новая машина","домовладелец",14,"мужчина (одинокий)",1337,30,2,"есть просрочки платежей","ненадежный"
"новая машина","домовладелец",8,"мужчина (одинокий)",3015,46,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",18,"женщина",2942,22,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",8,"женщина",1369,29,2,"есть просрочки платежей","надежный"
"подержанная машина","арендатор",14,"мужчина (одинокий)",3614,19,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",17,"мужчина (одинокий)",8236,60,1,"есть непогашенные кредиты","ненадежный"
"мебель","арендатор",39,"женщина",3477,22,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","без жилья",41,"мужчина (одинокий)",4297,27,2,"не было кредитов","ненадежный"
"мебель","арендатор",12,"женщина",2665,22,1,"не было кредитов","ненадежный"
"мебель","домовладелец",28,"мужчина (разведенный)",3474,35,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",10,"мужчина (одинокий)",2265,32,1,"есть непогашенные кредиты","надежный"
"подержанная машина","без жилья",33,"мужчина (одинокий)",9226,45,1,"все кредиты погашены","надежный"
"мебель","домовладелец",14,"мужчина (одинокий)",1615,54,1,"есть непогашенные кредиты","надежный"
"ремонт жилья","домовладелец",20,"мужчина (разведенный)",15778,35,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",16,"женщина",583,54,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",10,"мужчина (одинокий)",3168,39,2,"есть просрочки платежей","надежный"
"бытовая техника","без жилья",29,"мужчина (одинокий)",2028,32,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",33,"мужчина (одинокий)",2035,36,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",9,"мужчина (разведенный)",1552,42,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",27,"мужчина (женатый или вдовец)",2903,23,2,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",33,"мужчина (одинокий)",1787,39,2,"есть просрочки платежей","ненадежный"
"бытовая техника","домовладелец",17,"мужчина (одинокий)",2498,47,2,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",7,"мужчина (одинокий)",619,51,2,"есть просрочки платежей","надежный"
"подержанная машина","без жилья",14,"мужчина (одинокий)",1318,65,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",17,"мужчина (разведенный)",1253,30,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",12,"мужчина (одинокий)",1846,22,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",15,"мужчина (одинокий)",735,25,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",6,"мужчина (одинокий)",1874,31,2,"не было кредитов","ненадежный"
"новая машина","арендатор",14,"мужчина (одинокий)",2171,39,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",4,"женщина",577,39,2,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",16,"мужчина (одинокий)",2409,53,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",27,"мужчина (одинокий)",12450,25,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",9,"мужчина (женатый или вдовец)",1766,22,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",15,"мужчина (разведенный)",12340,43,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",11,"мужчина (одинокий)",3490,35,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",31,"мужчина (одинокий)",2950,35,2,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",16,"мужчина (одинокий)",2674,29,1,"есть просрочки платежей","надежный"
"образование","домовладелец",7,"женщина",1643,61,1,"есть непогашенные кредиты","надежный"
"мебель","без жилья",17,"мужчина (одинокий)",3457,24,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",8,"мужчина (одинокий)",2843,35,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",79,"женщина",11631,41,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",16,"мужчина (одинокий)",2541,48,1,"есть просрочки платежей","надежный"
"бизнес","домовладелец",11,"женщина",737,24,1,"все кредиты погашены","ненадежный"
"новая машина","домовладелец",7,"мужчина (одинокий)",5439,26,1,"есть непогашенные кредиты","надежный"
"образование","без жилья",17,"мужчина (одинокий)",2064,50,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",27,"мужчина (одинокий)",7106,39,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",11,"мужчина (женатый или вдовец)",3807,24,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",49,"мужчина (женатый или вдовец)",3977,22,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",12,"мужчина (женатый или вдовец)",1425,30,1,"есть непогашенные кредиты","надежный"
"подержанная машина","без жилья",51,"мужчина (одинокий)",6785,47,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",10,"женщина",687,24,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",10,"мужчина (одинокий)",4595,41,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",9,"мужчина (одинокий)",2207,32,1,"все кредиты погашены","надежный"
"бизнес","домовладелец",15,"мужчина (одинокий)",4809,22,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",37,"мужчина (одинокий)",6793,64,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",18,"женщина",2546,22,1,"есть непогашенные кредиты","надежный"
"новая машина","без жилья",62,"мужчина (одинокий)",11192,44,1,"есть просрочки платежей","ненадежный"
"образование","без жилья",51,"мужчина (одинокий)",2611,30,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",21,"мужчина (одинокий)",3215,25,2,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",45,"мужчина (разведенный)",6063,32,2,"не было кредитов","надежный"
"бытовая техника","домовладелец",9,"женщина",1389,40,1,"есть просрочки платежей","надежный"
"мебель","арендатор",24,"женщина",2466,23,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",7,"женщина",1918,28,1,"есть просрочки платежей","надежный"
"бизнес","домовладелец",38,"мужчина (одинокий)",5569,33,1,"есть непогашенные кредиты","ненадежный"
"мебель","без жилья",33,"мужчина (одинокий)",2781,24,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",20,"мужчина (одинокий)",2823,34,2,"есть просрочки платежей","ненадежный"
"мебель","домовладелец",23,"мужчина (одинокий)",2585,30,2,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",10,"женщина",3437,22,2,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",13,"женщина",1183,39,2,"есть просрочки платежей","надежный"
"мебель","арендатор",44,"женщина",3245,62,2,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",10,"женщина",3050,37,1,"есть непогашенные кредиты","надежный"
"подержанная машина","без жилья",26,"мужчина (разведенный)",10495,53,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",7,"мужчина (одинокий)",1240,40,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",7,"женщина",1323,35,2,"есть просрочки платежей","надежный"
"ремонт жилья","домовладелец",20,"женщина",2659,28,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",72,"мужчина (одинокий)",3858,22,2,"есть просрочки платежей","ненадежный"
"бизнес","домовладелец",15,"мужчина (женатый или вдовец)",6491,24,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",23,"женщина",1706,28,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",14,"мужчина (разведенный)",3434,27,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",12,"женщина",2828,28,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",74,"мужчина (одинокий)",3285,51,1,"есть просрочки платежей","надежный"
"новая машина","без жилья",21,"мужчина (одинокий)",1198,73,3,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",19,"женщина",1563,46,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",23,"женщина",1278,37,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",38,"мужчина (одинокий)",1703,30,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",25,"мужчина (одинокий)",1796,39,2,"есть просрочки платежей","надежный"
"мебель","без жилья",18,"мужчина (одинокий)",3028,22,1,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",15,"мужчина (одинокий)",2543,30,2,"есть непогашенные кредиты","надежный"
"образование","домовладелец",19,"мужчина (одинокий)",808,34,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",51,"мужчина (одинокий)",4938,22,1,"есть непогашенные кредиты","надежный"
"бизнес","арендатор",24,"женщина",5567,28,2,"не было кредитов","ненадежный"
"новая машина","домовладелец",10,"мужчина (одинокий)",1918,44,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",32,"мужчина (одинокий)",7331,24,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",18,"мужчина (одинокий)",2108,26,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",28,"мужчина (женатый или вдовец)",1513,52,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",43,"мужчина (одинокий)",3975,22,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",15,"мужчина (одинокий)",1642,30,2,"есть просрочки платежей","надежный"
"образование","домовладелец",17,"мужчина (одинокий)",3963,42,2,"есть просрочки платежей","надежный"
"другое","без жилья",98,"женщина",18184,64,2,"все кредиты погашены","ненадежный"
"мебель","арендатор",10,"женщина",2429,22,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",29,"мужчина (одинокий)",3689,42,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",17,"мужчина (одинокий)",776,42,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",12,"мужчина (женатый или вдовец)",1294,38,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",35,"мужчина (одинокий)",6775,51,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",7,"мужчина (одинокий)",3085,41,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",8,"мужчина (одинокий)",1358,62,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",8,"мужчина (женатый или вдовец)",1045,36,1,"есть непогашенные кредиты","надежный"
"новая машина","без жилья",19,"женщина",6759,28,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",9,"женщина",1106,39,2,"есть просрочки платежей","надежный"
"бизнес","домовладелец",39,"мужчина (одинокий)",1515,25,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",23,"мужчина (одинокий)",2416,34,1,"все кредиты погашены","ненадежный"
"новая машина","арендатор",33,"мужчина (женатый или вдовец)",2589,37,2,"есть просрочки платежей","ненадежный"
"бытовая техника","домовладелец",3,"мужчина (одинокий)",1893,45,3,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",20,"женщина",3149,22,1,"есть непогашенные кредиты","надежный"
"подержанная машина","без жилья",57,"мужчина (одинокий)",12445,30,2,"есть просрочки платежей","надежный"
"мебель","арендатор",30,"мужчина (одинокий)",4071,27,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",14,"женщина",1587,23,2,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",34,"мужчина (одинокий)",10920,37,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",60,"мужчина (одинокий)",10410,43,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",14,"мужчина (одинокий)",3502,35,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",15,"женщина",4214,36,1,"есть непогашенные кредиты","надежный"
"бизнес","арендатор",16,"женщина",2215,19,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",12,"женщина",1158,18,1,"есть непогашенные кредиты","ненадежный"
"ремонт жилья","без жилья",35,"мужчина (одинокий)",7579,51,2,"есть просрочки платежей","надежный"
"подержанная машина","домовладелец",19,"мужчина (одинокий)",5097,46,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",17,"мужчина (одинокий)",2949,33,1,"есть непогашенные кредиты","надежный"
"другое","домовладелец",56,"женщина",27237,35,1,"не было кредитов","ненадежный"
"мебель","арендатор",12,"женщина",1117,18,1,"есть непогашенные кредиты","надежный"
"новая машина","арендатор",16,"мужчина (одинокий)",1867,40,1,"есть непогашенные кредиты","надежный"
"образование","домовладелец",19,"женщина",2021,27,1,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",14,"мужчина (одинокий)",3678,42,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",21,"мужчина (женатый или вдовец)",3975,18,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",18,"женщина",3118,37,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",30,"мужчина (одинокий)",3251,27,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",19,"мужчина (одинокий)",1502,24,1,"есть непогашенные кредиты","ненадежный"
"подержанная машина","без жилья",14,"женщина",9556,39,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",11,"мужчина (одинокий)",2079,29,1,"есть непогашенные кредиты","надежный"
"подержанная машина","арендатор",39,"женщина",10157,25,2,"есть непогашенные кредиты","ненадежный"
"образование","арендатор",9,"женщина",580,25,1,"все кредиты погашены","ненадежный"
"подержанная машина","домовладелец",11,"мужчина (одинокий)",2828,28,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",40,"мужчина (одинокий)",5615,24,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",28,"мужчина (женатый или вдовец)",2241,26,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",7,"женщина",1625,38,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",13,"мужчина (женатый или вдовец)",1595,40,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",29,"мужчина (одинокий)",746,41,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",6,"женщина",765,52,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",19,"мужчина (женатый или вдовец)",927,20,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",17,"женщина",1078,36,1,"есть непогашенные кредиты","ненадежный"
"образование","домовладелец",64,"мужчина (одинокий)",4971,28,1,"есть просрочки платежей","ненадежный"
"мебель","домовладелец",26,"женщина",3629,27,2,"не было кредитов","надежный"
"бытовая техника","домовладелец",9,"мужчина (одинокий)",582,22,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",6,"мужчина (одинокий)",1599,18,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",37,"женщина",4464,28,1,"есть непогашенные кредиты","надежный"
"бизнес","арендатор",49,"женщина",7324,32,1,"все кредиты погашены","ненадежный"
"подержанная машина","без жилья",31,"женщина",18717,44,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",39,"мужчина (женатый или вдовец)",4808,20,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",71,"мужчина (одинокий)",4391,22,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",8,"женщина",1920,37,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",10,"мужчина (разведенный)",3614,50,1,"есть непогашенные кредиты","надежный"
"бизнес","домовладелец",21,"мужчина (одинокий)",3183,45,4,"есть просрочки платежей","надежный"
"мебель","без жилья",16,"мужчина (одинокий)",1885,54,2,"есть непогашенные кредиты","надежный"
"подержанная машина","арендатор",37,"женщина",2560,31,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",17,"мужчина (одинокий)",2795,19,1,"все кредиты погашены","надежный"
"бытовая техника","домовладелец",26,"мужчина (одинокий)",1312,26,2,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",15,"женщина",2298,25,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",9,"мужчина (одинокий)",1618,21,1,"есть непогашенные кредиты","надежный"
"мебель","домовладелец",26,"женщина",2432,33,2,"есть просрочки платежей","надежный"
"мебель","домовладелец",36,"мужчина (одинокий)",6785,30,2,"есть просрочки платежей","надежный"
"новая машина","арендатор",22,"женщина",1738,26,1,"есть непогашенные кредиты","ненадежный"
"образование","домовладелец",14,"женщина",1153,56,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",25,"мужчина (одинокий)",3168,39,3,"есть просрочки платежей","надежный"
"подержанная машина","арендатор",18,"женщина",7434,30,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",13,"женщина",5392,30,1,"есть непогашенные кредиты","ненадежный"
"мебель","домовладелец",20,"женщина",5968,27,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",7,"мужчина (одинокий)",1649,43,2,"есть просрочки платежей","надежный"
"другое","арендатор",18,"женщина",1508,28,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",11,"мужчина (одинокий)",1285,43,2,"есть просрочки платежей","надежный"
"мебель","арендатор",17,"мужчина (одинокий)",1869,25,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",5,"мужчина (одинокий)",909,48,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",14,"мужчина (одинокий)",1894,62,1,"есть просрочки платежей","надежный"
"бытовая техника","арендатор",32,"мужчина (женатый или вдовец)",4463,21,1,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",43,"мужчина (одинокий)",5696,35,2,"есть просрочки платежей","надежный"
